1689081308# #小雪网红？不认识...不care。一起来听听任贤齐经典歌曲《小雪》吧
1701070819# #江苏报告33144例流感微博是懂我的，正在鼻塞喉咙痛，看到了这个，希望不要是流感苦涩苦涩苦涩苦涩苦涩苦涩话说现在戴口罩的真的是好少，估计那3年戴怕了…多运动，健康饮食，休息好，身体健康最重要！耶耶
1699797529# #“背痛”...哈哈不是，《被动》是苏慧伦演唱的一首歌曲，由潘丽玉作词，伍佰作曲，江建民编曲，收录在苏慧伦1996年5月23日由滚石唱片发行的专辑《LemonTree》中。被大家熟知的大多还是伍佰老师的演唱，这次把伍佰老师自己及他分别和徐佳莹、苏慧伦的3个演唱会版本放在一起欣赏。。1.伍佰2002冬
1691542751# #终于知道为什么叫狗尾巴草了早上好！又是一个《晴天》，我来个前奏，你来接唱可爱....“故事的的小黄花…”
1691741998# #李荣浩演唱会苏州演唱会上，“我给你们表演个双眼皮吧”偷乐偷乐
1691488544# #“这世界那么多人，多幸运我有个我们"。《这世界那么多人》原唱莫文蔚之外，3个好听的翻唱版本欣赏。。1.胡夏彭佳慧，2.林志炫，3.周深。打call打call。悦音星行动
1688880403# #李玟神级现场清唱《IWillAlwaysLoveYou》，自带混响，超能打，可惜就这样走了...。。悦音星行动
1704167720# #官方通报湖南一碗麻辣烫106元106块一碗的爱情麻辣烫，你买不买？要我说的话，这样的无证经营小摊，不干净不卫生不说，搞不好还会被坑…已经依法处理，希望各地引以为戒！
1693154024# #香港小姐10号意难平确实有点…可惜了，希望后面能有更好的发展鲜花鲜花
1690262417# #迪丽热巴火焰裙美！就对了哇哇
1701754347# #谁在叫高圆圆阿姨你管圆圆叫阿姨？好久没有新作品了，却依旧🔥的一塌糊涂，这就是颜值top的待遇吧打call打call
1699189533# #内娱可以吃一辈子的剧为什么没有人提《西游记》《水浒传》《三国演义》《还珠格格》《武林外传》《风云》…摊手摊手
1691538585# #曝刘昊然经纪人吹嘘刘昊然喜欢自己刘昊然准备上新作品了？
1697087423# #雪中悍刀行女主哈哈哈，只有我是个另类？我喜欢青鸟/丁笑滢耶耶
1695964318# #嘿，还真的不是梗，哈哈哈哈哈哈哈哈哈凤凰传奇也没想到会以这种再火出圈不过话说回来，凤凰传奇一直都很🔥，好不好！来来来，“乌蒙山连着山外山…”唱起来春游家族春游家族
1693732305# #能够看伍佰老师的演唱会真的是爽歪歪…。伍佰“出去的门口打开了，你们还在等什么？？？”非得留下我来再听你们大合唱啊？。“唱完这一首，我就要走…”嘻嘻嘻嘻嘻嘻。悦音星行动
1695871609# #白鹿本鹿，魔性笑声，征服世界耶耶白鹿把经典笑声带到了时装周
1699198010# #李健贝加尔湖畔视频号演唱会那天晚上录屏，发过一次，被删了苦涩苦涩苦涩
1696315891# #刘亦菲心灵鸡汤刘亦菲也是个爱碎碎念的小可爱
