1699253342# #天津助学金当事人不认可调查结果这学生会不会因此被开除了并不简单
1694926690# #卢昱晓画的云之羽Q版画这周涨粉最快的女明星，卢昱晓，涨粉41.9万打call
1701710616# #成都有杜绝假唱固定流程从不假唱的三位歌手：林俊杰、周杰伦、汪苏泷并不简单
1702697341# #东方甄选CEO孙东旭或将辞职朋友圈早已有人爆料，俞敏洪将全力支持董宇辉，小孙德不配位！。这一次的大闹，也让管理层看到了，谁才是干实事的，能为公司创造价值的，谁才是公司的搅屎棍！也让大家看到了董宇辉的不可替代性，让质疑董宇辉的人闭嘴，如果消息属实，董宇辉也将上升管理层！
1693100321# #福岛真相网友在韩国偶遇了一场声势浩大的核污水游行，韩国民众气坏了，肉吃不到也就算了，现在连海鲜也没了！
1687781446# #C女士与蔡徐坤方签谅解书小黑子哭诉，21年的事情，23年爆出来，不亏是我家哥哥，时隔两年半，我真的哭死！以后玩不了梗了允悲
1695450923# #见过的最潦草的小猫咪一狗打八猫！走了走了，干不过允悲
1699018630# #17岁脑瘫少年卖爆米花母亲婉拒捐赠脑瘫大叔花光20年积蓄50万，为80岁父亲治病！
1700696998# #铁打的顶流肖战，流水的次流，今年会是谁呢？成毅、檀健次、邓为？
1687528770# #白敬亭宋轶耳朵都红了网友是懂形容的，很贴切笑cry
1698714011# #万圣节cos向太直播，万圣节限时返场！哈哈哈哈，简直比本人还要像！
1687340063# #给流浪猫寄罐头被老太太吃了小猫咪不慎掉入沥青里，经过3小时的营救，重获新生！
1689215863# #恭喜他们结婚了这一对夫妻，肯定很有趣，穿娃服结婚笑cry
1698808089# #这英模仿那英侵权吗唯一惊动到警方的cos，确实有点东西！
1700375834# #春晚有没有大学生通道大学生：不是羽绒服买不起，而是军大衣更有性价比！
1695134081# #女顾客被优衣库工作人员掐脖子拖回收银台老板教唆孕妇殴打女司机傻眼
1699156749# #63年前的今天中国人有了自己的导弹肯尼迪：以吾之身，铸华夏荣光doge
1702611461# #萌兰越狱2周年萌兰：票不能让你们白买，我给大伙整一个666
1703732375# #吉利高管称小米汽车宣发过了小米汽车确实很溜舔屏
1689950132# #猫咪不小心舔到驱虫药后失明小猫咪不小心掉入沥青里，经过三小时的抢救，终于醒了泪
1692886497# #福岛周边最高辐射值为东京200倍前辈，为了地球环境，请再一次代我们冲锋吧！韩国多个海鲜市场几乎空无一人
1691044409# #泄洪这泄洪的场面，足矣看出，洪水极大！
1690613391# #蜜雪冰城阴阳怪气瑞幸瑞幸，你良心不会痛吗？500ml的咖啡，400ml的冰！
1702283788# #养猫精神分裂风险在宠物医院遇到最暖心的一幕，小猫咪打针，怕疼，跟爷爷要贴贴哇
1687227735# #黄子佼爱徒Lulu发声黄子佼视频内容整理吃瓜
1700552826# #央媒称该管管所谓的明星祝福视频了明星录制祝福视频，早就已经成为产业链了，无论生日，企业年会，开业盛典等，都有，一个十几秒的视频，最高报价20万！
1693013783# #核污水排海韩国已出现连锁反应我在广东我为海洋动物发声！
1702655285# #东方甄选CEO称现在主打薄利多销董宇辉用一年多的时间让人相信，读书有用，努力有用，善良有用。东方甄选用一天时间教育了你，普通人再读书、再努力、再善良、再优秀，也摆脱不了被资本利用、玩弄、最后抛弃的结局。
1692111666# #以前有个乐队，一直不温不火，直到生了个主唱！
1698214924# #男子网购狗粮4只狗吃后中毒流浪狗找点吃的，还被人偷药了，死在了半路上泪
1690599739# #台风一级响应调整为暴雨一级响应这是住一楼，看到的窗外！
1700392465# #WBG生死局WBG赢了，评论区一人一只猪！
1687611291# #瓦格纳集团称内战已经正式开始“瓦格纳”已控制机场等军用设施，创始人现身俄南部军区总部！
1693048613# #日本国内超市停买水产品让日企心态崩了男子穿印有“日本投降”的T恤，被路人喷是极端民族主义，有些人是跪太久，站不起来了吧！
1689169755# #游客爬华山不慎踩空跌落女子骑单车下坡速度太快，失控撞进绿化带里
1701331178# #
1701965069# #邓紫棋演唱会穿婚纱邓紫棋每次唱句号都会感慨！
1703940898# #不好意思，等不及了，我先跨年了！
1697682859# #外媒称以色列军队已准备好进入加沙巴勒斯坦🆚以色列实力对比！
1686998844# #看丫丫吃饭被香迷糊了肉肉不去夜场上班可惜了，这律动感很强！
1692931032# #日本核污染水排海民众忍无可忍出手吧，前辈！
1699367467# #东北大学生正式确诊为华妃所以，全国都在瞒着广东，自己悄悄入冬失是吧！doge
1687101671# #厦大新闻学教授谈张雪峰言论新闻从业者，打工人声援李雪峰思考。cr：主持人闰刚
1690863956# #北京2人在抢险救灾中因公殉职这下的是雨吗？这是想要人命吧！北京强降雨14名失联人员确认安全
1691650926# #结婚16年3个女儿都非亲生不要因为一个烂橘子，固化了你的爱情！能看懂的，都是有故事的！
1689498169# #熊：听说你是万兽之王啊！。老虎：叫我小咪就好了！
1701958696# #一天一个苹果兽医远离我给二舅我来一口！
1700667025# #孩子看一次可以管一个月大孝子允悲允悲允悲
1703813035# #削皮草莓这辈子都不敢吃草莓了🍓
1689487105# #猜不到的结尾，不知道还以为si了，没想到，起床气还挺大允悲
1695460991# #19岁女子被骗缅甸获救时遍体鳞伤每天业绩不达标，挨一顿电棍！
1688434742# #大熊猫萌兰今天是我生日，给大家表演一个熊猫上树哇
1696564102# #日本本州东南海域发生5.9级地震来吧，你们懂的！
1699837609# #李佳琦双十一收入超250亿李佳琦确实有狂的实力，没办法，品牌方很多都需要他的流量！
1700918492# #网友提问，路上接到了一位临产孕妇，然后还在车上生了，也不知道吉不吉利疑问
1699368033# #拉斯维加斯花23亿美元巨资打造的地标建筑物，变身巨型emjio表情！哇哇哇
1688434921# #花花生日两个小可爱，生日快乐🎂
1692150114# #缅甸失联20岁男生已找到父亲发声与缅北诈骗蛇头的对话！
1699924834# #亨利集团直接抄底各大诈骗窝点，路易，亨利…
1695047546# #这是夫妻同心，其利断金吗？昆凌，周饼轮！周杰伦
1700528083# #国宝吃苹果一口下去懵了整活还得看国宝，屋漏偏逢连夜雨，看我舞技行不行！
1695299703# #结过婚后真的再没羡慕过婚礼上的新娘本来可以娶公主的，你非要娶个郡主doge
1690373974# #TFBOYS中国第一批autotune玩家giao哥评价TFBOYS演唱会门票100万一张，“人傻钱多的，才回去买！doge
1697558582# #被狗咬伤女童尚未脱离危险古人诚不欺我，狗仗人势，说得一点也没错！
1696919514# #狗子每次去厕所前都会通知全家战况非常激烈，看完笑死！
1687148579# #狗狗被陌生男子下药后拼命爬回家动物也是有感情的，只不过它不会说话而已！
1700378620# #wbg对战t1如果WBG夺冠，评论区，一人一头猪！
1689342943# #大爷真的是倚老卖老，你想跟白衣大妈坐，直接说话了，干嘛动手推人思考
1704033380# #这才是新年的意义这个小区，还是有点实力的！
1702429727# #国家公祭日原谅是上帝的事，我不信上帝！全军复诵：勿忘国耻！
1692710039# #林心如说七夕感觉在过鬼节大意了，钱我领了，心意你收回去吧允悲
1695228291# #iPhone15拍人更好看林俊杰提前激活了，要不要赔钱啊doge
1690647933# #福州筷子豪情又顶住了这不比抓罗非鱼，捡海鲜抓龙虾强笑cry
1692944245# #严禁采买日本水产品网络销售来自日本这10个地区的食品化妆品最好别买，最好日本的产品，都不买！
1692803019# #七夕晚上翻了二十多个垃圾桶我就翻了一个，直接给我干出了中国黄金色
1702629065# #倪萍曾在东方甄选直播间批评孙东旭别太离谱了，董宇辉出来单干，还不能用自己名字，因为被注册成商标了666666666
1701684287# #恶搞玩梗我觉得，按照王心凌的性格，应该不会破防！并不简单
1700892735# #压垮男方的不止彩礼还有房贷和车贷doge
1701666185# #徐峰立因侵权张艺兴被强执3.8万我就搞不懂了，这个时代，为什么对努力的人，偏见那么大疑问
1694844932# #女子高铁座位被占换回后遭3人殴打火车上一位老人用热水泡挂面，女子提醒，泡不熟的，老人回答“我知道泡不熟，但我一天没吃饭了”！泪
1686925515# #冲进球场男子被行拘他这是在忏悔吗？不，他是在后悔没有拉伸，多跑一会！
1701417144# #韩国申博失败自己不行，就怪路不平！doge
1688402193# #蔡徐坤委托律所将提起刑事自诉好家伙，蔡徐坤塌房，别人脱粉，他涨粉50万doge
1700641214# #余华人和人交往尽量少说话余华这小老头，这么乐观的人，是怎么写出《活着》的并不简单
1691422324# #新疆商户凌晨4点赶制2100份馕驰援涞水在自然灾难面前，管你劳斯莱斯还是迈巴赫，有钱都不好使允悲
1689074917# #网友排名的2023男顶流排行榜：双顶流，肖战、罗云熙思考
1699427926# #唐三葬唐三葬去蹦迪，那叫一个欢！
1695095151# #Lisa舞蹈视频MONEY播放量突破9亿擦不擦边先不说，反正我爱看！
1699954299# #缅甸电诈家族遭打击后大批交人缅北四大家族之一白家，大婚日告诫女婿，不能绑架sha人！doge
1704041366# #甘肃白银4.9级地震害～～～
1689517093# #这样的事情，每天都在深圳上演，楼下吃宵夜太吵了，大爷一桶水就泼了下去！深圳
1702733948# #董宇辉谈薪资董宇辉去年爆火的时候，就有人开年薪2亿挖他，他没有走，如果他真的很在乎薪资，早就走了，直播时也曾多次说过，新东方已经给得很多了，够他花的了，而且，他也曾说过，要好好直播，然后把之前在新东方一起工作的小伙伴，都接回来，足以看出，董宇辉是个重情重义的人，并非见利忘义！
1691751193# #当你散步忘带小狗出门修勾，惹不起，溜了，溜了！
1689091946# #宝格丽道歉别弄成专供中国大陆骂得好，只发微博，ig推特都没法！
1699857779# #电诈头目明学昌家族工地发现两具尸体明星给缅北诈骗四大家族生日庆生，这是被骗了吗？
1702121383# #赵丽颖女二不是章子怡、雷佳音、杨幂、李现吗？哪来的赵丽颖疑问
1697504650# #加沙现有供应只能维持24个小时仇恨从现在开始！
1690290573# #齐齐哈尔遇难女孩母亲街头痛哭7月23日下午4时许，黑龙江省齐齐哈尔市龙沙区第34中学体育馆楼顶发生坍塌。截至24日中午十二点，15名被困者被全部找到，其中11人死亡，4人受伤，目前，家属情绪“稳定”齐齐哈尔三十四中账号换为黑白头像
1699694093# #angelababy这次真的祭了吧？推广都被下架了疑问
1700815818# #车辆不能从烈士遗骸上方驶过致敬先烈，铭记历史，远征军，没有棺木，阵亡了，就用汽油桶，能和战士埋一起，就算回家了泪泪泪
1686899389# #交警买网红青蛙小青蛙不让付钱十八般武艺的蛙蛙🐸！
1691249168# #舒兰失联副市长上一线指挥防汛是工作常态中国人民是打不垮的！
1696942282# #中国公民自愿离开巴以外交部将全力协助一图看懂巴以为什么打仗！
1691684591# #热烈跳得很好，下次别跳了笑cry
1692975347# #核污水排海后日本人在海里游泳《美国，遗传学博士》这是花700亿日元，公关的其中一个吗？
1702692480# #罗永浩爆料有人出5亿违约金挖董宇辉网友说，三个亿，2亿是年薪+股权+对赌协议！
1701961168# #世界上没有人是准备好的问题在于，这些草台班子可能别的不行，稳住自己的地位很有一套，普通人很难晋升！
1687610242# #哥哥在道歉和哄人中选择了做法当代年轻人，心灵则成！
1701090693# #何猷君最强大脑变最强恋爱脑最强大脑都抵不过恋爱脑允悲说得就是何猷君吧
1703949037# #下雪场尴尬真的要被笑疯了，张万森下雪了允悲一闪一闪亮星星
1696945966# #晚上十一点之前尽量入睡知道为什么要早点睡觉吗？因为熬夜对手机不好允悲
1687773413# #狗仔将曝蔡徐坤另一位秘密情人不简单啊！蔡徐坤演唱会这个粉丝一点都不激动非常淡定，但是不敢看脸，就是感觉动作什么的很奇怪思考
1690601753# #台风一路北上10余省份将有暴雨这难道就是传说中的战斗鸡笑cry
1688097575# #狗仔下周一还要爆料蔡徐坤内娱我就服蔡徐坤，虽然狗仔放了不少的料，蔡徐坤的粉丝，竟然一个也没跑，还反增30万，内娱估计仅此一家吧思考粉丝曝蔡徐坤已回国
1690612885# #台风杜苏芮北上各位早上好啊！
1697590844# #加沙地带一医院遭袭数百人死亡巴勒斯坦民众：告诉敌人，你们可以夺走我的生命，但无法夺走我的自由！
1690560931# #福州暴雨在下，水就要淹进家里了，至少水位有1米高了！
1703771708# #南方小土豆遇到东北大盘菜哈尔滨为了南方小土豆，冻梨都有摆盘的了笑cry
1690609752# #台风最凶猛的暴雨倒在了福建莆田台风过后，开始内涝！
1701183646# #何猷君的数学能力何猷君和王思聪，同为顶级富二代，谁更成功？
1690699166# #大脑自动锁定目标！运动
1690188942# #400万人的抢票第一次参加李飞和黄牛，都赚飞了，前排最高一张200万傻眼谁买了！
1701921752# #父亲骨灰被弄丢殡仪馆说给盒新的网友对他儿子说，死后不要买墓地，给它买车位，埋地下，还能帮你看车！
1702703445# #俞敏洪兼任东方甄选CEO东方甄选可以没有董宇辉吗？有多少人是通过董宇辉，才关注东方甄选的，又有多少人，是只认准东方甄选，不认准主播的呢？
1692634358# #你落水的方式，有点特别，我是万万没想到允悲快乐向前冲
1687573342# #能不能不要乱扔他，能不能有最起码的尊重！朱一龙
1695132270# #31岁博士生宿舍楼坠楼身亡老实人就活该被欺负吗？女子母亲是干运输的，卖家与买家没有协商好运费问题，就打了司机，甚至还教唆孕妇，殴打！
1698816850# #这英被父母扫兴了20年这英安保都安排上了，保安还一直说，我不是“靠斯普类的”，我真是保安！
1690300491# #罗刹海市那英开始怀疑人生了，怎么才能屏蔽他们？刀郎新歌《罗刹海市》横空出世，那英评论区爆了，突破80万评论！
1698996410# #和叶顺嘴抢竹子给花花留3片叶子和叶：我就喜欢坐花花身上笑cry
1698054453# #这是我目前见过最大的蟒蛇！
1689092009# #集美们，该醒醒了，这个视频一定要发给你的家人，不要让他们被假燕窝伤害，孕妇吃了，直接干流产了！
1692634172# #七夕文案七夕你们准备好了吗？垃圾桶捡花，网友竟然捡到了金手镯和iPhone！七夕
1692885768# #日本核污染水排海会影响哪里或许以后，再也见不到，这么健康可爱的你们了泪历史会记住日本政府这一笔
1692183483# #疑被贩卖缅北女大学生发声缅北金牌扶手女，简直生不如死傻眼
1701695100# #父亲看望产后的女儿瞬间被一把抱住罕见，这是小手腕上长了个心脏？
1689340611# #当我带着两个西瓜过安检我是真的服了，买了半个西瓜的果切最中间那一块少了我还和老板聊得挺开心
1689603115# #湛江台风这下的是雨吗？这是在倒水好吧傻眼
1702797470# #董宇辉与东方甄选分手只是时间问题冯唐的点拨，樊登的教导，倪萍的偏爱，易中天的提醒，罗永浩的维护，回看董宇辉来时的路，一切都有序可循！
1695716641# #性教育专家谈大同校园性欺凌事件孩子遇到校园霸凌怎么办？专家建议，直接拨打110！
1702135606# #南京大屠杀又添新证据怎敢忘，怎能忘！
1702721558# #主播天权希望网友别攻击孩子天权吐槽小孙，对他极度不满，这次直播间直接开大，把事情闹大，然后小孙被罢免！这算得上以身入局了！
1698046882# #邯郸这事是真的吗？堪比唐山打人事件啊邯郸
1699924530# #缅北四大家族有钱能使鬼推磨，明星都给诈骗家族人员庆生允悲难道他们也被诈骗了吗？
1687785102# #C女士与蔡徐坤方签谅解书蔡徐坤塌房，只有小黑子在维护，真的是患难见真情！
1703821881# #深圳地铁五号线送黄金，谁能告诉我，这是真的吗泪
1696491581# #日本海啸在线助力，早日唤醒！
1702904461# #董宇辉回归谁看了都羡慕的数据，380万人同时在线看666
1697696681# #刑法专家谈狗咬女童事件称不应搞株连对于咬伤女童众筹200万，万元5小时就给完成了，然而评论区的网友，却都表示，不应该捐款一分钱疑问
1703825601# #外地的朋友，宁陵现在可不是你想来就能来的，各个路口不是交警就是武警！
1690382534# #家养宠物猫跑丢后的下场之一你们有没有听说过一个猫手在上原则思考
1699277788# #警方回应医院与中介合伙贩卖出生证听听揭秘者怎么说，希望能有更多的证据，抓住这一群恶魔！
1690203046# #大学生回老家唯一的作用惨了，睡过头了，这情况，看来得离家出走了！
1697366707# #以色列地面部队局部袭击加沙哈马斯滑翔伞突袭！
1700793569# #这张图，白鹿竟然被秒成了路人允悲
1690262705# #吴亦凡案二审择期宣判整活还得看网友，吴亦凡都美竹事件，被网友写成了小说笑cry搞得我挺想看的！吴亦凡不服一审提起上诉
1703089521# #搜救犬腿受伤血流不止仍坚持搜救争分夺秒，消防员三口干完一碗牛肉面！
1691200955# #TFBOYS粉丝已在体育场外守候TFBOYS的粉丝，真的是藏灯牌的神，鞋底都能放允悲
1691919935# #王一博也救不了中国体育电影吗哦，难道《八角笼》就不是体育电影了吗？不行就是不行，还扯什么王一博也救不了思考
1703754099# #小狗发自拍了像这样的小狗，可以把我迷成智障舔屏
1687933780# #蔡徐坤大粉的态度还是那句话：不在巅峰时慕名而来，不在低谷时离你而去！
1695610426# #为什么农村大席很少拉肚子他宁愿饿这一时，也不想饿一辈子！
1692028604# #卫星地图看缅甸KK园区想去缅甸发财，半路逃跑，被抓，卸了一条胳膊！
1697772676# #小狗不觉得自己是在流浪看到一只帮老奶奶拉货的萨摩耶哇
1702895434# #盘点董宇辉新东方之路董宇辉受的委屈，他的朋友七七在直播间，给大家说到自己都流泪了！
1697896970# #辽宁通报保安校内勒死流浪狗这世界破破烂烂，小狗缝缝补补！
1690205566# #小伙被缅北放回后与妈妈抱头痛哭偷渡去缅甸，被蛇头卖了，逃跑还被打，少只胳膊少只腿，很正常！
1702792679# #广东也加入下雪群聊了广东人今天早上出门的状态，就差把牙颤抖🥶碎了！
1692344375# #过几天能去垃圾桶里捡花了在垃圾桶里捡了一晚的话允悲
1702113210# #王心凌因为谁坐在了韩红身边来自王心凌的来是come去是go，毫无违和感笑cry
1695527167# #南方真的是这样吃月饼的吗我的月饼，我的中秋月饼啊！泪泪泪
1695270740# #换回国货后发现工资够用了这些国货，记得码起来！
1700013771# #花花呼呼大睡弟弟疯狂营业和叶也喜欢粘着花花，动不动就找花花耍！
1687614319# #花花被说没脖子的反应爱死这三角饭团了哇
1687772444# #狗仔将曝蔡徐坤另一位秘密情人prada你这个品牌还怪好的勒吃瓜
1702548277# #董宇辉若提前离职期权将归零来自网友的年度精选：俞敏洪成就了新东方，董宇辉成就了东方甄选，孙东旭成就了高途佳品允悲
1690454039# #TFBOYS三人三地突然很期待TFBOYS十周年演唱会了，因为，他们要夹着音，唱以前的歌笑cry
1703817431# #南方小土豆想吃麻辣烫司机动用人脉打听东北真的快把南方小土豆给宠坏了笑cry
1690470716# #论防盗意识，还是得看大学生，画个圈圈，法力无边！笑cry笑cry
1701070312# #小狗真开心我要被爱了恶龙咆哮，怎么狗里狗气的笑cry
1698239336# #加沙已有近8000名儿童死伤以色列外交部在联合国拿出了一块砖，说这是哈马斯的恐怖袭击，所以他们不得不反击666666666
1701664057# #国内足金首饰金价达到625元一克630一克，真的赚麻了！
1687065404# #父亲节祝福在我身边，一直都有一位超级英雄，他就是我的父亲！祝天下所有的父亲，节日快乐！父亲节
1692030973# #🐶：我知道你很急，但是你先别急！
1703753918# #烟花爆竹黄安把除夕不放假，春节不给放炮的专家狠狠骂了，听完是真的爽，希望多一点这样的专家！
1695364545# #苹果称iPhone15Pro变色可恢复谁捡了我的iPhone15proMax钛金属黑色，马上给我还回来泪
1699353349# #地瓜拿铁6200的咖啡来不来！
1698159982# #网络打赏见多了，线下打赏，还是第一次见！笑cry
1695122114# #央广网评预制菜进校园瑞幸你是真的敢啊！
1692698279# #七夕丑花束真的很多尊嘟假嘟哇
1698056132# #100只大闸蟹做成的百蟹瀑布还挺乖，知道自己腥，给自己安排了姜片！
1702387422# #小杨哥直播间薛之谦最后的和声，麻了！
1688901259# #郑州狗主悬赏1000万人民币寻狗喜欢撸猫的狗，你见过吗
1701702404# #医院暗号在医院，你叫护士，可能没什么人理会你，但如果你叫南丁格尔，连隔壁的护士，都会过来看你！
1700404193# #捡了一只混15种基因的小狗直接香迷糊了允悲cpu干废了！
1699612418# #国色芳华网友说，李现接《国色芳华》想靠杨紫回血是不可能的，不大崩就不错了！对此，你们怎么看疑问
1699871391# #双十一全网消费11386亿元扣扣搜搜的我，一分没花，打败全国99%的人笑cry
1694876981# #才知道蜜雪冰城曾经是个餐馆小雪也上鸿星尔克的秀场了，所有的国货，都上了，鸿星尔克这是格局，直接拉满赞
1690700107# #虽然我感觉她的穿搭很潮，但是他还是比不过我！
1691483771# #张艺兴说孤注一掷很有意义《孤注一掷》看一半，被通知未授权，不能看！。我去看防诈骗电影，反被诈骗允悲
1692753509# #孤注一掷票房破30亿这是和蜡笔小新梦幻联动了吧，他们甚至连衣服都一模一样哇
1697601415# #79RRO9
1687340563# #猫咪被救下主人却说不要了生命好顽强，不慎掉入沥青的猫，经过3小时的营救，重获新生！
1700887639# #爱奇艺尖叫之夜为谁尖叫白鹿C位？！
1688957408# #干了3年宠物护理后一只头部被打到血肉模糊的流浪狗，在好心人的救助下，重获新生！泪
1700362749# #萌兰打哈欠一张嘴血脉觉醒萌兰一改往日低迷，小样，看哥迷死你们笑cry
1689950452# #男子被骗缅北回国后狂扇耳光偷渡去缅甸挣钱，钱没挣到，命差点丢了！
1692675183# #七夕快乐。低情商：没有一个人和我过七夕！。高情商：爱自己才是终身浪漫的开始！
1687340225# #丫丫我怀疑肉肉去过夜场，这么会扭笑cry
1704024518# #烟花跨年看打铁花，一年有钱花！
1688971638# #大熊猫捡到游客的伞还给撑开了雅一：什么，你们竟然给我吃苦瓜傻眼
1703169843# #周杰伦新歌上线说了十几年的江郎才尽了，专辑一出，瞬间卖爆doge
1692435882# #解救被困缅甸的中科院博士坐地铁遇到的，这是在顶风作案啊，看来电影《孤注一掷》还是没有宣传到位！
1687501312# #龙舟漂移有多酷炫今年最骚的锣手出现了，他来自桂林笑cry笑cry笑cry
1698761872# #向佐我把假向太抓来直播间啦就连卖货，都模仿到了精髓允悲
1688995377# #鹿晗也快35了吧，还不转型吗傻眼
1690207882# #在李宁的面前，喊安踏NB，李宁做错了什么傻眼
1695049013# #相亲相爱一家人，新娘在干嘛，把我整懵了，看了20遍！傻眼
1698677262# #万圣节徐冬冬cos终于来了给上海一个万圣节，就能收到全明星的律师函，一个比一个会整活！
1700870118# #啥意思？王俊凯脱单了疑问
1703772439# #小米汽车价格雷军：小米汽车不可能9.9万的，同等配置的汽车都要40万以上，这么说，这车得30万左右并不简单
1695803900# #华为上架1999元手机壳真没必要，要是我买了，肯定裸机！
1692609472# #当你养了只粘人的狗子狗子：暑假作业，还是布置得太少了！
1687855463# #沈腾马丽版偷偷笑不死沈腾版多巴胺换装，马丽看完笑疯笑cry
1690505752# #杜苏芮路径这是雨吗？这是想要我命吧！厦门暴雨似飞瀑倾泄而下晋江台风杜苏芮强得离谱路径妖得要命
1700376310# #春晚有没有大学生通道整活还得看大学生笑cry笑cry笑cry
1700371498# #没有边界感的小狗修勾：这火根本灭不了！
1687944761# #蔡徐坤巡演将如期举行服了蔡徐坤了，即使塌房了，粉丝不减反增了18万，粉头没有任何一个跑路脱粉，品牌代言，目前没有一个终止合作思考
1700840604# #哪个正经小猫这样坐不要同情任何一只被拴起来的猫允悲
1696492976# #这到底是阿萨姆还是史莱姆！
1703518446# #迪丽热巴没有在模仿古力娜扎吗？
1703772612# #小猫偷了一窝鸡仔，母鸡公鸡前来讨崽笑cry笑cry笑cry
1702387578# #泼水张星特当事人提问箱私生饭为什么可以这么狂疑问
1702049020# #女子实名举报武汉大学教授嫖娼赌博收回扣如果属实，建议没收全部财产，毙了！
1695529815# #亚运开幕式国风美学拉满没想到，没想到，数字火炬手，现场也是能看到的，科技也太强大了哇
1695048093# #唯一一个需要向全网请假的个体户———粥饼轮！周杰伦笑cry笑cry笑cry
1695035914# #苹果辫子客服系美国一名女员工2023，苹果送的晚清辫子！CTMD！
1697984214# #巴以冲突超5800人死亡以色列代表展示巴勒斯坦恐怖袭击的武器，他怎么能够这么敷衍doge
1692079764# #孤注一掷代码都是真的缅北逃跑失败，差点被卸了一条胳膊！
1700917324# #何冲评全红婵粉丝斥裁判压分全红婵听到粉丝大喊，自己都吓到了！
1695628412# #华为发布会专家抨击华为，不应该研制芯片，这样会被世界孤立傻眼
1697807620# #妇联回应揭阳27岁已婚女子跳楼身亡这………
1690707005# #杜苏芮台风过后的内涝，才是严重的问题！
1699267551# #泉州小区发生爆燃致1死3伤惨目忍睹！
1697036700# #五月天广州演唱会领导问我为什么周三请假，我说我接待一下台湾来的五个亲戚笑cry
1692373795# #中国好声音赞助商遭网友喊话中国好声音的赞助商，看着还挺多的思考
1687093426# #小狗真的生气了我怀疑我的朋友家里养了一只货拉拉，天天出门回来，拉一堆东西来！
1687339971# #白敬亭和父母都追过赘婿网友是懂形容的笑cry
1687920675# #消失的她李木子视角。山盟：带你一起去爬山！。海誓：带你一起看海底星空！
1691200305# #狗狗抓住树枝求生被救援人员发现强者从不抱怨环境，二师兄，逆流而上！
1689070145# #宝格丽官网疑将台湾列为国家宝格丽的代言人有：舒淇、刘亦菲、刘雯、杨洋、吴磊、佟丽娅、范丞丞、文琪、赵露思！。怎么，你们是一点动静都没吗思考宝格丽盘点宝格丽国内版图
1692262546# #狗狗的情绪也太稳定了吧修勾：给孩子布置多一点的暑假作业吧！
1700809180# #咪咪咕噜这让我想起几年前的蓝黑白金裙子事件，所以，你们看到的是蓝黑还是白金？
1692932752# #韩媒称日本核污水排海犯下历史罪行我在广东为海洋生物发声！
1701743932# #大熊猫一声声夸赞中笑得合不拢嘴软萌软萌的小熊猫，竟然也会殴打孔雀允悲
1688899149# #私搭浮桥案审判长被曝顶替他人上大学私搭浮桥“满门判刑”。违法便民桥被拆穿了，合法便民桥怎不建呢？
1692866528# #盐没必要吧，朴朴的允悲断货了
1688000519# #看完消失的她女孩一定要牢记。山盟：带你一起去爬山！。海誓：带你一起看海底星空！。人民网评倪妮消失的她角色
1699871271# #1020事件抓到就该就地枪毙，千刀万剐，都不过分！
1695702471# #休8天上7天你怎么看国庆放假前后表情变化允悲
1700708916# #何猷君奚梦瑶第一次见家长何猷君因为奚梦瑶而吃醋，造谣情敌55岁！笑cry笑cry笑cry
1690477082# #厦门发布台风红色预警看来这一次，囤货囤对了！
1697636075# #中国支持高质量共建一带一路八项行动一带一路，高峰论坛空前盛况，赖岳谦：只有中国做得到，美国也做不到！
1699628672# #山东下雪凛冬已至，北境永不遗忘！
1698593568# #万圣节cos李佳琦谁敢艾特关晓彤允悲你叉叉！
1701851728# #五月天争议比较大的几个视频这嘴都翘上天了，然后，唱得还跟CD一样允悲
1699263776# #上海5元一根的辣条上海是不是有自己的货币啊，一杯咖啡6200，比金子还要金贵啊！
1692697851# #张艺兴孤注一掷29亿海报他们甚至连衣服都一模一样允悲
1702540960# #俞敏洪面临CEO董宇辉二选一虽然文案很重要，但董宇辉的形象，早已深入人心，而且，当初东方甄选能出圈，也是凭借董宇辉的出口成章，营造的学识渊博的人物形象，后来东方甄选大火，董宇辉业务更加繁忙，相对来说，有些事情，他确实应该放弃一些，交由团队人打理，这就好比，上市公司每年CEO的一些演讲
1699367796# #张艺兴演唱会真羡慕，瑶一瑶能跟张艺兴一起哇
1688135369# #第一次嗑内娱cp你们两不结婚，真的很难收场哇哇哇
1701046771# #羽绒服涨价把市场让给了军大衣不是羽绒服买不起，只是军大衣更有性价比！
1698817906# #中国海警依法管控日非法进我钓鱼岛领海船只张雪峰这波格局，直接打开了！中国最大的岛屿是哪里，日本666666666
1698119519# #这就是街舞6今年的街6，依然还是令人很期待！黄渤、丁程鑫、韩庚、吴建豪、朴宰范！你们最期待谁呢？
1690198526# #记者卧底救了6个被骗缅甸人员缅甸今日两大家族为了抢几名高级的猪仔两帮人街上火拼，这个故事告诉我们一个啥道理？
1693108299# #核辐射检测仪卖爆了从抢盐到现在抢核辐射检测仪，说明了我国仍是电信诈骗肥沃的地方允悲
1702901988# #杨幂是真的长红啊
1699785907# #受伤小狗获好心人送医取名立冬唯一一个把我看哭的视频，他们在爱心接力，救活了难产的小狗泪
1702736857# #俞敏洪称孙东旭还在现在的团队直接开除是不可能的，董宇辉和小孙还在一起工作，那会显得很尴尬的，就如网友说的，董宇辉进退两难，而俞敏洪，要稳的不是董宇辉，其实是想稳住背后的股东，资本，以及购买东方甄选的粉丝们，至于董宇辉，后期可能会被慢慢淡化，毕竟，一个人的力量，能够影响整个公司的
