1700519487# #开了三年还无法收本，那一定会倒闭！
1698616373# #何雷29日在北京香山论坛期间表示：中国是联合国安理会中唯一没有实现国家完全统一的常任理事国。台湾是中国不容分割的神圣领土的一部分。中国必须统一，也必然统一，这是几千年来"大一统"思想观念的使然。。他说：《孙子兵法》中"五事"排在第一位的是"道","道"讲的是政治，"得道多助，失道寡助"。中国政
1695382737# #中国坚决捍卫国家统一和领土完整，中国将尽最大诚意和尽最大努力争取和平统一前景。赞
1704062101# #毛泽东1958年8月27日在北戴河办公时，找胡乔木和吴冷西谈话，谈到人民日报的宣传时，毛泽东说：人民日报和新华社对国际问题应该有研究，形成一定看法，不要临时抱佛脚，发表感想式的意见。对许多国际问题都要有基本的看法，应该有比较深刻的评论。现在报刊上有些评论是感想式的，搞新闻工作，光务实，
1696327896# #我发表了头条文章:《身残志坚的罗斯福（3：崭露头角）》
1687207371# #中日邦交正常化，抗战历史是必须要面对的。针对战争赔偿问题，总理提出可以不要赔偿，但日方紧接着说，这个问题不用谈了，蒋介石早就说不要了。总理愤怒的说，蒋介石已逃到了台湾，他那时已不能代表全中国，他是慷他人之慨，而我们不要赔偿是从两国人民友好关系出发，不想使日本人民因战争赔偿而受苦。
1694989512# #我发表了头条文章:《助纣为虐的奸佞萧裕》
1697589878# #俄罗斯总统在北京。
1698805452# #在周恩来出生后，因他的叔父周贻淦去世，按照当时传统习惯将他过继给了叔父，由守寡的婶婶陈氏（嗣母）抚养。。周恩来的生母名叫万冬儿，人称万十二姑。周恩来在1946年接受美国记者李勃曼采访时，曾深情地回忆说：“我的母亲长得很漂亮，为人善良，生了三个孩子，我和两个弟弟。现在，一个弟弟已死，一
1694074480# #老骥伏枥，志在千里。烈士暮年，壮心不已，致敬李老赞
1697787047# #1949年，伟人亲自迎接孙夫人北上的珍贵历史影像。
1702549976# #我发表了头条文章:《古代诗文赏析：.国语《邵公谏厉王弭谤》》
1695167296# #我发表了头条文章:《希拉里回忆录“历史的亲历者”（8、结识克林顿）》
1700517381# #1997年2月19日，邓公去世。按照其生前所说。死后不开遗体告别仪式，不设灵堂，解剖遗体，捐献眼角膜，不保留骨灰，撒向大海，追悼会在遗体火化后举行。
1693378648# #这是2019年的一段真实影像。海贤法师封缸六年后被开缸…。
1689381097# #1947年的5月，张灵甫丧命孟良崮的消息如平地一声惊雷。。对国民党来说，孟良崮战役损失惨重，对共产党来说，这一战的胜利极大地鼓舞了将士们的士气，是众志成城的胜利果实！。但关于张灵甫是怎么死的，却有着截然不同的版本，如今，历史的真相已无从得知，但陈毅将军实事求是的精神却非常值得后人学习。
1691233675# #坚韧不拔的戴高乐（39）。。盟军进攻区第八十四军军长马尔克斯将军在公路上被轰炸机炸死，第七军军长多尔曼也在圣洛的互助银行死去﹣传言是自杀。在盟军进攻的头几个阶段里，隆美尔的6名师级指挥官和20名其他高级军官，不是被击毙，就是身负重伤。损失这样惨重，希特勒又拒绝派兵增援，隆美尔陷入极为困
1703557160# #我发表了头条文章:《现代小说名篇欣赏：王蒙的《春之声》》
1693726376# #绝食？尹锡悦能管你死活吗？
1693286916# #尹锡悦作秀吃海鲜打一古代兵器。
1693288788# #说话底气明显不足！哈哈哈哈哈哈
1698457964# #总理生前外出考察、调研之二。
1702097096# #1951年，在全国政协一届三次会议上，毛泽东与雷洁琼亲切交谈。。雷洁琼是民进创始人之一，曾任三届民进中央主席和两届名誉主席。在雷洁琼走过的长达一个多世纪的岁月中，她选择了同中国共产党风雨同舟、荣辱与共，其间也留下了很多难忘的故事。
1693357777# #我发表了头条文章:《“一半是狮子，一半是狐狸”的大独裁者苏拉（1）》
1696844400# #以前都认为，退休了，就算是平稳着陆了，但现在不然了，倒查三十年！
1694128294# #韩复渠效仿古人使羊当炮灰。。战国后期，齐国良将田单用“火牛阵”大破燕军，一举收复了七十余城，是历史上以少胜多的著名战例。谁知时隔两千余年，有位叫韩复榘的军阀，套用田单的妙计搞了个“火羊阵”，至今成为人们的笑柄。。1925年10月，韩复榘带兵攻打天津的奉系军阀，但由于奉军的火力过猛，不宜强
1698839285# #我发表了头条文章:《现代诗歌名篇之五：朱自清的《光明》》
1703443120# #参观长春电影制片厂（3）
1694736460# #五十年代毛主席与贺老总边走边交谈。
1691579148# #中国的这种医疗腐败国外有吗？
1695883767# #捧脸礼，原来是中叙通用，并非不礼貌哈哈赞赞赞
1701866219# #做发言人要注意什么？很简单，九个字告诉你。
1704103880# #我发表了头条文章:《毛主席点评二十四史（6）》
1701126394# #把这公式运用好，你也能成为老胡哈哈
1701465963# #这张照片是伟人工作时，小女儿李讷打扰了爸爸的工作，母亲责罚了她，她委屈的哭了。父亲见状，放下手头的工作，给了李讷一个梨，哄她出来玩。父女俩身后的女人背影，就是李讷的母亲。有时候，其实父亲比母亲更爱孩子，领袖也是这样。李讷就是一个有着严母慈父的孩子。李讷曾在一次接受采访时说：“
1703445478# #参观长春电影制片厂（6）
1703848732# #毛主席说，若不严惩贪官，老百姓一定要当李自成！。毛主席曾特别用心地研究了中国历史上的农民革命，他认为，李自成是一个中国农民中产生的英雄，并且把李自成与中国历史上的英雄陈胜、吴广、黄巢并列。他在讲课时强调的是，李自成能够发动起广泛的农民起义，推翻大明王朝，是因为他能够代表农民利益。
1697438510# #哈马斯武装人员冲出地道，与以军激战！民族独立与解放的路是漫长的，只要心中有信念，就总有胜利的那一天！
1698555725# #这个在居民社区内建设的球场，落成4年了无人问津，终年荒置着。现在好了，不让补课了，孩子们都从补课机构回到了运动场，用运动打发周六周日赞赞赞
1687141369# #1.7万国军血战11万日军的衡阳保卫战。
1699134664# #金鸡奖需要梁朝伟。
1698644343# #政府的会议不白开，点赞赞，希望今年是个暖冬。
1703548719# #毛泽东在1943年写的《关于方法的若干问题》一文中，曾明确提出了"从群众中来，到群众中去"的工作方法。他于1957年7月在上海干部会议上又说，群众是孔明，领导者就是刘备。智慧都是从群众那里来的。。毛泽东一生倡导从群众中来，到群众中去。他渴望联系群众，密切接触群众，但由于保卫方面的考虑，有时他
1699016022# #拜登夸智利总统太年轻了。
1702608977# #毛主席延安时期的珍贵影像。估计斯诺给他拍的那个著名的八角帽照片就是这个时候拍的吧？
1692606516# #微博vlog大赛+寻找闪光的你夜游兴城古城
1691483208# #谢园模仿市领导讲话，真是活宝一个，可惜英年早逝。
1689855765# #毛主席的步伐，有人说这是龙行虎步，可毛自己却说：在我身上有些虎气，且为主，但也有些猴气，且为次。
1690520493# #杨坤回应对刀郎新歌《罗刹海市》的争论。
1701425704# #2022年投资课外培训班的允悲
1692960038# #日本这个国家要完蛋了！
1699099274# #始终不明白，辽宁沈抚示范区到底是怎样一个单位？目前为止进去几个了？。
1703549348# #图一兄弟俩的这张照片是苏联国际儿童院给拍摄的，目的是为了让孩子们与父母家人“见面”的。。这张照片辗转送到了延安，到了主席手里，看着照片上两个壮实的小伙子，主席高兴的不得了，他看了整整一夜，泪水在枕头上湿了一大片。第二天，主席立即提笔给儿子写了回信，这封信的原件目前在中央档案馆收藏
1702097156# #1958年6月30日，毛泽东接见胡达法师率领的柬埔寨佛教代表团，赵朴初参加会见。。民进中央原名誉主席赵朴初是民进创始人之一，曾任中国佛教协会会长。1936年后参加抗日救亡活动，曾任上海慈善团体联合救灾会救济战区难民委员会常委，负责收容工作，动员、组织青壮年参加新四军。。1953年中国佛教协会成立
1701040843# #其实中国人就是泰国的财神爷！我在2019年去一次泰国旅游，落地签处99.87%是中国游客，各种店内消费的99.87%是中国人，然而泰国人就是这样对待爷的！中国人给自己长点脸、长点志气不行吗？不去泰国旅游、不去泰国消费能死？
1695505429# #叙利亚官方发布的照片。
1692788352# #这视频震撼不？视频大致情况是这样的：吉林长春，母亲生病打点滴，女儿在床旁陪护，母亲抬了一下脚剐蹭到了女儿脸上，于是，母女发生了口角，母亲让女儿滚，意思是不用女儿照顾了，女儿大怒，怒扇母亲耳光。。女儿的教育，母亲是第一责任人，这事儿大家怎么看？
1690113954# #日本国歌背后的野心。。。日本国歌《君之代》，虽然歌词简短，只有二十八个字，但却蕴含着日本人对于未来的野心：。"我皇御统传千代，一直传到八千代；。直到小石变巨岩，直到巨岩长青苔。"。这些字眼看似普通，然而深藏其中的含义却让人不寒而栗。歌颂天皇统治千秋万代，直至永恒，就如同小石变成巨岩一样
1700429443# #在解放战争快要进入尾声的时候，有个叫陈官庄的地方，下起了大雪。对于十几万被围困的饥寒交迫的国民党官兵来说，躲在壕沟里，伸长了耳朵听解放军向他们广播毛泽东的“劝降书”的情景让他们终身难忘。。这是一篇没有任何修饰，谁都一听就明白的白话文：“你们当副总司令的，当兵团司令的，当军长师长团
1702013208# #我发表了头条文章:《现代小说名篇欣赏：方之的《内奸（中）》》
1692923487# #普京首度公开回应坠机事件。
1690714262# #朝鲜祖国解放70年阅兵式上的普通话。
1700651130# #供销社。
1696162726# #病了？买地皮，不盖房，拿钱到处胡闹，不学好，丧良心，能不病吗？
1691466038# #今日立秋，抢秋膘！
1702852283# #小平同志南巡讲话时说：我们有两只手，这是毛主席讲的，两手都要硬，一只手去抓改革开放，另一只手去对付那些坏东西。。今年是南巡讲话31周年。
1693657022# #孙中山先生去世后，曾留下遗愿，让自己躺在水晶棺中供人瞻仰。但后来为什么没有实现？
1696838883# #我发表了头条文章:《曾国藩的故事（18）》
1694207796# #时光荏苒，岁月悠悠。。今天他离开他的人民47年了。。他是中华人民共和国的缔造者、人民军队的缔造者、中共创始人、人民领袖、伟大的无产阶级革命家、战略家、思想家、哲学家、历史学家、社会学家、伟大的浪漫主义与现实主义相结合的诗人。。他少年励志，一生践行为人民服务的宗旨，一生探索社会主义道路
1700816112# #关于人去世的时间:。。“人去世的时间，往往会选择离他最亲最近的人的生日，很近的时间而奔向极乐世界，最近的相差一天，三天五天或十天，但不会超过一个月内，为的是让最近最亲的人永远记住他，所以玄学是哲学，科学。”。我深以为然！
1697615966# #俄罗斯人不吃海鲜，阿富汗人不吃猪肉，印度人不吃牛肉，中国人不吃什么？有一样东西，中国永远也制造不出来…允悲
1699773486# #你说中国不好？你去过吗？
1689714044# #大哥大，流行于九十年代初期，售价10000元左右，月缴费大概在1500元左右（使用频繁的情况下）。
1702180205# #1948年北大教授一家吃午餐的真实历史影像，看看那时的北大教授一家都吃啥。
1695534083# #任正非有7兄妹，他排行老大，气质这东西从小看大赞
1703571716# #为有牺牲多壮志，敢叫日月换新天。用百张照片纪念毛主席诞辰130周年（1）
1693224918# #梅兰芳先生论戏曲工作者服务的对象是谁。
1694692125# #哈哈哈哈哈哈哈哈赞赞赞赞怼的好
1689847695# #2022年，秦刚大使做客美国王牌节目，9分钟被打断23次，看大使如何应对。
1701590212# #这是有人举报，选择默默无闻的又有多少…唉！医学乱像何时止？。
1687089349# #毛主席为何拒绝了日本的赔偿？
1701738331# #《明史》本来是明末宰相朱国桢在退休之后闲来无事的无聊之作。但让谁也没想到的是，到了后期，朱国桢的子孙生活落魄了，于是就靠变卖祖上留下来的一些东西来度日，其中就包括朱国桢闲暇所作的这个《明史》。。朱的子孙把它以一千两白银的价格卖给了一个叫庄廷鑨的人。但幸运地是，这个庄廷鑨在“明史案
1697106624# #1972年被确诊膀胱癌，到1976年逝世，周恩来共做了大小13次手术，遭了很大的罪，以至于他的夫人邓颖超在八十年代曾倡议提出允许安乐死…
1696897086# #革命尚未成功，同志仍需努力！期待祖国完全彻底统一！拳头
1702641111# #我发表了头条文章:《现代诗歌名篇欣赏：严辰的《英雄与孩子》》
1693114836# #不查，看着都像模像样的，一查，全是鬼！
1694263786# #生前辉万里，逝后耀千古。
1692951190# #1972年，北京郊区某中学去附近农村支农劳动，队伍整齐划一，人员精神抖擞。那时虽然穷，但人的精神面貌一点也不穷。
1690754006# #1927年的8月1日，我党打响了武装反抗国民党反动派的第一枪，是我党独立领导武装斗争的开始。。今天，是中国人民解放军建军96周年。。提高警惕，保卫祖国，完成祖国统一大业全靠解放军了！
1699452484# #我发表了头条文章:《现代诗歌名篇之十七：冯至的《我是一条小河》、《一个旧日的梦想》》
1700138071# #我发表了头条文章:《听喻大华讲道光皇帝（12）》
1701737711# #去年的今天，全员核酸谢幕！三年来，真辛苦它了允悲
1703107222# #1955年，中央会议讨论合作化问题，定下了停止发展，全力巩固的方针。5月1日，毛泽东在天安门观礼时对谭震林说：合作化还可以搞快点，农民生产消极，那只是少部分的，前一段我出去，麦子长的半人高，谁说生产消极？农民办合作社的积极性很高，但给合作社说好话的人不多。所谓缺粮大都是虚假的，是地主，
1697227629# #哈马斯攻击以色列是一个明智的选择吗？对此，巴勒斯坦驻华大使做出了回应。
1697715281# #朝鲜为拉夫罗夫举行欢迎文艺演出。
1702114178# #诱拍
1693687404# #谈笑间，樯橹灰飞烟灭。
1690879566# #东京审判现场，中国检查团对峙板垣征四郎，倪徵奧一连盘问反驳了坂垣征四郎整整三天…。
1690803654# #哈哈哈哈，东北孩子说南方话，骗子智商堪忧啊允悲允悲允悲
1693576665# #邓朴方当年的采访视频，谈那个特殊年代的经历…
1691459845# #坚韧不拔的戴高乐（44）。。戴高乐对罗斯福说，"如果它复兴起来，世界上其他各国都宁愿以它为榜祥。如果它前弱下去，蛮横的暴力就要席卷一切。虽然西欧存在着一些分歧，但是西方国家还是一个重要因素。任何东西代替不了古老民族的价值、能力和光辉。的确，首先是法国，它是欧洲的大国。只有法兰西，无论
1693870235# #杨成武，杨得志，我总是傻傻的分不清允悲
1687422729# #普京“收礼”。
1692446237# #进去了也不说真话，还口口声声唱高调，因为说了一辈子假话，改不过来！
1702938987# #1872年到1875年，清政府总计派出四批赴美幼童总计120人，这些出洋的孩子们的年龄平均12岁左右。。100多年前，这批幼童被送到了太平洋彼岸的美国，开始了他们计划长达15年的留学生活。这些孩子成绩优秀且能迅速适应美国的文化，还活跃在各项体育运动的赛场上。。。“此去西洋，深知中国自强之计，舍此
1687141649# #美国人的傲慢好似人类救主，美国人的诚信犹如大海捞针。
1703549216# #这双拖鞋是许光达在陕北缴获的战利品，后来送给了毛主席，毛主席一直穿了二十多年，直到去世。
1694950001# #18天了，危在旦夕！他死了，尹锡悦就完蛋了！
1690804947# #1978年，中国的人均gdp那么少？不会吧？
1690339642# #坚韧不拔的戴高乐（30）。。然而，他们的谈话不得不被翻译打断，这更增加了混乱。罗斯福的基本观点是，他不能承认戴高乐的组织，因为戴高乐"不是选举产生的"。戴高乐回答说，圣女贞德拯救了法兰西，她也不是选出来的。历史上其他例子，戴高乐也讲了许多，但罗斯福只记住了圣女贞德的名字，后来他一再加以
1698471966# #听老人讲东北抗联的艰苦岁月（2）
1692496577# #谄佞奸诈的阴谋家哈麻（3）。。脱脱的诏书传到军中，参议龚伯璘知道事情不妙，劝脱脱说："将在外，君命有所不受。况且丞相出师时，曾受皇帝密旨，一意进讨。我看现在先不要开读诏书，只按皇帝秘旨行事，等攻下高邮以后再开读诏书。"。。此时的脱脱仍然十分忠于皇帝，他说："天子诏我而我不从，是与天子对抗
1688504084# #从这张照片看，如果当年谈成了会怎么样？反正中共方是做好了谈的准备，正反两方面都想到了，主席更是交代完“后事”后，一身轻松，单刀赴会。只可惜，老蒋根本就没往谈的方面去想，也根本没有准备，他的谈判只是一个幌子而已，当然，中共方面也知道他这是幌子。。张少帅在他的“口述历史”中是这样评价
1695361555# #关于钓鱼岛问题，当年日方记者提出了刁钻问题，邓小平智慧回答：搁置争议，向前看，我们这一代人不够智慧，下一代人会想出解决问题的办法。这其实就是尽量争取时间，快速发展，坚信中国会有一天碾压日本！
1697957337# #昨夜的星辰，今天的男人，一个字，帅！
1698762346# #“导弹”、“航天”、“航天员”，这些个名词都出自钱学森。。
1696148243# #中国香港VS中国台北，赛前奏国歌。
1688185594# #毛主席说，要不拘一格，大胆相信青年人的能力。
1703287281# #我发表了头条文章:《现代诗歌名篇欣赏：张志民的《倔老婆子》》
1695600799# #我发表了头条文章:《黄仁宇眼中的中国大历史（2）》
1692275644# #用触目惊心，明火执仗来形容一点都不为过！不反怎么得了？
1689290740# #哈哈哈哈哈哈，也对！
1695529054# #有眼尖的网友发现巴沙尔穿了一双旧皮鞋。。从他的皮鞋可以看出，12年的战乱，任何一个富裕的国家也会被拖垮。好在巴沙尔是一个硬汉，始终不肯屈服于美国。。穷也好，难也罢，挺起脊梁就不怕。加油！
1693483781# #慈禧太后出殡下葬的真实历史影像。
1694818552# #我发表了头条文章:《北宋著名的政治家和文学家范仲淹（2）》
1687399986# #真的没啥用！这都什么年代了？还欣赏这种陋习，中国人为什么就这么想不开？
1691056895# #听长征亲历者讲述红军翻越雪山，感受革命之艰辛、新中国之来之不易。
1694692614# #国家发改委：“争取早日实现两岸民众坐着高铁跨越台湾海峡的梦想”。
1693372589# #达成四项共识，这是美国无可奈何的妥协和中国不计前嫌的让步。
1694207287# #伟人毛泽东的一生。。他，16岁在父亲账本上留一首七绝，悄然走出乡关求学。【孩儿立志出乡关，学不成名誓不还。埋骨何须桑梓地，人生无处不青山。】19岁时写下满分作文《商鞅徙木立信论》。24岁时靠一身胆识空手智退三千溃军，同年以超满分毕业论文《心之力》精准预告中华民族百年变局，26岁办《湘江评
1699609613# #巡视组组长，知法，懂法，执法，犯法允悲允悲允悲
1693907246# #她的要求也是无以复加！
1694682678# #李在明绝食第十四天，医疗团队称已到极限。
1700089979# #帅气的中国军人，没有华丽的军服，只是极其普通的65式军服，但却让英国首相撒切尔夫人侧目时摔倒。撒切尔的“晚年第一摔”是在中国摔的，从此，她的身体每况愈下。
1694340837# #缺大德的小日本子！。
1694812124# #我发表了头条文章:《临危受命的丘吉尔（19）》
1695389678# #赵继伟率领中国男篮，力争亚运卫冕。。
1698851082# #青岛啤酒小便事件调查结果公布，青岛啤酒致歉！。
1694901756# #我发表了头条文章:《北宋著名的改革家王安石（3）》
1691230800# #这就是亲情！现在的人亲情都淡漠了。
1701470198# #有位网友是这样说的：“上个世纪八十年代，有人说地球的石油储备只能供人类用50年，50年以后石油资源枯竭，人类将没有石油可用，这个50年以后说的就是二十一世纪。可是全球不断发现新的大油田，还有页岩油技术的出现，导致石油源源不断的供全球使用，现在看来，石油即将用尽的说法是彻底的谎言。我现在
1692328400# #志愿军的历史是一部惨烈的战争史，这点幼儿园小朋友都知道，陈凯歌不清楚？允许这样的电影宣传海报发出？这确实不应该！对志愿军没有敬畏之心！这是戏子当久了吧，不娱乐就不愉快？这个回应也难以服众！
1695331622# #我发表了头条文章:《曾国藩的故事（4）》
1691043985# #在水里跑的比别人在陆地上跑的都快！真正的勇者赞
1700704524# #我发表了头条文章:《多尔衮（2）》
1701206957# #1949年4月20日，全面内战进入尾声，国民党军队全线溃败，南京政府提出停战讲和，于是继“重庆谈判”之后的第二次和平谈判开始了，但谈判的结果是，国民党方拒绝在和谈上签字。。4月21日，毛主席和朱德总司令发出《向全国进军的命令》，号召全军坚决、彻底、干净、全部地歼灭中国境内一切敢于抵抗的国民
1702336163# #毛主席的卫士长李银桥要离开毛主席，到一个新的岗位了，这是临别时毛主席握着李银桥儿子的手，接见李银桥全家，与这个跟随了他15年的卫士长话别。
1698375938# #阿联酋、约旦、巴林、沙特阿拉伯、阿曼、卡塔尔、科威特、埃及和摩洛哥9个阿拉伯国家发表联合声明，呼吁联合国安理会立即通过有关在加沙地带实行人道主义停火的决议草案。
1702533895# #忠诚于一国两制，忠诚于国家统一。
1691354089# #1937年，延安简易机场，44岁的毛主席拍下了这张照片。在那个艰苦的战争年代，穿一身崭新的军装，这对主席来说十分少见，也十分难得。
1696819920# #汪小菲深夜连线情感主播，我要复婚！我管她结没结婚！
1703513690# #民办学院培养出来的？这个学校估计要🔥。
1690277373# #刀郎的歌确实适合自娱自乐
1703454887# #苏联灭亡三十二周年。。。1991年12月25日晚7时，戈尔巴乔夫签署了辞去苏联总统的命令，然后在办公室面对苏联几家电视台的直播镜头，向全国发表辞职讲话。。。就在戈尔巴乔夫发表电视讲话的时候，克里姆林宫总统府圆屋顶上的苏联国旗悄然落下，标志着苏联灭亡。。。苏共亡党、苏联亡国的根本原因在于从赫鲁晓
1697626940# #长不大，随时可能被枪杀泪泪泪
1700485978# #我发表了头条文章:《现代诗歌名篇之二十一:穆木天的《苍白的钟声》》
1691450414# #坚韧不拔的戴高乐（41）。。为了能够很好地把法国海内外的爱国力量组织起来，1943年11月，戴高乐在阿尔及尔成立了"法兰西行动委员会"。这表现了戴高乐将军及其政府对"战斗的法国人"的战略作用是十分重视的。委员会由戴高乐将军任主席，它使内地委员和国防委员得以定期会面。。。在被占领下的法国，1944年初
1699360277# #哈工大上课走出了航站楼的感觉。学生们现在越来越不能吃苦了呗？学校照顾的可真是无微不至，这样的学生学出来能是什么样呢？我怀疑学校这样做不一定就是为了学生，别又是财政拨款不花不行允悲。
1693723138# #做人就做嫡长子允悲
1696822183# #给汪小菲加油！两个孩子需要有个完整的家！
1696897054# #这篇文章挺有意思，泽连斯基母亲长的挺漂亮。
1698136453# #巴勒斯坦驻联合国代表悲伤控诉。Blanche50的专属圈子超话
1699395852# #珍贵历史影像，毛主席会见埃塞俄比亚国王，手拉手步入会谈。毛主席对亚非拉弱小国家总是充满同情和感情。他不只是中国被压迫人民的伟大领袖，也是世界被压迫人民和被压迫民族的伟大领袖。
1694257970# #1954年，周恩来在日内瓦会议上的珍贵历史影像。
1701645611# #能叫上来她们的名字吗？五六十年代的电影明星。白杨，秦怡，张瑞芳，舒绣文
1695447260# #中国这柱香叙利亚算是烧对了
1693642370# #看哭了，父母同时入朝参战，生死相依！
1700862023# #党的第一代领导集体，那是属于他们的美好岁月，新中国就是在他们手上诞生的！
1698902830# #关于克强同学的点滴…。。
1702082013# #六十年代，中苏发生论战。小平同志在评价这段历史时说：中苏两党的分歧首先是苏联挑起的，把中苏分歧拿到国际会议上，并组织对中国的突然袭击，把中苏意识形态的分歧扩大到国家关系，撕毁中苏签订的所有协议，合同，从中国撤走全部苏联专家，把中苏分歧首先公布在全世界面前的是苏共。。毛泽东一直反对
1695475563# #我发表了头条文章:《蒋介石的早期革命活动（三）》
1692284504# #价值8000万的房子100套？一个医院院长究竟有多大的神通？
1702609391# #1942年，毛主席在延安给党的高级干部作整风问题的报告
1692964777# #虽然是摆拍，但那个年代的生活场景是真的。
1689322718# #澎湃新闻董事长被查！。。
1698632125# #韩国总统首次参加朴正熙悼念活动，与朴槿惠握手问候。
1698627956# #香山论坛，朝鲜军方代表团入场。
1704177411# #看到最后，感觉这是史上最强毕业歌。
1689766185# #他填了四个志愿均未录取，就把他录了呗，真是的！
1701343765# #我发表了头条文章:《身残志坚的罗斯福（27、中途岛之战）》
1691551035# #坚韧不拔的戴高乐（49）。。法国的极右分子也在加紧活动，企图浑水摸鱼。他们虽然不如戴派人物那么有实力，但是他们已使巴黎的政客们精神惶恐不安、行动日益受阻。他们的领袖有两人：一个是曾经当过蒙面党、贝当派的60多岁的马丁博士，一个是年轻的罗贝尔·马泰尔，此人是阿尔及利亚米蒂贾地区的一个殖民
1702771119# #主席与何香凝在一起交谈。
1702250800# #抗美援朝战争，是新中国建立之后的第一场对外战争，在这之前，我五千年文明史的泱泱大国，被列强欺负的毫无还手之力，被全世界所耻笑。因此，这场战争彻底改变了全世界人民的看法，极大的提高了我们在国际舞台上的地位。。但是，就是这样一场战争，却有不少不法资本家和奸商大发国难财，售卖自己的假药
1703051361# #《永久奋斗》一文是主席1939年5月30日在延安举行的庆贺模范青年大会上的讲话。。1939年正值红军长征结束不久，中国共产党在陕甘宁边区建立发展革命根据地，并进行艰苦卓绝的抗日救国斗争。。1939年5月也正值五四运动20周年。中国共产党从青年中选出模范青年并召开大会，主席在讲话中强调，“什么是模.范
1694700073# #1979年，邓小平登上了导弹驱逐舰，并为海军题词。
1703368891# #1956年4月25日，毛泽东在中央政治局扩大会议上作了《论十大关系》的讲话。这之后，毛泽东又准备到各地去视察，他对当时工业农业方面出现的增产增收和群众日益高涨的生产热情很高兴，打算到各地再进行深入的调查研究，为工业，农业的进一步大发展寻找新的出路。。5月3日，毛泽东建国后第一次乘飞机外出视
1699565528# #低调，务实，不站“C”位。。这一代人心里面没有所谓“c”位！
1693035269# #精神病院那个地方，怎么判断你是不是精神病？据说，你到那要是跟医生说你不是精神病，那么就会被确诊精神病无疑！有网友说，如果你想出去，没有家属来接，一万年你也出不去！这就不难理解自杀的原因了。还有人说，如果你有一千万，子女都盼着你死，如果你月收入一万，子女都想你长寿。
1691539042# #可惜了
1690837434# #“支部建在连上”，“党指挥枪，而决不允许枪指挥党”这是毛主席对我军建设的一大创举！。1927年9月，毛主席从南昌起义和秋收起义的失败中深切地体悟到，部队党组织虽已建立，但并未形成领导部队的核心，尤其是没有深入连队，使党难以与基层官兵保持经常而广泛的联系和紧密团结，无法有效掌控部队、抓住
1693125374# #小日本子原以为中国只会限制福岛周边海域水产品进口，但没想到会限制源自日本全岛的所有水产品。
1703454159# #l1965年7月，在最炎热的夏天，李宗仁踏上了回国的旅途。他一下飞机，首先向毛泽东的塑像鞠躬。毛泽东在人民大会堂与这位前中华民国代总统会面，彼此一谈就是四个小时。。。1964年10月，中国原子弹的一声巨响，震撼了世界。。海外华人闻之更是欢欣鼓舞，感到扬眉吐气。中华民族任人凌辱、任人宰割的年代
1695303727# #李在明这是不吃饭犯法了吗？允悲允悲允悲
1702683900# #八届十一中全会的珍贵照片。
1692187145# #干的漂亮！
1694579365# #在这世上，没有非爱不可的人，也没有非做不可的事。我也只有一个一生，无法慷慨赠予不爱我的人。
1698062334# #1978年，领导人们与穆铁柱的合影。
1693099907# #我发表了头条文章:《胡雪岩传奇（29）》
1700897102# #金正恩携妻女出席庆功宴。
1693483892# #三项个税附加扣除标准提高！
1693185087# #我发表了头条文章:《胡雪岩传奇（结束篇）》
1693202445# #火车下铺，旅客可自带窗帘？可不允许别人坐？。。对此，12306客服回应称，铁路部门并没有明令禁止自带床帘。自带床帘属于乘客个人行为。如果接到乘客投诉，列车也并不会受理。"按照规定，自己买的什么席别，只能自己本人用"。
1702209290# #唉允悲允悲允悲
1697456962# #沙特能源大臣抵达莫斯科。
1694505524# #毛泽东的幽默：“空对空”。
1703425625# #参观长春伪满皇宫（4）
1703439841# #参观长春伪满皇宫（7）
1702156776# #蒲松龄19岁第一次参加秀才考试时，接连三场考试都博得头筹，可谓少年得志。。因此，蒲松龄信心满怀地走上了科举取士的道路，然而却在接下来的40余年里屡试屡败，一直没能摆脱“秀才”这个名号。不过，也正是因为科场的不得志，蒲松龄才能写出一部“鬼狐有性格”，笑骂成文章”的《聊斋志异》，成就一座
1701466570# #邓世昌唯一的留世照片。。1894年中日甲午战争爆发后，邓世昌与致远舰200多名官兵一起壮烈牺牲，以身殉国，年仅45岁。。邓世昌以身殉国的消息传开后，举国震惊！光绪皇帝亲笔写下挽联：“此日漫挥天下泪，有公足壮海军威”，并亲撰祭文、碑文各一篇。朝廷追加谥号“壮节公”，追封太子太保，入祀京师昭忠
1692839760# #毛泽东一生最愿意做的事情就是倾听百姓声音。他一年有三分之二的时间是在各地巡视、调查、调研，虽然晚年身体不好了，不再下去了，但内心意愿仍不忘百姓声音，所以才如此百姓爱戴他。如今，他的亲民情怀后人很难学得来了，因为这是刻在骨子里、沉入心底里、融入血液中的作风。生前，他也一直在持续不
1693126048# #“台湾老百姓不用照X光，自己就会亮”。
1695965186# #唉！500亿啊！国家的500亿！
1699700504# #我发表了头条文章:《身残志坚的罗斯福（16）》
1687846884# #坚韧不拔的戴高乐（11）。。虽说戴高乐多次呼吁"加强国防，警惕德国军国主义的重新崛起！"但是法国当权派，无论军界和政界，都无动于衷。法国外长白里安说："只要我担任外长，大炮就去它的吧！"可是国际形势使他的"高尚目标"越来越难以实现。经济衰退波及全欧，希特勒上台后咄咄逼人，只要不是神经错乱的
