1703760997# #“技术应该在车上，而不是在PPT上。”领跑汽车这是在内涵谁？
1698201653# #除夕不放假。。是假期安排的老师，是个人才呀！
1702198742# #荣耀的铂金会员，每年可以享受两次机场贵宾厅服务，居然都忘记用了，有点可惜了！允悲
1688039234# #荣耀90Pro使用一天，早上7点开始到现在晚上19:30，还剩余14%的电量，总亮屏时间接近7小时。。。今天主要是用来刷微信、微博、玩游戏，还有拍照片，能撑一天我觉得还蛮不错的，一般人应该没有我这么多的使用量！
1704012497# #今天给老丈人换手机，结果用荣耀换机克隆从他现在临时用的vivo倒数据时，死活倒不过去。。。一直提示需要查看应用使用情况权限，按转跳又转跳不过去，在设置的应用管理里面所有权限也打开了。。。最后发现在i管家里打开权限！唉，折腾的够呛。
1694925502# #iPhone15可使用安卓C口配件。。看到这张图片之后，对苹果是越来越反感了。
1703759131# #苹果手表美国禁售令暂停。。老美一直宣扬自己的知识产权保护有多么好，现在看来也就那样！苹果钱给足了，规则也可以变！哼哼！
1692075073# #小伙伴们！我又发现了荣耀YOYO的一个新技能，它居然知道我昨天没有睡好，还提醒我睡午觉！真贴心，不过我下午还有老多事要做呢！。。你有没有发现，手机上什么让你惊喜的新功能过？
1694566348# #iPhone15首批备货约8000万部。。“USB-C转闪电转换器”，售价243元！厨子又来割韭菜了！嘻嘻
1694145196# #华为王炸。。库克：华为这是搞啥？节奏都被打乱了！他们是不打算开发布会了么？
1694592654# #华为小米达成全球专利交叉许可协议。。华为和小米谈妥了！达成全球专利交叉许可协议，大家以后不要再骂雷总不给钱了。笑而不语
1689393693# #好多朋友问，荣耀手表4能不能安装手表微信。。。这里小猪给出肯定发布答复，荣耀手表4是可以安装手表微信的，只需要用手机微信扫一扫就可以登陆，两者消息可以同步，可以听语音、看图片、消息，不能看视频。。。如果开通了esim功能，出门不带手机，荣耀手表4也可以接受微信消息，还是挺方便的。
1699184458# #我们小区里居然有人在做法事！允悲。。杭州小区了还允许做这个？笑cry
1690595868# #华为的企业文化一直饱受争议，不过华为在爱国主义教育这一块，应该没有人会质疑吧？
1689211894# #某人说要吃仙豆菓夫，特意嘱咐我要带点回去，真的那么好吃吗？路好远啊！允悲
1701219308# #芒格去世。。查理．芒格的这10句明言句句金典。。。1、如果你想说服别人，要诉诸利益，而非诉诸理性。。2、不要同一头猪摔跤，因为这样你会把全身弄脏，而对方却乐此不疲。。3、要想得到某件东西，最可靠的办法是，让自己配得上它。。4、反过来想，总是反过来想。。5、如果不终身学习，你们将不会取得很高的
1691636223# #要说小米MIXFold3集成了华为MateX3、荣耀MagicV2、vivoXFold2很多优点我觉得没有什么问题，但如果说“所有优点”我觉得有点过于拔高预期了！。。荣耀MagicV2不到10mm的厚度，不到240g重量小米MIXFold3估计做不太到。
1701307115# #反复烧水会增加致癌物质吗。。热水壶的水反复加热20次也不会致癌，隔夜水也是，水壶有水垢也没有问题！前提是热水壶是合格产品。。。那么问题来了，到底是谁说隔夜水不能喝的？
1690546139# #传闻，微信正在测试小绿书，看爆出的界面，和小红书的相似度有多少，大家自己评。
1691632492# #裸考考上了意大利的公务员。。这是给广大海外留学生找到了一条出路啊！大家快去试试，说不定就成了！
1688081925# #鸿蒙4.0开始已经开启内测了！时间过得还真快，一转眼鸿蒙都已经迭代到第四代大版本了！
1696685160# #到底为啥堵车交警上前帮你看了。。我感觉我们应该对占着超车道开慢车的人进行处罚，而且处罚力度要大一点，明明挺好的路，就是因为这样的人，导致拥堵。
1690013147# #提到蓝牙耳机，相信大家已经都不陌生了，特别对热爱音乐的朋友来说，你们一定喜欢尝试各种不同款式的蓝牙耳机吧！今天，我和大家分享一下南卡新款不入耳式的设计的蓝牙耳机——南卡OE&nbsp;Pro，如果大家对它感兴趣，不妨点开文章看看。蓝牙耳机
1698204618# #荣耀产品即时尚，性能又出色，在年轻群体中真的很受欢迎啊！身边很多在校大学生都在用荣耀的产品。
1698246062# #华为回应将全面接管问界销售体系。。问界销售情况好，华为决定投入更多资源，但并不会全面接管问界销售体系，毕竟还没有到这个时候。嘻嘻
1692160797# #造谣是要付出代价的，轻则名誉扫地，重则被厂家起诉！。。就像这位叫做牧宸的自媒体，之前发视频信誓坦坦的说荣耀Magic5Pro用了“小黄鸭屏幕”，结果几个月过去了！他现在发布了公开道歉！因为没有找到！。。对于这样的造谣，荣耀还是手软了，没有律师函起诉他，如果遇到小米法务，估计他不会这么好受！。。
1701395172# #猜猜我们公司买的这台安本型防爆相机多少钱？
1687995942# #LV老板带着儿女北京巡店。。看到他们，让我想起了价值6300人民币一卷的厕纸。不知道，LV老板有没有随身带厕纸出门的习惯？
1691451856# #看到有人传“华为鸿蒙5.0将改成单架构，不再支持安卓。”。。我觉得进度应该没有那么快，毕竟软件需要开发者适配，还要让用户切换软件有一个适应过程。。。不过，可以肯定的是，华为鸿蒙未来的方向肯定是这个，走出自己完整的生态！留给黑子嘲讽“安卓套壳”的时间不多了！
1695166930# #有大V爆料，某厂的骁龙8Gen3大杯特别版的卫星通讯功能被砍，原因未知！。。我觉得最大原因还是技术能力的问题，昨天我也发了电信卫通关于卫星通话芯片推广的文章，他们当初可是找了很多厂家都说不行，最后只有华为搞成了，这代表什么？。。这代表，这个芯片使用是需要一定技术门槛的，并不是拿来就能用的
1701227200# #马儿的球是不错，家事是一塌糊涂！不过作为外人，我们也没法评，祝安好。。。女友宣布与内马尔分手
1703912763# #微博年度手机大赏我已为荣耀MagicV2投出一票，一起来参与吧~
1700118890# #安卓拍视频为什么不如iPhone。。没有人发现，今年华为Mate60Pro的视频拍摄能力，完全不输于iPhone手机？允悲
1701258731# #高通真的是促进了整个手机行业的发展和进步，尤其是手机散热这块！。。看看红米K70的这套散热系统，短短两年几年，国内手机厂商在手机散热这块堆料已经到了相当恐怖的程度了！
1702183627# #西安街头浪漫卡车引发路人围观。。现在的年轻人简直太敢秀了！。。去年荣耀80活动现场一见钟情，今年借荣耀100求婚！希望这位帅哥求婚成功！祝福祝福！
1696902399# #美图昨日发布自研AI视觉大模型MiracleVision3.0。。。美图公司创始人、董事长兼首席执行官吴欣鸿介绍说，三个月前，MiracleVision绘画水平还停留在初级阶段，如今3.0版本已经能描绘出真实细腻的画面细节。MiracleVision3.0将全面应用于美图旗下影像与设计产品，并将落地电商、广告、游戏、动漫、
1693378070# #苹果iPhone15系列价格华为回归后，最受影响的应恐怕就是苹果了！
1697845288# #每天早起打卡。。早呀！今天杭州的天气不错，起床搬砖了！加油！
1703042245# #中国空间站和鸿蒙入选2023全球十大工程。。明年是鸿蒙的大年啊！期待真正的鸿蒙上线！
1703898662# #每天早起打卡。。大家早上好！假期第一天，今天去干点啥呢？。。荣耀Magic5Pro
1694736931# #华为“星闪”联盟已成规模，蓝牙联盟将成历史！。。华为为什么要成立“星闪”联盟？那就不得不说之前的戏剧一幕了！老美宣布制裁华为后，蓝牙联盟居然立马宣布把华为踢出联盟，但随后却自己打脸，宣布恢复华为联盟成员的身份！。。大家知道为啥蓝牙联盟会立马自己打脸吗？那是因为华为是蓝牙联盟里的重要专
1699017315# #蔚来造手机方向错了吗。。蔚来宣布裁员10%！蔚来最终还是走上了这一步。。。我始终认为蔚来选择造手机是一步错棋，智能手机内部上千个零件，组合在一起难度可不小，何况还有软件适配问题，投入的人力、物力成本并不会比开发一辆新车的难度小多少！。。何况现在手机行业和智能汽车行业的竞争都是如此的激烈
1699181314# #国内手机行业新一轮洗牌即将开始！。。10月份国内手机销量数据出炉，苹果销量依旧领跑，华为回归后已跃升到了第二，荣耀则稳居在第三，OPPO、vivo、小米基本打个平手。。。华为虽然落后苹果大约有100万台，但大家可以看到整个10月华为的新机都是在缺货状态，如果产量能够跟上的话，相信这个差距会进一步减
1700302892# #荣耀100这个真机看着才有感觉啊！。。大理石纹理应该和大哥P60的一样，是随机的吧？
1699356499# #iQOO12发布会。。每次iQOO举办发布会，我总是不由自主的会想起宋紫薇，可惜以后iQOO的发布会上都看不到她了！泪
1694754655# #和朋友一起玩个游戏，他用的iPhone，充值居然比我荣耀Magic5Pro贵30%？给我笑的！苹果税这么贵的啊？
1697067785# #苹果PC出货量下降超20%。。难怪库克近期套现了3亿，原来有内幕消息。笑而不语
1694831420# #这是我见过，质量最好的曲面屏手机，华为牛逼。
1701820456# #阿信忘了话筒在哪只手。。去一家高档餐厅，点了一桌好菜，结果发现居然好几盘居然是预制菜！我是绝对无法接受这样的结果的，毕竟我花这个钱不是来吃预制菜的。
1697704230# #宝马与出租车碰撞侧翻起火司机身亡。。现在年纪大了，开车在路上我都是很耐心的，别人要插队我都会让一下，毕竟自己的安全最重要，都是四个轮子跑，差不了几分钟。
1690618160# #收快递盒，居然掉出一支荣耀Magic-Pencil3笔，我能骂猪嫂是猪吗？
1700553968# #实不实名，我是无所谓！感觉实名制影响的应该是那些挂羊头卖狗肉的账号吧！不能再在暗地里搞一些小勾当了，应该相当难受！。。B站已经部分上线前台实名
1703573189# #业界首创一体化素皮压花工艺！华为nova12系列的这个配色这是绝了！在手机这配色这一块，华为确实已经遥遥领先。
1687696666# #荣耀Magic5Pro用了快两个月了，电池健康度还有100%，
1700798821# #华为智界S7无人带客泊车视频大家看了吗？。。它能够主动停车避让人就不说了，关键的是它居然能够在堵车的情况下主动倒车给别人让路！。。真的是遥遥领先，名不虚传啊！
1687246618# #逆水寒开放了生孩子的功能。。玩个游戏还得生孩子？我老了！
1700282824# #人家说遥遥领先有问题吗？碍你们啥事了！那些骂人的好奇怪啊！。。余承东现身广州车展观众高呼遥遥领先
1697680579# #4090显卡。。这反转来的有点猝不及防啊！。。老美你要不要每次都这么打脸？我说你话都出口了，禁了就得了，我们过几年就会搞出自己的显卡了！
1693482183# #又听到一个关于华为麒麟9000S上2035丝印的有趣传闻！。。麒麟9000S上的2035其实意义非凡，20年34周是美国对华为发起最严重一次制裁的时间！。。所以……大家应该明白20年35周这个丝印的意思了吧？
1703679435# #特斯拉瞒报工厂机器人袭击工人次数。。现在的机器人已经能智能到了自主攻击人类了吗？不是应该是编程错误，导致机器误动作引起的事故么？。。怎么到了有些媒体的嘴了，好像就变成了机器人主动攻击人类一样的味道？
1693785520# #工作后发现5000块真的很难挣。。“钱难赚、屎难吃”！话糙理不糙！这位兄弟总结的很好，自己倒推一下，看看自己有啥能耐，认清事实，脚踏实地的赚钱养活自己再说。
1701672916# #苹果连5G都搞不定，正在将更多注意力转向6G技术研发？
1687945412# #用荣耀Magic5Pro给荣耀90Pro拍个照，是不是很美？
1701177090# #给途昂车钥匙换个电池，我是不是漏装了什么？
1701257004# #吃好饭了！坐下来听听行业大佬卢总讲故事，学习一下他是怎么把红米做起来的。。。红米手机能够在激烈的市场竞争中脱颖而出，背后应该有无数次的努力和尝试，确实有点东西。
1700522416# #每天早起打卡。。早！树叶有黄透了，我还的搬砖！允悲。。荣耀Magic5Pro
1702014421# #花粉排面啊！华为安排了这么多的问界M7来接机！。。问界M7的智能座舱也让人眼前一亮！。。鸿蒙智能座舱的这个流畅度，堪比Mate60Pro啊！这个超级桌面功能还真是相当实用，可以把华为手机上的应用直接流转到车上大屏幕上，停车时浏览一下新闻或者看看大众点评找找美食什么的，真是相当的非常方便！。。搭载
1690436776# #巴彦淖尔科目三是马背跳绳一起玩地球。。看到这张照片，让我非常想去内蒙古巴彦淖尔一游了！梦幻一样的峡谷。
1690591758# #早上起来看窗外风平浪静，再打开荣耀手机的负一屏看到台风杜苏芮的等级已经降到了7级，看来这次台风应该算过去了！大热天又回来了！
1690683198# #原来微信还能这样防止拉黑，牛逼！这不是要让人玩死。
1697599757# #魅族20经典设计全新呈现？魅族这是有又要发布啥？魅族20重新设计？
1694661335# #华为手机业务回归后，将对这些高科技企业产生极大影响！。。1、苹果，苹果iPhone15在国内的销量估计要大幅度的减沙少。。2、台积电，苹果iPhone15销量减少，对台积电的订单马上会减少。。3、高通，4G芯片砸手里了。。4、ASML,突然发现DUV光刻机也愁卖了。。5、三星，全球手机销售更差了。。6、Intel,芯片生产
1690329288# #特斯拉这么成功，不是没有道理的，我们也可以学习借鉴一下！。。看看特斯拉的员工手册里的沟通。。◆在特斯拉，任何人都可以并且应该按照他们认为对整个公司最有利的解决问题的方式与其他人进行邮件沟通或面谈。。◆你可以和你的经理沟通，可以和你经理的经理沟通，可以直接和另一个部门的副总裁沟通，你可
1699329069# #双十一买新款旗舰还是降价老款。。虽然说买新不买旧，到这句话放在数码圈好像有点过时了，很多老款旗舰也还是挺香的，比如iPhone14、小米13、荣耀magicV等等都是比较不错的选择。
1703579225# #12月底华为智驾全国全城区开放？2023年还有4天就到了！问界智驾车主有福了！
1702706011# #苹果计划将OLED屏幕的使用扩展到iPad和MacBook上。。。媒体报道，苹果将于2024年推出首款OLED的iPadPro，预计3月左右推出。2025年下半年，推出OLED版MacBook机型。
1690206281# #优酷TFBOYS演唱会线上只能看三天。。现在我有点怀念DVD时代了，一张片只要几十块钱，就可以永久保存在自己手里。现在的商人，吃相太难看了！
1701402146# #119票对29票！韩媒居然还使用了“惜败”一词。。。韩国人的心眼和那啥一样的小。。。韩国申博失败
1700736474# #今天晚上上帝视角看荣耀100发布会！可以吧！嘻嘻
1691466201# #在华为HDC2023开发者大会上，有网友疑似拿着戴着保密套的华为Mate60真机。。。从照片来看，该机的后摄模组应该还是采用圆形设计，中间布置有四颗摄像头，边上的长方形的小窗口应该是它的激光对焦和闪光灯。。。华为这次保密还真严密，九月份要发布的新机，到现在都没有什么料爆出来。
1701602372# #“武大郎怎么对潘金莲好，也比不上武松一声嫂嫂！”。。这话虽然那啥，但确是真理呀！还是得把自身硬实力提上去。允悲。。提供情绪价值的根本方法
1693354126# #中美商务部长谈了4个半小时。。感谢雷蒙多夫人提华为代言！
1701906971# #73万元手表4个月就起雾。。买啥机械表！个买荣耀手表4Pro不香吗？。。镀金外壳真皮表带要颜值有颜值，心率、睡眠、血氧检测样样都有，50米防水还能戴着游泳。。。传统手表已经不香了！
1689487792# #张艺兴我有一个特大的爆炸消息马上发布。。娱乐圈每天都一惊一乍的，不知道又有什么大瓜。
1701923412# #曾经的荣耀可是互联网第一品牌！。。这次荣耀90GT和荣耀X50GT前后来袭，而且红外，ois，大运存，性能，屏幕护眼等等一应俱全，这是又要问鼎第一的节奏啊！。。你用过哪些荣耀的机型？
1700037748# #小米汽车定妆照曝光，线条，这造型，确实挺漂亮的。。。马斯克看了，陷入了沉思！。。小米汽车
1703763152# #小爱将小米汽车识别为保时捷。。小爱这是什么车？。。小爱：保时捷！。。雷军：逆子！
1691293372# #华为自研星闪技术发布，超越蓝牙、WiFi技术！。。这次华为发布的星闪技术，从技术上已经超越了蓝牙、WiFi技术，关键是相关标准由华为制定，这意味着后续生态发展将由华为完全主导。。。当年蓝牙联盟可是第一个制裁华为的，结果华为退出蓝牙联盟后，蓝牙联盟才发现大多数蓝牙专利是华为贡献的。现在华为发布
1697853124# #又到了一年一度吃螃蟹的季节了！嘻嘻
1691046322# #你的iPhone电池健康度多少了。。同事的iPhone12电池状态已经降至91%，每天充满电使用，在下午还需再充一次电，不然回家就很难受了！
1699624171# #余承东称华为功能全部释放会更强。大嘴嘴巴又漏风了！不过我喜欢！抱一抱抱一抱抱一抱
1703746930# #小米移动空调？思考。。小米汽车技术发布会
1689122863# #大早上的我就被百度地图小坑了一把！。。我要去机场，百度地图推荐我坐公交去7号线，由于7号线我也是第一次坐，就信了。结果发现被坑了，明明可以做4号线转7号线的……
1702518497# #对经典的最好致敬，就是成为下一个经典！。。荣耀Magic6保时捷版本官宣！。。兄弟留下的都是好东西！嘻嘻
1699958631# #借鉴华为P60Art？可能你想多了！。。荣耀100Pro的这个相机模组，灵感其实来源于建筑大师高迪，在不规则中寻找的秩序之美，在线条中暗藏秩序感。。。荣耀100Pro的镜头一眼看去似乎不规则，然而你仔细看后你会发现，这种不规则的设计中，隐藏着一种难以言喻的秩序美感，就像高迪的建筑一样，看似无序，实则
1702682617# #每天早起打卡。。兄弟们早安！今天好冷啊！打工人没办法，还得加班！。。荣耀Magic5Pro
1700437610# #每天早起打卡。。早！叫醒我的是银行贷款！起床搬砖！。。荣耀Magic5Pro
1698914597# #我就说，谁这么有才？。。切片的苹果，华子的标！
1698811705# #这么看来，某些个实体店，死的真不冤枉！。。确实，我家边上十几年一直开着的店，老板人都挺实在的，去店里都挺客气，从不缺斤少两！而那些开开关关的的店，老板连基本服务态度都不好，怎么能够长久？
1690761676# #海鲜市场确实是个神奇的地方，我2100卖个手机，人想1800，秒确认收货感觉是看得起我！允悲允悲
1693010678# #星耀终端网站上线了，荣耀全资子公司。嘻嘻
1690081218# #练车的怨气真的好大。。真希望技术再进步一点，汽车早日实现无人自动驾驶，以后大家都不用练车了，买的车都自己会开！嘻嘻
1692330495# #厉害了！魅族20系列居然从小米和苹果手里抢了不少用户！。。魅族20系列的高颜值确实蛮不错的，清爽流畅好用的Flyme还是挺吸引大家的，屏下超声波指纹，也挺好用的。
1690701643# #我要来吐槽一下荣耀了！虽然你们的应用双开已经做的非常棒了，已经有13款应用可以双开了，但是还是不够啊！我的想法是，能不能支持手机上所有的应用都能双开？加油啊！
1689897237# #被北大录取女生分享经验强调没手机。。心无旁骛才能专注，自制力强的人才能获得高成就，但这样的人又有多少呢？。。普通人无法抵挡手机的诱惑，还是需要家长适当监督的。笑cry
1700226536# #现在的智能手机功能确实已经非常强大，但功能强大的背后，却有很多功能不为人所知！允悲。。记得有个统计，智能手机只有30%的功能会被拥有者熟知并应用，所以如何才能让普通消费者了解并掌握所使用的设备功能，也是厂家要考虑的服务之一！。。打开了苹果手机新世界大门
1697880313# #今天又看到好多自媒体又在发荣耀借壳上市的内容，荣耀之前不是已经澄清何过，暂时不会上市吗？真是造谣一张嘴，辟谣跑断腿呀！
1701091124# #只能说各自祝福吧！反正这科目三的舞蹈我本人是不太欣赏的来，如果杭州海底捞这段时间都是这么种舞蹈的话，估计我会选择避开吧。允悲。。科目三
1702277266# #长城硬刚懂车帝。。这就是我们缺乏专业测试机构的现状，没有统一的测试标准，不透明的测试方式，各方不认可的测试结果！好乱！
1696743126# #原来苹果客服是真人。。人工客服，难道不是真人吗？这也能夸？华为、荣耀的手机的客服也都有真人啊！允悲
1693537336# #网友偶遇大嘴哥搭地铁，看来嘴哥有急事，没开问界M7啊？
1701907439# #没想到2023年快结束了，居然整出来个E6的笑话！。。十拍E6哦！吃瓜吃瓜吃瓜。。眼见他高楼起，眼见他宴宾客，眼见他楼塌了！
1702005336# #机场的瑞幸没什么优惠，差评！嘻嘻
1695635726# #华为发布会不提手机。。还没有嗅出味道吗？凡是讲解华为手机芯片的视频已经全部下架了，华为发布会也只字不提！连手机都不发布了！可见芯片这事已经到了更高层次的战略工程了，华为也不得不保密，所以你们还在这埋怨华为不讲芯片？
1701330637# #魅族21售价定在3399起步，最近厂商是越来越卷了！
1694955276# #荣耀Magic-Pencil3手写笔的设计灵感来源于日常书写使用的笔，搭载荣耀自研的新型笔尖材料，能够实现4096级的压感，时延低至2ms，能够带来在书写和绘画创作时享受到极致的体验，也为笔记批注提供了强有力的支持。。。这款手写笔采用磁吸收纳设计，只需将笔轻轻靠近平板顶部右侧，即可吸附在平板的中框上
1688082555# #LPL大瓜。。没有实锤的消息，只是小道消息！不要乱传了！
1702783615# #华为获得了一项新技术专利，可以提高晶圆对准的效率和精度。。。该专利涉及晶圆处理装置和晶圆处理方法，通过精确的配合和操作，为晶圆处理带来更高效、更精确的操作。
1687572127# #荣耀Magic5Pro的续航在小白测评数据库排名的变化可真大。。。这段时间我用下来，并没感觉荣耀Magic5Pro的续航下降太多，你有感觉手里的荣耀Magic5Pro续航下降了吗？
1699874753# #王自如罗永浩。。谁这么坏，又把王自如的这个视频挖出来了？挖鼻
1698795929# #卫星电话厂商怎么也没想到！就这么被人干翻在地了。。。有博主去无人区探险，12个人带来3部华为Mate60Pro，直夸它的方便实用！“卫星电话一台一两千，还要存年费一两千，拿到野外信号还不一定稳。华为Mate60Pro只要十块钱月租，打电话一分钟九块钱，太便宜了，而且信号还贼好，至少在阿尔金无人区是这
1701991780# #荣耀不讲武德啊！Magic6系列将率先搭载华为同款的卫星通信技术？！。。从曝光的Magic6渲染图可以看到，它的背面三摄依然采用圆形模组的设计，而且听说荣耀Magic6系列这次的配置很猛，不仅会采用最新的处理器骁龙8Gen3，还有自研的C1芯片，关键传闻还会搭载华为同款的卫星通信技术！。。问问各位，荣耀M
1689769780# #韩国人进化掉睡眠的真相。。这几天韩国人的热搜有点多啊！能不能多关注讨论自己国人的生活？老是关注棒子的生活干嘛？
1694083193# #iPhone15顶配搭载潜望式长焦。。恭喜iPhone，终于要搭载安卓手机已经用了四五年的潜望式长焦这种先进的技术了！
1703226660# #在我眼中，真正的绅士是那些具备以上特质的人，他们不仅在行为举止上表现出优雅和礼貌，而且在内心深处也保持着诚实、正直和责任感。他们尊重他人，关心他人的感受，并尽力为他人做出贡献。绅士是种稀缺精神。。然而，真正的绅士在当今社会中可能很稀缺。随着社会的快速发展和变革，许多人可能更加关注
1690327630# #据说，这是刀郎对新歌《罗刹海市》被过度解读的回应。。。总结：是自己对人生的感悟，不针对第三人，切莫对号入座！。。思考思考思考
1701258431# #雷军向武大捐赠13亿元。。你可以阴阳小米，但雷军没法黑的了！佩服雷总，一下捐了13亿给母校！
1692253277# #调查显示我国终身单身人群极少。。现在的很多短视频都是人为制造焦虑，鼓励人单身什么的，但实际大家可以看看身边人有多少是单身的！反正我身边和我差不多年纪的，最终都结婚了！一直单身的几乎没有。
1703036563# #“荣耀90GT超低延迟触控”性能相当炸裂啊！
1698746694# #买手机要抢第一批吗。。其实不要说手机了，现在不管什么商品，抢首发的风险真的很大，指不定前面有什么坑等着你！。。我现在买任何东西都不太会抢第一批！尤其是看电影，现在的电影有多少坑！不看看大家的评分，盲目买票去看，说不定就踩雷。
1687416053# #微博手机影像年端午影像纪实瞬间。。蝉！。。荣耀Magic5Pro摄
1699408802# #立冬来了该抗寒了。。时间过得真快，一转眼就到立冬了，不过杭州好像没有过立冬的习俗和氛围，老杭州人会在立冬开始吃点膏方了，冬令进补正当时。
1698149326# #印尼封禁TikTok电商是一个错误。。印尼这样做的目的是为了扶持那些本土企业，跟保护线下实体店关系不大，不想TikTok做大而已！
1691365385# #电影孤注一掷提档。。孤注一掷点映的口碑似乎不错，有什么特别的亮点吗？
1703255217# #米家草莓总动员。。小米和迪士尼联名搞的蛮火的，这次的100周年限定版，感觉挺好看的。。小米科技年货节
1700381650# #这医院可以啊！建议杭州的医院也学习一下，提高一下服务意识！嘻嘻。。医院候诊室安排植物大战僵尸解闷
1693793164# #女朋友一部手机8个手机壳。。我发现一个小规律，身边用苹果手机的人似乎都非常喜欢换手机壳，特别是女生！
1695800032# #特斯拉已采用一体化压铸技术快速铸型。。特斯拉这个技术好是好，可以大幅度降低制造成本，不过对用户来说就不是这么友好了，撞一下屁股，可能让你连整个车架都换了！这成本，连马斯克要笑死。
1690612985# #贵州非遗传承人的村超魂这个夏天不能没有村超！赛场上热血激昂，赛场外村民和游客一起载歌载舞，看到这些怎么能不拍照分享！一张张精美的照片更成为了珍贵的回忆。
1690505792# #每天早起打卡。。早安！今天杭州上班！打call打call
1688564020# #李玟去世。。真的难以自信！
1697067549# #过度疲劳的6种表现。。看来真是过劳了！不想上班！
1693634712# #香港iPhone8P都随处可见，是香港人用手机务实？。。我觉得未必，而是香港人虽然工资比内地人高，但他们的生活成本也是非常的高，吃穿用度下来，剩下的也没有多少钱可以自由支配的。。。所以别盲目崇拜！有钱谁不想换好用点的手机？
1697849996# #非官方渠道Mate60全系溢价千元上下。。加价买犯不着，还是耐心点慢慢抢吧！
1702799966# #前员工称董宇辉孙东旭没有直接矛盾。。从董宇辉昨天的直播可以看出，他这个人真的太老实了，就算孙东旭欺负他，他也只会默默忍下！。。俞敏洪何德何能，能找到这么样一个忠心的人。
1702110060# #华为花粉年会开场的这个追光者舞蹈相当酷啊！。。2023华为花粉年会
1701416400# #你会因为刷手机导致入睡困难吗。。现在晚上不看一下手机，还真睡不着！
1698058923# #苹果未修复手机夜间随机重启问题。。iPhone随机重启的问题，已经上过最起码三次热搜了吧？这么长时间，苹果居然还没有修复这个bug？允悲。。我觉得苹果不是没有能力修复，还是想不想修复的问题，毕竟重启是随机的，并不会影响用户的购买，所以也不急了。
1703834149# #我心中的2023年度性能旗舰。目前使用的主力机是荣耀Magic5Pro，感觉还是蛮不错的。。。荣耀Magic5Pro护眼模式更显人性化，屏幕支持高频PWM调光和类自然光护眼技术，能随环境光线变化自动调节屏幕色温，让眼睛始终保持舒适状态。助眠显示功能还能根据我的作息时间自动调节屏幕色温，阅读或休息时都能提
1695251973# #每天早起打卡。。早安！杭州下雨了！限行➕下雨，真难受。。。荣耀Magic5Pro
1689209492# #每天早起打卡。。早安！早饭吃了吗？
1692856365# #海关总署全面暂停进口日本水产品。。不仅仅是海产品，日本的所有的产品我以后都不会买了，立帖为证！
1686965527# #月薪几万运营总监只会管鸡毛蒜皮。。我老婆的公司之前老板也是高薪请了一位公司运营，结果来公司后每天都是各种开会，喊各种口号。。。老婆回来就各种吐槽说他不靠谱，做了半年春节，放假后公司等他回来开工，结果人居然玩各种消失，老板才知道被骗了！
1700803009# #杨洋武汉到达。。昨天杨洋在荣耀100发布会上的讲话全程我录下来了，说的很好。杨洋
1699830781# #每天早起打卡。。早！周一不要迟到到！。。荣耀Magic5Pro
1693398778# #在某些人眼里，马达永远是核心技术！
1690196436# #荣耀平板MagicPad13这款拥有13英寸2.8KIMAXEnhanced护眼屏、搭载行业首创裸耳3D空间音频技术、荣耀超级办公、全新MagicOS7.2系统的大平板，实际表现究竟如何？今天小猪就带大家一起来了解一下！数码评测
1699750369# #每天早起打卡。。早！还在床上的举个手！
1702997711# #领导觉得办公室WiFi有辐射给拔了。。这老板可够坏的，明明是不想让你们蹭Wifi，还给了一个高大上的理由！允悲
1691049919# #抖音tiktok的中国文化输出能力，确实已经到了令人发指的程度，用不了几年，中国文化将对外国产生非常大的影响，比如最近中国城市的爆火就是一个明显的例子！
1695526657# #荣耀X40GT竞速版，借用雷总的与句话：“不要动不动就说888翻车，那得看谁家的888”
1690699700# #刀郎的《罗刹海市》威力太大了，虽然我们浙江台这届的《中国好声音》已经换了导师，不过评论区依旧被攻陷，没办法只能关闭评论。。。有网友觉得，刀郎《罗刹海市》中的歌词直指导师那英、杨坤、汪峰，还嘲讽了导师转身的场景。。。你觉得刀郎这是真的菜嘲讽谁吗？
1702262974# #为什么App总是知道你想买啥。。前几天想买个三脚架，就在平台上浏览了一下，结果打开某度的时候就发现有了我看的三脚架的广告推荐了，现在大数据真是厉害，瞬间感觉没有一点隐私了！。。想问问大家，有没有遇到过这样的情况？
1702102992# #电话号簿为什么叫黄页。。说实话，我见识少，黄页只听过或在电影里见过，就没见过真本本。
1699507587# #年轻人还愿意买电视吗。。电视作为的家里的电器三大件，现在似乎有点不香了，很多年轻人都不看电视，甚至家里都不安装电视了。
1700036869# #我个人的换机预算在10K左右吧！。。因为习惯了用的是安卓手机，而且习惯了用旗舰，所以自己换机的话我肯定不会换中端机将就。。。你的换机预算是多少？。。换手机你会准备多少预算
1699846481# #看看马斯克对付黄牛的办法！我感觉还是挺有效率的！。。“Cybertruck车主到手后一年内不得出售，如果要出售得先问特斯拉买不买，特斯拉不买才能出第三方。”。。国内厂商学习一下？
1699880040# #虽然，但是，库克居然也学会了我们电商的套路啊！不到最后时刻不要出手！允悲允悲允悲。。iPhone15双11最后两小时降价
1687409071# #在自欺欺人这方面，有些苹果用户，确实做到了极致！
1703748638# #荣耀的MagicOS8.0又有新功能上线了，看视频感觉是一个非常实用的功能，一拖就能打开应用，省去了很多打开应用的步骤，人机交互功能又更上一层楼。
