1698363499# #乌克兰武装部队第25空降旅突击了俄军的一个阵地，俘虏一群俄国兵。俄乌战争
1699537635# #11月7日至今以色列国防军开通走廊撤离加沙民众，加沙北部的哈马斯已是瓮中之鳖。以色列巴勒斯坦冲突
1688910193# #FGM-148"标枪"反坦克导弹再现战场，乌克兰驻波尔塔瓦的Centuria支队摧毁了一辆俄罗斯T-80坦克。俄乌战争乌克兰反攻
1699188756# #以色列军方说，自加沙地带的地面攻势开始以来，它已经击中了2,500多个目标。以色列军队还报告了一夜之间与哈马斯的几场枪战，并公布了在加沙作战的部队的镜头。以色列巴勒斯坦冲突
1688819398# #乌军在刚解放的村庄发现俄军遗留的小型后勤仓库。俄乌战争乌克兰反攻
1698570816# #以色列军队和ShinBet公布了他们声称自10月以来杀犯的55名哈马斯领导人的名单。以色列正式向哈马斯宣战
1701580715# #加沙战斗再次开始，哈马斯Shujayya营指挥官维萨姆·法哈特(WissamFarhat)被击毙。以色列巴勒斯坦冲突
1694408158# #一炮炸一窝：一支俄军突击队被乌军第54炮兵旅锁定,最后这支俄军突击队全部阵亡。俄乌战争
1690814187# #【沙特阿拉伯成为俄罗斯和乌克兰之间调解人的意外候选人】克里姆林宫发言人德米特里佩斯科夫今天上午一直在接受媒体采访，并为我们提供了一些最新情况。。。他首先说，乌克兰的反攻没有任何成功的迹象，基辅政权处于“困难的境地”。他声称，由于在战场上缺乏成功，北约通过向乌克兰运送武器和物资来“
1700261452# #路透社11月16日报道，乌克兰总统泽连斯基当天表示，乌克兰从俄罗斯手中夺取了黑海的主动权，而这要归功于基辅使用的海军无人艇。。。泽连斯基在社交平台Telegram上发文称，一支乌克兰的海军无人艇舰队已经开始在黑海行动，这“在世界上尚属首次”。他同时表示，乌克兰已经设法“从俄罗斯手中夺取了黑海的
1693706564# #乌军正在围攻扎波罗热西南方向的韦尔博韦村（位于已解放的罗博季涅以东）,有望在本周拿下这个长达7公里的村庄俄乌战争乌克兰反攻
1693008935# #俄占卡霍夫卡遭到袭击后发生严重爆炸。俄乌战争
1690561440# #知情人士报道，天朝🔥箭军行军大总管李X超、副总管刘X斌，和前副总管张X中，已被大内监军反腐调查人员带走。。。两名知情人士告诉《南华早报》，大内监军反腐调查人员及天下兵马大元帅府审计部门，正对🔥箭军行军大总管李X超、副总管刘X斌，和前副总管张X中展开调查。。。李X超是🔥箭军第三位行军大
1692775209# #俄罗斯国防部表示，MQ-9Reaper和TB2Bayraktar无人机接近被占领土克里米亚的塞瓦斯托波尔后，俄军派出战斗机拦截。俄乌战争
1688661033# #第三突击旅第二营的战士"谢尔申"侦察和打击部队的战果：三辆俄军装甲成员全部被摧毁。
1689034554# #【敌后惩凶：俄军改进型基洛级潜艇克拉斯诺达尔前指挥官、克拉斯诺达尔动员办公室副主任斯坦尼斯拉夫·日茨基在克拉斯诺达尔被枪杀】。。7月11日，俄罗斯报纸报报道，克拉斯诺达尔市动员工作部副部长、“克拉斯诺达尔”号潜艇前艇长、二级大尉斯坦尼斯拉夫·日茨基，在克拉斯诺达尔市胜利30周年公园附近被
1688650452# #【普里戈任“泄露”的个人照片似乎显示瓦格纳头子伪装得离奇】网上流传的图像显示瓦格纳集团头子叶夫根尼·普里戈任穿着一些奇怪的伪装。这些照片来自普里戈任的个人相册。。。一家亲克宫的报纸分享了一些照片，显示假发架，俄罗斯国家电视台分享的突袭视频似乎显示豪宅里有一些假护照（见早上6点49分和7
1688854497# #7月8日傍晚亚速营指挥官丹尼斯·普罗科彭科在利沃夫召开记者招待会：宣布将重返前线。马里乌波尔亚速钢铁厂俄乌战争
1691141481# #【俄罗斯黑海舰队大型两栖攻击舰再次遭到乌克兰用海上无人艇袭击，受损严重】。。乌克兰用海上无人艇袭击了俄罗斯在黑海的主要港口新罗西斯克湾，大型两栖攻击舰“奥列涅戈尔斯基矿工”号受严重，舰体已经发生倾斜。。。袭击发生在今天凌晨，网上分享的视频显示，港口附近发生了巨大的爆炸声，该港口是俄罗
1698190028# #【加拿大已有41名外交官以及他们的40多名家属撤出印度】加拿大外长乔利星期四（10月19日）在渥太华向媒体证实，印度方面已通知加方，将在10月20日之前对除了加拿大驻印21名外交官员及其家属之外的其余人员取消外交豁免权。印方此举的理由是外交对等。。。乔利批评印方决定单方面撤销外交豁免权之举“违反
1699487942# #缅甸抵抗运动占领了实皆的塔穆和卡莱的四个军政府哨所。缅北多地爆发激烈战事
1690558932# #7月27日，顿涅茨克州南部斯塔罗迈尔斯克村被AreiUDA第7营的士兵解放，该村是俄军一条重要防线，接下来乌克兰武装部队将沿着莫克里亚利河南下，剑指马里乌波尔。俄乌战争乌克兰反攻
1697938533# #“伊拉克伊斯兰抵抗运动”声称用无人机瞄准并击中了艾因阿萨德基地。以色列正式向哈马斯宣战
1693706047# #乌军已经进入韦尔博韦村的西郊。俄乌战争乌克兰反攻
1699568384# #俄罗斯国防部声称在被占领的克里米亚附近击落了海王星反舰导弹。俄乌战争
1697640679# #不久前以色列北部城镇的火箭弹警报器响起。以色列正式向哈马斯宣战
1699226173# #谁来救救伊朗女孩！谁来救救玛莎·阿米尼和阿米塔·杰拉万德！
1699229975# #万税！
1697582615# #白宫确认ATACMS（陆军战术导弹）交付。“美国最近向乌克兰提供了一种能够射程达165公里的ATACMS。我们相信这将大大提升乌克兰的战场能力，而不会危及我们的军事准备“
1698187604# #天朝致仕前尚书左仆射刘隺鳥仍为吾皇陛下献策，吾皇视为对米帝之锦囊，常召之左右，使监贝才（上禾下女）会，天朝果乏人矣。
1703944724# #【俄罗斯巡航导弹进入波兰领空测试北约的防空预警系统是否有效，同时也是在向北约示威】12月26日波罗的海南部地区受到严重的GPS干扰，也覆盖了波兰的大片地区和瑞典的南端（图1），12月29日俄罗斯巡航导弹进入波兰领空，逗留三分钟后离开，俄罗斯在测试北约的防空预警系统是否有效，同时也是在向北约示
1688854670# #【俄罗斯边境地区“遭到猛烈炮击”】当地州长声称，别尔哥罗德边境地区过去一天面临乌克兰的猛烈炮击。。。维亚切斯拉夫·格拉德科夫说，袭击中有两人受伤。。。格拉德科夫声称向别尔哥罗德发射了100枚炮弹，目标是别尔哥罗德斯基，鲍里索夫斯基，瓦卢伊斯基，克拉斯诺亚鲁日斯基和谢别金斯基地区。。。乌克兰
1698767664# #美国国务卿自从我们切断了俄罗斯传统的军事供应手段以来，俄罗斯越来越多地转向伊朗寻求援助。作为回报，莫斯科向伊朗提供了越来越先进的军事技术。俄乌战争
1698278565# #智者之言。
1698310556# #俄罗斯间谍组织在苏梅地区被曝光，3人被拘留。俄乌战争
1690245489# #【乌克兰地面部队以一个新的坦克旅的形式获得了相当可观的额外兵力】。。复员、重新启用、用作补给和再次启用，这就是乌克兰第五坦克旅过去几年的故事。该部队早在2016年就组建为预备役坦克旅，但随后在2022年2月俄罗斯全面入侵后才复员并重新启用。。。然而，由于头几个月多条战线上的激烈战斗和其他作战
1695442514# #9月22日乌军使用无人机和阴影风暴导弹攻击位于克里米亚半岛的黑海舰队总部。俄乌战争乌克兰反攻
1696779743# #以色列军队随机向数万名加沙居民发送短信，要求他们“立即”撤离家园。以色列巴勒斯坦冲突
1699963778# #以军对黎巴嫩南部纳库拉的拉布内发动炮击。以色列巴勒斯坦冲突
1698251005# #乌克兰国防军在扎波罗热地区以西取得了部分成功。俄乌战争
1688339748# #第三突击旅在巴赫穆南线顿巴斯运河岸边大展拳脚，向俄罗斯发起攻势。俄乌战争乌克兰反攻
1698349339# #自10月11日以来，俄罗斯遭受了重大损失，包括阿夫迪夫卡周围的至少125辆装甲车。——美国国家安全局约翰柯比俄乌战争
1688397471# #乌克兰武装部队总参谋部估计俄罗斯损失为230260人。俄乌战争乌克兰反攻
1692850610# #普里戈津飞机坠机现场的另一视频。瓦格纳创始人坠机身亡
1697585407# #【缅甸官方通报，两名缅北官员涉嫌电信网络诈骗犯罪，被中国公安部悬赏通缉后遭撤职】。。缅甸佤邦联合党中央委员会星期一（10月16日）发布通报，近期中国公安对佤邦建设部部长鲍岩板和勐能县县长何春田下发了通缉令，两人身为佤邦高级干部触犯中国相关法律、法规，此事给佤邦在国际和周边地区造成了巨大
1693293965# #精日份子与黄俄份子一样可耻。
1699135240# #【乌克兰第14机械化旅的组成】。。分析。第14机械化旅是乌克兰地面部队中技术较强的部队之一，以在全面入侵开始时保卫马卡里夫而闻名，这对于防止从西部包围基辅至关重要。在过去的几个月里，它几乎一直部署在库皮扬斯克-斯瓦托夫轴线上。。。该旅的主要战斗机构由其三个机械化营组成。。它们主要装备有BM
1689034925# #俄占扎波罗热州的瓦西利夫卡找到乌军导弹袭击发生爆炸。俄乌战争乌克兰反攻
1699462301# #【以色列国防军说它正在“加沙城的中心地带”作战】据以色列国防军指挥官称，以色列军队已经深入加沙城。。。“几十年来，以色列国防军第一次在加沙城的中心地带作战。恐怖主义的核心，“亚伦·芬克尔曼少将说。。。当地没有迹象表明以色列军队已经集体进入该市，但军方发言人理查德·赫克特（RichardHecht
1697277518# #以色列军方说，在加沙地带的一夜空袭中，哈马斯空军负责人穆拉德·阿布·穆拉德被打死。据以色列军队称，这次袭击的目标是该组织管理其空中活动的总部。以色列巴勒斯坦冲突以色列正式向哈马斯宣战
1691165484# #乌克兰安全局警告瓦格纳PMC在白俄罗斯Mozyr炼油厂进行假旗行动。俄乌战争乌克兰反攻
1689244197# #瓦格纳大纵队在M4公路上向莫斯科方向移动，据报道瓦格纳部队将从罗斯托夫地区的野战营地转移到白俄罗斯。俄乌战争瓦格纳
1692839228# #【草寇普里戈津gameover了，这哥们儿前两天还在非洲发视频】根据初步数据，一架尾号为RA-135的巴西航空工业公司ERG02795飞机在特维尔地区坠毁，属于叶夫根尼·普里戈津。普里戈津的第二架飞机在第一架飞机于空中爆炸后立即返回莫斯科。。。俄罗斯媒体报道说，叶夫根尼·普里戈津和PMCWagner军事指挥官乌
1692850708# #外交大臣布林肯：克里姆林宫又销毁了13，000吨粮食，这些粮食将用于养活埃及和罗马尼亚的人民。俄罗斯对乌克兰粮食储存、船只和港口的袭击正在使世界挨饿。普京毫无意义的战争远远超出了乌克兰。
1696384602# #黄鹅口嗨的能力宇宙第一
1697115295# #约旦武装部队与埃及当局充分协调，向阿里什国际机场派出第一批救济援助飞机，准备通过拉法陆路过境点运往加沙地带。以色列巴勒斯坦冲突
1698475619# #以色列部队和巴勒斯坦好战分子在拜特哈嫩附近地区以及据报在加沙中部马加齐以东地区继续发生激烈冲突。枪声、坦克、大炮和空袭声都可听到。据报道，以色列军队目前仍在加沙。以色列正式向哈马斯宣战
1688661081# #乌克兰反坦克导弹准时准点精确抵达俄罗斯T-72B3坦克。俄乌战争乌克兰反攻武器装备
1702219455# #马基夫卡俄军油库爆炸。俄乌战争
1697115595# #以色列军队正式证实，部队在周六早上袭击苏法基布兹的巴勒斯坦武装分子的物品中发现了一面伊斯兰国旗帜。。。以色列总理：我们将“粉碎”哈马斯，我们将像对待伊斯兰国一样对待它。。以色列巴勒斯坦冲突
1688601292# #在巴赫穆特郊区5名俄军向乌军投降“我们是动员兵，别杀我们”，投降是明智选择。
1696833394# #直到今天上午，哈马斯战斗人员和以色列部队在加沙地带周围地区的冲突仍在继续。哈马斯增援部队仍在抵达冲突现场。以色列巴勒斯坦冲突
1688909785# #俄罗斯钢铁洪流，一次又一次的试图突破阿夫迪夫卡的乌方阵地，至少21辆装备报销。俄乌战争乌克兰反攻
1700886264# #缅甸果敢老街的战斗正在激烈进行中。缅北多地爆发激烈战事
1688341285# #马赛，革命传统！法国骚乱
1690903326# #圣彼得堡的征兵办公室被纵火。俄乌战争
1691238974# #乌克兰对俄罗斯阿纳帕、新罗西斯克、格连吉克、图阿普塞、索契和塔曼等港口发布战争风险预警通知。。。乌克兰安全局警告所有俄罗斯船只离开乌克兰领海，否则将作为合法目标受到攻击。俄乌战争乌克兰反攻
1692720384# #8月22日,乌克兰第88独立海军陆战队步兵营解放了顿涅茨克地区的科马尔村庄。俄乌战争乌克兰反攻
1688948843# #乌克兰第77空中机动旅的战士使用毒刺防空导弹打击俄军直升机。
1697753932# #白宫：今天下午，拜登总统在今晚发表讲话之前与乌克兰总统沃洛德米尔·泽伦斯基举行了电话会议，讨论美国在俄罗斯残酷战争中继续支持乌克兰的承诺。俄乌战争
1697494971# #美国有线电视新闻网：据多位国防官员称，美国国防部长劳埃德·奥斯汀已下令大约2000名士兵准备可能部署到以色列，以帮助完成医疗和后勤支持等任务。以色列正式向哈马斯宣战
1688825772# #在土耳其访问的泽连斯基带回了马里乌波尔亚速斯塔尔钢铁厂之战的英雄指挥官团队。亚速营的丹尼斯·普罗科彭科、斯维亚托斯拉夫·帕拉马尔、谢尔盖·沃伦斯基、奥列·霍门科、丹尼斯·什莱哈等人。。。当初与俄罗斯交换战俘的时候，协议规定这5人要俄等到乌战争结束以后才能回乌克兰，但是现在是时候让这些英
1698251196# #以色列军队在叙利亚投放传单，警告SAA成员和指挥官，持有SAA，特别是负责从叙利亚向以色列发射火箭的第112旅指挥官。以色列正式向哈马斯宣战
1697442439# #当地时间10月15日，伊朗伊斯兰革命卫队情报局长穆罕默德•阿基基遭到暗杀，据当地媒体报道，该男子伤势严重，正在医院接受重症监护。以色列巴勒斯坦冲突
1699228011# #【形式主义害死人！转自乌克兰真理报：俄罗斯袭击了乌克兰武装部队的军队，他们聚集在一起颁奖，20多名士兵被杀】&nbsp;。。俄罗斯军队袭击了前线扎波罗热一村庄的乌克兰士兵，他们可能聚集在一个地方是为了纪念炮兵日而颁奖，初步我们可以认为有20多人死亡。。。资料来源：《乌克兰真理报》在内政部的消息来源
1700263569# #【以色列总理的一名高级顾问敦促加沙南部汗尤尼斯的平民听从撤离的呼吁】。。“你看到了加沙市发生的事情，”马克·雷格夫告诉天空新闻。。。“汗尤尼斯也是哈马斯活动的中心。。。以色列部队在汗尤尼斯附近投下传单，告诉人们离开。。。类似的传单被投向北方，标志着地面行动的开始。。。“我们要求平民：请远离
1697291382# #56名被通缉的人，其中25人是哈马斯特工，今晚在约什、贝卡和山谷被以色列军队和辛贝特逮捕。自战争开始以来，约有280名被通缉的人被捕，其中157人是哈马斯特工。以色列正式向哈马斯宣战
1689473922# #顿巴斯前线总指挥陆军司令西尔斯基上将前往巴赫穆特前线视察,并为士兵们颁发勋章。俄乌战争巴赫穆特
1688340472# #【天空新闻：法国普遍的抢劫是升级和令人担忧的迹象】愤怒、怨恨、悲伤——这就是来自马赛的信息。。。在法国的第二大城市，根深蒂固的挫败感已经演变成抢劫和破坏行为。。。KaoutherBenMohamed为穷人争取更好的权利。她说，这里的破坏令人难过，但考虑到许多居民感到沮丧，这并不奇怪。。。“与法国其他地
1689521357# #【俄军第96独立侦察旅旅长阵亡】7月16日，乌克兰独立通讯社报道，乌克兰军官阿纳托利·斯特凡·斯季尔里茨称，来自俄罗斯下诺夫哥罗德的第96独立侦察旅的指挥官马克西姆·哈拉莫夫上校在6月4日被乌军“清除”，他还发布了一张哈拉莫夫上校的照片。。。截至2023年7月15日上午，乌克兰武装部队总参谋部报告说
1692763917# #扎波罗热地区罗博季涅的战斗镜头。这段视频是从乌克兰方面拍摄的，该村庄经过一两个月的战斗，终于被乌军拿下，乌军已进入苏罗维金防线的第二道防线。俄乌战争
1697869318# #乌克兰军方证实了有关其军队已越过俄罗斯占领的第聂伯罗河左岸(东部)的报道。。。报道说，乌克兰武装部队总参谋部将河以东3公里(两英里)的赫尔松南部地区皮什查尼夫卡村，列为遭到俄罗斯炮击的地区。。。总部位于美国的战争研究所(ISW)表示，乌克兰军队已向河流以东4公里处推进。俄乌战争
1691214279# #无耻黄鹅的精神家园
1693389332# #【加蓬总统选举：在该国总统选举结果公布后，一群高级军官宣布在加蓬发动政变】他们出现在国家电视频道加蓬24上，宣布他们在阿里·邦戈总统获胜后夺取政权。。。近十几名士兵表示，他们代表了中非国家的所有安全和国防部队，并补充说选举结果被取消，所有边界都关闭，直到另行通知，国家机构解散。。。周三
1691988695# #【俄乌战争最新战况】。。◆顿涅茨克阵线。。乌克兰军队推进并到达了乌罗扎因的中心。。有人看到俄罗斯军队在乌罗扎因定居点的炮火下撤退。。。鉴于上述信息，我认为可以安全地假设定居点中没有俄罗斯的存在。。。◆扎波罗热前线。。乌克兰军队从北部进入罗伯季涅定居点。乌克兰反攻俄乌战争
1696861379# #以色列军方正在向黎巴嫩边境派遣大量增援部队。以色列军方此时袭击了真主党的几个目标。以色列巴勒斯坦冲突以色列空袭加沙地带
1698309848# #10月25日，以色列国防军继续空袭加沙中心城市的哈马斯目标。以色列正式向哈马斯宣战
1700960816# #果敢同盟军在过去24小时的战斗中抓获的部分俘虏，从着装来看应该是缅甸政府控制的四大家族伪军。缅北多地爆发激烈战事
1692715987# #世界第二军的破铜烂铁：为迎接8月24日乌克兰独立日庆典，世界第二军贡献颇多。俄乌战争武器装备
1703581400# #克里米亚塞瓦斯托波尔菲奥伦特角别墅地区遭乌军导弹袭击。俄乌战争
1700063029# #11月14日，缅北果敢，四大家族之一的明学昌家族派出的三名侦查兵，偷偷摸到同盟军控制区，试图摸清同盟军部署情况，为明学昌逃跑找到安全出路。被同盟军发现后，二人被击毙，一人被被俘虏。。。四大家族现在被同盟军团团围困在老街中，缅甸政府军不敢解救，又不甘心如同盟军要求的向中国自首，在老街也
1689814868# #【在敖德萨摧毁的粮食是运给中国的，黄鹅笑子们继续嗨吧】俄罗斯军队袭击了敖德萨和切尔诺莫斯克港口的粮食码头。泽连斯基总统：在敖德萨摧毁的粮食是运给中国的。俄乌战争
1691247905# #【黄鹅如何为爹辩护？】联合早报：中国驻俄罗斯大使馆星期五（8月4日）抨击俄罗斯“野蛮执法”阻挡中国公民入境，损害中国公民权益，就此向俄罗斯提出交涉。。。“中国驻俄罗斯大使馆”微信公众号星期五发布消息称，五名中国公民7月29日拟驾车从哈萨克斯坦经阿斯特拉罕州卡拉乌泽克口岸入境俄罗斯时遇阻
1690036609# #无人机袭击了被占领的克里米亚Oktyabrske（奥克蒂亚布斯克）的弹药库、油库和机场，有报道称发生二次爆炸，占领当局宣布疏散半径5公里内的人口。俄乌战争乌克兰反攻
1695728685# #【HIMARS有幸参加了在赫尔松附近的俄军某团部举行的会议】一段最近在赫尔松附近的俄罗斯人临时控制点“棉花”的视频流出，在乌克兰国家安全局（SBU）的指导下HIMARS导弹参加了俄罗第70摩托化少兵师第24摩托化步兵团军官的日常会议。。。会议提前结束，8名军官永远除役且不朽，7名军官正在疗养中。
1702214764# #哦豁，完球了！缅北白所成等四大家族彻底玩完。今日通缉：缅北多地爆发激烈战事揭秘缅北果敢四大家族
1690244851# #【顿涅茨克和扎波罗热最新战况】。。◆顿涅茨克：。俄罗斯军队在马林卡和克拉斯诺霍里夫卡之间遭到地雷袭击。所有可用的地理定位视频都显示那里有俄军的存在。。。俄军袭击并占领了现在被毁坏的马林卡的更多领土。。。俄罗斯军队从武勒达尔东南部地区撤退。乌克兰军队试图将敌人推得更远，但他们驶入了一个准
1694832254# #俄罗斯叶卡杰林堡轴承厂发生大火。俄乌战争
1689574284# #刻赤大桥发生爆炸，克里米亚伪政府当局负责人说，2人死亡，1人受伤，至少1个跨度倒塌。。。俄罗斯调查人员指责乌克兰特种部队使用2架海军无人艇袭击刻赤桥。。俄乌战争乌克兰反攻
1692808227# #埃尔多安说，土耳其不承认吞并克里米亚。“克里米亚是乌克兰的一个组成部分。我们继续支持乌克兰的领土完整。埃尔多安呼吁释放被俄罗斯监禁的克里米亚鞑靼领导人。俄乌战争
1693373026# #普斯科夫机场遭到GUR无人机袭击，4架“伊尔-76”运输机在烈火中熊熊燃烧，据报道发生了十多次爆炸，有数架鹅军飞机被摧毁，损失惨重，斯科夫机场取消了所有航班以估计损失，莫斯科地区机场的航班也暂停。俄乌战争乌克兰反攻普斯科夫机场遭到GUR无人机袭击多架“伊尔-76”运输机被毀
1688949086# #梅利托波尔以北的俄罗斯军事基地被乌军巡航导弹击中发生爆炸。俄乌战争乌克兰反攻
1693705444# #保住性命的俄军俘虏。俄乌战争
1699940538# #【极右翼以色列部长张贴以色列国防军部队在加沙议会内的照片】以色列极右翼国家安全部长伊塔马尔·本-格维尔（ItamarBen-Gvir）在加沙市的巴勒斯坦立法委员会大楼内张贴了一张以色列国防军（IDF）部队的照片。。。据Ben-Gvir先生说，这张照片的主角是以色列国防军戈兰尼旅的成员。。。照片发生后不久，以色
1702509337# #据美国国防官员称，梅森号驱逐舰击落了一架从也门起飞的胡塞无人机。疑似单向攻击无人机驶向梅森，梅森正在回应胡塞武装袭击MVArdmoreEncounter的报告，使用小艇，然后发射了2枚导弹回应，无人机未命中目标。舰艇没有损坏也没有人受伤。以色列巴勒斯坦冲突
1694833303# #卢卡申科在索契与普京会晤时声称波兰部队成立并待命进入乌克兰。俄乌战争
1702509377# #以色列军方发言人用阿拉伯语向汗尤尼斯居民发表讲话：“为了维护你们的安全，我们敦促你们立即撤离到Tela-Sultan，a-Zohor和a-Shabora附近的流离失所者避难所”。以色列巴勒斯坦冲突
1696803298# #美国防长奥斯汀宣布，他已指挥杰拉尔德·R·福特号航母打击群向东地中海移动，这是哈马斯袭击以色列后的武力展示。他还采取措施加强美国空军在该地区的F-35，F-15，F-16和A-10中队。以色列巴勒斯坦冲突第六次中东战争会爆发吗
1698851981# #以色列犹太人、阿拉伯人和穆斯林聚集在特拉维夫，为遭受哈马斯袭击的贝都因人和犹太社区收集和分发物资。以色列巴勒斯坦冲突
1699578913# #以色列将每日人道停火时间从4小时延长至6小时，允许加沙走廊居民穿越萨拉丁路线！美国白宫斡旋下以色列允许每日停火目的是在持续的冲突中将数万名公民向南迁移！巴以冲突以色列巴勒斯坦冲突
1699462018# #以色列外交部长：我们正受到来自黎巴嫩的哈马斯和真主党以及也门胡塞武装的袭击。。。哈马斯说，它今天在加沙的几条战线上摧毁了15辆以色列车辆。。。胡塞武装声称在也门领海上空击落一架MQ-9“死神”无人机负责。以色列巴勒斯坦冲突
1697277376# #以色列军队已通知加沙居民，在10：00至16：00之间，以色列军队将允许在加沙的Hayam街和Salahal-Din街之间自由行动，以便建立一条人道主义走廊，使居民能够逃往南部;以色列军队将允许加沙居民逃往南部。以色列军队发言人用阿拉伯语对居民说：“如果你关心自己和你所爱的人，请利用这一点，向南搬到汗尤
1688910051# #扎波罗热南部一套俄军的布克-M1防空导弹系统被摧毁。俄乌战争乌克兰反攻
1692886008# #坠毁飞机上的乘客照片浮出水面，天空新闻已经开始收集到俄罗斯航空当局报告在坠毁喷气式飞机清单上的一些人的照片。。。图1:叶夫根尼·普里戈任在瓦格纳雇佣兵集团等级制度中的得力助手德米特里·乌特金。。。图2:亚历山大·托特明，瓦格纳战士，被认为是普里戈任的保镖之一。。。图3:瓦列里·契卡洛夫是普里戈任
1700377617# #乌克兰防空系统击落了一夜之间发射的20架Shahed无人机中的15架。俄乌战争
1695920696# #泽连斯基总统在基辅会见了英国国防大臣格兰特·沙普斯。。。法国国防部长已抵达基辅进行工作访问。大约20名国防工业企业代表也与他一起抵达。俄乌战争
1691217614# #【巴赫穆特最新战况】乌克兰军队继续在巴赫穆特周围进行反攻行动，但截至8月4日尚未取得确认的领土收益。乌克兰国防部副部长HannaMalyar表示，乌克兰军队正在通过俄罗斯密集的炮火继续向巴赫穆特的南部侧翼推进。俄罗斯军事博客声称，截至8月4日，巴赫穆特前线的局势没有改变，克利什奇夫卡（巴赫穆特
1697088443# #拜登称哈马斯的袭击是“一场纯粹残酷的运动”和“自大屠杀以来犹太人最致命的一天”。“沉默是同谋.我拒绝保持沉默。”他说。。。拜登告诉美国犹太组织的负责人：“重要的是美国人看到正在发生的事情。我已经这样做了很长时间——我从没想过我会看到并确认武装分子斩首儿童的照片。”。
1688816934# #7月8日俄乌战争第500天,泽连斯基前往蛇岛,缅怀在这场反侵略战争中献出宝贵生命的护岛英雄。俄乌战争乌克兰反攻
1697754030# #在加沙的AlAhli阿拉伯医院-“我们的评估是以色列不应对爆炸负责”，根据
1696687583# #乌克兰国防军已向北推进到科帕尼和新普罗科皮夫卡附近。俄乌战争
1701259020# #今日同盟军全面收复果敢拱掌，兴旺区宣告解放！缅北多地爆发激烈战事
1692808659# #乌克兰议会投票赞成在扎波罗热地区建立瓦西利夫卡、梅利托波尔、波洛希军事行政当局。
1698310088# #哈马斯成员袭击以色列平民的嚣张及被以军还击之后的怂样。以色列正式向哈马斯宣战
1692701295# #俄罗斯国防部声称，莫斯科时间11点左右，在兹米尼岛以东，一架俄罗斯飞机摧毁了一艘美国制造的威拉德海上部队高速军用艇和一个登陆群。俄乌战争
1697938930# #【真主党说它“已经处于战斗的核心”】一名真主党高级官员表示，他的激进组织“已经处于战斗的中心”并“取得了成就”。。。黎巴嫩激进组织副领导人谢赫·纳伊姆·卡西姆也发誓以色列在加沙发动地面攻势时将付出高昂的代价。。。以色列军方表示，将从今天开始加强对该地区的袭击，为下一阶段的战争做准备。。。
1693875623# #【扎卢日内任命乌克兰英雄为利沃夫地区首席军事委员】。。乌克兰武装部队总司令瓦列里·扎卢日内将军任命乌克兰英雄丹尼斯·柴克为利沃夫地区领土招募和社会支持中心的负责人。。。Chayuk是反恐行动的参与者。他参加了顿涅茨克地区卢甘斯克机场和杰巴尔采夫市的战斗。全面战争开始以来，他一直担任第128独立
1699486658# #【白伪军的恐慌：果敢白所成伪政府发布于前天晚上的公告】。。果敢自治区治安防御指挥中心发布：果敢治安通令。。凡果敢老街内的居民、百姓，如果发现任何人包庇和窝藏彭家叛匪(同盟军)的卧底人员，不论出于何种理由和原因，都将被视为极度危害地区安全的敌人，并予以最严厉的处理，绝不姑息！。
1690175557# #5月19日拿到6月21日清仓，等了一个月了，再等等，好的猎人在于能够耐心等待，把握时机。5月19日笔记：一轮多板似老妖，工业富联勿畏高。逻辑纯正财报好，白马飞天万马朝。$工业富联sh601138$
1696626063# #【巴尔干火药桶重燃：9月下旬对科索沃的围困使人们担心，巴尔干的另一场大火可能正在相对平静时期的表面之下酝酿】。。在枪手袭击下面山谷的Banjske村之后，科索沃警察正在这些北部地区重申他们的权威。。。9月下旬，30多名全副武装的塞族准军事人员发动的袭击是这个新生国家多年来最严重的暴力爆发。。。围
1691339749# #琼加尔大桥和黑尼切斯克的桥梁遭到导弹袭击。俄乌战争乌克兰反攻
1698191221# #中菲船只星期天（10月22日）在仁爱礁附近海域发生两次碰撞。
1689902361# #T90天火开颅手术，炮塔飞老高了。俄乌战争
1699940939# #以色列军方发言人丹尼尔·哈加里少将说，海军精锐的Shayetet13突击队和第401装甲旅突袭了加沙城的兰提西医院，哈马斯特工被藏在那里。在兰提西医院内发现哈马斯的武器。。。以色列军方发言人目前正在举行新闻发布会，提出据称哈马斯使用al-Rantissi医院作为基地的证据，包括存放自杀背心，使用隧道等。他
1700147942# #俄罗斯伏尔加格勒一个军工厂昨晚发生大火。俄乌战争
1689430323# #【白罗斯已同俄罗斯雇佣兵瓦格纳集团达成协议，由瓦格纳集团为白罗斯军队提供训练】白罗斯国防部星期五（7月14日）发表声明说，白罗斯国防部和瓦格纳集团管理层已制定一套路线图，瓦格纳集团将为白罗斯不同军种单位提供培训和分享经验。。。声明说：“我们的国土防御部队正在阿西波维奇（Asipovichy）附
1699486240# #彭家声的女婿，缅甸掸邦第四特区司令林明贤紧急声明：“我啥都不参与”！但是肯定暗中支持小舅子吧。缅北多地爆发激烈战事
1693990053# #在扎波罗热方向集结的乌军"钢铁洪流"。俄乌战争乌克兰反攻
1696576524# #乌克兰总统泽连斯基在西班牙格拉纳达会见亚美尼亚总理帕希尼扬。俄乌战争
1690079795# #据报道，Tu-22轰炸机疑似发射Kh-22导弹后，敖德萨发生爆炸。俄乌战争
1700489200# #以色列军队抵达加沙司法宫前。以色列巴勒斯坦冲突
