1696487887# #能打败全红婵的只有记者看的出来能打败全红婵的只有记者，采访比拿金牌都难！
1696592008# #农村的流水席为什么那么好吃农村的流水席为什么那么好吃，根本吃不够
1692888914# #东北的物价普遍都是这么低吗感觉东北的物价真的好低啊，本人表示很羡慕
1688092353# #前同事突然跟我说他要结婚了前同事突然跟我说他要结婚了
1688779903# #因为跟同事关系不合离职了因为跟同事关系不合，结果自己主动离职了
1693308532# #真的好反感公共厕所里的马桶一直都不理解为什么公共厕所需要弄马桶
1688812097# #原来空调真的需要每年都清洗原来空调真的需要每年都清洗
1694477266# #西安地铁的禁止标志有多离谱西安地铁这是经历了什么？
1689431869# #喜欢睡觉的时候把手举过头顶喜欢睡觉的时候把手举过头顶
1692414290# #学校的流浪狗把我当主人了因为喂了流浪狗两根肠，结果流浪狗就一直跟着我
1687921955# #浙大的食堂让我很难瘦下来浙大的食堂让我很难瘦下来
1697812015# #被丁真的颜值惊艳到了真的有被丁真的颜值惊艳到
1689414277# #最近可以先暂时关闭朋友圈最近可以先暂时关闭朋友圈，因为看着别人出去玩，自己也想出去玩
1688043173# #怀孕后公司不给我批辞职报告怀孕后公司不给我批辞职报告
1702710335# #12月有太多的盼头了“十二月有太多的盼头了盼着平安夜圣诞节倒计时跨年元旦回家春节和你”
1694176279# #盖厚被子睡觉更有益睡眠被子盖的厚重，睡眠就越香
1703862612# #被李健的歌声整破防了。李健老师的声音好释怀啊泪。
1689431168# #当早上出门忘记给猫猫添饭时当早上出门忘记给猫猫添饭时，一脸委屈的猫猫
1696603079# #韩国的水果可以有多贵一盒水果将近1000块左右，吃不起，根本吃不起
1691042196# #再也不想给指甲做美甲了再也不想给指甲做美甲了
1697720377# #没想到在南方买柚子还给剥皮南方人这么细致吗？？买柚子还给剥皮吗？？？北方人表示不可思议！！！
1696313624# #自从看完全红婵的跳水后，感觉谁的水花都大允悲
1692066339# #千万不要和爸妈出去旅游建议不要和爸妈一起出去旅游
1694151264# #邻居把鞋柜放在门口该怎么办准备空房装修搬进去，也有委婉的通过管家跟邻居说，能不能把你们的东西挪一下，怕进家具剐蹭，邻居直接找到家里来，说不碍事不用挪。
1688990558# #跟相亲对象吃饭可以有多社死隔着屏幕都开始尴尬了
1704056354# #
1688206525# #被同事问家里是干什么的被同事问家里是干什么的
1700698905# #跑步的大爷迷失在加油声中跑步的老大爷迷失在年轻人的加油声中…真迷失，最后摔倒还是挺危险的！
1693752285# #为什么现在酒店都不收押金了现在退房把卡给前台就行了，都不怕里面的东西（充电线，烧水壶，吹风机等）被拿走了吗？
1690715591# #朋友圈的哪些行为会令人反感朋友圈的哪些行为会令人反感
1689689997# #没想到发量太多也会有烦恼没想到发量太多也会有烦恼
1699932697# #啊这...开学季
1700533198# #都不敢想身临其境的时候是多么震撼开学季
1687182652# #刚想离职结果被公司辞退了刚想离职结果被公司辞退了
1692144777# #山东驾校的教练车都这么壕吗山东的驾校教练车都这是这么壕的吗？
1688474143# #毕业后失去了所有的人际交往毕业后失去了所有的人际交往
1692679525# #广东人真的很喜欢不锈钢饭碗以前我是以为全国人民都喜欢用不锈钢碟盆锅，直到我上了大学，认识了很多朋友，每次节日聚餐的时候，广东朋友家庭聚餐饭桌上清一色的不锈钢
1698326610# #为什么吃碳水反而会瘦为什么吃碳水反而会瘦？
1688806560# #农学生的崩溃往往只在一瞬间我的小麦大批量倒伏，不知道粒重还准不准。
1691288393# #西藏最大的挑战是旱厕西藏最大的挑战是旱厕
1692500510# #当我为找到车位而欣喜若狂时找车位时经常这样，开过去后发现里面停了半辆车
1688042495# #月薪一万的工作被我拒绝了月薪一万的工作被我拒绝了
1702548422# #成都连绿化带都种豌豆了成都绿化带种豌豆颠儿了！啊啊啊啊啊已经老了老了老了！家人们！谁懂啊！！！！
1688472432# #大学毕业后被导师删掉了好友大学毕业后被导师删掉了好友
1702612461# #不是他颜色对不上
1702698910# #最适合跨年的城市有哪些最适合跨年的城市有哪些呢？
1695455811# #不用的手机壳可以用来放香皂专门从家里带来的废手机壳，每次用完都会洗干净。还专门垫了层塑料袋，应该也挺不错的吧，主打一个能不买就不买
1697718780# #屈楚萧是有点搞笑在身上的屈楚萧多少有点喜剧人了，太搞笑了吧
1703297416# #不正常，我都不跟我弟说话，因为他数学考了二十分
1690636443# #看得出来福建人都不吃火鸡面看得出来福建人都不吃火鸡面
1691763338# #四川的兔子都是吃辣椒长大的四川的兔子都是吃辣椒长大的
1692750111# #为什么四川人的皮肤那么好为什么美女那么多，感觉这边天气也很热，太阳很大，但是无论男女皮肤都很白，吃饭口味也很重，比较辣，为什么皮肤还那么好，真的羡慕了
1694227528# #小朋友都是骑滑板车上下学吗现在的小朋友都是骑着滑板车上下学吗？
1696553030# #原来全红婵也是个搞笑女搞笑女实锤，台上夺金，台下喜剧人，社牛式领奖笑不活了！
1692661814# #我来证明是真的我以前当杂食动物（吃草偏多）的时候100斤后来听说蛋白质减肥变成肉食动物以后到达了前所未有的88斤因为消化蛋白质需要更多的能量偷笑
1699193424# #没想到红薯还能用来做盆栽用红薯做盆栽竟然也是一道靓丽的风景线
1697636086# #穿50块的鞋子被室友羞辱了因为穿50块的鞋子，结果被室友当众羞辱了
1701325275# #做一个随机点名的软件，把他们吓死开学季
1693737248# #长沙烧烤的分量真的这么少吗长沙的烧烤一串烤肉分量这么少，真的浪费竹签和人力，这烧烤不吃也罢
1689690496# #没想到红薯发芽会这么好看没想到红薯发芽会这么好看
1689473502# #下水道被狗狗用球给堵住了狗狗这是想游泳吗？
1695625060# #爷爷奶奶那一辈的爱情有多甜“我不羡慕街头热吻的情侣，我只羡慕深巷互相搀扶的老人”
1692888725# #为什么新疆的水果都那么便宜来新疆彻底让我实现水果自由，成堆成堆新鲜的水果，真的是无敌划算，水果吃到爽，真的是太爱新疆了！
1697550932# #被江苏的服务区震惊到了今天去无锡经过阳澄湖服务区，一整个下巴都震惊掉了，这就是国内最豪华服务区吗，这怎么怎么长的和景区一样？太卷了吧
1696429808# #原来湖南的豆腐脑是甜的原来湖南的豆腐脑是甜的！
1688617476# #才二十岁就被妈妈催婚了才二十岁就被妈妈催婚了
1689766680# #一直以为空调只能定时半个小时一直以为空调只能定时半个小时，没想到能定时这么久
1687218921# #没想到一杯奶茶的热量这么高没想到一杯奶茶的热量这么高
1695383514# #为什么西安人普遍都很瘦上学时就有这个疑问，在街上很少看到胖人，天天吃碳水却不胖，这是为何呢？
1694057263# #口味重的人更容易胖吗平时比较喜欢吃辣的，吃的很少，体重也一直下不来
1697636416# #现在已经到不虚荣的年纪了衣柜再多衣服，每个季节就反复穿那两件衣服，洗发白。变形，还是只想穿那两件…有没有同款
1687822936# #关闭朋友圈一年发现没朋友了关闭朋友圈一年发现没朋友了
1694222045# #为什么广东人那么喜欢穿拖鞋为什么广东人都很喜欢穿拖鞋，就连下雨天也穿拖鞋
1702359369# #为什么不能坐有人坐过的热凳子为什么不能坐有人坐过的热凳子？
1700792767# #挺好的，中文都读对了。
1694388490# #干枯的植物可以有多美千桔的植物依然有自己独特的美，拼凑一幅独一无二的植物画框
1696431741# #突然觉得旅游没什么意思了这次去了武汉，明早要走了，突然觉得每次大老远的出来旅游，似乎没什么意思了...全国各地都统一的商业街，吃的，也都大差不差的
1688528468# #我接受不了男朋友有四个姐姐我接受不了男朋友有四个姐姐
1687782202# #因为给手镯贴膜被同事嘲笑了因为给手镯贴膜被同事嘲笑了
1688697165# #上岸第二天就被介绍对象了这很难评
1687589709# #突然就明白了发朋友圈的意义突然就明白了发朋友圈的意义
1694233614# #拿张纸巾顺手捏起来扔掉能费多大的力，谁不上班？允悲
1690127903# #心态不好导致考驾照住院了心态不好导致考驾照住院了
1694571924# #胖女孩不适合穿阔腿裤事实证明胖女孩不适合穿阔腿裤
1692930574# #榴莲吃多了结果进医院了榴莲吃的太多了，结果进医院了
1690207024# #在朋友圈里想发什么就发什么在朋友圈里想发什么就发什么
1698366066# #从小教孩子要避免掉入自证陷阱从小教孩子要避免掉入自证陷阱
1695865779# #被南方的绿化带惊到了南方的绿化带震惊北方人，超大棵的橡皮树，琴叶榕和龟背竹，在北方都是小小棵种在盆里
1689559044# #给狗狗剃毛剃一半结果没电了剃毛机给狗狗剃毛剃一半结果没电了
1692280958# #论开车前绕一圈的重要性还好我有开车前绕一圈的习惯，不然就中招了
1697206111# #这种没拉链的鞋子到底怎么穿我也没有很胖啊买了两双都穿不进去，但是真的好看啊，就是怎么都不好穿
1698193267# #我的想法很多时候表达不出来，有时候打字发给别人后，再看一眼后，发现自己打出来的一些字眼和脑子里想的居然都不一样偷笑
1704198892# #上海跨年夜全场大合唱太燃了B站跨年夜零点众人齐声合唱，一首《当》告别2023迎接潇潇洒洒的2024，这妥妥的演唱会氛围啊！我说B站你懂的跨年的，用这首经典曲目来迎接新的一年，简直太燃啦小破站干杯跨年夜
1690165037# #化妆店里的化妆用品真的很脏化妆店里的化妆用品真的很脏
1696259254# #长期吃榴莲身体会有什么变化长期吃榴莲身体会有什么变化呢？
1694236680# #洗一次头掉了121根头发不数不知道，一数吓一跳，洗一次头竟然掉这么多根头发
1702094491# #我不接领导电话他给我妈打啊啊啊啊啊啊开学季
1689603582# #漂流的时候千万别穿洞洞鞋漂流完只剩鞋子了，漂流的时候千万别穿洞洞鞋
1690014312# #认识一天的相亲对象给我献血了认识一天的相亲对象给我献血了
1688200185# #在国企工作了五年被辞退了在国企工作了五年被辞退了
1694828583# #租房时带不走的东西不要买租房时带不走的东西能不能就不买，主打一个节俭
1699019972# #第一次去男友家感觉被羞辱了第一次去男朋友家里感觉被羞辱了，该怎么办？
1700789017# #被浙江的婚宴酒席震惊到了该说不说，浙江的酒席算是天花板了允悲微博喜剧现场
1694870117# #洗完衣服把洗衣机都洗吐了你这是放了一瓶洗衣液在洗衣服吧，哈哈哈哈
1688101123# #室友一整个学期没刷过一次牙室友一整个学期没刷过一次牙
1695345648# #因为健身被误以为吃不起饭因为最近在减肥，需要控制饮食，被大家误以为吃不起饭了
1701053254# #开始:生个妹妹，我要玩她中间:生个奥特曼，打怪兽后面:生个狗，可以看大门结尾:生个哥，让哥保护我
1694306649# #为什么韩国的西瓜那么贵为什么韩国的西瓜会那么贵？
1688382380# #旅游再也不会给家人买礼物了旅游再也不会给家人买礼物了
1695165933# #为什么三文鱼可以生吃生鱼片可以生吃是因为刺身的生鱼片是经过厨师专业的处理和加工的所以可以生吃。
1698756950# #把男朋友家的门手把拧断了下班后去看发高烧的男朋友，结果没想到把男朋友家的门把手拧断了
1696085123# #北方人真的很少吃杨桃吗有一说一，要遇到好吃的杨桃还挺不容易的，我吃的有些发涩没味道
1689592410# #当我跟妈妈说了句想吃玉米当我跟妈妈说了句想吃玉米
1695516042# #为什么室友从来不会分享零食我每次收到家里人寄过来的零食或者自己买的都会给室友分，哪怕有时候点了外卖也会主动问她尝不尝，但是她每次都不会给我分享
1690858922# #打架后受伤的猫猫有多好笑打架后受伤的猫猫有多好笑
1687775830# #突然就厌倦了拍照式打卡旅游突然就厌倦了拍照式打卡旅游
1699008928# #我可看见了，是鼠标先动的手偷笑
1688790825# #去医院看病医生建议我生孩子医生的建议直接把我整不会了
1688984930# #原来电影院里的监控这么清晰我上次去看消失的她偷偷带了一大包绝味鸭脖吃，整个场只有我一个人，那岂不是特别明显。。
1691155451# #面试结束后公司给了50块路费面试结束后公司给了50块路费
1694955882# #原来用电脑时要一直充着电我不是最后一个知道的吧，长这么大第一次知道笔记本用的时候要充着电，这样才不会伤害电池
1694146921# #被这个菜市场可爱到了这个菜市场真的太好笑了叭！每种菜都有自己的宣言，有那么点阴阳和摆烂在身上
1694309414# #国庆休息7天，6天都在搂席跪了
1688082601# #千万别再用公共厕所的纸巾了千万别再用公共厕所的纸巾了
1696244648# #在井盖贴喜字是北方的习俗吗俺是广东人到北方亲戚这里玩有人结婚接亲一路上井盖全给贴了喜字氛围拉满真有意思在广东我好像没见过呢
1688864736# #被初中的弟弟用凳子砸伤了因为弟弟不想洗碗，结果被弟弟砸伤了
1695431764# #原来镜子也会骗人两个镜子两个我，原来镜子也会骗人
1688819528# #没想到体重秤竟然会这么准没想到体重秤竟然会这么准
1687785697# #陌生人连续给我发了五年短信陌生人连续给我发了五年短信
1688778575# #婚纱照发朋友圈后被亲戚说了这什么亲戚啊管事真多
1699317040# #最好的朋友没点赞过我朋友圈最好的朋友从来没有给我朋友圈点过赞
1695602213# #为什么农村大席很少拉肚子为什么在农村吃大席很少拉肚子？
1689864113# #没想到肥胖竟然有传染性没想到肥胖竟然有传染性，怪不得我一直瘦不下来
1696515820# #午睡的时间不能太久了午睡超过40分钟可能会引起“年睡悲伤症”和“代谢综合征”。越睡越懒，越睡越不想起床，尤其是休息日，眼睛一睁外面天都黑了~
1694648564# #为什么吃的很少还是瘦不下来为什么每天吃的很少，但还是瘦不下来呢
1688212177# #没想到高考只考了520分没想到高考只考了520分
1689863408# #才知道蜗牛是牙齿最多的动物才知道蜗牛是牙齿最多的动物
1687871841# #建议学校取消八人寝的宿舍建议学校取消八人寝的宿舍
1695431045# #一个月不吃晚饭竟然瘦了10斤坚持不吃晚饭真的会瘦，坚持了一个月不吃晚饭，竟然瘦了10斤
1690692961# #在酒店里上厕所会垫纸巾吗在酒店里上厕所会垫纸巾吗
1692414373# #没想到小狗也会有脚汗好爱出汗的小狗，在地上坐了不到五分钟脚上全是汗
1696737486# #这到底是亚运会还是演唱会一开场就是杭州市市歌，这到底是亚运会还是演唱会？
1691203352# #跟男朋友吵架后瘦了好几斤跟男朋友吵架后瘦了好几斤
1696808941# #被广东人的早茶馋到了广东早茶看起来好好吃的样子，又是羡慕广东人的一天
1687568944# #为什么夏天大家都不穿凉鞋了为什么夏天大家都不穿凉鞋了？
1704157974# #以前遇到一个，在电梯，想摸一下，它直接高冷且嫌弃的说请不要摸我！
1687685046# #入职后顶替了一个孕妇的岗位入职后顶替了一个孕妇的岗位
1696344649# #旅游时发朋友圈会带定位吗好不容易出去玩一次，当然带定位记录一下，旅游的时候发朋友圈你会带定位吗？
1692670342# #长沙的烧烤分量真的这么少吗每次相册里看到都很震撼，买签子非要送我点肉，我哭死，长沙烧烤真有你的
1692630285# #方便面的叫法不是全国统一的突然发现我们这边把方便面叫做快速面，因为一直用方言叫，没有发现不对，突然发现从小叫的都是快速面，而不是方便面
1688604315# #差一点我就实现财务自由了差一点我就实现财务自由了
1689431888# #男朋友对我隐瞒了他有心脏病男朋友对我隐瞒了他有心脏病
1703562347# #我之前早上没吃饭发作过，头晕目眩，天都是黑色的大地发光，瞬间就没有意识了
1692280972# #为什么医院里不让拍照呢医院各项检查时为什么不让拍照
1695127690# #长期不吃早餐对身体有危害吗暑假快三个月了一直没吃过早饭，每天都是睡到中午，然后今天有事早起，一吃早饭胃就非常非常不舒服舖，吞咽就冒酸口水，反胃想吐！
1688867004# #房租到期房东不退押金怎么办房租到期后，房东不退押金该怎么办？
1693446798# #种了半年的菠萝被亲戚拔了委屈死了，种了半年的菠萝当花养的，结果今天发现被人拔了，一整个无语
1694477851# #被浙江农村自建房震惊到了你能相信这是浙江的农村吗，这房子的楼问距，不比城里的小区香吗
1689850517# #喜欢吃西瓜的打工人有福了公司下午茶是一人半个西瓜，喜欢吃西瓜的打工人有福了
1688203262# #社交头像真的会影响第一印象吗社交头像真的会影响第一印象吗
1696219930# #赛场上马龙的压迫感有多强马龙28拍史诗级对拉水谷隼，不愧为六边形战士！
1688914430# #真的反感朋友圈里的统一真的反感朋友圈里的统一
1690450465# #酒店吹风机不能长时间使用吗酒店吹风机不能长时间使用吗？
1690013513# #真的建议大家不要轻易拔智齿真的建议大家不要轻易拔智齿
1695092586# #杭州为了亚运会可以有多拼亚运村的红绿灯都是三小只的样子，还是有点可爱的。
1688085093# #建议不要用酒店里的任何东西建议不要用酒店里的任何东西
1690382214# #装修时一定不要提前装马桶装修时一定不要提前装马桶，装完马桶上全是尿点
1690858156# #室友的营养全都被头发吸收了室友的营养全都被头发吸收了
1692066336# #为什么折耳根会被称为鱼腥草快来个当地人解释下，为什么折耳根会被称为鱼腥草
1694833589# #想到有些人正常马桶都能坐烂，何况这种空中悬浮马桶，不敢坐啊允悲
1694053114# #没想到我被一个浴花吓到了没想到我竟然被一个浴花吓到了
1699403922# #快递太多都不敢去驿站拿了最近因为新搬家，买了n个快递，今天可能要到十几个，都不好意思去取了
1696946022# #没想到空气炸锅也能烤葡萄感觉以前的葡萄都白吃了，真的好好吃，酸酸甜甜的，果肉又厚实又有嚼劲～
1699842460# #你俩现在关系挺暧昧的思考
1696042188# #才知道米线煮久了会化掉我大为震惊，才知道米线煮的时间长了会化掉
1693269775# #星巴克都开到农村去了说出来你可能不信，我们村有星巴克
1689825210# #不慎落水时该如何自救不慎落水时该如何自救，来自郑州网友的投稿！
1697032087# #体重秤被室友压碎了万万没想到体重秤竟然被室友压碎了
1695290110# #为什么很多道路都用城市命名为什么街上很多道路都会用各个城市名来命名呢？
1693915954# #螺蛳粉的热量真的有这么高吗吃完螺蛳粉后直接胖了3斤
1701147415# #体态不美的人有福了肩膀不内扣了，开肩薄背真的有用，体态天花板太牛了！肩膀打开脖子都细长了，气质直线飙升
1693614582# #原来洗头发也有最佳时间无论何时洗头，都应确保头发晾干后再睡觉或进行其他活动，以避免头发潮湿引起的头部着凉或头痛，同时，根据自己的生活习惯、工作安排和头皮类型选择最佳的洗头时问。
1690859196# #科目二考试比四六级压力都大科目二考试比四六级压力都大
1692368286# #贵阳的地下通道可以有多复杂谁懂啊，马路就在我的对面，怎么走也到不了是为什么？
1688459922# #周末没及时回消息结果被辞退了周末没及时回消息结果被辞退了
1691934824# #实习生已经掌握了上班的精髓实习生已经掌握了上班的精髓
1699315362# #不要把瑜伽裤当秋裤穿下班想去健身，把瑜伽裤套牛仔裤里了，街上风一吹，整条腿凉飕飕，跟穿冰袖一样！
1694177666# #驼背对身体的危害有多大千万不要驼背，驼背对身体的危害太大了
1703216797# #因为在狗狗的世界里直视头狼有点冒犯，就只能偷偷看，我家就爱通过镜子看我
1688043797# #实习结束公司想让我继续实习实习结束公司想让我继续实习
1703474138# #你们城市带朋友只是无聊，泰安工作那年上泰山是真受罪啊！
1693360186# #为什么都喜欢把手塞进豆子里为什么大家去商场时都喜欢把手塞进豆子里？
1689759928# #千万别带男朋友涂石膏娃娃千万别带男朋友涂石膏娃娃
1701312361# #长期不上班的人是什么状态呢真的，当你们不上班之后，你会发现你就越不想上班了
1695345200# #爱吃饺子和不爱吃的都沉默了喜欢吃饺子和不喜欢吃饺子的都沉默了...
1696310263# #王楚钦说唯一瑕疵头发没剪好王楚钦，采访届的泥石流，现在全杭州没有一个tony老师敢站出来允悲
1691504082# #为了凉快把头发剪成半剃头为了凉快把头发剪成半剃头
1692836186# #为什么出去旅游普遍很累明明旅游是为了放松自己，为什么很多人旅游的感受都是特别累，甚至觉得躺酒店睡到自然醒反而更舒服。
1696817656# #订婚买三金时我妈也想要订婚时男朋友给我买三金，结果我妈也想要...
1687344960# #我点的奶茶被领导捎了上来下次别让同事捎上楼了，那是我老板
1689257841# #没想到体重秤竟然这么准没想到体重秤竟然这么准
1689766291# #旅游时发朋友圈会不会屏蔽亲戚旅游时发朋友圈会不会屏蔽亲戚？
1699241249# #狗狗：我可能不是人但你是真的狗
1698929320# #没想到柿子核磨完后这么好看原来柿子核磨出来也这么晶莹剔透，感觉这个做坠子也挺好看的～大家都快去吃柿子啊
1687602721# #弟弟考了640分却开心不起来弟弟考了640分却开心不起来
1688124884# #考研上岸后要不要发朋友圈考研上岸后要不要发朋友圈
1696256948# #西安真的有兵马俑酒店吗西安我劝你别太离谱，这大晚上的能睡着吗？
1688040693# #高铁上让位置后收到了份水果高铁上让位置后收到了份水果
1696228779# #只有广东人才懂这碗的含金量怕是只有广东人才懂这碗的含金量吧！
1687184587# #在公司里千万不要以貌取人在公司里千万不要以貌取人
1698898105# #上海人可以有多爱喝咖啡还没到上海就被震惊了，乘务员来来回回卖的最多的东西居然是咖啡，每个点外卖的人除了饭之外都带了一杯咖啡
1695602568# #为什么医院大厅会放一架钢琴医院在一楼大厅放了一架三角钢琴，但是围起来的，还专门有个保安小哥保卫着，医院放一架不让弹的钢琴干啥子用？单纯装饰吗？
1694240934# #感到窒息了泪
1701751437# #滑雪场里的显眼包“公主请滑雪”你在滑雪场里遇到过哪些显眼包呢？
1687269050# #在你的姓氏里谁最出名在你的姓氏里谁最出名呢？
1689518464# #婚礼酒席被妈妈发朋友圈吐槽了婚礼酒席被妈妈发朋友圈吐槽了
1690768756# #没想到蜗牛是牙齿最多的动物没想到蜗牛是牙齿最多的动物
1697691842# #被隐形家务整破防了隐形家务真的太可怕了
1698067505# #没想到在被窝里被蜜蜂蛰了半夜在被窝里被蜜蜂蛰了，简直离谱到家了
1694044394# #睡醒后不要立刻起床早上睡醒后千万不要立刻起床，可以稍微缓一会再起床！
1688537482# #考研上岸后被好朋友疏远了考研上岸后被好朋友疏远了
1689518484# #这婚纱照新娘显得有点多余了这婚纱照新娘显得有点多余了
1690779207# #千万不要用棉签给狗狗掏耳朵千万不要用棉签给狗狗掏耳朵
1689473099# #爱吃披萨和臭豆腐的都沉默了爱吃披萨和臭豆腐的都沉默了
1687482905# #科目三考试还没起步就结束了科目三考试还没起步就结束了
1691676936# #阳台种的西瓜为什么长不大阳台种的西瓜为什么长不大
1696000172# #在酒店吃席一桌都是预制菜只能说难吃难吃难吃，巨难吃！现在酒店都是什么标准啊，根本吃不到一个新鲜的菜品，全是工厂预制菜。
1687829112# #高铁调座椅弄撒了后座的泡面高铁调座椅弄撒了后座的泡面
1697899850# #第一次露营结果被同事嘲笑了因为第一次露营啥都没准备，结果被同事嘲笑是野餐
1694997518# #为什么商场一楼都没有卫生间为什么很多商场的一楼都没有卫生间？
1687217833# #都离职一年了工资还一直再发都离职一年了工资还一直再发
1696895356# #被妈妈催婚真的很恐怖94年未婚，现在被催婚催得很痛苦，已经到了和我妈没办法沟通的地步，打电话发微信全是催婚的，现在已经到了看到我妈发的微信或者打电话就心里咯噔一下
1692016073# #其实不上班的烦恼也挺多的除了没钱，每天都在躺平和励志之间反复横跳
1700782222# #想快速瘦后背的人有福了通过锻炼腋窝下肌肉和背部肌肉改善背部赘肉，每天一遍，瘦背同时瘦手臂，改善圆肩驼背，后背部肌肉很少用到，所以一定要多多锻炼～
1696860713# #被东北饭菜的分量震惊到了在东北你说你要四菜一汤，老板给你上的却是四盆一缸
1693788692# #证件和👮🏻联网，门口过道大厅都是监控，脸拍的清清楚楚，真的会有人想试试吗允悲
1688355141# #被亲戚问啥时候能喝到喜酒被亲戚问啥时候能喝到喜酒
1693269555# #四川人做饭到底有多爱放花椒这题我会，火锅里很多花椒，肉粽里每口也保证起码有一个，还有花椒味的饼干！
1697206286# #千万不要随便拔手指上的倒刺星期二拔了倒刺，星期三开始肿肚，以为可以自己消下去，结果越来越肿，现在感觉一发不可收拾了...
1693666970# #北京豆汁真的很难喝吗北京豆汁儿，喝下去的都是勇士，作为一个食物接受度挺高的人，还是高估了自己
1687400024# #为什么大家都不再发朋友圈了为什么大家都不再发朋友圈了？
1694912537# #才发现公交车竟然有充电口山东公交车没有拉环我是知道的，但是有USB充电口是第一次见，有被治愈到
1696924375# #绍兴冠军厨电走进冠军公寓是我喜欢的公寓，被这种公寓美到了
1691850983# #猫猫可以有多喜欢纸箱子猫猫可以有多喜欢纸箱子
1688265503# #怕空调被偷结果装在阳台上了怕空调外机被偷，结果装在阳台上了
1695082181# #为什么酒店的楼道里要铺地毯为什么酒店的楼道里要铺地毯呢？
1694134720# #随手扔的种子竟然结出了西瓜随手扔的西瓜种子，竟然结出了大西瓜
1697379162# #高铁上最烦想换座位的情侣本来上班就烦，谁不想坐窗外，好不容易抢到的票就你说一句我就换了嘛？
1696033109# #广州人快乐到冒泡有多简单来广州三个月了，真的很包容，不排外，人人平等和谐相处
1689087261# #去看病医生建议我生个孩子万万没想到去医院看病，结果医生建议我生个孩子
1694091090# #长期不吃晚餐真的会瘦吗长期不吃晚餐真的会瘦吗？
1698720921# #《会咏春骂不得》看来教练吃过这位学员的亏啊偷笑
1701334509# #被这个滑雪动作惊到了这个滑雪动作我终于也会了！有想学的举手！
1689672599# #狗狗是我减肥路上的绊脚石狗狗是我减肥路上的绊脚石
1696345149# #为什么旅游的人越来越多了节日再也不敢出去玩了堵车好几个小时
1687260742# #假如给你5厘米你会加在哪里假如给你5厘米你会加在哪里？
1691032102# #挤完黑头结果给腿上挤了个洞挤完黑头结果给腿上挤了个洞
1692142787# #托尼老师都不一定知道是这个含义跪了
1688261119# #科目三没过结果被教练删除了科目三没过结果被教练删除了
1693785545# #为什么指甲上会没有月牙听人说，月牙越多代表身体越好，当我注意时就只有大母手指有月牙，现在大拇指上月牙也快没了，哭了
1687401212# #在公司穿短裤被同事投诉了在公司穿短裤被同事投诉了
1694700975# #装修时千万别听父母的建议装修的时候一定不要听父母的建议，不然装完就是这种情况
1694399409# #为什么韩国街上没有垃圾桶每次手上的垃圾都会拿着走很久很久很久，咱就是说，就没见过大街上木有垃圾的，所以是为啥？
1690127876# #起猛了看见行李箱长猫了起猛了看见行李箱长猫了
1689247239# #婆婆说生孩子是最幸福的事怀孕后婆婆说生孩子是最幸福的事
1700792799# #《猫：憋不住了！！！憋不住了！！纸！！纸！纸！》哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1689759479# #上班时同事之间完全不聊天上班时同事之间完全不聊天
1696169069# #冬枣削皮会更好吃吗不是，不是，到底是谁啊，谁开创的冬枣还要削皮，是这样会更好吃嘛
1688258497# #剪掉的指甲蹦领导杯子里去了剪掉的指甲蹦领导杯子里去了
1694738695# #养了很久的多肉发现是假的浇水晒太阳一样没落下，结果养了4个月才发现多肉是假的
1697899340# #被丞磊划船整破防了被丞磊划船笑到了，你喜欢划船吗？丞磊划船有多好笑
1688090178# #3500双休和4500单休你怎么选3500的双休工作和4500的单休工作，你会怎么选呢？
1692716533# #买东西时一定要看好尺寸奉劝大家买东西时一定要看好尺寸再下单
1692663659# #北方人真的不吃挂面吗我从来没吃过新鲜的面条，直到前两年，我一个北方的邻居朋友，她家吃面都是那种现做的手工面条，看见我吃挂面，她说她家不吃这种面的我实在不会做面条，自己去超市买了那种新鲜的煮来吃，确实挺好吃的，而且没吃多少就很饱
1702981298# #西安博物馆是会整活的西安博物馆把兵马俑整明白了doge
1694221595# #没想到狗狗竟然也会撒娇每天下班回家小狗狗都会拿个玩具给我，趴我肚子上玩，玩手机的时间都变少了，治愈上班一整天的乌七八糟
1688097141# #室友总是偷偷用我的盆洗衣服室友总是偷偷用我的盆洗衣服
1695774182# #杭州灯光秀的现场有多燃杭州亚运灯光秀，一定要去现场看一次，视频根本拍不出那种震撼的感觉
1696408445# #连解说都被马龙这球惊到了解说：这球已经超出地球人的技术了！
1689591827# #冰箱的作用被发挥到了极致冰箱的作用被发挥到了极致
1697982426# #为什么酒店现在都不收押金了不知道从什么时候开始，入住酒店只登记就行了，不用交押金，退房的时候也不用等查房了，甚至房卡都不用拿到前台，直接走就行了！
1687513526# #没回消息被发朋友圈阴阳了没及时回消息被朋友发朋友圈阴阳了
1700011640# #骚薯，你要是不长在地里，小金毛会去招惹你吗？遇事多想想自己那里做的不好偷笑
1688990753# #通知书被妈妈当成废纸给扔了我的录取通知书被妈妈当成废纸给扔了
1694221405# #为什么狗狗都喜欢揣着手手怎么会有这么爱揣手手的小狗啊
