1691972540# #投资是令人激动和愉快的事，但如果不作准备，投资也是一件危险的事情。
1694337079# #创意新奇，美轮美奂！赞
1687778719# #小微企业给市场带来了新机遇，新挑战！期待稳步推进赞
1691969202# #经典投资语录：以投资的眼光投机；以投机的手段投资。
1697691289# #可视化音乐，有意思
1700487979# #手动点赞赞
1702892003# #转发微博
1687252948# #十分同意！赞
1693492852# #地铁上随意点开的一篇文章竟然把我看哭了…你家老爷子是个质朴、有担当有骨气，让人可敬可叹的良人。纵使现实使人麻木不仁，仍有一些平凡人的事迹和永垂不朽的精神让人动容不已。鲜花
1688912248# #简单实用
1702797470# #收藏起来试试
1698472719# #转发微博
1698730716# #泪泪泪
1702911339# #goodgood
1700141493# #码住慢慢看！
1700370772# #赞
1692429029# #通筋络，码住。
1703946035# #经典瞬间，收藏起来慢慢看。
1702482522# #她不是要从这里下去，她就是为了去捡那100元，她看到钱掉了。
1693138685# #goodgoodgood
1697981105# #码住慢慢看
1696509000# #美犯罪冒险片《心中的杀手》中文字幕，码住慢慢看
1697722916# #2800点就该差不多了！
1694135940# #【有色:供需短期改善+稀土价格震荡走强】1）稀土供应端近期出现扰动：A）8月底龙南地区环保整改，部分企业停产减产；B）缅甸封关消息，目前停产及封关时间无法确认，暂无法确认对供给冲击，但情绪面有提振作用；C）受十一节前备货影响，9月起下游逐渐进入旺季，供给扰动叠加需求复苏，预计短期稀土价
1695828580# #这个女人要是我老婆这个男的要倒霉了
1702221321# #码
1696950960# #收藏备用
1700658000# #码住试试吧
1700844565# #要明白自己捍卫的是什么？
1692625378# #曾仕强：关于人际交往的9种技巧
1700737916# #赞
1701394386# #码住慢慢看
1696778442# #转发微博
1694532449# #我和老婆说，李佳琦因为看不起我们穷人，微博掉了100多万粉丝。。。我老婆说，就算她掉了100多万粉丝，他还是有2900万粉丝，你的重点不是幸灾乐祸的看他怎么掉了100万粉丝，而是他怎么赚来那2900万粉丝，才是你一个男人该做的事情。。我一下子就惊呆了，原来我老婆的格局比我高多了！允悲
1688794958# #码
1700645414# #码住慢慢看
1692190920# #如果一个风险在当前市场上，大多数投资者都认为是要发生，那么这就不是风险；如果大多数投资者都认为某件事未来不会发生，那么这件事就是风险之所在。但是，真相是我们永远不知道某一件事情会不会发生，从这一点看，我们又必须努力去认知未来，去了解其可能性，但是，永远不要假设我们已经完全搞清楚了
1687062068# #与时间为友的技能唯有投资和自媒体
1698900880# #读
1692981003# #心肺复苏时正确实施心脏按压的重要性。
1692429507# #网友：家里一个月没吵架，我终于悟了！翻翻评论里的留言，不知道说啥好了允悲
1693318621# #码住慢慢听
1698333515# #天花板级停球，叹为观止！
1692397991# #弘一法师醍醐灌顶的8句忠告，读懂了，你的后半生会越来越顺利。。。1、人到晚年，能依靠的不是子女，而是要守住两样“东西”，这才是真正的大智慧，一是健康，二是强大的内心。。。2、凡是你想控制的，其实都控制了你，当你什么都不想要的时候，这天地都是你的，大道至简，无欲则刚，无为则无所不为。
1693529106# #转发微博
1695965467# #赞
1694164293# #留存
1700293070# #被暖到了！
1688958469# #码
1696095081# #周先生精讲以色列goodgoodgood
1688870103# #转发微博
1697972233# #转发微博
1693720595# #人老了，眼睛容易酸，看着看着就泪
1696324874# #码住试试吧
1696507417# #码住慢慢看
1700901593# #大部分男人喜欢的身材！
1694441473# #这个教官有点猛！赞
1703773344# #抬头看看天，苍天饶过谁。
1696854952# #转发微博
1698666746# #值得一听！
1695689678# #【华为:非凡大师+全场景新品发布】1）华为发布Matepad、手表新品，高端品牌非凡大师ultimatedesign，在影音娱乐、运动健康、智能家居、智慧办公、智慧出行领域多款新品；2）此次发布会未专门介绍此前已在先锋计划中发布mate60系列手机，转而将精力放在新品牌宣传，平板电脑和智能手表、全场景系列；3
1692801727# #嗯嗯，码上看。
1699698889# #码住试试吧
1703407302# #纪录片带领我们走进银河系来一场奇异的旅行，了解你我以及两千万颗恒星的历史，黑洞、银河的结构等知识，通俗易懂，简直就是一场视听盛宴…
1691917133# #贫贱夫妻百事哀！
1703326219# #太牛了，高手在民间赞
1700581246# #码住慢慢看
1693148083# #先马后看
1698490521# #哈哈哈哈哈哈
1699927395# #码住
1697211079# #涨知识了，码住赞
1702480373# #被暖到了！
1695138821# #我朋友说最喜欢第二个，你呢？
1695133994# #没几个人愿意加班吧？
1700921500# #收藏学习
1694534345# #美国灾难影片《全球风暴》中文字幕，码住慢慢看！
1697986882# #转发微博
1703329950# #码住慢慢看
1701741369# #这个好，码住赞
1701167462# #赞
1702721480# #太实用了，码住！
1689083359# #赞
1702799044# #赞赞
1695863785# #严格制定制度，防止上市公司老板卖公司圈钱移民，让他卖不了股份老实做好公司
1698555185# #赞
1695610920# #锂电池产业链全景图（最全版），转需。
1694314780# #转发微博
1695556221# #不想养就别生！
1703655463# #如何面对衰老和死亡？思考思考
1697635253# #学到了，码住赞
1696410562# #确实如此
1697986747# #在山东省寿光市的地里看到的，为什么不把这块石头挖走？这样耕地多不方便。
1688755116# #欧美动作冒险片《伦敦厄运》中文字幕，码住慢慢看。
1703165741# #转发微博
1703916813# #goodgoodgood
1701487382# #哈哈哈哈哈哈
1692956695# #赞
1695271757# #刚刚俺亲弟弟打电话来，说想翻新一下农村的房子，问我借10万元，我说不用借，翻新房子的钱，我来出。我跟弟弟说，这些年你在农村照顾爸妈辛苦了，之前我就想给你们在县城买房，爸妈不想离开农村，趁着这次，咱们把农村的房子好好盖一下，改善一下你们的住房环境。我跟妻子说了一下，她原则是上同意了，
1696420865# #好听好听
1694267602# #看着就觉得很好吃。
1687875241# #转发微博
1700181182# #我嫂子提了一大袋她女儿穿过的旧衣服过来，说给我女儿穿。还说小孩长得快，没必要买太多新的。。。我说想自己买新的，不想穿旧的。可她却说，这些衣服也才穿过几次。既不旧，也没烂，扔了怪可惜的。。。你们会给娃穿别人的旧衣服吗?
1700667586# #泪泪
1698645410# #允悲允悲
1700569400# #转发微博
1700411748# #码
1698939568# #《人类简史》作者尤瓦尔·赫拉利教授精彩访谈：算法、冥想与无知，全程干货！
1695404058# #码住慢慢看！
1703487234# #尼玛，笑死我了
1692946176# #我们这有一孤寡女人，一辈子没结婚无儿无女，六十多岁了，表面上看风光无限的样子，有一次生病了，跟前侍候的人没有，看见同床病人家属忙前忙后，而她连个问候的人也没有，人啊不能太自私，要懂得付出。
1697857897# #张朝阳曹德旺称教育是事业而非产业完全赞同，教育是事业，不是产业！一定要以培养人为出发点和落脚点，要面向市场，开门办学，多培养应用型的一线人才为己任。教育贵在塑造学生的灵魂，要培养德才兼备，眼界开阔、胸怀宽广的有用之才！
1702270239# #码住慢慢看
1691709624# #投资心理学大师科斯托拉尼：光是取得所有股票信息是不够的，想象力才是投资炒作的原始动力，也是成功的先决条件。。。在股票市场中，信息的获取是非常重要的。投资者需要收集和分析大量的数据，以帮助他们做出正确的投资决策。然而，这并不是投资成功的全部。相反，成功的投资者需要具备更多的素质和技能
1698756616# #转发微博
1703387752# #这个好，码住！
1692940343# #转发微博
1703603563# #这个好，转需。
1702115188# #允悲允悲
1696522839# #哈哈哈哈哈哈
1696345128# #实用goodgoodgood
1700177942# #MACD实战抄底逃顶口诀，收藏备用。。。MACD抄底逃顶口诀：。。1、当股价一波强势下跌时，MACD呈现一波大绿柱，此时我们要等到出现小绿柱，且小绿柱走平或收缩，5日线上穿10日线形成金叉时，可以介入。口诀：前大后小，金叉就搞。。。2、当股价出现一波拉升后，MACD指标红柱呈现前高后低，并且成交量放大，代
1693153569# #汪峰入驻抖音3年多，粉丝800万；。杨坤入驻抖音3年多，粉丝700万；。那英入驻抖音2年多，粉丝200万；。高晓松入驻抖音4年多，粉丝150万；。刀郎入驻抖音10天，粉丝超过1000万……。数据不会说谎，刀郎的号召力可见一斑，粉丝们纷纷前来报道（超过1300万）！远远将那几位甩在身后。难能可贵的是，刀郎承诺直
1694012996# #第三条说的有道理！
1703175602# #王德峰谈中医
1694591611# #码住慢慢看！
1696317426# #赞
1704117111# #赞
1687672346# #谁来解读一下？
1693237441# #刀郎主唱《金刚经》！南無阿彌陀佛！
1692113273# #实战技巧：一招“蛟龙出海”战法，股价开启暴涨模式，千万别小看，码走学习吧。
1702881169# #手动点赞赞
1695829642# #这样你能坚持多久？
1698063906# #这个好，转需！
1690506300# #美国经济韧性进一步显现，继7月密歇根大学消费者信心指数显著上行后，本周发布的美国7月咨商会消费者信心指数也大幅走高至117，远超112的市场预期；与此同时，7月Markit制造业PMI指数初值止跌回升至49，远高于46.2的市场预期；结合美联储议息会议声明信息，我们认为美国显著衰退的风险大幅降低，且核心
1698233128# #车主运气真好，正好碰到一群好人good
1702823955# #劳动人民的智慧赞
1698659444# #转发微博
1702052716# #美国超级经典悬疑/剧情影大片《纸牌屋》（高清完整版合集）豆瓣评分：9.3！
1704091923# #码住慢慢看
1698063982# #觉得美女好看说句肤白貌美就得了，如此细致的描写，看不出优雅。
1703516996# #赞
1692287191# #很震撼！
1700151610# #转发微博
1692026762# #转发微博
1694271735# #马住！
1692066194# #《西虹市首富》里面想花完钱却越花越多的情况，现实里面会发生吗？
1700645543# #收藏起来学习
1698931649# #转发微博
1703409412# #赞
1703594845# #赞
1691225599# #转发微博
1691248260# #赞
1694613547# #转发微博
1700751353# #转需！
1702893967# #转发微博
1700619297# #好男人不好做，做个顾家的好男人也难
1697901735# #好玩goodgoodgood
1698766304# #如果是真的可以拍成电影了允悲
1690161480# #【机构资金行为画像】。1、北上资金行为画像。北向总览：北上资金近一月（2023.6.21-2023.7.21，下同）累计净流出约60亿元，呈现小幅流出A股的节奏。就细节来看，除了7月13日有136亿元的大幅净流入之外，其余交易日的净流入在零轴附近摆动。。。分交易机构来看，交易型资金外资券商净流出累计约45亿元，配
1704121191# #收藏。
1690905532# #实战经验分享：很实用的炒股铁律，看完5分钟的视频，或许让你少走几年弯路。
1701134586# #收藏起来学习！
1697210892# #转发微博
1698897614# #涨知识了
1693834704# #码
1702458230# #这个得转一下，留着备用
1700982167# #《美丽的西藏》高清完整版，值得收藏！
1697897891# #太清楚了，难得一见！
1692525862# #码住慢慢看
1703170494# #码住慢慢看
1698155967# #仿佛身体被掏空
1699098431# #赞
1692511109# #鬼谷子：若你不善言辞，熟背这10句口诀，也可以变得能说会道！。。1、与聪明人交谈，向他们展示你的渊博知识，以引起他们的兴趣。因为这样的人对新鲜事物更感兴趣一点。。。2、和愚蠢的人交谈，一方面要表现你的强硬和好辩，另一方面，不要太深入，要说通俗的话，这样他们就能理解你的意思，并按照你的意思
1699195377# #新的行业诞生了哈哈
1691652224# #高毅资产邱国鹭：我使用的这些投资法则和工具都是经过许多成功投资人长期验证的、触及资本本质的、规律性的东西。这些规律性的东西虽然看起来是投资中最简单的事，却也是投资中最本质的东西，并不会因为时空的不同而产生大的差异。
1703600074# #赞
1700565511# #手动点赞，暖到了赞
1698757922# #码住慢慢看
1690722893# #实战经验分享：经典K线形态走势汇总，技术面“大用处”，值得关注和收藏。
1700301079# #码住慢慢看
1692709146# #技术帖：江恩法则经典技术案例图解，拿走不谢！
1699527669# #英雄惜英雄！
1697985953# #经典老电影，码住慢慢看。
1696860834# #码住慢慢看！
1692753338# #数据要素产业概念股最全梳理（附股），收藏备用。
1704085914# #马上有钱
1695830739# #涨知识了，码住。
1693823826# #允悲
1699616346# #赞赞
1700977263# #收藏学习，新手必读！
1697337208# #先马后看
1697883941# #80年代的小电视
1702428782# #转发微博
1697985998# #超清老视频！赞
1696317413# #这还是她吗，咋穿这样啊允悲
1694512548# #赞
1700884065# #码住慢慢看
1692616762# #允悲
1696863768# #董宇辉的这段话让多少人醒悟！。他说：“有父母帮衬是平路，没父母帮衬是弯路，等你绕出来弯路，别人早已经上了高速，别人是一家人挣钱养小孩，而你是一个人挣钱养全家，父母帮衬，先攒钱，父母不帮，过好眼前！”。。稻盛和夫说：“爷爷辈不努力，爸爸辈就会很辛苦；爸爸辈不努力，孩子就会很艰难。儿孙
1700838766# #涨知识了，收藏！
1699076674# #换着花样跟土地打交道。
1700369801# #码住慢慢看
1697777722# #拆散了一对！
1689919109# #4分钟时间能记住中国重要山脉吗？
1691542022# #首个顶层氢能标准建设指南出台，产业链加速发展。。2023年8月8日，国家标准委与国家发改委、国家能源局等六部门联合印发《氢能产业标准体系建设指南（2023版）》。从重要性水平来看，这是国家层面首个氢能全产业链标准体系建设指南。。完善氢能产业标准，发挥标准支撑引领作用。2022年3月，《氢能产业发展
1691900032# #赞
1703509913# #赞
1699969316# #赞
1702482715# #提前减速➕点刹，握住方向盘别动
1696476694# #转发微博
1698724692# #码住慢慢看！
1697193625# #转发微博
1699100815# #好人一生平安赞
1693139210# #允悲
1700993134# #哈哈哈哈哈哈哈
1693820769# #转发微博
1692380619# #高分纪录片《民国先生》林语堂傅斯年丰子恺钱穆梁实秋…先码后看。
1697865661# #我是看了这个电影，才知道这个发生在中国的“辛德勒的名单”
1700971345# #允悲
1687775593# #我国90%市场主体是小微企业我国目前有超过1.5亿户的市场主体，其中90%以上是中小微企业，他们贡献了80%的就业、60%以上的GDP。。。小微商家是经济的毛细血管，他们好，经济就好。实事求是的说，广大的小微商家是实体经济的重要组成部分，帮助它们迅速恢复“元气”，也是国家经济恢复的重要一环。目前
1691581935# #MACD干货分享：看完这一文，真正理解指标重要性，收藏学习。
1695483810# #没忍住流泪了泪
1696489497# #码住慢慢看
1703427051# #我就支持我闺女不结婚，因为我受够了她妈妈，哈哈
1700237354# #全球私募之王黑石集团成长史，值得一听！
1704108103# #很喜欢这个小伙子，有思想，有目标，又自律又努力，未来可期！
1698632742# #100句千古遗训
1691558789# #尼采说：我们来到这个世上，就应该跟最好的人，最美的事物，最芬芳的灵魂倾心相见，唯有如此才不负生命一场。
1687672340# #明天a股不用害怕了吧？
1703594876# #赞赞
1695830724# #先马后看
1694938131# #看第一个就差点流泪了！
1699780117# #先码后看！
1688867372# #人往往遇到大病了才会觉得自己有时候也要别人帮忙。现在不结婚的那么多，后悔的不会少，叶就是典型的案例。
1701003497# #美、德、阿联酋动作片《改朝换代》CIA队员突遭劫持。。。码住慢慢看
1692421580# #有意思
1700759566# #码住
1689083324# #Repost
1703517010# #好设计goodgood
1696510111# #码住慢慢看
1696479219# #码住慢慢看
1702909653# #码住
1695170194# #只想着怕上涨，有没有想着跌多了怎么办？
1703603526# #赞
1704086025# #码住慢慢看
1702793755# #码住慢慢看！
1694444906# #转发微博
1688659834# #说得很好，同意。
1695395424# #合作共赢
1700274635# #转发微博
1700712379# #码住试试吧
1696158751# #没看出来哪里美！
1698479085# #高手！赞
1698925624# #获奖无数纪录片《鲨鱼海洋》豆瓣9.2分，码住慢慢看
1701530273# #收藏备用！
1695743746# #心
1703935587# #这是一条适合所有男人看的视频，切记！
1692975173# #码住慢慢看
1700743084# #赞赞
1697349037# #我猜八成举双手赞成
1701318213# #珍贵老视频
1693500535# #学会了，码住。
1696150387# #码住慢慢听
1700490378# #她忘了所有，但没忘记儿子，这就是母亲！
1698479141# #哈哈哈哈哈哈哈
1692457172# #这猫取什么名字最适合它？
1695133892# #收藏学习
1702475437# #夏三洪是真正的紫砂壶艺术大师，他的作品，传世代美、承时代新，传的是历史，承的是未来。
1692364250# #芒格投资之道：把赚钱说的越是轻松、越是简单，我越是不信…36条大佬的智慧结晶，收藏备用。
1696095122# #电影《茉莉牌局》
1695133920# #年轻的时候真好！
1695008329# #转
1687431908# #现在很多大学涨价，乡村孩子念4年大学，农村普通家庭的负担挺沉。
1703466257# #码住试试
1703695351# #码住慢慢看
1699625487# #就这还能找到那么好看的女朋友？
1688727435# #收藏goodgoodgood
1699786717# #看一遍就记住了，先用清水泡出羊肉血水，然后清洗干净，放入锅中加够水，中途不能再加水，大火煮沸捞出浮沫，然后加拍烂的老姜一个，洋葱切片一个，大葱切断，小茴香和白芷必不可少，然后一起加到羊汤里，炖煮一个小时，然后捞出羊肉切片，汤里放少许盐，再放入羊肉，撒葱花香菜碎。
1699343739# #码住
1700487439# #收藏备用
1690173720# #人工智能产业链图谱，需转。
1691509811# #99岁，掌管5万亿！查理·芒格这110句忠告，看完让人瞬间清醒。。。如果说巴菲特以其沉稳凸显了性格对于投资的巨大影响，那么芒格则用其锋利展现了思想在投资中的巨大作用。正是凭借自己深邃的思想，查理·芒格对于巴菲特的理念进行了精湛的“手术”，从而改变了后者的投资行为。巴菲特亲承，是查理·芒格为
1697967252# #这个视频很真实！
1696139592# #好像是这样的
1688727616# #实体经济不容易，加油！
1700487532# #赞赞
1700273623# #转发微博
1698848176# #转发微博
1697339128# #老师的职业素养和三观太重要了，因为她们不仅要教书，还要育人，更是人类灵魂的工程师赞建议从小学到高中在学校都普及爱国与以前的抗日知识！
1696556861# #赞
1696429005# #如果是你对象，你同意她这样的穿着打扮吗？
1695962776# #一家子神经病也不容易碰上
1702823033# #绝了，码住慢慢看！
1703767360# #赞
1701876458# #圆肩驼背终于有救了4个简单动作，可以有效改善圆肩驼背、富贵包！
1700908220# #收藏备用
1697883905# #码住
1700667471# #码住
1692966702# #我二哥（亲伯父家的）给我打电话，说是他申请点贷款，一共60万元。贷款公司让他找一个担保人，有社保、公积金就行。。。二哥说：“你去给我签个字，打一份流水。”我说：“我不能过去签字。”我二哥说：“你是我弟，我还能坑你吗？我又不是向你借钱呢？就算找你借钱你也不能不借吧。”。。我说：“二哥，我
1690248827# #值得一辈子反复背诵的口诀“买入不急，卖出不贪，止损不拖，品种不散”16字，字字珠玑。收藏起来慢慢学习！。。买入不急：就是在看好一只股票后，先不要急于买进。因为有75%的股票，在上升趋势确立后，也就是第一次冲破重要的均线系统后，都要回头确认一下，当它冲破以后再回调到均线的时候，正是买入的
1699157170# #赞
1702048321# #大妈终于遇到了对手！
1691673989# #实战经验分享：90%股民都不知道的岛形反转形态，终于有一文彻底讲透彻！
1698994867# #再次看到这个视频，还是那么感动
1703655447# #码
1693889374# #【专辑收藏】
1700751319# #转发微博
1701220077# #智慧的人，智慧的人生。
1695485871# #转发微博
1698480909# #运气不好，。就要多出去走一走，。走运走运，。你不出去走，哪里来的运。。人必须出门，。必须社交，必须去体验不同的事物，。去见各种各样的人，脑子才会思考，。才能感觉到自己是在活着。。不管你出门干啥，。哪怕是去咖啡厅里坐着，。长期宅家的后果就是失去灵性，。变成彻头彻尾的呆子。。我们都应该出去走走，
1697710202# #因为2015年是先赚钱后倒吐，现在是雪上加霜的；2015年许多人工作还是比较顺的，现在许多人工作也很困难；2015年社会上的赚钱机会还可以的，现在社会上赚钱异常艰难。
1697104080# #码住慢慢看
1695138183# #允悲
1695236600# #假如我中了大奖1.5亿，我会这么花：。。1、悄悄的谁都不告诉，请个假，穿上一件平时很少穿的衣服，带上口罩，去市福彩中心，完税后拿到1.2亿！。。2、然后打个车回到家(不要自己开车怕太激动)，拿着存折躺床上慢慢欣赏上面的数字，啥都不干！就躺着休息，谁都不说，亲戚朋友都不说。。。3、休息几天不去上班
1697891588# #父母决定命运！
1690759636# #结果说对了，原因没找准
1697214046# #俺家里还有上千个口罩，你们都是怎么处理的？急需支招允悲允悲
1696316910# #听听史学界的两位大佬是怎么分析这个问题的，码住。
1700235046# #长知识了goodgoodgood
1695353628# #我有个朋友说这种身材可以打90分，大家觉得呢？
1695130112# #我怀疑男生都喜欢这款！允悲
1694945236# #太细了不好看
1703517851# #涨知识了，码住慢慢看！
1698639504# #允悲允悲
1698641208# #气场很强大赞
1687787711# #转发微博
1701187820# #码
1702723120# #赞
1697733719# #俄乌战争，巴以冲突…看多了国外的动荡不安，才明白生在新中国长在红旗下的老百姓，至少在中国有几点是最放心的：。1、军事上绝对安全，没人敢动我们，即使是美国也不敢攻击我们本土，除非同归于尽。。2、经济上不怕制裁，老百姓不会饿肚子。哪怕你把外边全围堵上了，不让进口一桶油，不让出口一双鞋，也
1703206721# #学习是提升自我、积累知识的过程，旨在开阔视野，发展思维，提高解决问题的能力，为个人成长和社会贡献奠定基础。
1694447127# #【图解“美人肩”战法】美人肩是强势庄股特有的形态，它表明的是主力对该股非常的看好，舍不得让股价回落下来给其他人逢低吸纳的机会，他自己每天买一点就买上去了，同时也表明在市场上的浮动筹码极少。最后主力越看越喜欢，就干脆放量突破拉升了，这就是美人肩的内涵。。。形态特征：。。1、美人肩是一种K
1695125383# #互相珍惜的情，才会长久；双向奔赴的爱，才有意义！
1695273190# #世界上最伟大的“套路”：。几个差生被班主任请到家里吃饺子，。吃完饺子，。老师诚恳的拍着他肩膀说：。我教书三十年以生命担保，。你将来一定会很有出息，。孩子感激涕零，。从此发奋读书考上了大学！。毕业后才知道，。班里几乎所有同学都去老师家吃过饺子，。希望我的孩子，。也能遇到这样的好老师，。学生时期
1687427808# #有趣的知识
1702702719# #码住慢慢看
1702736920# #赞
1689091532# #一分钟学会看：盘口语言的秘密，收藏备用。
1692711886# #码了慢慢看
1704123719# #这盛世如你所愿！
1695624417# #对象最近又胖了三斤，俺该怎么委婉的提醒她减肥？
1700645437# #转发微博
1695007704# #谁祸害的谁去解决吧
1696771607# #转发微博
1694525781# #收藏起来学习
1702484201# #码住慢慢看！
1700894460# #学到了，码住！
1697956368# #让自己配得上拥有的东西！
1692058330# #为什么我们买股票总是亏钱？总是被套牢？这篇文章仅用廖廖数语，就解答了心中的疑惑了…
1698554410# #赞
1694735483# #一般第二天是跌得多！
1702458454# #收藏学习
1687501476# #真的是骨子里都坏透了
1703849501# #码住慢慢看！
1692105169# #这个应该不算性骚扰吧？
1688231359# #很想知道怎么处理……👀👀
1703300273# #转发微博
1699618172# #马住了
1690095340# #码住慢慢看
1687940901# #先码后看
1690293788# #同意，这个是经验之谈，转需。
1700129703# #现代版的神笔马良！
1696438740# #码住试试吧
1692660411# #【图解：如何精准预测市场拐点】在市场走势变化频繁的情况下，交易方向常会发生改变。因此，我们需要寻找转折点，一旦找到这些点，就能准确判断价格和趋势的转变。
1699367356# #收藏备用，不过应该不太完整，还有不少国企券商呢！
1690639642# #是怎么好意思说出“我们对女孩子都是很绅士的”？
1700995438# #太了解她媳妇了，普通打工人的日常生活就是这样的，哪有那么多对和错
1700650201# #赞赞
1687264341# #一小时云游委内瑞拉，收藏。
1701578381# #赞
1689439199# #码
1693138695# #转发微博
1703513047# #收藏备用赞
1692183758# #中国最难懂的方言有哪些？闽南语竟然只排名第三
1696262954# #田娃脱口秀，挺有意思！
1693115761# #扎心了。
1698455701# #蜡烛蜡烛蜡烛
1694968422# #同意！
1702273832# #码住看看
1700278787# #轉發微博
1699182575# #赞
1691917176# #带着梦想生活，可能会开心一点
1693148584# #goodgoodgood
1689858328# #科普：塑料袋制作成塑料绳。
1699327113# #一段视频教你看懂体检报告
1692441157# #生存的障碍是傲慢，「怀才不遇」成了失败的遮羞布，诚实面对自己有多难
1701866189# #码住慢慢看
1692253116# #转
1695365823# #赞
1688616334# #很实用，转需收藏
1694231810# #可以但没必要！
1697721060# #先码后看
1694604024# #微观世界
1698724671# #转发微博
1702918930# #转。每天练习50次，坚持一周打通小周天！
1695995404# #句句在理，码住赞
1687345164# #转发微博
1696139757# #男的有些咄咄逼人，但没毛病。
1694400260# #这篇关于费翔的评论好精彩！！！
1697474551# #知乎上曾有一个直击灵魂的拷问：。。“假如40年后，你送走了父母最后一程，世上再无至亲之人，你也没结婚，你会干嘛？”。。有一个人的回答，让人瞬间破防：。。“如果真的那样，那我会在活着的时候，好好活，死时爸妈会来接我，像小时候接我放学那样。”
1691900101# #赞赞
1699177147# #纪录片《故宫至宝》
1695627331# #这样画面，在低俗人的眼里只会看到她的丰满的肉身！而在老夫的眼里只能看到健康和美！
1690709775# #理不直气也壮，耍无赖啊！
1694870347# #赞
1700278832# #四岁男孩王子恩流浪街头后续…
1695195845# #今年还赚钱的都是高手！赞
1690504496# #新能源板块：江苏省2025年目标：沿海储能2.5GW、海上风电5GW、海上光伏5GW。江苏省发改委发布《关于印发沿海地区新型储能项目发展实施方案（2023-2027年）的通知》。《通知》指出，到2025年，沿海地区新型储能项目累计投运规模力争达到250万千瓦左右，确保沿海地区新增500万千瓦海上风电和500万千瓦海
1702636647# #《欧洲Top100旅行目的地》，收藏goodgoodgood
1703083274# #码住慢慢看
1703602533# #实话
1689857983# #赞
1692314501# #新手炒股牢记6条铁律：。。1、永远不要轻易满仓，因为一旦趋势反了，没有补救的资金。。2、只做自己能确定的趋势段，只赚自己认知中的钱。。3、不要分散买很多品种，也不要只买一只股票，分散均衡投资几个。。4、只做升势确立的个股，下跌通道的最好别碰。。5、不要随便抄底，因为你不知道哪是底，也不要过于
1702102601# #这个好，转需。
1698942958# #纪录片《西伯利亚》完整版，码住了解一下。
1703386158# #他已经掌握财富密码了
1689263178# #转发微博
1698455667# #转发微博
1696143692# #太平天国。
1690086541# #是有段时间没出来了……
1694397860# #投资铁律，转需。
1702739830# #赞
1698841131# #码
1700884078# #码住慢慢看！
1698506323# #蜡烛蜡烛蜡烛
1702797430# #该片讲述了一个患有“解离症”的副警长卢·福特辗转于差异很大的两个女人之间，并且在人格分裂的促使下，以极其暴力和凶残的手段杀人的故事……
1691713115# #真正的炒股高手，一直谨记30条股市铁律！
1703687240# #码
1698385364# #太暖心了
1700666888# #好人一生平安！
1690194850# #今日大盘早间低开高走后，午后指数回落；北向资金一路流出，市场成交量全天仅6601亿元，创年内次低。早盘强势的AI午后大多收窄涨幅。后续，市场进一步下探空间或有限，政策在保持定力基础上稳步发力，行情或有望震荡筑底。。。周一(7月24日)，大盘在早间低开高走后，午后跟风资金寥寥，指数逐级回落，北
1703170709# #收藏起来备用！
1700908264# #赞
1697205512# #转发微博
1693306308# #收藏备用。
1694517862# #Repost
1691927688# #学到了赞
1696332611# #赞赞
1691939010# #最好的投资是投资自己，最聪明的投资是投资未来。
1700901553# #16分钟看完拿破仑的一生
1701616947# #炖骨头汤，酒店大厨不外传的秘密：牢记两放两不放的诀窍，汤甜肉香不油腻，营养又好喝！
1702028459# #码住
1691979979# #投资自己的励志语录，看了就让人热血沸腾！。。一、欲戴王冠，必承其重。哪有什么好命天赐，不都是一路披荆斩棘才换来的。。。二、别在年轻的时候假装不爱钱，毕竟星辰和大海是要门票的，诗和远方的路费也是很贵的，靠自己的能力，赚钱会上瘾。。。三、世上没有那么多天赋异禀，优秀的人总是努力地翻山越岭，
1696434283# #码住慢慢看
1697983182# #赞
1698659024# #没有人必须做什么人，你唯一要做的就是你自己。
1692963368# #日本持续核污染水排海，则大连、威海、青岛、上海、宁海等东面沿海城市都会受到污染海产品及污染雨水的影响的。
1702115222# #收藏备用
1696569336# #不就是纹个身个性张扬一些，这在西方社会根本不算什么，为什么在我泱泱华夏很多人不能包容这些呢
1700995388# #没有人可以拒绝周迅的美赞
1694421718# #赞
1699755613# #赞
1697955681# #粉笔画也可以很美！赞
1694959149# #转！半导体行业最全产业链（附股），收藏备用。
1687672377# #码住慢慢看
1699095614# #这个真的看哭了泪
1696321828# #我还是很佩服柯震恶的。这家伙武功不咋地，没看他向哪个坏人低过头，有骨气有气节！
1694441332# #收藏学习
1699078427# #赞
1696391571# #这就是为什么韩国小年轻都在炒股…
1703466277# #为了梦想而战
1689117689# #做股票的基本功是什么，三分钟视频告诉你底层逻辑。
1697732463# #转发微博
1690206406# #收藏goodgoodgood
1698751921# #赞赞
1687246753# #爸爸为白血病女儿做饭每天不重样知识科普：儿童高发白血病，天价医疗费如何应对？。最近我看了《柳叶刀》的一项研究，联想到了在我高中以及大学期间，都有过同学得过白血病的经历。这让我思绪万千。研究表明2018年-2020年，中国共有约12万个孩子被诊断出癌症，而白血病在1-4岁的儿童中占比是很高的。
1695134279# #码住慢慢看
1696161973# #转发微博
1698036985# #看完这个，突然原谅了古代君王！
1691248237# #愿每个生命都能得到善待
1699713570# #基于事实的逻辑，简洁、坚定有力
1695452046# #允悲
1695902062# #转发微博
