1688909632# #张琳给我买的哈哈哈哈哈哈
1699093209# #水挂完啦～明天继续挂！！我就不信！！我一个鲜活的人！！！能让这病给折磨疯了！！！！！！！！操！！！！
1688582331# #咱说这拍的也忒忒忒高清了吧😂
1688113513# #把迷你版许诺接到南通玩几天去
1695696722# #我要起飞咯🛫回南通噜～
1692374078# #没货了，蓝色的没有货了委屈申请退款一下吧抱一丝
1688821086# #昨晚我说老公我想要台新的ipad，今天就收到啦爱你
1701887590# #张琳的腿你们知道啥样的吧？现在已经这样了和以前完全不是一个样子，改善了这么多，后面是粉丝发我的反馈，还有其他反馈在大哥顾茜茜超话
1689460895# #到酒店了睡觉了🛌困晕
1703927563# #爱吃冰淇淋的闺蜜今天过生日咯
1702553647# #恭喜
1701332785# #不知咋睡得给头发睡这样允悲
1696136024# #有没有懂这个的（我带花花来针灸结果自己埋了个线）
1701349480# #这玩意怎么永远就躲在这里睡觉啊
1703142923# #采耳采耳采耳
1693215966# #买了一只好可爱的豹子🐆好喜欢😍
1695390301# #嘿嘿嘿小狗醒了awsl
1689244916# #品牌方说去红效果好，昨天我不信，今天我信了呀笑cry张琳的脸昨天去正骨了今天全是红疙瘩，敷了15分钟直接不红了，15号来买买
1697735194# #我现在啥都想吃，吃腻了的东西在这一刻也无比想吃，我要吃人了，我不行了，我好饿
1694114415# #定制版拖鞋+情侣袜子啊哈哈哈哈哈哈
1699004940# #本来就是打算3号回来直播的，又泡汤啦悲伤再等等我
1695751020# #谢谢品牌送的礼盒，祝大家中秋节快乐，送大家1个礼盒亲亲
1693795531# #家人们买了牙刷的退下款啊泪没库存了呀拍超了泪打了电话不接有的接了电话也不退泪快帮帮忙谁买了的退一下吧泪泪
1698763181# #哎我去b美甲真费时间做两个小时了
1694298165# #闭上眼半个小时睡不着，满脑子都是预热怎么拍，台词怎么说，9.19号直播的时候怎么描述产品，实在睡不着爬起来吃了个褪黑素泪今天醒了就拍彩棠持妆记录苦涩安噜（一干大事你别看我表面干干干，内心还是有点焦虑有点子虚的）
1691828748# #屙臭臭ing。。。
1687269528# #啊呀刚到家收到老公说最新款的花花-乌梅子酱抱一抱
1694638422# #拍预热拍到现在单身狗单身狗单身狗
1695658811# #太原真的好热情，酒店也好，司机也好，酒吧老板也好，粉丝也好，真是个很好客的城市嘻嘻嘻嘻有机会会再来的，但是还有很多城市没有去过，要一个个打卡见我家的宝们酷爱你们
1697263914# #凌博士失重面霜100g价格有惊喜！！！！！我不敢发太多条！！！我怕我的姐妹们开播抢不到！！！！doge你就猜猜看吧。官方旗舰店349一罐50g，50g直播售价269💰！！而在我21号的直播间100g！！！！！！！！！不到3不是299不是289哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1704304360# #许诺真是睡神啊昨天早上9点睡的，睡到现在还没醒呢怒
1699519103# #怎么还没到我！！！！到医院都一个多小时了还没挂上跪了
1696285574# #看的我好生气啊女主人设真的无语太喜欢背锅了还没长嘴。。。好讨厌不长嘴的人设怒骂怒骂怒骂我宣布这是我看过最拖拉的复仇剧
1702713619# #吃完午饭，撑死我了嘻嘻
1688739154# #又收到许诺送的礼物咯他恨不得给这个系列的娃娃全买给我抱一抱
1703321382# #好多人问我运镜怎么弄的。就是你跳完舞蹈，视频导入剪映，有一个镜头追踪，自动就成这样了！
1688901523# #好好好，这么多快递是吧
1693370265# #开始了！
1701623934# #
1691674999# #好久没画纯欲减龄妆惹！(˵¯͒〰¯͒˵)还是这么简单又好看！PS：睫毛贴的长长腮红用的图中眼影盘下睫毛还是俺的联名款，给大家补货噜12号有1500盘喔嘴上涂的橘朵水光纯露02色很亮耶。美瞳是蜂蜜浅棕🍯，粉底液彩棠粉饼kiko～
1698749946# #给你们看看我体内的支架😂多少有点暧昧了
1697845027# #卑微的胆囊炎患者黑线
1691642721# #哈哈哈哈哈哈哈哈哈
1695822905# #看我自己画的壳酷
1703685230# #卧槽，爆改
1694294964# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1698557514# #喝果汁噜，嘿嘿嘿嘿嘿嘿嘿嘿嘿
1698240373# #突然打电话过来说有床了，我就赶紧过来了，一会插胃管单身狗好害怕医生说是从鼻子插到十二指肠听着就好吓人呜呜呜o(╥﹏╥)o
1699797265# #看看我们不在家的时候，这个逆子在干什么呢？
1696122123# #完事了！！！一万张终于签完了！！！！跪了看见顾茜茜三个字头疼了都！！！！赠品尽快给大家补发哈亲亲亲亲双十一想要啥礼物？我还是想得送钱实际（括弧：主要家里堆不下了家里还有好多花知晓的套盒啥的）
1699514358# #卧槽，看了眼日历，今天怎么9号了😂妈呀后天就11号了
1703459586# #我给粉丝改装改到现在微笑腰已废一晚上化3个
1702717796# #我在晒太阳，躺在吊床上，巴适得板哦
1699954016# #我长大了doge爱谁卷谁卷去吧
1690356013# #成功拿下生日场机制，全网独家，9.19号生日场不见不散太开心太开心
1692522671# #兔子第一次跟旺旺见面这是咋的了这是允悲
1688291579# #上次小孙他爸寄了好多淄博卷饼没吃完，今晚准备去烧烤店直播吃烧烤成人礼带上卷饼和小葱去吃成人礼
1700212775# #南京粉丝避雷呀！我很喜欢这个博主的风格一直给了钱没去广州呢如今看她被盗图！火速传播多多举报！！！
1691659830# #恭喜
1699729448# #好好好，本来就没挣啥钱，这下好了，雪上加霜笑cry
1687596582# #小孩崩溃：原因是我说他像林达浪微笑
1694457639# #啊啊啊，啊啊脚痒死了
1698513383# #单身狗李洋长大了
1704136010# #绝了
1693914891# #
1696152326# #妈的我还没睡笑cry妈的妈的妈的
1703330201# #螳螂锁
1692034755# #我今年真的看老爹鞋顺眼了好多可能是审美变了一点也有可能是它上脚确实好看或许也有可能是我看习惯了哈哈已经到酒店了！准备卸妆了！昨天才睡了4小时，忙完估计3点今天睡6小时又要起床上班了！！加油努力的人上天永远眷顾你！虽然很累但是真的充实！再加上有一堆支持我的宝贝！和看见我努力欣慰
1698636614# #吃面糊糊了！！！终于吃到有味的东西了啊哈哈哈哈
1694878372# #卧槽框框窜
1698131483# #啊哈哈哈啊哈哈还差哈哈哈哈哈哈哈哈哈哈哈哈哈哈我掉100了！！！瘦了8斤啊哈哈哈哈哈哈哈啊哈哈哈哈哈哈啊哈哈哈哈哈哈啊哈哈哈哈哈哈啊哈哈哈
1698631417# #这个品牌，我谈到了，11.11号当天来我直播间，我会补贴一万单价值30.5的电暖宝（别觉得便宜这是一万个的批发价售后无忧防炸防爆防漏水）淘宝你们去搜没有低于35的还有卖到70.80的微笑客单价193.5到手三个正装加他们家美白身体乳30g*9。并且我签了合同，全网独家（❗T宝的很多价格便宜是假货，
1698641803# #哎哟我滴妈呀，点了个果汁，喝的我想从6楼跳下去，真踏马难喝，看来真的没科技没狠活，真难喝，真的太难喝了允悲
1701339320# #诺哥的毛衣和外套确实帅啊彩虹屁
1702435143# #睡会(づ￣3￣)づ
1702041504# #纯欲减龄妆限时返场
1697511110# #终于妹妹来反馈了
1694382824# #大早上和张海洲聊天泪尊嘟有点子紧张
1700787648# #这不是婴儿肌你告诉我这是什么？
1689248816# #黑白的这组原图自取（水印我去了贴心小顾doge）
1696345952# #🔗链接来了
1690720223# #分享夕阳亲亲
1703185573# #疯了疯了第一回见到南通-10°
1691693992# #酷
1697514522# #我听话来看病了泪
1695357348# #拍了两张感觉镜头没啥太大的区别就是还是会锐化总体就是变轻了很多别的其他没啥灵动岛和14的一样没区别
1703507832# #泪现在啥平台都要花钱买流量了还好我比较佛系（除了我的美丽照片没有点赞会难受以外）泪
1697988753# #笑cry年轻人还是太年轻了有没有南通本地的有客服经验的联系这个截图发出来没别的意思发出来是为了以后找的客服不是这种半途而废的哈握手
1699320538# #今天木有吃早饭，怕万一要做空腹的检查就没吃哈哈你们吃的啥
1703649169# #分享图片
1697984360# #
1698333331# #单身狗
1694837367# #无语了真是烂尾费解
1693301406# #人鱼壳子我穿不了泪呜呜呜呜想把咪咪嘎咯呜呜呜呜呜呜呜呜呜呜呜呜泪
1702194000# #真的我以前在外面喝酒，看见这种开跑车的哥我都很胆怯。。。。
1701077408# #好好看啊我晕(꒪Д꒪)ノ
1687300855# #陪尖叫王子去咯
1698495738# #又困了睡觉去了haha
1688575534# #太卡了不播了我洗洗睡了抱抱
1702303161# #切换人格，上班了，886
1691645394# #家人们！！凌博士粉色次抛！！旗舰店价499，正常直播机制299！但是这次清库存！我把佣金去掉了给大家抢了个69.9一盒的机制！！30支次抛69.9泪本来是89.7的，我直接压佣金干到69！！不买是傻瓜！最后1700盒！
1697014553# #辣一下
1701056166# #给孩子难受坏了允悲
1704019937# #这人也忒多了
1698771343# #我晕(⊙…⊙)耗时4个半小时...不行了我得赶紧睡觉了五点就要起来去赶飞机泪晚安你们记得吃早饭顺便问一嘴我这个美甲💅🏻怎么样
1701170349# #全家都来老家找我了允悲搞得我都不好意思了我要跟他们回南通了允悲早叔一会也来看我了，大家都来问我了允悲哎呀，真是的，搞得我不好意思了
1692774824# #测了下官方版本也是isfp耶
1693384009# #美颜一开老子最美二哈别问问就是百分之1像我就是我二哈
1691983590# #卖货那天吃那个鱼排给我辣的，昨天一天没拉屎，晚上凌晨肚子疼到现在，就因为便秘了泪美团点了个乳果糖喝了都没奇效，咋办啊拉不出屎我肠子就会痛，我是那种不拉屎就肠子不舒服的人！！救救命了刚刚好不容易有💩意了，终于冒头儿了就拉出来一点点。。。痛的我睡不着泪
1700671228# #俺还是带上了假发穿的白色蝴蝶结毛衣配了个大衣dogedogedoge
1688377541# #来自混油皮红指甲的好评太开心（ps：图4出来逛街看电影
1699596259# #许诺诚不欺我，他说他拿到驾照费费不在的时候都他开车doge嘿嘿嘿挂水去了今天也不咋疼明天绝对没问题了鼓掌
1701538603# #满意！
1701335848# #酷男人不调教谈什么恋爱作的又不是你对象切酷酷酷酷酷酷
1701426696# #笑cry我觉得我说的没毛病
1692201642# #他们说明天来允悲今天太晚了我泡脚去了（其实累的不是很想护肤，明天晚上摆摊哈下午直播弄材料爱你
1687791520# #我让的，我让他们再三检查的，请不要内讧，内讧这辈子别来，不惯着。
1698514479# #分享图片
1702364546# #天好冷，请你们喝奶茶，你们爱喝什么奶茶？
1693909475# #坚持打卡4天了嘻嘻耶加油
1704030586# #年后新款嘻嘻嘻嘻嘻嘻
1698062086# #嘿嘿骂我全拉黑了，这样我微博抽奖铁粉真爱粉几率更大挤眼
1699362205# #挂完了回家了到家就给你们播嗷我的金丝熊今天到了哈哈哈哈
1687193606# #分享图片
1696384291# #我刚刚翻了翻自己近两年的作品，发现现在越来越没灵感了，不知道拍啥作品摊手也是创业瓶颈了咱就是说
1694343766# #持妆6小时了（刚出去打了羽毛球还跑了一公里拍点b预热真不容易啊）微笑
1689189361# #养生之路！开始！
1702146109# #辛苦啦各位太开心
1690954819# #化妆噜亲亲
1700870923# #吃早饭啦，你吃的啥
1698306485# #刚刚我问医生我什么时候能吃饭呀医生说嗯。。。你这个情况应该过两天就能喝点水了！我：∑(OO；)给我开刀的主任也不知道我这先天性的管上没肌肉怎么办，明天要等别的科的主任来看才行，家人们别担心哈haha
1697281655# #改妆第一趴！非常之成功！等花花把视频剪出来吧dogedoge
1693826448# #我汗流浃背老铁二哈暴汗束腰有点东西
1690620183# #咱也不知道去哪楠哥整了辆车拉着我们就走了
1696505112# #洗好澡了躺到10点直播～
1692696601# #费费真是万能费爱你
1699977830# #泪被今天这个护士姐姐治愈住了，态度特别好，好温柔，而且扎针技术特别好一点都不疼(˃⌑˂ഃ)
1702230661# #必须的，嘎嘎板正嘻嘻
1689509494# #抱一抱真好事业爱情双丰收
1691227734# #好好好自己剪一下
1696567002# #今天再一次让我感叹，抖人的素质低下到我不知道怎么形容的程度笑cry
1698705303# #恭喜
1700305699# #这次给老鼠弄的是田园风觉得肿么样
1700824131# #咱们今天干点啥化妆？拆快递？聊天？
1697288159# #老公终于回家了5555想老公
1699267189# #笑了
1701350817# #油痘肌测了，你就买吧，69块钱，我俩用的都是自然色，除了遮瑕力弱一点，其他感觉持妆非常好，不暗沉，很服帖，也不容易出油，花花用的kiko定的妆，我用的春汀～
1694075942# #嘻嘻嘻嘻真好看好清新好喜欢
1695355332# #我刚刚的三个小时都在传数据，我还没手机玩，捧着ipad玩了三个小时，困死了都单身狗就等它传好
1692227760# #emmmm....看了9集了目前认为还是超越不了苍兰诀委屈
1697175122# #这个点发作品能行吗
1693822841# #哎呀午睡了一觉睡到现在偷笑偷笑
1692687574# #我去，我怎么稍微运动运动能睡得这么香！睡了12个小时还没睡够，阿诺喂我吃馄饨给我喂醒的抓狂
1691318716# #孤注一掷看的一难受啊抓狂抓狂抓狂但是也好看就是看的难受！！！爱赌的一定要看！！！妈的！！
1688026767# #收拾的美美哒一会搂席去了
1698733951# #医生以为我着急回家才给我办理的出院允悲其实我11号卖货我可以再住两天的允悲妈的机票都买了
1694775989# #单身狗~(&gt;&lt;)~
1697356430# #凌博士的机制很顶，但是这次的货需要大家分开拍，考虑到宝贝们要囤个别的，没有整套组，其实主要原因是，霜没有货doge我今晚录砰砰水还有霜的机制反正很顶，我又降了5%的佣金
1688824871# #啊啊啊，啊啊许诺还给我买了个1000%的樱桃小丸子苦涩苦涩苦涩
1700069670# #网友说我的助理5000干着5万的活。。可是我只是把所有要干的事情说在一起了。。我也不是天天出差天天换季天天生病，而且我一个月只卖一次货其余时间都很放松。不想把我这里说的太好这样大家都想来，反而找不到合适的我才说的那么苛刻的。小孙看到我被视点评论区骂了给我发了个小作文，我哭💩
1696816144# #妈呀，kiko粉饼双十一239两个跪了我真是对不住了跪了疯了跪了生日场买的人别抱怨哈，早买早享受跪了尼玛239两个没买的人千万别犹豫了跪了10.21号记得来买跪了跪了跪了真是疯了
1692822275# #猜猜今天吃的啥٩(๑•̀ω•́๑)۶
1697766549# #好虚弱好饿走路晕乎乎的感觉两眼发黑眼睛都哭肿了泪挂水挂的脸都浮囊了挂了7个小时水泪
1693726779# #气屎我了海对面针对俺夫妻俩啊！兔子姐两个作品都被下了抓狂
1698587032# #睡觉噜
1696911307# #早安抱抱又是爱大家的一天。希望大家天天开心快乐遇到困难不要埋怨不要退缩，遇到渣男不要优柔寡断，遇到开心的幸福的事情记得记录下来，遇到什么我们都会游刃而解，每一天都是鲜活饱满的！
1697512780# #嘿嘿嘿，我好笨，我把初三看成周三了笑cry
1702706493# #
1693563471# #家人们凌博士生日场有送10000张亲笔签名照，评论区发点大家喜欢的照片想要的。我决定一下用哪张照片！
1702721533# #换身衣服准备去冲浪了比耶比耶比耶
1694783997# #今晚开播先煮馄饨吃，吃完化妆，化完妆拆快递酷然后我下播就去拍预热太开心好吗妈妈们
1697436668# #早啊洗了个脸啥也没抹的皮肤状态doge我看看四季霜到底能不能再创奇迹开播一分钟没的这种奇迹doge
1697083737# #好消息好消息太开心
1700069270# #有点好看这个
1702723195# #哈哈哈哈哈哈哈哈
1703760882# #参考一下大家的意见。这个衣服你们喜欢吗，是要加guxixi还是直接去掉～（ps好帅好喜欢）
1698509440# #我说我好饿，护士说，这就是饭。
1701400365# #你来这看吧宝宝快手老子呕到嘴里也得咽下去
1699674287# #我就是看画眉推荐的买回来的！！！！！真的要买！！！
1691172630# #出门前的妆vs回家的妆
1698550408# #许诺送来的赔罪礼物，要不要原谅他呢。微笑
1692969918# #家人们我脸上只剩彩棠粉底液和睫毛了哦还有半截眉毛其他东西全没了哈哈哈哈哈哈
1688457274# #上午穿戴甲没有临时买的，说底片不送了，现在拍第二套才知道让我来写真馆的那个女孩子已经离职4个月了，现在问我要399一张照片，而且直播间阿拉斯加他爹不接我电话，我微笑我感觉全世界都在玩我
1700526666# #吗喽我继续睡了，冬眠
1692190891# #刚睡醒在和小🐟聊天发现她和我一样喜欢稀物集卸妆膏我好开心啊哈哈哈哈哈哈笑cry
1703586898# #学啊你看看啊！！！学啊！！！
1693833180# #上面3个人我录的洗发水预热哈哈哈我还要用吸油纸持续打卡头皮出油情况！
1702636367# #没p的先发发玩水去了啊！！！886
1701397082# #doge这人怎么吃了十几年番茄鸡蛋吃不腻的
1697100946# #嘿嘿，今晚直播能吃上七口辣噜
1698391529# #发热了泪38.5了泪泪泪
1698563666# #费费说红指甲给她点了个外卖她下去拿，然后结果费费带着红指甲上来了笑cry小红来看我了也不说带包鸭舌给我吃吃
1688745429# #出来吃烧烤送费费回家嘞，一会到家了就开嗷
1703694285# #嗯呢，好玩，太好玩了微笑
1697111712# #我和许诺真的打扮的好肥猪流哇˃ʍ˂
1687564241# #抱一抱再忙也要多陪陪家人
1688167352# #抓狂好困啊好困啊
1692945255# #来咯来咯进去玩噜
1695488168# #太原的家人们都太热情了哈我受宠若惊了，谢谢大家从各地过来看我，大家都辛苦了，早点休息吧心
1690635675# #家人们今天10点可能播不上了，这大草原里面没有信号，苦涩我在参加活动
1698502993# #哎我去，我ks主页挂的费费的微信账号对接品牌方用的，有两个大傻春加错了微信被骗了钱一直在我的评论区刷我是骗子笑cry我真服了我从来不收坑位费，哪怕收怎么可能收400还不要你的样品？麻烦都告知一下吧，我们的vx是大写的，这女的创了个小写的v，搞得好几个商家被骗，希望商家看到不要被骗了笑cry
1703512795# #分享图片
1698630038# #住院费好贵啊押金一万五，现在又要过去交两万，啥玩意啊，在北京生病都病不起啊，挣点钱都治病了操
1699960151# #看看我的新宠黄水晶doge招财滴
1692607764# #赶上三伏天的尾巴再晒晒背
1687347887# #老铁们我今晚用许诺的号播我和他接头发我早上睡了四小时六点起来到现在没睡我现在去理发店接头发去笑cry熬就完了
1704288347# #拉完了，体重如下
1690530991# #登机了刚刚胃胀气了痛死我泪
1704115031# #吃上了
1692096878# #逐渐开始摆烂了
1703438995# #哇哇哇！！！！！
1692524992# #哈哈哈啊哈哈哈哈哈哈哈哈哈给我气笑了
1696859538# #一会直播喝点粥摊手
1693555570# #腰间盘突出了抓狂抓狂抓狂
1695924326# #这俩图把我笑死哈哈哈哈哈哈哈哈哈
1702300748# #好想拉粑粑，想给你们看
1702823923# #等饭的小宝宝
1698483705# #又扎了一针止痛，好一点了
1698267103# #一个病房3个银，俩人一块打呼噜，还一起一落的。。。他俩跟交响乐似的，我给这交响乐取个名《假如我是摩托车》真能呼啊微笑
1687435130# #挽回一下我老公的颜值抱一抱
1698225720# #哎哟我，又抽一大管子血都快抽昏过去了允悲宝宝的少女心
1692953018# #两个项目结束！记录一下继续玩馋嘴馋嘴馋嘴
1692481880# #一晚上吃完了一包鱼排这两天皮燕子要遭罪了且狠狠遭罪生病
1691875677# #我还在拍预热！许诺还在包衣服快递！有一种不顾死活的努力！
1690461269# #染的十分不理想泪我的金发没染出来漂了4遍也漂不出泪金发计划泡汤泪我本来想染图3的颜色的
1691319377# #在同一个套圈的地方遇到了跟我的小白一模一样的小白
1691587776# #封神看完了。。只能说古代人真容易被洗脑纣王的pua看的我想抽死他太坏了！抓狂最后很感人哭死我了泪but狐妖很漂亮
1691869136# #我的老天爷呀顶
1698036825# #...医院好冷想买个大毛毯盖盖
1690067566# #好好好，还有一个半小时到抓狂抓狂抓狂
1688560291# #又累又困伤心不过照片还挺好看的成人礼
1695327904# #老公把房间重新置办了下awsl你们觉得怎么样呀
