1690036843# #根据血糖水平和病情
1702392145# #作揖作揖作揖
1700314964# #不需要
1691933997# #生态城南湾公园
1702729429# #是的
1700487067# #你追求的梦想，不一定会在终点给你惊喜，但至少，它会支撑你出发。运动
1701264763# #goodgoodgood鲜花鲜花鲜花
1695736194# #【苯磺酸氨氯地平片的功效和作用】地平类降压药是有效而且常用的降压药，专业名字叫钙通道拮抗剂，通过阻断血管平滑肌的钙离子通道，使平滑肌松弛，血管扩张，血压下降。降压效果很好。。这类药只扩张动脉不扩张静脉，所以会出现末梢水肿比如脚踝肿的现象；诱发交感神经兴奋会出现脸红、心跳快的情况，
1694528423# #用药
1695527549# #做糖耐量试验
1690459520# #【25岁糖尿病肾病】25岁的小伙子，2型糖尿病，糖尿病肾病，空腹血糖9mmol/L，餐二16mmol/L，糖化10%，尿蛋白定量2.5g/d，指标都很高。。他从小就胖，父母也都有糖尿病，他13岁时发现血糖高，但没有认真对待，也没有规律检查、用药，平时血糖多少、什么时候出现的尿蛋白也不清楚。直到最近腿肿了才来就医
1703901346# #属于，看名字。可以合用
1702461595# #待到诗成近黄昏，窗外依然雪纷纷。忽忆他年此时景，端杯之人成故人！。——转自老友二柱
1696168438# #请绕行
1703047337# #谢谢您！鲜花鲜花鲜花
1700232358# #不可以，不建议用磺脲类降糖药
1702897618# #世间万物凡你需要的，能温暖你、营养你、愉悦你、治愈你的皆为药。比如阳光、空气、一段文字、一本书，一杯水、一个人，一场落雪。运动健康
1697377798# #【降压保肾，哪些药合用更好】血压高是肾病恶化的原因之一，控制血压达标能延缓肾病进展。2021年KDIGO指南推荐，肾脏病合并高血压首选沙坦类或者普利类降压药，注意，两类药只能选择一类。。但是，肾脏病人的血压特别难控制，单一用药很难达标，大多需要联合用药，那联合用药选择哪一种更好呢？。上个月
1701695212# #【重磅：恩格列净获批新适应症】11月24日，国家药监局正式批准恩格列净可以治疗普通肾脏病。。恩格列净是降糖药，是治疗糖尿病的一线用药，也是治疗糖尿病肾病的首选用药，可以降低糖尿病肾病的尿蛋白，降低肾衰的风险，减少尿毒症的发生。。那它对没有糖尿病的肾脏病是否有效呢？。去年完成的一项大型临
1700398357# #2023年4月13日，CJASN发布了一项IgA肾病长期预后的队列研究显示：1、大多数IgA肾病患者将在10~15年内进展为尿毒症（ESKD）；2、对于尿蛋白定量＜0.5g/d的患者而言，其10年内发生ESKD的风险达20%。
1688180289# #【瓦格纳，一个伟大的德国人被一群俄罗斯人玩坏了】理查德·瓦格纳(1813～1883)，19世纪音乐家，是继贝多芬之后德国著名的作曲家和指挥家，浪漫主义音乐大师。一生著作众多，《婚礼进行曲》便是其作品之一。。俄罗斯的瓦格纳军事集团最初叫“斯拉夫军团”，后来，集团的创始人之一（不是厨子，厨子没有
1702728580# #鲜花鲜花鲜花
1700468400# #心梗救治牢记三个120。牢记2个120，关键时候能救命。天津大学泰达医院李青。发生急性心梗，不要电话摇人，无需医院找人，直接拨打120，抓紧120分钟的黄金救治时间。。今天是11月20日，是“中国心梗救治日”，我在这里提醒大家，发生心梗，要牢记2个“120”：一是立即拨打120急救电话，二是抓紧120分钟
1690031127# #有可能
1701432470# #吃药后多少？
1690031145# #鲜花鲜花鲜花
1690031204# #你可以用安博维呀，也是原研药
1697277852# #不是
1701090730# #goodgoodgood
1700306517# #非常开心，第一篇公众号文章阅读量超过10万嘻嘻《盘点九大伤肾行为》
1696495139# #餐后2小时血糖9.3是否正常微博健康公开课听医生的话
1701518653# #药到病除，不需要医院了嘻嘻
1689601328# #喝酒越多，颈动脉斑块越重微博健康公开课
1701173189# #原研沙坦比如易达比（美阿沙坦）、必洛斯（坎地沙坦）、傲坦（奥美沙坦）等，再联合地平类降压药比如络活喜
1700815103# #甲流应对措施，最后一句是重点
1693625729# #秋风吹绿叶，千屈一片红。路边的千屈菜。
1691412843# #【高血压的诊断标准，中美为什么不一样】我国高血压的诊断标准是血压≥140/90mmHg，而美国的诊断标准是≥130/80mmHg，相差10mmHg。中美高血压诊断标准不一样，受医保政策、社会经济状况等诸多因素的影响，这也反映了慢性病的控制，不单纯是医学问题，而是社会问题。不过，在这些影响因素中，血压的测量
1692788405# #【尿蛋白2+尿潜血2+有结石史。腰椎间盘突出史，当地医生说很轻】谢谢你的信任！应该是肾小球肾炎，因尿蛋白不太高，可以不用肾穿。血压多少？用沙坦后多少？阿利沙坦和氯沙坦合用吗？
1702301025# #【下雪能冻死流感病毒吗？】现在流感高发，许多孩子和老人都中招了，咳嗽、发烧、输液，一些人还住院治疗，作为父母和子女的中年人，也被整的疲惫不堪。一些人盼着下雪，说下雪就能冻死流感病毒了。。这不，今天华北迎来了入冬以来的第一场雪，那是不是北方的流感就能控制了呢？。说下雪冻死流感病毒只是
1703501159# #年龄只是符号，只要有与之匹配的内涵，或天真，或无畏，或沉稳，或纯粹，活得像自己，才是对生命最好的馈赠。运动生命
1692363757# #转发微博
1696939591# #进口药有多贵微博健康公开课听医生的话
1693998012# #【医生您好，女儿6岁7个月。一年前发现有尿频情况，带到医院检】谢谢你的信任！我个人意见是薄基底膜肾病，可以不用治疗，什么药都不用，不要再折腾孩子了，否则心理出问题
1691672755# #【瘦人能用肽类降糖药吗】肽类降糖药比如司美格鲁肽、度拉糖肽、利拉鲁肽等，降糖效果很好，还有心血管保护作用，是2型糖尿病以及糖尿病合并心血管疾病的首选用药，同时也有一定的减重作用，超重的糖尿病患者更适合。那么问题来了，消瘦的糖尿病人能用肽类降糖药吗？。答案是肯定的，消瘦的糖尿病人也可
1698846649# #《大麦歌》。大麦俯身偃，海滨有低地，巨风动地来，放歌殊未已；。大麦俯身偃，既偃且复起，颠仆不能折，昂扬伤痛里；。我生也柔弱，日夜逝如此，直把千古愁，化作临风曲。
1696392997# #作揖作揖作揖
1687691060# #起兵想做安禄山，来势汹汹似蕫卓，兵临城下要当李自成，没想到最后原形毕露是宋江。不会理发的司机不是一个好厨子。瓦格纳
1688044504# #给高血压患者的十大忠告微博健康公开课健康素养提升v计划
1698147541# #肺炎支原体肺炎，背后还有许多故事微博健康公开课听医生的话
1704195642# #朱令案带来什么启示微博健康公开课听医生的话
1696079353# #初秋拍的
1688036407# #【李医生，您好，我老公（43岁）一直检查有潜血和蛋白，尤其红细】
1697096540# #无法理解，不大可能，应该是技术问题
1696572599# #硝苯地平明显，氨氯地平副作用小
1691233205# #【。医生，你好。我今年33岁，女性，生育过一个孩子。我是202】谢谢你的信任！非常轻的肾小球肾炎，如果不出现特殊情况，不会肾衰的。单用安博维便可，如果血压控制不好，还可以增加剂量
1693915697# #漏尿，可以自我纠正微博健康公开课
1700221928# #糖前期如何做才能远离糖尿病微博健康公开课听医生的话
1695562650# #【肾病综合征一旦水肿就不可治愈吗】大多数肾病综合征都有水肿，是否水肿一般不影响治疗效果。。肾病综合征有四大症状：大量蛋白尿、低蛋白血症、高脂血症和水肿，具备前两条，也就是尿蛋白定量≥3.5g/d，血浆白蛋白≤30g/L就可以诊断肾病综合征。。四个症状中，大量蛋白尿是核心，因为肾脏漏蛋白，导致
1692054279# #差不多吧
1704199149# #这是我的一位患者、也是一位志愿者的亲身经历，他也是工薪阶层，生活并不富裕。寒冷的冬天“小人物”间报团取暖才是正能量，能帮别人一点就帮别人一点是最大的爱心，把爱传递下去会产生更多的爱！向我的这位朋友致敬鲜花鲜花鲜花
1695556466# #低生堂黑苦荞麦片无糖低脂老人糖尿病孕妇减肥可食用全谷物即食麦片500g6袋（再给两袋）
1704016464# #2023，我的年度回忆听医生的话听医生的话
1691411790# #嘻嘻作揖鲜花
1702907813# #嘻嘻作揖鲜花
1690976309# #长期用药引起肾损害微博健康公开课
1687356412# #躺平躺出来的尿毒症微博健康公开课健康素养提升v计划
1695128208# #肾病综合征一旦水肿就不可治愈吗微博健康公开课听医生的话
1700291806# #做糖耐量试验
1703755489# #地平类降压药会造成缺钙吗微博健康公开课听医生的话
1701266346# #尿蛋白定量超过1g/d应该肾穿，这是规范诊疗
1700750688# #金医保、q医都可以，实在不行到医院我给你加号
1692623088# #螺内酯、依普利酮和非奈利酮有什么区别微博健康公开课
1696127616# #【契约】1648年，清顺治五年，中华大地正经历残酷的政权更迭，南明王朝在做最后的抗争。。这一年，荷兰的列克戴克上水坝水务公司发行了一份债券。该公司主要是负责维护克莱河堤坝，这张债券面值1000荷兰盾，作为回报，债券的持有者将每年获得50荷兰盾的利息。。这是一种持续支付收益的永续债券，内容被手
1699020037# #达格列净卡格列净恩格列净有什么区别微博健康公开课听医生的话
1696331343# #【两次失业，隐忍40年诺奖得主】刚刚获得诺贝尔医学奖的Kariko女士出生于匈牙利的一个小镇，父亲是一名屠夫。大学毕业就失业，后留学美国，从事的mRNA研究因为不热门，拉不到经费而两次失业，因签证问题，丈夫无法团聚，孤身一人，身处他乡。中年被降职、降薪，身患癌症。难以想象她所经历的那些沉默苦
1687690805# #【李大夫.您好.我的家人.今年54岁.20年前因水肿去检查.后】
1692917640# #看到了goodgoodgood
1691670366# #她的肾功能是怎么逆转的微博健康公开课
1702800838# #骨质疏松不是列净类的问题，而是糖尿病的问题
1688396928# #为什么要替代，二甲双胍的基础上加列净类不好吗
1701272193# #早该吃药了，不仅要吃药，而且两种以上的药联合
1692365444# #嘻嘻作揖允悲
1692715839# #不需要
1699091103# #作揖good
1692528746# #雨轻落而云散去，绽放了天青的笑意
1702207302# #一片。另外，血压不会1120
1701163218# #从早晨到黄昏，窗外的风景
1687180085# #【药都是好药，为啥还要吃保健品？】60岁的老马，糖尿病肾病，慢肾衰，脑梗，高血压、高血脂、高尿酸，规律服用许多药，病情也一直很稳定，可刚刚体检发现高血钾。。高血钾很危险，发现后要及时处理，除了用降钾药，还要消除原因，那他是什么原因造成的呢？。有许多原因可以引起高血钾，比如说慢肾衰、心
1687683753# #IgA肾病治疗有哪些新药微博健康公开课健康素养提升v计划
1691414674# #作揖作揖作揖
1702903788# #goodgoodgood
1688731843# #目前没有批准，应该可以
1690117128# #巍巍盘山
1688180845# #贯穿生态城的生态谷，给炎热的夏天一丝清凉
1694870797# #1w
1697974227# #前列腺增生，与这项运动也有关微博健康公开课听医生的话自行车运动
1694528509# #不能肯定
1694839929# #国家药监局批准的，安不安全药监局有审批程序。想喷找低俗的内容去喷，专业内容不适合你
1701171666# #高血压的危害，不是你不懂，而是你不信微博健康公开课听医生的话
1689687028# #布洛芬等止痛药潜在伤肾风险微博健康公开课
1700401255# #会
1693927532# #脑子慢半拍
1699089669# #初冬的雄安，好似水乡江南
1693825379# #山高水长，怕什么来不及，慌什么到不了，顺其自然，一切都会刚刚好。运动
1701428357# #goodgoodgood
1691327405# #【新指标诊断肾病，可以替代肾穿】肾病诊断需要做许多检查，抽血、验尿、彩超等，其中，肾穿是诊断肾病的重要手段，肾病是什么原因造成的，怎么治疗，预后怎么样，会不会肾衰等，可能需要肾脏病理性检查。。不过，有一个血液检查指标，叫抗磷脂酶A2受体抗体，是膜性肾病的特异性指标，如果阳性，可以明
1691832639# #嘻嘻good
1703252916# #2023十大科学突破，肽类药减肥位居榜首微博健康公开课听医生的话
1689946890# #“三驾马车”领跑糖尿病肾病的治疗微博健康公开课
1697110091# #生活中做个大人，运动中做个孩子运动
1700556404# #那就更好了，一条龙
1688817438# #微博卡片背景我正在使用“幸运光环”会员专属卡片背景，快来带上吧！
1699933323# #goodgoodgood
1694084404# #【李医生你好，上次父亲透析之前咨询了您一次，上个月父亲开始透析】谢谢你再次咨询！血压高的原因一个人透析不充分（每周两次透析），但主要原因是透析导致肾素血管紧张素醛固酮系统激活，恰恰需要用沙坦类降压药，而且可以大量使用。
1701261527# #IgA肾病靶向药在我国上市微博健康公开课听医生的话
1702447764# #goodgoodgoodgoodgoodgood
1700291829# #预计明年底会降价
1691673005# #【高温中暑引发急性肾衰竭】55岁的老张，是一家工厂包装车间的工人，平时车间的温度就比较高，现在暑热天气，温度更是高达40多度。老张每天上班就像洗桑拿，汗流浃背，全身衣服湿透，每隔一段时间去厕所把衣服拧干，过一会衣服又能拧出水。。前天上班时老张突感头晕、恶心，差点栽倒，被工友送来医院急
1695870567# #最佳组合之一
1693739416# #路边的野花
1688460878# #翻脸比翻书还快，上午大雨如注，下午晴空万里
1702469589# #【歪打正着，IgA肾病没用激素尿蛋白也降了】我今天给大家介绍一个IgA肾病治疗歪打正着的故事。。10月份我们收治了一位患者，50出头，蛋白尿、血尿、高血压，血压160/100mmHg，尿蛋白定量3.4g/d（正常＜0.15g/d），尿蛋白和血压都很高，肾损伤比较严重。住院后经肾穿确诊为IgA肾病，这是我国常见的一种肾
1702392676# #查原因，根据病因治疗
1692356405# #【发现血尿，就一定肾脏是肾脏有问题吗？】发现血尿，就一定肾脏是肾脏有问题吗？天津大学泰达医院李青1、什么是血尿？尿液离心，沉渣中红细胞＞3个/高倍视野就是血尿。尿潜...微博名医诊室
1699192379# #【男性功能障碍就是肾虚吗？怎么改善？】作为肾内科医生，我经常被问到肾虚的问题，还有肾脏和性之间关系等问题，今天是中国男性健康日，我今天就说说肾虚和性功能的关系。。我先说说什么是肾虚？《百科名医》对“肾虚”是这样解释的：肾虚指肾脏精气阴阳不足。肾虚的种类有很多，其中最常见的是肾阴虚
1695734666# #61天新纪录，猪肾移植离我们还有多远微博健康公开课听医生的话
1687511901# #糖尿病，一念之差就肾衰了微博健康公开课健康素养提升v计划
1696079449# #司美格鲁肽怎么掌握注射量微博健康公开课听医生的话
1687604404# #【李大夫您好，之前跟您咨询过的，近半年吃了倍博特和螺内酯后，血】谢谢你再次咨询！血红蛋白是正常的，可能血肌酐是感染导致的突发性升高，一周后复查，或者做肾功能显像
1699534136# #作揖作揖作揖
1701692811# #慢性病人和老年人如何应对呼吸道感染微博健康公开课听医生的话
1692618519# #goodgoodgood鲜花鲜花鲜花
1702610052# #大雪封门，路上的积雪虽然被及时清扫，但部分融化的雪仍泥泞不堪，路面结冰，汽车不敢出门，学校放假，路上行人稀少，来医院看病的人也稀稀拉拉，今天上午的门诊量仅仅平时的三成。一场大雪就能改变我们的生活。雪
1693738804# #【尿蛋白2+尿潜血2+有结石史。腰椎间盘突出史，当地医生说很轻】谢谢你的信任！应该是肾小球肾炎，因尿蛋白不太高，可以不用肾穿。血压多少？用沙坦后多少？阿利沙坦和氯沙坦合用吗？
1700387335# #静静的静湖
1692796278# #【非奈利酮、螺内酯、依普利酮有什么区别】在糖尿病、肾脏病和心脏病三个领域，有一颗新星正在冉冉升起，它就是第三代醛固酮受体拮抗剂非奈利酮。请大家记住这个名字，未来应用可能会越来越广。。第一代醛固酮受体拮抗剂螺内酯是个老药，主要用于难治性高血压和心衰的治疗，降压效果很好，价格低廉，但
1696735191# #常吃甜食会导致高血压吗甜食不会直接导致高血压。高血压的发生，除了遗传因素外，与盐摄入过多、钾摄入过少、肥胖、少动、长期大量饮酒、熬夜、作息不规律、精神紧张等因素有关。。常吃甜食会导致肥胖、胰岛素抵抗、糖尿病、痛风等，而肥胖和胰岛素抵抗等，会引起高血压。如果非要把甜食和高血压连在
1701264725# #作揖作揖作揖
1694337888# #倒影
1694430012# #【主任您好，我是男，29，单纯血尿10年，但镜下血尿也是时有时】谢谢你的信任！隐匿性肾小球肾炎，血压正常（白大衣血压），不用任何治疗。你目前最大的问题是焦虑，太焦虑了
1702297320# #人生就是，一边拥有一边失去，一边选择一边放弃，最终我们都会成为岁月里的风景运动
1694773347# #1w
1701940532# #鲜花鲜花鲜花
1688124517# #我们不是因为年老而停止玩乐，而是因为停止玩乐才会变老。运动
1695554731# #5-在抖音，记录美好生活【低生堂小馆】正在直播，来和我一起支持Ta吧。复制下方链接，打开【抖音】，直接观看直播！
1693913246# #53度酒精，酱香拔牙酱香拿铁咖啡
1702903800# #是的goodgoodgood
1699261233# #不需要
1691589272# #高温中暑引发急性肾衰竭微博健康公开课
1702614569# #作揖鲜花
1691406007# #【李医生，你好！前几天刚刚向您咨询过，您建议长期服用达格列净和】
1694528266# #如果不是做糖耐量试验的结果，那就是糖尿病了
1702726310# #【严重心衰还要坚持坐飞机去海南的尿毒症老人】。有一天上午门诊，一位老太太被老伴和儿子用轮椅推进了诊室，老太太面色蜡黄，坐在轮椅上都气喘吁吁。。她老伴介绍说，前几天开始她就出现憋气，昨晚更是气喘的厉害，整整坐了一晚上，根本躺不下，一躺下就喘不上气，早晨到社区医院检查，血红蛋白只有53g/
1691414656# #传说中的桑拿天是什么样的？
1693479241# #尿酸要不要降，记住三个数字微博健康公开课听医生的话
1701517186# #“洁净环境”和“免疫债”，现在的多重感染是怎么形成的微博健康公开课听医生的话
1701783823# #鲜花鲜花鲜花
1691565840# #刚刚在京东看到一个不错的店铺，好东西要一起分享，快来看看~
1696215257# #作揖作揖鲜花
1687391595# #门前倚青艾，院内裹粽香。李青大夫祝各位朋友端午安康！鲜花鲜花鲜花端午节
1693393205# #【发现血尿，就一定肾脏是肾脏有问题吗？】发现血尿，就一定肾脏是肾脏有问题吗？天津大学泰达医院李青1、什么是血尿？尿液离心，沉渣中红细胞＞3个/高倍视野就是血尿。尿潜...微博名医诊室
1694689207# #【李医生你好，上次父亲透析之前咨询了您一次，上个月父亲开始透析】谢谢你再次咨询！血压高的原因一个人透析不充分（每周两次透析），但主要原因是透析导致肾素血管紧张素醛固酮系统激活，恰恰需要用沙坦类降压药，而且可以大量使用。
1693141697# #抢盐预防核辐射是个笑话微博健康公开课
1701940549# #为何要吃一片半
1699269253# #允许别人和自己不一样，允许自己和别人不一样。。理解了前半句，就能做到包容；理解了后半句，就敢活出自我。运动
1692528867# #可以吃，推荐吃
1689246005# #【李医生您好，多年前因尿酸高咨询过您。我父亲脑出血后遗症患者，】你父亲高血压多少年？最高多少？出现过低血钾吗？查过肾上腺吗？
1691758384# #里程碑研究：司美格鲁肽减重、降低心脏病风险微博健康公开课
1700750640# #没有问题，异地医保都能报销
1692624537# #【糖尿病截肢，那些不听劝的大妈们】66岁的大妈，7年前发现糖尿病，4年前下肢血管闭塞截肢，现在又因为糖尿病肾病、肾衰、心衰急诊住院。在别的大妈跳广场舞的年纪，她却卧床需要女儿照顾。。说起大妈，不得不说四川雅安鱼鳞坝溺亡事件。11位大妈不听劝阻，不顾警告，执意要在鱼鳞坝打卡、跳舞、照相，
1697115963# #【餐后2小时血糖9.3是否正常】餐后2小时9.3mmol/L不正常，但也不是糖尿病。。我先说说什么是餐后2小时血糖。有人吃饭，几分钟就吃完，有人吃饭可能吃几个小时，那餐后2小时从哪个点开始算2小时？。我今天明确的告诉大家，餐后2小时是从吃第一口饭算2小时，而不是吃完了记时间2小时。餐后2小时血糖的正常
1702995653# #作揖作揖作揖
1690205849# #【布洛芬等止痛药潜在伤肾风险】疫情期间大显身手的解热镇痛药，也就是常说的退烧药、止痛药，是一类疗效和副作用都很突出的药物，疗效我就不多说了，副作用就是胃粘膜损害和肝、肾损害。解热镇痛药是临床常见的伤肾药物之一。。我说一个例子，帮助我们认识到止痛药的副作用。。26岁的小美，体检发现血肌
1690016184# #可以的
1687437785# #夕阳下的生态城白鹭洲公园
1702808768# #【恩格列净慢性肾脏病适应症正式启动上市】11月24日，国家药监局正式批准恩格列净治疗慢性肾脏病的新适应症，今天上午，来自内分泌、心、肾专业的多位专家，在北京共同举行了恩格列净慢性肾脏病适应症正式启动学术会。。列净类药物最早作为降糖药上市，上市后研究发现不但可以降糖，而且还可以降尿蛋白
1701603040# #重磅：恩格列净获批新适应症微博健康公开课听医生的话
1691207588# #打卡石家庄。倾听岁月流淌的声音，感受光阴虚度的温柔；一缕清风多惬意，万般感慨上心头，举起杯，敬敬过往，再倒满，留给自己喝。运动
1694527911# #【司美格鲁肽或许能减少饮酒量】目前热销的降糖减肥药也许能减少饮酒。。酒是一种成瘾性物质，具有两大特性：依赖性和耐受性，依赖性就是，到时间如果不喝，身体就会产生反应；耐受性就是，必需逐渐增加酒量，才能达到原来的感觉，比如说，原来喝2两就感觉欣快，现在喝半斤才能感觉到；原来喝3两就难受
1691061270# #不要急，不要慌，太阳下山有月光，月亮落下有朝阳。好好生活，别想太多。该忘的忘，该放的放，让心归零微笑前行。纵然生活一地鸡毛，也不要忘了寻找属于自己的美好。天总会亮，阳光万里。错过落日余晖，请记得还有满天星辰。运动生活
1702993692# #新发布：糖尿病选择降糖药指南微博健康公开课听医生的话
1697294153# #good鲜花
1699058589# #作揖作揖作揖
1700232383# #每天2-3片
1691411795# #鲜花鲜花鲜花
1696595225# #透析是什么意思微博健康公开课听医生的话
1699624367# #goodgoodgood
1701693223# #作揖作揖作揖鲜花鲜花鲜花
1687439464# #【躺平躺出的尿毒症】一个大男孩，5年前得过肾炎，没怎么治疗也没怎么复查，按现在的话说就是躺平了。最近水肿住院，查血肌酐1112µmol/L，酸中毒，血红蛋白50g/L，已经是严重的尿毒症了，年仅25岁。。肾病的终末期叫尿毒症，但并不是说所有的肾病都会尿毒症。以常见的比较严重的IgA肾病为例，也只有不到
1689086843# #好多
1697716040# #【肾功能代偿】58岁男士，2年前肾癌切除右肾后发现血肌酐升高，就从外地过来找我看诊，我给他做了肾功能显像，显示剩下左肾的肾小球滤过率为43.85ml/min。肾小球滤过率就是肾功能，正常人单肾为45ml/min左右，2个肾加在一起为90ml/min，他基本正常。。当时他特别紧张，担心剩下这个左肾也出问题。我告诉
