1691970714# #三里屯太古里回应北区女生被偷拍出去玩，要保护好自己允悲早安
1700551452# #网友爆料，深蓝SL03高速上，仪表盘死机了……这满屏的无助感！
1694308217# #男子加油站内对车内女子行凶，幸好工作人员勇敢上前制止，这俩女子都是好样的！
1701738792# #宝马失控撞出租误伤宾利乌鲁木齐街头一幕，宝马倒车失控撞上正常行驶的出租车，把停在路边的宾利撞侧翻……这可是添越啊！
1696810655# #这个比较全面以色列正式向哈马斯宣战
1700487547# #大家都在说红旗，我先信了！
1703755352# #到底是科技大厂造车果然是技术发布会，雷军今天说的技术，全是比现有的再高一个等级：。。1.小米超级电机：V8s，27200rpm转速！此前21000rpm的表现被友商22000rpm截胡，这个V8s就是来“复仇”的！。。2.小米800V高压平台：雷军说，行业超过500V就可以说自己是80V，而小米第一个实现了871V;。。3.小米超
1699590044# #吉利中国星智擎双旗舰诚邀您一同深入体验“快·韧·稳”硬核实力，共同见证中国星进入4升时代吉利
1699179579# #买这种超跑的二手车，心里没点逼数嘛？多少人是买来把照片、视频拍完了就转手卖了的！
1689829700# #腾势D90没有冰箱，赵总统一更名：冷暖箱！
1698666979# #百万级SEA架构打造的纯电旗舰—吉利银河E8全球首秀，解读全新设计、首个量产发光前脸、超低风阻、45英寸霸屏等
1693270177# #保时捷欲插队被拦数次顶撞保安这保时捷驾驶员，平时嚣张跋扈惯了吧？举报下能拘留不……
1700956162# #新款帕拉梅拉大众知道这个车的流线已经很难被超越，所以这次索性直接从灯厂换灯了！
1694165694# #美国汽车工人又罢工了，不加薪40%就不上班……他们这是一点奉献精神，都没有啊允悲允悲允悲
1692314574# #超级818汽车狂欢夜今年感觉挺冷清！早安
1692149606# #这样的坑娃女家长，丈夫要是揍她一顿，我会不会保持沉默？
1702876872# #合肥下雪今天，有多少开车上班迟到的？明早可能会迟的更多！
1688526250# #真的是让人大开眼界！腾势N7群里，到底是群什么人？宗教信仰也没这么狂热吧！当然，不知道对话框内容真假，如果是真的，那我觉得和邪教没多大本质差别吧？。。这极氪是躺枪嘛？之前只听说过比亚迪车友群不一般，今天算是大为震惊！
1693128106# #济南这宾利，害人害己，差点掉下去粉身碎骨……
1699330883# #奥迪车主，可以换车了！
1688960419# #蓝牌，座舱部位起火，你猜猜会是什么原因？
1696845278# #上市25天大定破5万，余承东把问界M7吹大了，还是真遥遥领先？沐梓驾到
1698671858# #岚图Free立功了
1689045544# #小电动车自燃，消防员冒险撬开电池包，密密麻麻的5号电池？
1698378173# #四川警方通报男子当街行凶并持刀袭警这就属于路怒症中的癌症晚期了吧？
1690846033# #这位男司机，是咋了？
1694594706# #斑马线未礼让行人，全责没商量？这女子路中间也是敢站！
1688458204# #谁说只有新势力花样多？银河L7移动影院模式，燕飞利仕沉浸享受！叶梓开测
1694567523# #威尔法高速追尾特斯拉，随后两台车全部起火，威尔法车门打不开？大哥雷克萨斯LM前年发生过类似车门打不开车辆起火事故，丰田要引起足够重视了！
1698204574# #抢先体验新岚图梦想家：魔毯+CDC悬挂，七平米的“移动大平层”！沐梓驾到2024款新岚图梦想家
1693389975# #试驾领克08：3电机带来电气化转型，CMAEvo还能再升级？三升马力
1694139762# #官方通报四川达州5死16伤交通事故大货车压扁大客车🙏🙏🙏
1698227410# #轿车疑失控加速撞向老人这位女司机，又油门当刹车了？
1700003966# #女子开捷豹撞翻校车，一车小姐姐蹲路边等待救援……我看到不止一双高跟鞋👠
1696298458# #国庆假期高速连环车祸，撞了几十辆，就是因为这次特斯拉刹住了？
1699064884# #这么大的屏，遥遥领先了吧？副驾安全气囊，你猜猜在哪！
1691553582# #这大妈是真猛，连续横穿三条车道，大货车都被逼停，还造成个追尾事故……还好结局是你们想看到的……
1702188866# #2024款福特电马上市，纯电时代的Mustang？
1687308898# #全新DS4进口重回国内，标致408X同平台，法系豪华复兴有戏吗？。。这是死心不改。新车将于7月13日正式上市，采用与408X相同的EMP2V3平台打造，同样具有明显的跨界风格，搭载1.6T+8AT的动力组合。。。前脸采用了DS最新的家族化设计语言，与408X动感、进攻性极强的风格不同，大尺寸的进气格栅彰显了大气、时
1697613549# #肇庆这事故，看起来也挺吓人，司机当场被控制！事故原因，还不清楚……
1693816238# #今天，火的居然是酱香拿铁！
1689731976# #这一期的英仕派，是不是在霸都合肥，拍出来纽约都市感允悲允悲允悲。新款改变不大，优惠力度小，所以，小编的新车，竟然是在新车上市当天，买的老款！
1698198805# #除夕不放假，但鼓励休息！
1687482390# #路过济南还没到淄博呢，这车子就烧烤起来了……看出来哪款车没？
1696993218# #开理想，遇到了蔚来翻车……
1689483411# #如果之前进来逃过杆，就能解释通了！
1691680305# #沃尔沃SUV撞本田两厢小车，这确实有些“欺负人”了……
1700394504# #还是蛮让人羡慕的，前提是要辞掉稳定的工作，来到高薪但不确定的小米！
1695032014# #云朵首月销量不到2千不达预期，网友支招：降价2万能破万！沐梓驾到
1688551952# #腾势N7月销破万，赵长江要单挑BBA，不再把新势力放在眼里！箫遥游
1701008446# #会沉浸式涉水的仰望U8，第一台水泡车就这么诞生了？
1697009351# #又来一个这样的剧情……
1703304975# #朱令，清华学生，疑似被同学下毒，至今没破案，吴今，朱令的姐姐，北大学生，郊游坠崖。如此优秀的姐妹俩，和如此优秀的家庭环境，却如此悲凉，姐妹俩的父母，这辈子太难了！
1695657738# #恭喜
1688713419# #宝马司机醉驾撞人拖行案一审宣判宝马司机醉驾撞人拖行案，一审宣判：判处被告人肖某某有期徒刑六年三个月。事发2022年7月7日，被告人肖某某，第一时间是知道撞人了。当时调查说，她第一时间打电话求助，一男子让她继续开，那男子判了没？
1703647125# #岚图追光phev开了圆环、棋盘路、科目三，魔毯底盘太舒服了，空悬+CDC真不赖！追光PHEV在这三个项目上一点压力没有。。。ABS、TCS、VDC妥妥拿捏！车身姿态控制很得体，一点都不突兀。在遇到侧滑的时候还会帮你打点方向，补救车身姿态。主要是价格，这个价格这个体验，太超值了！。。外面零下30来度，车
1697169963# #这台特斯拉，被前后两台大货车夹击，A柱和后备箱还保住了……
1695722212# #理想问界商战升级除了嘴炮商战也爆发了！买问界报销理想定金？李想这忍不了吧！箫遥游
1700885964# #物理学界要引起轰动了
1689730610# #发布了头条文章：《全新荣威eRX5价格掀到地板！燃油价格就能买高品质插混》
1701171231# #智界S7华为这是买了多少个热搜？数了下不下8个热搜话题同时在线。一众微博评测博主清一色的叫好，这种“盛况”真的是遥遥领先！。。智界S7售价24.98万-34.98万，500公里续航敢卖25万，也就华为了！。。次低配705km续航，卖到29万，800km续航的31万了，这价格叫好的是收了钱，还是眼神不好？。。对比下小鹏
1693096551# #大哥是那个做二手车的？只要行动上是正能量，又能与工作适当结合，仍然是人民需要的！
1698276580# #并线撞上宾利，还是个全责，以后会老实了吧？
1688956579# #据说，遇到路怒症被打，不还手可以要求赔偿？可是，被打脸一般人忍不住不还手吧！
1692264741# #真怕他突然自己把自己气死……两车起冲突，男子这情绪失控的有点厉害！
1702785217# #很期待23号西安蔚来2023NIODAY有重磅消息！
1694235619# #希尔顿酒店宣布与特斯拉合作，明年起将安装2万个壁挂式充电器！国内酒店品牌，也抓紧安排起来啦！
1702124591# #父亲回应越野车涉水惊马致女儿摔下这坦克故意这么开的？女童没事就好！🙏🙏🙏
1696808290# #大路虎，油车，街边又烧一台！
1700010051# #三轮车坡道溜车，不得不说，视频车技术666！
1686900509# #东风日产东风日产，20岁啦！看到老款蓝鸟、阳光、轩逸、逍客和天籁时候，突然还挺感慨：小时候大街上不仅见过它们，那时候多想自己也有台车！
1703631965# #虽然新车发布一波三折，但确实更能看出雷总造车的认真和执着。小米比新势力拥有更全面的全栈自研体系，比传统车企更开放的造车氛围，还有雷布斯比其他人更严苛的造车要求，看好小米！雷总，北京见！
1694824024# #京沪一天！早安
1697152933# #这大车司机，不仅经验不足，还特别善良！
1692532550# #探索06全球上市发布会奇瑞时隔多年之后，又一款带点野性的SUV，今晚正式上市！对手很明显，同样走轻越野的哈弗大狗系列！
1688539837# #理想针对某电动品牌的KOL，进行了官方10条回应。行业盛传理想在看得见的地方过度包装，彩电冰箱洗衣机……看不见的地方偷工减料。事实是这样嘛？。。这十条里，对安全、动力、制动、空间、补能、悬架等多方面进行回应，但很多人担心的是其实不是硬件，是品控问题，比如之前的自燃、断轴和方向盘助力等。。
1690242721# #日本第一批不婚的人开始后悔了结婚离婚的更多，这怎么解释？没有人可以100%如意！早安
1695618027# #这是“瞄准”着撞的？
1694477740# #让一个亿万富翁，天天直播卖几十几百的东西，真的挺难为他的！让他给买几十几百的消费群体道歉，更是挺不容易的。人家现在，已经不是普通人了！
1689212673# #上海某高架，林肯突然变道，后车躲避不及直接被撞翻滚……可以换车了不？
1697503453# #强烈的自卑会使人变得非常无礼所以，还是要努力，要自信！早安
1694332120# #四辆汽车，在高架桥入口出事故，这哥几个商议好的？
1699605772# #“三无产品”阿维塔12，你到底有多叛逆？阿维塔12上市箫遥游
1698225869# #广汽三菱重组，埃安成“接盘侠”，合资躺赢的时代终结了？头头是道三菱退出中国市场进入倒计时
1696924473# #女子自己摔倒撞到汽车，这车祸责任咋算？
1691017993# #驾校教练被曝猥亵女学员9分钟家里有女儿的，小时候就一定要告诉她，怎么避免被骚扰！这大爷，希望严惩！
1695711301# #这个很正常，等到销量少的自己都演不下去了，自然也就不会再加价卖了，会直接选择退市吧？
1699752838# #蓝牌科鲁兹？今年好几期自燃了！
1695770577# #为什么老一辈人都说圆脸有福气镇宅？早安
1687685600# #男子误入停车场51秒被收费8元停车51秒，支付8元！成都这家停车场，可以曝光下了！
1701832606# #2023年懂车帝冬测，受伤最深的是华为和。夜间逆光扬雪40km/h，问界M7、理想L7、问界M5EV、小鹏G6未通过测试；。仰望U8、蔚来ET7、腾势N7、阿维塔11通过测试；。。夜间逆光扬雪60km/，全部车型都不通过。。。夜间逆光ACC实测成绩：。飞凡F7、昊铂GT、特斯拉ModelY、智
1703642156# #后驱电车的魔力转转圈⭕️这台特斯拉，车主心理素质是过关的！
1692406990# #这种情况，也是可以摔死人的🙏🙏🙏
1690970823# #7月新势力一片叫好，理想领头蔚来紧追，小鹏终于破万了！三升马力
1691545144# #女孩头部差点被碾压，被撞还要负全责，给所有家长一个警醒！
1699429714# #大众这一脚油门，测出来ETC杆的价格：1200！
1695973027# #小仙女思域加塞加成了打斗现场和娱乐现场……堵车
1700640637# #苏州一男子遭轿车拖行数公里危险驾驶，这司机要为自己的冲动买单了，除非被拖行男子正要害他，正当防卫！
1690203281# #心痛，父母上班，爷爷奶奶边开店边照顾俩孩子，遭此不幸！🙏🙏🙏
1686875415# #你是不是和我有一样的疑问：为什么今年开始，自燃的车辆这么多！！！。。基数越来越大是个原因，安全隐患同样没有很好解决，看谁都有自燃隐患……这是哪台车，看出来了吧？
1694095658# #这是充电过程中，自燃了？又报废一台！
1688685535# #这保安，又执着，胆子又大……这司机，也不简单！
1697092891# #转发微博
1699258864# #蔚来新EC6，运动优雅科技感兼具，你也太会拿捏女孩心思了叭！沐梓驾到蔚来李斌发全员信确认减岗10%
1697673975# #觉得当代年轻人的出路越来越少了年轻人，这是真的嘛？早安
1693702663# #为什么无座和二等座是同价就是防止有人故意买无座占座出行？早安
1694220673# #掀背紧急情况下，还能这么用？
1695292171# #汽车不盈利，充电不赔钱，手机不赚钱，蔚来的核心竞争力，在哪？
1700967283# #这奔驰夫妇，奔驰车是要开到头了吧？
1697158500# #“理工男”不懂浪漫？星纪元“万物星声”音乐会，超燃超舒适！叶梓开测
1697449220# #这起事故，应该是撞击前仓后，混动发动机部位起火了！
1688172244# #7月运势排行榜下半年，会不会转运？早安
1687576390# #车主车门被撞无数次无奈装监控如果没有监控，这俩老仙女，会承认错误嘛？
1692008640# #特斯拉降价特斯拉又又又降价，只有这时候，国产品牌才会真的“在一起”？头头是道
1694671910# #转发微博
1703659476# #李书福亲自内部道路体验自家摩托，李总当年，也是玩摩托起家的！
1687337638# #四川大学地铁诬陷事实清楚，保研手续不清不楚，处理的拖拖延延，结果又是不痛不痒，确实难以服众！。。另外，那个华南理工大学的“学术妲己”女博士，聘用公示期结束了嘛？也是正常录用嘛？
1690880209# #门头沟暴雨看看洪水退去，多少车子遭殃！城市内涝，损失最大的现在就是汽车，如果是上百万豪车，真的会想哭吧？
1692059579# #走青藏线，国产大型混动硬派SUV的5天深度试驾，格尔木到拉萨，穿行可可西里，翻越昆仑山，这对于我来讲很有诱惑性。。。可是，没进过藏，有两晚酒店海拔过于具有挑战性，忍痛放弃！允悲允悲允悲
1696464504# #南阳市民含泪感谢迷笛音乐节这次南阳确实出名了！
1687738109# #从消防给这台比亚迪灭火，就能看出来，电车自燃危害有多大！火势太大，瞬间可以把驾乘人员吞噬，车门能打开是救命关键！
1695087125# #国际油价涨了！
1695018493# #坦氪不接受物理规定律了？
1688685339# #小暑真正的高温考验，要来了！早安
1695289694# #体验阿维塔11鸿蒙版：含“华”量大大提升，增配降价你受得了？沐梓驾到
1691507250# #车主爆料，腾势N7车管所趴窝？这是敌方派来的黑车主吧！
1691708822# #七夕送什么TA会喜欢节日太多，这次该送啥？早安
1692587899# #出租车失控，希望没人伤亡，这口音是上海哪里？
1687909251# #重庆街头，小姐姐机车被碾压，这么热的天，穿短裤戴头盔，真的不热嘛？
1698967077# #雷克萨斯高架出口龟速犹豫，被后车追尾，全责就放心了！
1693019832# #第一次试驾，车里配一台手机，魅族手机&amp;魅族车机车机完全同步。无边门窗算什么，这台车已经是无框后视镜了允悲新车下月初上市，期待下吧！
1688685620# #车子陷泥里，副驾秒变拍照的越野媛……
1688696044# #这会不会误导，日常开车也是后排可以躺倒的？
1691574672# #博主转发理想MPV泄露图MEGA谍照，被威胁删帖，后果自负？头头是道
1690846770# #又菜又爱玩？这几个小姐姐，这辈子要感谢观景台！
1697675201# #卧龙的不远处，一定会有凤雏出现？俩女司机车祸同时打电话摇人，旁边看热闹的俩男司机，也撞了……
1700815037# #混动的尽头是增程？广州车展上，深蓝超级增程技术又火了！这就是广州车展三升马力
1692934773# #传说中的带娃神器，酷爸辣妈们了解一下？2023成都车展
1702729090# #捷豹：我可是下赛道的后驱，啥时候需要这样的骚操作？
1695293862# #期待新变化
1701480377# #大凉山，确实很特别！
1690933127# #台风卡努抵近日本冲绳现在日本消耗能量，减少对我们的伤害！早安
1702940727# #这就是不交通管制的隐患！
1689471283# #Cybertruck首台量产车德国下线特斯拉的首款皮卡，来了！
1686990421# #理想汽车自动驾驶高速追尾跟车子没关系？。近日，S14杭长高速某路段发生一起小车与货车碰撞事故。货车变道因错估车距负主责，小车因驾驶员开着自动驾驶功能且未根据警示采取措施，负次责。。。理想汽车回应称：（理想L9）在事发前先后两次做出提醒，警示车主及时接管车辆，但用户都忽略了。而自动紧急
1695165787# #何炅好朋友都是阶段性的瞎说大实话！早安
1701411717# #警方回应贺州交警持棍击倒过路电动车贺州这交警，真的出名了！
1696206879# #各行乐业，都在劣币驱良币？
1701821921# #司机命大，医护敬业！
1692182707# #逍客自2008年进入中国市场以来累计销量已经突破170万辆。2023年的今天，它带着“小到一颗螺丝钉都是新的”满满诚意，焕新而来。此刻，让我们在东风日产全新第三代逍客直播上市发布会，一同感受自在逍客。
1699664634# #华为发布首款轿车价格阿维塔是长安+华为，智界是奇瑞+华为，代表了国内传统车企在新能源技术领域最强对决。。。智界S7搭载HarmonyOS4智能座舱和HUAWEIADS2.0高阶智能驾驶系统，超800公里续航、365kw的总功率，3.3秒破百；。。阿维塔12搭载HUAWEIADS2.0系统，华为自研智驾芯片、3激光雷达，空悬+CDC，
1692759176# #下车女子：到我家客厅了，你有什么意见！。如果没刹车造成开门杀，责任算谁的？
1699317792# #开全新江淮T8PROAT，挑战大东北严寒天气，还得是寒带版！叶梓开测江淮悍途
1691112050# #这男子，有点过于渣了？
1693901159# #公路坦氪又实战演习了……安全第一！
1697006053# #坦克出口很火，在海外的口碑如何？看看澳大利亚这位车评人，是咋说的！
1697896254# #范大将军这画风，真实了……
1697094509# #网友：高速上轮子都掉了，竟然没翻车，奔驰真稳真香……
1697614714# #威马的下一个，会是谁？
1692083645# #我没看错吧？国内还能有这样的人！！！
1703997357# #奔驰最近排队跨年自燃？这又一台绿牌奔驰报废了！
1696464628# #远看像大片，近看原来是电动车着火了，差点把楼上房子也烧了……
1698803190# #中国女子在美国酒驾致1死疑已逃回国不懂就问：这位叶婷，如果回国后再也不出国，是不是美国法律也奈何不了她？副驾男子家属如果也是中国人，国内可以起诉嘛？
1690279004# #般配！
1700205773# #2023广州车展新能源大牛说汉兰达迎来史上最强对手？东风日产探陆亮相，新车定位于中大型SUV，车长超过5米，轴距2米9，搭载2.0T发动机，内饰提供了双联屏、电子挡把等时髦设计，探陆将于2024年第一季度正式上市，除了汉兰达，像大众途昂、理想L8等同样存在竞争关系，猜猜会卖多少钱？
1697452925# #撞上小巴，这台大众，很受伤！
1703142153# #从来没有觉得自己这么重要过，上周小米我们刚签了300万的保密协议，问界M9这就来了个500万！得好好对待编辑了，不然坑我可赔不起！
1698188822# #双十一洗发水还好汪峰章子怡前天官宣离婚，要放昨天，不说头条，热搜前十都进不去！早安
1691025154# #蔚来车主家属，还是去店门口闹去了……话说，年年车祸这么多，有多少赖在车子身上的？新能源客户关系搞得太好，车主出事第一个想到的，就是找厂家，谁让你以客户为中心、平时把车主捧这么高的？这到底是车速太快还是质量太差？
1702184874# #要注意多买点保险！
1701299658# #科目一：第一时间报警！。网友：一米赔偿2000块！
1687231254# #海口一特斯拉撞飞小车致1死1伤只能讲，这个27岁特斯拉女驾驶员，太作孽了！高速行驶撞的可还是个孩子啊！！！
1693877156# #续航问题解决了？如果这是1000瓦，吹一天能充多少电自己算下吧！
1690866858# #网友称涿州一小区地库塌方我们留给下一代，下下一代的高层，也不知道到时候能不能住！
1703748830# #这事整的，挺尴尬的微博创作者中心@杨学良Victor
1689693277# #这条是正确答案嘛？但这习惯，乍一看还是很难理解！
1694992052# #路边找车位，被旁边事故定责次要责任，这处理妥当嘛？
1696570980# #哪些L2表现已媲美司机驾驶，哪些表现差强人意？亲身体验告诉你！实测导航辅助驾驶哪家强
1694432179# #反了！日系反了！8月销量头部全下跌，马自达竟成唯一上涨！头头是道
1701843169# #第四！
1702904484# #媒体泄密小米汽车将赔三百万罚金话说，媒体签了保密协议，如果泄密的话，就是300万赔偿！不过这段视频，怎么又像故意曝光的？
1697584445# #去年我国一孩出生低于450万数据是冰冷的，可是大家生孩子的欲望，也这么冷了嘛？早安
1703678829# #ZEEKR007上市发布会
1701767861# #东风日产探陆：沙发厂的答案是没有应急座，只有真好坐！沐梓驾到东风日产探陆
1687735340# #新疆独库公路堵哭了每年都要堵哭，每年都挡不住大家的热情……去年封了几个月不给回来，今年没有后顾之忧更坚定很多人过去走一趟的想法！
1691737720# #可惜了福特电马：社交账号关停，粉丝全部迁移，并入长安福特！沐梓驾到
1691797552# #宝马男当街多次扇女子巴掌，最后，女子还是上了车……果然，宁愿坐在宝马里哭是真的！
1693824368# #喊女子减速，为啥要抬她腿？看速度是不是踩到油门了！
1694268733# #能继承马斯克遗产嘛？
1696899922# #高速上烧了一台，网友说这是宝马，你觉得是哪一款？
1694749686# #女司机斑马线礼让狗子引发的血案……
1695612817# #偏置碰撞最差车型，原来日、德这么多热销车型，都是重灾区！
1690725015# #吓人！
1703643481# #华为的发布会，太有氛围感了！遥遥领先本先来了，问界M9发布会，来数数余承东说了多少次领先一代？叶梓开测问界M9
1688434351# #一电动车闯红灯与跑车相撞负事故责任赔偿几十万，这下老实了！
1691480258# #一特斯拉撞高架石墩起火成都二环路高架，发生林志颖同款车祸？车型、事故好像都一样，并且也在撞击后起火了！首席智驾圈超话
1703549007# #警方通报理想L7清远2死1伤车祸理想L7这次事故，再次验证了理想的小心机：先是抢在警方前，公布了车主事故时的车速，随后又全网突出现了车主事故全程的行车记录仪视频……。。第一时间，先撇清责任，这点相比之前蔚来那个事故，邻居兄弟品牌做的确实地道！。。理想要证明，责任都在驾驶员，超速太严重，
1690385988# #就一个词：热闹！景兰酒店外面金碧辉煌，房间硬件条件倒一般，但真的离告庄近，后门就是入口！
1698663369# #这女子，到底开的黑车还是白车？
1698663481# #官方声明
1696860455# #巴勒斯坦以色列男子弃车逃跑，一分钟后，车子被导弹击中……
1703303752# #男子坐出租车不给钱称是因为没钱了他说的还蛮理直气壮的，不是不给钱，是因为没钱了！还要求实在不行就把他送回去！
1689130331# #中国首个铝基轻量化新能源平台，今天在芜湖发布，首款车型奇瑞eQ7正式下线！
1696892752# #一觉醒来你回到了2001年那个时候，你在干嘛？早安
1700116357# #违停被拍，宝马女司机这操作，炸裂了！
1697367742# #福特全顺T8上市，箱货能进化出什么样的智能化
1692855568# #极氪0起火神话，被芜湖这台车打破了？底盘被异物磕碰，一块电池冒烟后，其他电池自动断电自己把火灭了，是不是有点牛气？
1698114640# #这烧的，是加价王埃尔法？这次车尾门是可以打开的！
1695472870# #警惕以婚闹为幌子的犯罪行为吉林这大G车队婚闹现场，成了一场群殴……
1700269238# #2023广州车展车展告一段落，切换个新节奏！早安
1703037801# #一台新本田，就这么被群众给砸了，看到真相后给市民点赞！
1700879387# #比亚迪降价8万多的秦，太香了？人家都是卖不动降价，比亚迪这可好，卖疯了也降价，这是为什么？。。第一点，很容易理解，继续扩大市占率，说好的国产车在一起，那也是我带着大家在一起，月销30万台之后，还有35、40万台的目标在后面；。。其次，比亚迪也确实感受到了压力，所有的混动车型都把目标对
1700178901# #按喇叭和故意阻碍交通，哪个更可恨？
1687142509# #粤赣高速看看高速出车祸，看看这惨烈情况，安全驾驶警钟长鸣！
1698903405# #上海一出租车驶上人行道致5人受伤还好只是受伤，这操作失误有点猝不及防！59岁的司机，现在年轻人开出租的确实越来越多，全国出租车司机平均年龄，都越来越大！
1699189890# #后续呢？继续惯着？？？
1702683787# #虽然不是网传的冻亡，但这种摄影方式，如此少儿不宜，还是别打着艺术的幌子，乱开车！
1691854662# #水泡车吓人？那是没见过水冲车！这更是面目全非……
1698748115# #上海真会玩，娱乐项目比平时更花样繁多！
1697848102# #四川泸州坠江宝马车被打捞出水这种冲入河里遇难的车主，都太绝望了！
1702124929# #颠覆性产品，改写行业历史，那这次说的一定不是汽车产品！
1698280657# #女司机车祸，轮子都掉了，人坐在一旁瑟瑟发抖……这是哪款吸能车型？
1696594770# #小车高速停车看路牌致4车追尾白车直接开走了，就没办法罚它嘛？
1695695551# #新款路虎揽胜运动，大街上当街烧了……这发动机舱算是完了！
1695645563# #我们也才结束几个月，而已！
1696518048# #15号去芜湖看奇瑞足球队和谭咏麟、陈百强、黄日华等领衔的香港明星队，一起巅峰对决啦！
1689752171# #这小子，你可真刑！交警，他也是警察！
1694846225# #第一次到房山，这条路怪不得这么受机车爱好者喜欢，弯道多，沿途山景壮观，燕山的层峦叠嶂尽收眼底！
1702719729# #这位大众车主，算是命大！
1692233360# #海口公布电动汽车新的充换电收费标准充电收取0.65元/千瓦时，换电按车辆行驶里程收费，上限为0.6元。这费用，你觉得贵不贵？海南高速是不收费的！
1694835797# #星途揽月这次玩的有点大！25米高，45度坡，10圈翻滚，2023TOPSAFETY挑战成功！。。ABC柱几乎完好，车顶和发动机舱基本完好，没有溃缩情况，主副驾驶前排气囊、侧气帘全打开，后排侧气帘打开，翻滚过程中车门没甩开，更牛的是落地后，四个车门和后备箱尾门全部可以正常打开！。。奇瑞真硬，星途真行，安全
1693024311# #大货车弯道跨实线超车……这不是害人嘛？
1699529599# #比亚迪的美资股东，开始发力了！
1690210686# #骑车，一定要戴头盔！
1699938786# #全网都在找这是台啥车，时速85km直接AEB刹停，比遥遥领先还厉害？这刹车距离，看着难度不是一般的大……
1693908788# #捂紧你的钱包！仰望U8领衔，国产新能源“金九”扎堆上新车！沐梓驾到
1694222176# #这女子农业农村局的，都能整理发行业的，想想主管的当地农民，得多苦吧？
1688632060# #全新一代凌云有多宠粉？瑶光同款内饰+8155芯片，想要的都加上！叶梓开测
1693382325# #探营比亚迪常州工厂，海豚诞生地，40万台年产能站在出口第一线！叶梓开测
1690885906# #深度体验岚图追光：不必纠结配置，多项配置同级唯一！叶梓开测
1688184408# #拖车就怕这个……
1690356523# #泰州这车祸，正面撞侧面，这伤害程度，看着都受不了……
1701650835# #情侣在车库盗窃得手后男子激动告白这个天眼无死角覆盖的年代，还有人车库盗窃？还是年轻小情侣！
1697113460# #智己LS6上市，30万内拥有600Kw动力，这是多么恐怖的一个数据，而且诱人的地方还不止如此：。。1、搭载准900V平台，快充15分钟续航增加500公里，这都快赶上换电速度了；且配备了更强性能的电机，加速最快3.48秒破百；。。2、全系标配高阶驾驶辅助硬件，后续推送城市NOA辅助，智驾场景范围直追华为，更是给小
1687052157# #不提穷字但一听就很穷的话早安
1701827774# #仰望U8大家都很熟悉了，给大家街拍下仰望U9，你期待它有什么一招鲜功能不？
1694763486# #后座小姐姐应该是脸怼地了……骑车不带人，不走机动车道，要正确戴头盔！
1689035890# #看过这么多“散步式”过马路，这女子的步伐，是最悠闲的！
1698399324# #游戏这次背锅？
1699145934# #棒球棒，早晚也要管制！看看这小伙，本来路怒的，瞬间清醒了！
1700985459# #这大哥可真刑啊！
1688805790# #这烧了一排，是不是找不到“凶手”了？
1689382318# #土豪实测比亚迪仰望U8真实表显油耗，10.8L/100KM！。。仰望U8整备质量将近4吨，车重3.46吨，相比路虎，这油耗简直就是太低了。作为百万级的混动，这油耗你觉得如何？
1688905517# #拖斗摩托，你啥重心不知道嘛？还敢上高速，上了高速还敢随意变道……
1692778977# #坐“磁悬浮”长途驾游新疆，瑞虎9自研的8AT，给中国车撑门面了！三升马力
1698752662# #体验长安凯程F70蓝鲸版，十万块就配2.0T+8AT，多快好省真豪横！沐梓驾到
1699594051# #吉利中国星智擎双旗舰诚邀您一同深入体验“快·韧·稳”硬核实力，共同见证中国星进入4升时代吉利
1702350335# #现在的问题是，懂车帝要如何收场？华为自带流量，它有底气刚懂车帝，其他车企这次敢跟进，也是认为平时没少给，年底被耍了一到？不忍了！
1700190134# #极狐阿尔法T5亮相
1697355542# #来北京摸个“鱼”，这应该是北京最舒服的一个季节了吧
1691712661# #看车标，你就知道这款车，还是北汽新能源当年销冠时期的车型！
1691661973# #这故事有点多……
1688194068# #新能源车企陆续公布6月份销量，只想说：理想确实猛，它肉眼可及就精装的造车方式，太适合中国消费者！极氪速度很快，X量起来后，离跻身头部不远了！
1698277974# #极氪VS长安！
1690168064# #一台蓝牌燃油车烧起来了，长春街头的大众宝来？看把路过的比亚迪吓得！
1695871804# #小姐姐沉浸式体验高合HiPhiY，看看这台“显眼包”，啥啥都行！沐梓驾到
1698319536# #男子怒踹路过车辆，不想下来几个彪形大汉……家里但凡有个不拱火的女人，都能少挨些社会的捶打！
1695430864# #理想和凯迪拉克相撞，女司机还纳闷：我车门呢？
1699255668# #蔚来只是头铁，做了裁员第一个车企，后面只会更冷！
1693207121# #猛男靠边，小姐姐体验量产版猛士917，电动悍马让它没机会！沐梓驾到2023成都车展
1690167221# #真相在右→
1702090949# #丰田“返祖”？给电动汽车配手动挡，最多竟有14个挡位！而且已经申请了一部分相关专利。。。可是，手动挡正在偏离大众视野，即便是许多热门的燃油车，也已经直接省去了手动挡车型。丰田的想法是，为了增加纯电车型的驾驶乐趣！可是，14挡挂档好挂嘛？是不是太复杂了！。。据了解，丰田及雷克萨斯将在下代纯
1703573284# #这个新闻里的特斯拉突然失控，是人为还是机械所为，很重要！
1689150764# #丰田的角色，注定它这个坡，是爬不上去了！
1694686876# #特斯拉变道超车酿事故，右侧车反应迅速，白车是咋回事？
1692698503# #全新BJ40变化有点大，越野车玩上了无框车门，还有开放式尾门，2.0T动力，这次和坦克300又有的PK了！
1698996944# #10月销量：蔚小理压力给到蔚来，比亚迪首次突破30万遥遥领先！叶梓开测
