1688844731# #挨打的是乌军第23机械化旅
1690784191# #俄乌局势新进展。参与祸港的乌克兰纳粹武装组织“达芬奇狼”再发丧文：。️在巴赫穆特附近的战斗中，纳粹特种部队“达芬奇狼”的武装分子再次被消灭。。这支纳粹武装在讣告中公布了多名武装分子在最近的战斗中死亡。这已经说明，达芬奇狼武装在巴赫穆特战役中损失惨重。。2月19日，武装分子报告称，俄罗
1700281997# #巴以冲突。在埃隆·马斯克支持“反犹太主义”帖子后，包括苹果在内的一大批大公司将停止在X（Twitter）上投放广告。。得罪了犹太人，马斯克的X会很不好过
1691759731# #俄乌局势新进展。别洛戈罗夫卡附近乌军阵地，救援小组伤员没救出来，还把自己给搭进去了。。在俄军120毫米迫击炮和AGS的打击中。这几名乌军都找找到了人生归宿。
1692160618# #俄乌局势新进展。鼻屎大的北马其顿如何保证乌克兰的安全仍然是一个谜。乌克兰应该对圣马力诺、瓦努阿图，安道尔给予的安全保证也有所期待吧嘻嘻。。北马其顿加入七国集团关于向乌克兰提供安全保障的宣言。。泽连斯基在推特上宣布了这一消息。。。“感谢北马其顿加入七国集团关于支持乌克兰安全保障的宣言
1700504005# #俄乌局势新进展巴以冲突。无处可逃，️俄特种部队正在巴赫穆特附近前线批量消灭乌军人员。第58特种营和俄罗斯“鹰”无人机战队作品
1689364130# #我去喜茶多肉桃李只要9块耶
1694677000# #如狼似虎
1701028397# #巴以冲突。360度围观伊朗国产新型轻型护卫舰“迪尔曼”号
1696526179# #俄乌局势新进展。乌友节哀系列之：我乌好惨。俄军攻占一处乌军阵地，全歼守敌，无活口。
1693181126# #达瓦里希“达维”，请加强强度，升级技能作揖
1690457622# #俄罗斯俄乌局势新进展。记者西摩·赫什：。美国的国家战略是让泽连斯基为所欲为。。在美国，他们不会考虑俄罗斯对基辅袭击克里米亚大桥的反应。。西摩·赫什援引一名美国官员的话称，拜登政府利用美国技术在克里米亚大桥的两次袭击中发挥了关键作用。
1692637436# #俄乌局势新进展。正在扎波罗热前线观摩的“沙皇之狼”军事顾问团团长罗戈津：21日，乌克兰武装部队试图从侧翼进入扎波罗热地区的拉博蒂诺定居点，但在我们火力之下遭遇惨重损失。。。该视频为几天前进攻拉博蒂诺的乌克兰82空突旅进攻失败后撤下来的部队
1694554360# #瞎扯淡，俄媒早在上个月就第一时间就报道了金同志将访问俄罗斯的消息。出发，到达都是俄媒第一时间爆料。怎么就成了西媒先报了？可见国内这些专家日常关注的资讯都是哪些了，那么多对俄研究做出的错误判断也就不奇怪了
1691999650# #俄乌局势新进展。媒体报道称，乌克兰国防部新任部长应该是一名女性。。。据出版物报道，西方合作伙伴据称希望看到一位女性担任乌克兰国防部长，而有关阿列克谢·列兹尼科夫可能即将辞职的传言本周变得更加活跃。。。据消息人士透露，志愿者玛丽亚·柏林斯卡娅、副总理伊琳娜·韦列什丘克和反腐败行动中心主
1690948949# #应该
1702394468# #这可是卡士啊！！超好喝的我先冲了！！
1691354040# #并不是唯一通道……
1697018179# #以色列巴勒斯坦冲突。拱火队继续浇油。美国陆军中央司令部宣布由杰拉尔德·R·福特号航空母舰率领的AUG抵达东地中海。。。该舰队将支持美国针对以色列持续冲突的任何可能计划。
1694114923# #俄乌局势新进展。奥地利内政部表示，如果乌克兰提出遣返滞留奥地利的适合被征兵乌克兰人员的要求，奥地利将不会引渡他们。。他们指出，这将是对奥地利国家地位的大规模侵犯，当局永远不会同意这一点。
1702169255# #俄乌局势新进展。几乎零排放，即使处于极其困难状况，乌克兰军队也没有忘记环境保护，令人感动！。。在西方支持减少的背景下，乌军部队开始接收轻型新能源车辆，以沿整个接触线执行战斗运输任务关注乌克兰局势最新进展
1688430720# #俄乌局势新进展俄罗斯。俄罗斯加紧生产其最危险的神风无人机"柳叶刀"，它已成为乌克兰军队的一个严重问题--电讯报。。正是这种自杀式炸弹袭击者给乌克兰攻势开始以来的第一批布莱德雷和豹子带来了烈火。
1689487593# #那群体历来不都是选择性拳击么？
1694022608# #俄乌局势新进展。俄罗斯国民近卫军SOBR“山猫”特种部队在巴赫穆特方向的狙击作战画面
1693009342# #俄乌局势新进展。苏梅地区的塞雷迪纳-布达村，懒惰的乌克兰空军决定将他们的装备隐藏在机库中，忘记了伪装措施。结果，俄军152毫米炮弹袭击了他们。
1699790071# #真主党天天火箭火炮导弹的弄你，还警告啥？有胆你犹太大军杀过去啊！吹啥牛逼呢！
1688969334# #俄乌局势新进展俄罗斯。一枚乌克兰C-200防空导弹，被改装成地对地导弹，昨天攻击了俄罗斯境内地面目标，但被俄军防空部队拦截下落在布良斯克地区拜托什村的一个锯木厂。。。当地人拍摄的录像清楚地显示了5B28防空导弹（或其早期变种）的独特外观，。它不像其他导弹，如英国的"风暴阴影"。。俄媒：。一
1702538664# #诬告有理！？令人恶心的媒体！我呸！
1695113614# #俄乌局势新进展。今天凌晨，哈尔科夫多个目标遭到俄军导弹打击
1687144222# #转发微博
1688724290# #不说了，说多都是泪
1698888282# #俄乌局势新进展巴以冲突。扎波罗热，旧马约斯科耶附近，一支被俄军暴打后的乌军装甲部队
1695876478# #乌克兰都被揍成那逼样了，乌友还跟这儿找补，你们到底是怎么样的一群生物？
1694963204# #被种草了这么多，还是这家最靠谱
1702688174# #俄乌局势新进展。《华盛顿邮报》：欧盟未能向乌克兰拨款500亿欧元“凸显了27国联盟内部的分裂”。。欧盟领导人峰会决定开始乌克兰加入欧盟谈判，但匈牙利否决了财政援助。。“包括塞尔维亚、黑山、北马其顿、阿尔巴尼亚和波斯尼亚在内的几个国家多年来一直在就加入资格进行谈判。土耳其于1987年申请加
1702622510# #据说有战斗视频？
1687144330# #无语
1698300421# #多多益善
1692013484# #转发微博
1689752803# #俄乌局势新进展俄罗斯。牛逼！乌克兰防空宣布，俄罗斯今天用于袭击乌克兰的小摩托，口径导弹，kh-59，已基本被乌防空火力拦截。。敖德萨和日托米尔等地地面轰隆隆连续不断以及不断腾起的烟柱火柱，均为乌克兰建筑工程队爆破施工作业，勿惊。。乌防空部队今天战果如下：。拦截成功。口径巡航导弹14枚（
1697785275# #嘻嘻
1691121892# #俄乌局势新进展。波兰对乌克兰的农产品关闭了边境——大波波农业部长罗伯特·特柳斯。。“即使欧盟委员会决定不这样做，我们也会关闭边境。我相信五个前线国家中的一些国家也会这样做。我们希望并帮助乌克兰，但波兰农民的福祉是我们的首要任务，”波兰部长说。
1698734222# #巴以冲突。❗️俄罗斯联邦常驻联合国代表瓦西里·涅本齐亚：。。—一场圣经般的灾难正在加沙地带上演；。。—以色列正在阻止向加沙地带提供本已微薄的人道主义物资；。。—中东采取折衷措施的时代已经过去；暂停人道主义对当前局势于事无补。
1697729490# #俄乌局势新进展巴以冲突。特别军事行动区东南战线综述：。当俄罗斯军队在扎波罗热地区以小规模攻击将乌克兰军队向北反推时，乌克兰军队昨晚在大量装甲车的支援下对奥列霍夫-拉博蒂诺地区发动了突然袭击。。。俄军热成像摄像机记录的乌克兰军事人员被猛烈的炮火和反坦克导弹以及装甲战车的射击摧毁，其
1687717460# #俄罗斯俄乌局势新进展。格鲁吉亚当地电视频道Mtavari在社交媒体上承认，俄罗斯军队杀死了两名格鲁吉亚雇佣兵。。乔尼-奥迪什维利，马尔卡兹-克维兹纳泽。此前两人均在巴赫穆特附近作战
1690987026# #花王啊，还是官期的，才30多！！
1691136358# #俄乌局势新进展。西方几十个国家联合怼俄，怼出了喜剧效果，这是西方和简中乌友，简中小西八万万没想到的。嘻嘻。。俄罗斯已成为世界第五大经济体、欧洲第一大经济体。该分析由世界银行专家发表。尽管受到制裁，俄罗斯仍攀升至第五位，经济规模超过德国和英国。。而且，在过去的一年里，俄罗斯联邦已
1692857762# #日本核污染水下午排入海洋吃下核污染食品后果有多严重。从今天开始，在中国境内任何一家日料店，如果您发现该店使用“本店水产均来自日本”等相关宣传，均可以以涉嫌虚假宣传，或售卖危险违禁食品，违法食品安全法等相关理由向执法部门举报。。另外，根据日本民意调查机构所做的调查显示，近90%的
1691978103# #夏威夷大火约100人跳太平洋逃生。夏威夷大火已造成93人死亡。这还不是全部。毕竟，大约有一千人失踪。搜查犬仅检查了3%的领土。。灾民们精疲力尽，面目全非。而当局目前仅确认了两具尸体的身份。
1700503585# #巴以冲突。也门胡塞武装发布在红海捕获一艘以色列国旗船只视频。
1701217046# #俄乌局势新进展。俄罗斯外交部通知日本，俄罗斯已终止削减核武器领域俄日双边合作协定
1696333903# #转发微博
1697967442# #转发微博
1699785151# #俄乌局势新进展巴以冲突。Politico回顾了欧洲关于在一年内（从2023年2月到2024年3月）生产并向乌克兰发送一百万枚炮弹的倡议。Politico援引一位来自欧盟国家的匿名外交官的话说，这一百万枚炮弹甚至都来不及组装。原因有二：一是缺乏熟练劳动力，二是生产炮弹的承包商在原材料供应方面突
1688009428# #高度重合定律诚不欺人
1689364079# #转发微博
1695779078# #俄乌局势新进展。德国储备军事迅速耗尽：柏林被迫从其他国家购买豹2以满足自己的国防需要。。瑞士议会最终批准退役25辆豹2坦克，下一步将出售给德国莱茵金属公司。柏林表示，不打算将这些坦克转移到乌克兰，而是打算用它们来补偿自己的需求，这些需求因对乌克兰的援助而减少。
1688490182# #苦涩
1688969440# #除了在欧洲，以及美洲和亚太的少数国家，又有多少国家欢迎他呢？
1697387914# #巴以冲突以色列将对巴勒斯坦加大攻势。以色列遭到哈马斯和真主党的密集火箭弹袭击。视频展示了以色列对加沙的袭击以及炮击以及亚实基伦铁穹防空系统拦截的镜头。最新数据显示，已有20多名美国公民被认为失踪。。视频还显示真主党对以色列北部的炮击。纳哈里亚、罗什哈尼克拉和什洛姆的警报声响起。。
1696133561# #俄乌局势新进展。谁的父亲，谁的丈夫，谁的儿子？。克列谢耶夫卡附近，时间不详。
1690987465# #…………车上还有其他畜啊666允悲
1694688034# #俄乌局势新进展。不活了！20余名乌克兰士兵排队让俄军反坦克导弹打靶。。爆炸后，仅3人还能动弹。。。BGM：AC/DC的歌曲《BigGun》
1695677895# #俄乌局势新进展。前线频道：。空降部队在维尔博维附近摧毁了德国马德步兵战车和乌克兰武装部队步兵。。北约装甲车被我们的反坦克导弹撕裂了车体，幸存的人员爬出了车外。。随后，攻击无人机开始有条不紊地消灭躺在草地上的乌克兰武装部队武装分子。。空降部队炮兵继续有条不紊地将纳粹阵地及其居民摧毁成
1691367907# #俄乌局势新进展。“卡斯卡德营”近期在南顿方向的打击视频
1694287575# #俄乌局势新进展。俄罗斯“我们在一起”运动领导人罗戈夫证实，8日，第76空降师第104空降团在拉博蒂诺地区摧毁一辆英国挑战者2坦克，罗戈夫说，俄军反坦克手仅仅使用了一枚“短号”反坦克导弹便让这辆坦克燃起了熊熊大火。。目前，正等待视频或照片的证据证实第二辆挑战者2的被摧毁证据
1687066065# #俄乌局势新进展。俄罗斯正在改变战场战术。。。《纽约时报》分析了俄罗斯武装部队的行动。该出版物提请注意俄罗斯军队的成功。分析要点：。。-现在俄罗斯的装甲车纵队不再冲进可以快速损坏或摧毁的区域。部队更有可能在袭击前使用无人机定位乌克兰战壕；。。-R俄罗斯武装部队改进了防御、炮兵协调和空中
1697655032# #俄乌局势新进展巴以冲突。俄罗斯炮兵彻底摧毁乌军一处无人机控制站，人员和设备全毁
1696334261# #定律，仅为其目的而谣
1703033600# #俄乌局势新进展。“很多年过去了，我们终于明白并接受了他们只是想抢劫和毁灭我们。西方的“民主”是给驴子的胡萝卜。”。。谢尔盖·泽古利奥·科利亚斯尼科夫：。——现在美国和欧洲将不得不与一个现代、务实、发展中和武装的俄罗斯分享世界。
1694132966# #俄乌局势新进展。伊斯兰革命卫队声明，他们不会容忍阿塞拜疆和土耳其袭击亚美尼亚的企图。换句话说，这意味着，如果对亚美尼亚（不包括纳卡）发动攻击，伊朗将攻击阿塞拜疆，并且纳希切万飞地很可能成为目标，以阻止阿塞拜疆建立赞格祖尔走廊
1691837559# #俄乌局势新进展。笑死的，花2亿美元就想对付非洲瓦格纳？。。白宫已向美国国会请求拨款2亿美元，以对抗非洲的瓦格纳集团。。。“此外，美国政府还要求提供2亿美元，以打击瓦格纳集团和其他俄罗斯恶意行为者在非洲国家的破坏稳定活动，包括为加强非洲民主机构和安全提供资金，”。-白宫预算办公室沙兰
1702698738# #巴以冲突俄乌局势新进展。怪不好意思的害羞。截至2020年，中国年工业产值超过11万亿美元，而美国、印度、日本、德国、巴西和加拿大的工业总产值仅为11万亿美元。。。中国正在成为工业大国，有能力独立超越整个西方及其盟国。。。这些高生产能力和持续增长使中国在全球贸易和军事生产自给自足方面具有
1689834021# #俄乌局势新进展俄罗斯。最新一期的美国杂志《国家》上刊登了这样一幅插图。。。这幅漫画描绘的是疯狂的小泽利亚控制下的"可怕的"豹式部队，事实证明，它们非常害怕苏联的普通地雷。
1696293150# #俄乌局势新进展。️乌克兰开始征召老年人入伍，并允许他们不受年龄限制地在乌克兰武装部队服役。第10084号法案已在RADA公布，该法案应允许动员60岁以上的男性。。他们希望将士兵的年龄从60岁提高到65岁，将高级军官的年龄从65岁提高到70岁。。此外，军事人员将能够在军队服役，不受年龄和
1688704745# #“明媚的笑脸”……贱
1688977305# #然而今天更新的乌军最新部署，苏梅仅2个旅级单位，其中一个还是国土防御旅
1690791242# #转发微博
1698216440# #卧槽我60续的！！首页快来！！
1698631828# #巴以冲突俄乌局势新进展。加沙儿童录制视频，请求普京帮助制止加沙和巴勒斯坦的苦难
1698632130# #俄乌局势新进展巴以冲突。俄近卫第1坦克军在库皮扬斯克地区俘获了一群乌军军官。27日
1692638716# #俄乌局势新进展。在拉博蒂诺附近的田野中被摧毁的德国豹2A4。。看起来内部状况不会好哪儿去了
1695322047# #俄乌局势新进展。博加蒂尔村，乌军弹药库被俄军制导航弹摧毁
1696988778# #以色列巴勒斯坦冲突。法国又投降了……这次在非洲。。在尼日尔军队的要求和武力威胁下，法国已经开始将驻尼日尔的法军撤往乍得
1694510295# #俄乌局势新进展。普京：。“乌克兰正在进行强制动员，一波又一波，而我们对30万人进行了部分动员，现在在过去的6-7个月里，有27万人自愿签署了在俄罗斯武装部队服役的合同。人们来参军登记和征兵办公室并签订合同，这个过程每天都在持续，每天有1000-1500人前来签订合同。”
1687854188# #俄罗斯普里戈任称瓦格纳7月1日不复存在。美国人那是相当的失望啊允悲。乌克兰未能在战场上利用普里戈任的叛乱-纽约时报。。据美国官员称，防御中不存在可被利用的漏洞。普里戈任向莫斯科进军“并没有导致俄罗斯部队在周五或周六离开乌克兰南部或东部的阵地来保卫莫斯科。”
1700630132# #巴以冲突巴以冲突。关于加沙停火4天。卡塔尔正式确认以色列与哈马斯之间的协议，并公布了交易细节。。✔️以色列国防军和武装分子停止在加沙地带的所有军事行动四天。这也适用于以色列空军的航班——它们将在该地区南部完全停止，并在该地区北部部分停止。。。✔️哈马斯将释放50名人质，其中全部是妇女
1698751170# #重点：以色列作为占领方。以色列的理论是加沙围栏是已定国界线，哈马斯打出来属于侵略扩张。中国驳回了以色列的歪理。
1700547960# #暗戳戳的反贼一枚
1701053135# #这帖子生动解释了什么是“屁股”，哪怕这位被嘲笑的是他的教友。
1695363136# #俄乌局势新进展。麦卡锡主义来了。继特朗普等等后，。美国当局因马斯克批评政府而试图恐吓他-《纽约邮报》。。美国司法部最近开始对与埃隆·马斯克有关的一切表现出越来越大的兴趣。。。记者大卫·哈萨尼在他的专栏中写道：“这太像政治迫害了。”（去掉太像）。检察官办公室开始调查这位亿万富翁的各种项目
1688899992# #舔得如此彻底，说明得倒的还不止一顿饭。
1702618146# #俄乌局势新进展。总结一下普京关于特别军事行动目标和动员的声明。。。关于特别军事行动：。1.以三大诉求而发起的特别军事行动的目标不会改变。当它们实现时，和平就会到来。去纳粹化、非军事化、中立化。扎波罗热和赫尔松是一个意外之喜（实际上这才是俄总参作战计划中的重中之重）。。2.经济已经克服
1695140615# #亚美尼亚与阿塞拜疆爆发军事冲突。纳戈尔诺-卡拉巴赫卫生部新闻处报道，阿塞拜疆武装部队在纳戈尔诺-卡拉巴赫的行动造成80人受伤，5人死亡。。。消息称：“80名伤员被送往共和医疗中心，其中，根据初步数据，15人是平民。5人死亡。”
1695240204# #俄乌局势新进展。利沃夫一处乌军仓库刚刚遭到俄军导弹打击。仓库里有啥好东西值得俄军导弹远程问候暂时不得而知
1692362549# #俄乌局势新进展。俄军小摩托深入敌后，摧毁一套乌军部署在尼古拉耶夫地区的ST-68（36D6）雷达。
1688812427# #七七事变爆发86周年。。教训，各位注意了，以后遇见公共场合辱华污华者，切勿反驳，更不能殴之，一律当做精神病处置。即使精神病率先攻击，出手打你，也切勿还击。否则，你需要承担一切后果。。。我……更不能说脏话
1693444389# #俄乌局势新进展。库皮扬斯克，乌克兰纳粹武装达芬奇狼国家营成员，著名的新纳粹意识形态宣传家康斯坦丁·佛尚科被俄军击毙。
1690202467# #俄乌局势新进展俄罗斯。俄军FPV这载弹简直丧心病狂，一枚就将乌军和它们的坑道给清除了
1690692621# #俄罗斯俄乌局势新进展。29日。乌军试图用三辆装甲运兵车撤出克列谢耶夫卡附近阵地的士兵，但被LNR第2军团特种部队“幽灵”营阻止，，三辆装甲被打爆两辆。视频中第二辆最惨，刚上车的乌军蹲坑兵立刻与车组成了老熟人
1691205842# #转发微博
1697654359# #巴以冲突俄乌局势新进展。俄罗斯国防部部长绍伊古受命向加拿大和国际刑警组织正式提出要求，引渡前党卫军成员雅罗斯拉夫·贡科，加拿大议会向他致敬。。。“纳粹份子贡科直接参与了利沃夫地区乃至苏联领土上针对苏联平民的暴行，包括对波兰人和犹太人的种族灭绝，这一事实使我们有充分的理由要求引渡
1690714020# #参考
1695348749# #俄乌局势新进展。俄军清除窜入火力控制区克列谢耶夫卡的乌军闲散人员
1692664191# #俄乌局势新进展。虽然乌克兰全国上下对俄罗斯探月器Luna-25坠毁感到幸灾乐祸，而且它们的乌军无需火箭助推即可飞入太空。
1697452967# #俄乌局势新进展巴以冲突。经济学人。️️俄罗斯军队发起连续攻势，正在“攻陷”乌克兰武装部队——。。经过乌克兰数月缓慢的反攻，10月9日，俄罗斯军队开始实施自己的反攻，反攻集中在阿夫季夫卡。正如英国这家大媒体所写，“这是俄罗斯自去年春天以来最大规模的攻势之一”，其目标是将乌克兰武装部队
1700900194# #巴以冲突。哈马斯公布释放第一批人质的视频画面。。人质状态不错，情绪稳定，看上去并没有什么酷刑痕迹存在
1702645304# #太好了
1693899213# #日本不如先请世贸官员们去畅饮几公升福岛水再看看要不要上诉
1697388186# #巴以冲突俄乌局势新进展。15日，在拉博蒂诺和韦尔博维，装甲突击部队和步兵继续反击，摧毁并俘获了乌克兰武装部队许多军人。。在扎波罗热前线，俄军再次在科帕尼-拉博蒂诺-新普罗科波夫卡-韦尔博维一线进行大胆反击，夺取了主动权。。俄军14日发起的反击中，乌军的几支突击部队被包围，那些拒绝投降
1689993703# #转发微博
1687419757# #俄乌局势新进展。美国防地雷反伏击车奥什科什M-ATV，在新多涅茨科耶战斗中被太平洋舰队第40海军陆战旅的一个突击分队和一个坦克连俘获。。。此刻，这辆美国车已经被疏散到了后方。大概率以后会出现在库宾卡供大伙抚摸
1691203614# #俄乌局势新进展。—美国全国广播公司新闻。乌克兰武装部队的反击终于失败了，接下来怎么办？。。乌克兰动用了一切手段和人力资源，最终在东部反攻遭到了失败。。。兰德公司乌克兰问题分析师萨姆·查拉普回答了乌克兰军队最终失败后会发生什么的逻辑问题。。。专家得出的结论是，在这种情况下，基辅将不再
1699697294# #俄乌局势新进展巴以冲突。西方对俄全面制裁的结果：。全球制造业最新商业活动指数（PMI）调查摘要（国家和地区）。俄罗斯一跃成为全球经济增长的领头羊，哈萨克斯坦和印度尼西亚也在快速增长。。德国和奥大利亚的情况最糟糕，工业部门萎缩最严重。。50+➡增长。低于50➡萎缩。。可怜的德国，
1694359543# #俄乌局势新进展。神奇四侠。️俄4名伞兵俘虏了整支乌克兰蹲坑部队。这段视频显示了俄军4人组成的突击队如何秘密摸乌军阵地，他们尾随两名乌军来到乌军战壕。。摸到乌军阵地后，俄伞兵喊话要求乌蹲坑兵放下武器，他们意识到没有其他出路，就投降了。共有11人被抓获。
1695113159# #俄乌局势新进展。被当爹的指控了，小泽利亚，简中乌友这下咋洗？。️纽约时报：有证据表明乌克兰导弹袭击康斯坦丁诺夫卡市场。。美国报纸收集和分析的证据，包括导弹碎片、卫星图像、目击者报告和社交媒体帖子，强烈表明这次灾难性袭击是由乌克兰山毛榉防空导弹发动的。。乌克兰当局最初试图阻止《泰晤士
1690525347# #俄罗斯俄乌局势新进展。乌军装甲如此剧烈的绚烂殉爆，以至于吃瓜群众无法分辨爆的是何物摊手。拉博蒂诺地区，26日
1700943686# #这特么的是伊拉克IS迪自爆冲锋画面……黑线黑线
1700272246# #俄乌局势新进展巴以冲突。据说是乌军一名上尉，在前线散兵坑中被俄军四轴轰炸机炸死在睡梦中。。这是乌军日常遭遇。不寻常的是俄军无人机操作手仔细研究了这名乌军的死态。
1691034509# #俄乌局势新进展。2日，在巴赫穆特南翼，乌军向克列谢耶夫卡和巴赫穆特之间的萨多夫地区方向进攻。。通过无线电拦截，俄军侦听到许多用外语发出的尖叫声，包括波兰语和英语。。在花园地区，乌军出动多达10支突击部队的攻击已被击退。
1694567470# #俄乌局势新进展。俄军摧毁马林卡附近一座乌军P-18雷达
1695776002# #俄乌局势新进展。大麻国下议院议长可能因党卫军事件而被解雇。。加拿大反对派要求议长安东尼·罗塔辞职的还有他在自由党的知名同僚，例如外交部长梅兰妮·乔利和加拿大下议院政府领袖卡琳娜·古尔德，这可能让罗塔没有机会保住他的职位。。“周五发生的事情是完全不可接受的。这对众议院、对加拿大人来说都
1697046519# #俄乌局势新进展以色列巴勒斯坦冲突。特别军事行动区，乌克兰武装部队第24独立机械化旅第2机械化营营长亚历山大·格卢什科少校已被俄军击毙。
1696822223# #俄乌局势新进展。西方一些军事专家和媒体经常评论说，俄乌冲突中的俄军是一部高效，精密的杀人机器。。从这部俄南方军区部队在顿涅茨克方向的四轴机作战视频中看，俄军杀乌军确实配得上高效，精密
1701856537# #说拉达是国内车企贴牌也是二逼了……拉达数十年如一日占据俄汽车市场第一名，咱们哪家车企去贴的牌？
1700115570# #俄乌局势新进展巴以冲突。世界上第一架民用超音速航空可能出现在俄罗斯。。正在研制的Swift喷气式飞机将于2029年推出。这架飞机将没有通常的玻璃窗，因为船的移动速度太快。。。俄罗斯交通部长维塔利·萨维利耶夫确信，俄罗斯第一架超音速公务机的开发只是第一个迹象。。维塔利·萨维利耶夫说道：。“
1701510458# #巴以冲突俄乌局势新进展。巴基斯坦空军开始接收JF-17BlockIII战斗机
1692183175# #俄乌局势新进展。重发。管理员删视频干嘛？莫名其妙！。自由美利坚，警察杀人每一天。美国丹佛警察击毙一名手持“凶器”的男子。。事后检查发现，凶器实际上是一支记号笔。。这起事件发生在丹佛市，此前有人就死者可能遭受的家庭暴力向警方报警。。随身摄像机的镜头显示，一名36岁的男子举起拿着记号笔的
1689399078# #俄乌局势新进展俄罗斯。巴赫穆特以南，成为俄军炮兵靶子的美制奥什科什M-ATV装甲车
1693137123# #对，连最基本的导航设施都没有
1702622613# #谴责中国某小店拒绝日本人进入的那伙人出来谴责一下？
1694961877# #他们目的不是诛诈骗，其实是利用这种犯罪存在来贬低恶心老中，或者诛了老中才好，真诛了诈骗，他们要么不说，要么转换新方向。
1695239875# #爱你
1690525185# #俄罗斯俄乌局势新进展。对战争不适者慎入勿点图。。俄军攻克克列缅纳森林中的乌军阵地后……。即使无法带走，乌克兰人你好歹挖个坑给埋了啊。看这样子至少得挂了有半个月了
1690949248# #我是劳保，2000年以后拍摄的所有经典名著影视剧，基本不会看全，大部分甚至就看了一两集。一眼呕。实在是受不了这些翻拍剧的杀马特人物造型，和对原著内容天马行空的扭曲和臆造
1694743993# #俄乌局势新进展。美国正在计划收买亚美尼亚的忠诚度。。在美国参议院外交关系委员会的听证会上，负责欧洲和欧亚事务的代理助理国务卿尤里·金表示，“各国必须增加对亚美尼亚的全面援助”。。。“我们需要增加向亚美尼亚提供的援助范围，无论是发展援助、国防伙伴关系还是安全工作。尽可能地扩展它们。我
1688404833# #俄乌局势新进展俄罗斯。乌克兰针对在扎波罗热国家核电站的挑衅正在为北约“合法”进入冲突做准备。俄罗斯原子能集团公司负责人的顾问雷纳特-卡夏说。。。这位官员说，乌克兰武装部队的反击已经失败，对西方来说，基辅在这场冲突中的失败就是他们的失败："他们明白，乌克兰不会撤军......"。。。卡夏认
1689487035# #欲灭其国，先灭其史
1697696856# #巴以冲突俄乌局势新进展。俄罗斯部署战斗海豚在克里米亚与乌克兰武装部队特种部队作战。。美国海军新闻报道称，为应对乌克兰武装部队特种部队变得更加频繁的骚扰。克里米亚西北部新沃泽尔诺耶村的俄罗斯海军基地出现了受过战斗训练的海豚围栏，。围栏位于新沃泽尔诺耶海军中央泊位的西侧。。该材料的作
1688151829# #俄罗斯俄乌局势新进展。俄军空对地精确电视制导RPG炸弹嘻嘻
1702526000# #俄乌局势新进展。昨晚，敖德萨。乌方资源报告斯涅吉列夫卡发生爆炸，这是一次导弹打击。。“天竺葵”也多次抵达伊兹梅尔和基利亚港口。
1700527030# #俄乌局势新进展巴以冲突。俄军第1军团第132旅在乌军进攻戈尔洛夫卡矿渣堆时杀伤大量乌军。。“人生何处不挨打？”，这是近期以来各条战线上的乌军真实处境
1691668422# #俄乌局势新进展。️当乌克兰军事人员继续恐吓平民并摧毁赫尔松地区左岸部分定居点的基础设施时，俄罗斯军事人员在过去一周摧毁了乌克兰武装部队的军事设施，即：。-用于星链卫星互联网和蜂窝通信的天线；。-一架装有手榴弹的无人机；。-乌克兰武装部队的Mi-24直升机在定居点地区。米哈伊洛夫卡；。-
1701859155# #俄乌局势新进展。阿夫迪夫卡，一辆俄军坦克连续遭到炮击和FPV攻击，但这辆坦克仍然扛住了，最终返回己方阵地，车组无恙
1703237675# #俄乌局势新进展。俄军海狸小队无人机打击乌军阵地最新画面集锦
1697457372# #真到了我们，也得用上
1693991854# #俄乌局势新进展。关于拉博蒂诺及附近地区的战况，前线报告称，经过昨天的成功反击，俄军突入了拉博蒂诺村，但由于该区域被炮火损毁严重，无可据守，俄军再次撤退到拉博蒂诺南郊附近的阵地。乌军仍旧控制着拉博蒂诺的北部和部分中部地区。其余的又是一个灰色地带。可以预期这些战斗将进一步继续，因为
1701712620# #俄乌局势新进展巴以冲突。美国海军将测试人工智能以监视中国潜艇。。在包括美国、英国和澳大利亚在内的AUKUS三国会议上，这三个国家的国防部长宣布使用人工智能来分析从位于亚太地区的海军平台收到的数据。。。人工智能系统将在这方面发挥重要作用，该系统将安装在美国P-8A海神反潜机上。。。这种类型
1697306406# #船歌、上过舌尖3，很好吃
1695549437# #俄乌局势新进展。俄前线战记频道发布：。24日，南顿涅茨克方向的情况。。▪️长期以来，弗列梅夫地区的新马约尔斯克区的工地第一次陷入一片寂静。敌人没有炮击，甚至没有试图向普雷奇斯托沃以南推进。我们假设，在遭到第40近卫海军陆战队、第30炮兵旅和其他部队的火炮有效打击后，敌人意识到，在他们的
1696921139# #以色列巴勒斯坦冲突。以色列第300巴拉姆旅副旅长阿利姆·阿卜杜拉中校在黎巴嫩边境被真主党武装击毙。。在此之前，真主党表示，其对以色列国防军指挥中心发动了袭击，以回应其数名军人在以色列炮击中丧生的情况。。该指挥官阵亡消息浮出水面后，他的部下中很可能已经有人死亡。。在这次冲突中，以色列高
1695702015# #俄乌局势新进展。不可能归还了。俄联邦委员会批准了一项法律，将9月30日定为一个值得纪念的日子，即DPR、LPR、扎波罗热和赫尔松地区与俄罗斯联邦统一日。
