1697730967# #转发微博
1695190009# #以我的了解，他不会换清晰的，你越想纠正他他越不想被纠正dogedoge
1692146543# #昨天困糊涂了，没转成，今天转，谢谢小雯鲜花鲜花
1697813618# #转发微博
1692962171# #什么情况呢？@韩东君ElvisHan
1689037471# #哎呦喂，头伏主打一个冷嗖嗖
1695382681# #中图网图书到了心心心。。第一次见到这么诚意满满的快递包，箱子上是中图网的标志，里边不是普普通通的黑色塑料袋，是一个像毡子样材质的类似航空信封那样的袋子，好金贵（对读者的真诚）好用心！。。还有一封手写信💚💚。。书确实是我喜欢的，并且是我不曾拥有过的，感谢！。。我好想去那里——图片
1692697265# #挖藕！起鸡皮疙瘩了！
1703227662# #韩东君说火是虚无缥缈的东西鲜花韩东君说我现在也没定型呢，先转，稍后看。
1703171613# #我的微博播报我爱叭叭允悲微博之夜
1695875192# #低盐饮食。正常人每日不超过6g/肾病患者每日不超过3g；。勿滥用药物，止疼药，感冒药，不明成分的中草药；。适量运动勿熬夜，熬夜的伤害比我们想象中的更大；。控制高血压，糖尿病，控制与肾病有关的疾病，长期的糖尿病会使血管硬化；。适量饮水不憋尿。
1692334653# #转发微博
1698246503# #最近没有时间追剧了，应该说是补剧，别人在追，我在补笑cry。。从打九月末我阳了之后到现在已经26天了，没有一天不在吃药——双肺感染病变，磨玻璃密度结节……。。福不双至，祸不单行。儿子最近做了一个小手术，我们俩现在病患照顾病患，母子相依为命。。。把孩子换药敷贴让他睡下之后，我就看书。好多事
1701143087# #12月5日期待韩东君
1702550516# #转发微博
1698635193# #转发微博
1699764340# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐装腔启示录！为热爱助力，一起来推荐你最喜欢的作品吧~
1703414072# #晚餐。
1703900974# #新年祝福到！赢牛奶我获得了微博开新年跨年惊喜祝福小卡【新】，每日完成发博+转评赞互动，轻松集齐开红包~快来加入，领走新年好运气&gt;&gt;
1699766228# #真得学习点儿啥技能，说不定啥时用的上打call打call又一个幸运勇敢的女孩👧🏻hellyhansen品牌代言人韩东君
1696893394# #梦见🎀，一个开心与失落交替的梦境，是昨天静点时脑海里想的那些事情，是心绪的体现。梦境反应现实。。。昨天的那幅图其实有一句话补充，没贴过来是觉得他不是，但是现在不仅想贴过来，还想再补两张——。。“你自己弱小时，周围都是小人。你自己强大后，身边全是好人。”
1691642068# #好帅！他平时咋不梳这个头型笑cry
1693282112# #眼前是韩东君
1703509895# #《似火流年》主题曲好好听啊！
1688268250# #转发微博
1697104294# #太帅了！
1688864467# #转发微博
1695479424# #“阿胶是什么做的？”当我在厨房给他搅拌烫化阿胶的时候儿子问我。。。“驴皮做的。”我专心致志搅拌。。。“那吃驴肉蒸饺吸收不更快吗？”儿子。。。“不行，那能行吗？”我答。。。……。。哈哈，这怎么两个很奇奇怪怪的问答呢？不过倒提醒我了，前段时间就想包点蒸饺吃没想好啥馅儿的，有了——包驴肉的！不过
1700143944# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐梅花红桃！为热爱助力，一起来推荐你最喜欢的作品吧~
1695777806# #专家来看看我，说这个没啥可说的。人家都是专家没来之前坐着聊天，专家来了目视专家说自己啥症状，我是专家没来之前我不在，专家来了我装看不见。
1692333235# #好的
1695615491# #跟韩东君一起种草“AI造个家”，感觉确实有不少好东西❤️
1700841302# #真美！每次都给我们新鲜感觉，都不带重样滴打call打call
1694958340# #水岸清溪的闲逸时光。。今天大家难得有时间能够聚到一起，所以提前给大宝贝过生日🎂🎂。。23年前194斤的我剖腹产生下我儿子，儿子7斤3两，生完他我184斤，休三个月164斤的我上班，然后非常辛苦地饥饿减肥，效果是送到急救中心！彼时的我，从没用过运动健身，也并不相信运动健身会减重。。。儿子上大学
1702219929# #转发微博
1700831112# #好完美！
1701577371# #缺个晾衣挂偷笑
1697108480# #好好看！
1701445281# #她真了不起！
1694931231# #买了一整箱乌苏啤酒🍺🍺，今天家里来且儿，到了我家我做主笑哈哈
1694451448# #想起一位老师说过的一句话：“你不必患得患失。”。。晚安月亮月亮
1690950556# #平阴重瓣玫瑰🌹🌹🌹花茶（养颜）。。两朵贡菊+七颗枸杞子+七朵平阴重瓣玫瑰+两颗乐陵无核红枣+干桂花+蜂蜜🍯。。。。水岸清溪的闲逸时光
1692922112# #转发微博
