1691821336# #盛总要不身先士卒再生一个吧，我给你个小目标——子女数量赶上产品数量哈哈
1700806693# #基金超话。人民币对美元中间价又升值了，利好我们今天这车啊，今天目测净值又能跌0.08%。。买到了一个好时点，两个月前买入的份额都白干，因为票息收益和汇率损失完全对冲了。。所以虽然我买的是短久期美元债，静态收益高于5%，但千万不要以为这车是“保本保收益产品”，毕竟汇率风险摆在那儿……。。最
1702537420# #听说这货是“自行车概念股”？我还以为是做保龄球的……二哈二哈二哈
1697788083# #基金超话。哎最近骂新股骂得凶的人。。我敢保证他们在2019到2020岁年不知道有一种基金叫做“打新基金”，年化收益10%+，最大回撤不超过3%。。这可是我当年力推的基金品种，买的具体品类我都不公开，只给最有价值的客户看。。想当年，基金要是打新中签率低，是要被我们投诉的——干什么吃的你们？我买这
1701160706# #欢迎每周三晚7点来直播间听我唠嗑...
1696577047# #只能说李蓓很懂流量，知道大家爱听什么。。去年年底李蓓说的“A股牛市”还言犹在耳，这不我们在牛市环境中都栽坑里头了嘛。。不过李蓓实盘业绩还是靠谱的，相对而言我更喜欢看她是怎么做的，而不是看她怎么说……。。半夏李蓓：美元或进入持续贬值的若干年，人民币和中国股市或进入牛市-华尔街见闻
1692332534# #基金超话。FamilyDay抓从小不爱吃饭的小教主来陪我大快朵颐喵喵喵喵喵喵。。感觉司美格鲁肽白打了二哈二哈二哈
1691569787# #基金超话。“混沌期”不妨试试固收+。。从二季度开始“祸害老妈的养老钱”陆续打出700发子弹，截止上周五赚了接近8发子弹，经过本周连续两天的市场回撤，盈利略回撤到6.6发，总体还是保持在一个很让人可以承受的“窄幅波动”范围内。。相比于投资纯债基金，固收+基金经理大部分不需要做信用下沉（说人
1698389285# #基金超话。今天如果发车买权益吧那叫“追高”。。如果不买权益吧，那叫“踏空”。。挨骂的路径我已经都想好了……awsl。。真要是每次涨跌都能猜对，那只有话术懂王们适合你了
1698300763# #基金超话。在二级市场做投资，你最终的收益未必是因为你有多优秀、有多聪明、多出类拔萃，眼光有多独到，而是取决于你在多大程度上能够诚实地、如实地评价自己，然后坚持在自己的能力圈里面去做决策。。——中泰资管姜诚
1696328281# #今日份儿骑车完成……吃瓜吃瓜吃瓜。。还是边骑车边打了40分钟电话完成的笑cry笑cry笑cry
1692456028# #基金超话。原来最近两周券商股上涨最大的催化剂是“降佣金”哈哈。。尊重来自市场的反馈，即使不合基本面逻辑，我也多倾向于认为“市场是对的”
1692242621# #给你机会了，可你不中用啊…基金超话寻找闪光的你微博vlog大赛
1701763755# #财政部有关负责同志就穆迪下调我主权信用评级展望有关问题答记者问。来源：财政部。。穆迪作出调降中国主权信用评级展望的决定，对此，我们感到失望。。。今年以来，面对复杂严峻的国际形势，在全球经济复苏势头不稳、动能减弱的背景下，中国宏观经济持续恢复向好，高质量发展稳步推进，尤其是三季度以来，
1700564948# #欢迎每周三晚7点来直播间听我唠嗑...
1698985546# #基金超话。北向资金流入流出，和美债利率和两村关系息息相关吧。。所以理解我8月份开始为啥不太敢动的原因了吧……。。那今天我动不动呢？
1692542637# #基金超话。休假模式，三刷同里湖大饭店了。。CheckIn的时候因为穿着国际米兰队服，再次被粉丝轻易认出，愉快合影。。在酒店吃饭的时候陪着女儿疯，又遇到了个认出我的节目观众，相谈甚欢，临走时我不忘嘱咐一句“炒股这爱好，最好还是戒了……”。。我始终觉得一个发自内心真诚的人，是很难被所有人所厌
1700203505# #基金超话。上午开车，下午发🚗。。现在就差一个“晚上骑车”了……。。苏州终于有共享单车了，晚上沿着太湖骑着玩玩……
1691045607# #基金超话。【通知】。今日执行操作，全部赎回固收➕单基天弘安康颐养C，同步转入《稳中求进》组合。。【风险提示】请根据自己的风险承受能力选择投资组合，市场有风险，投资需谨慎。
1694572223# #基金超话。YDL。。。。。。。。吐
1692413640# #基金超话。晚上带娃去迪卡侬买运动鞋和运动裤，顺便带娃试骑了一下自行车，毕竟过去一年身高长了10公分，原来20寸的童车是无论如何也骑不了了，现如今上了中学，倒也是可以考虑自己骑自行车上下学了。。可能是我对物价的概念还停留在我学生时代的关系，看到“性价比之王”迪卡侬的成人山地车要2000元
1703589411# #基金超话。谈起互联网上我的口碑，向来都是“两极分化”的。。在我粉丝群里的粉丝都觉得我“亲和力很强”，每天都直接下场到群里和粉丝们瞎聊，顺便一起吐槽骂个街啥的。。。黑粉们把我视为眼中钉，觉着我这人“又爱装逼吹牛，又成天怼人，业绩还差.......”。。“爱怼人”这事儿说得很公道，至于我这个
1701848797# #基金超话。某基金海王刚才和我嘚瑟了好几条。。1、我的DAX基金新高了。2、我的日经基金上周新高了。3、我的黄金基金上周新高了。4、我的纳斯达克经常新高。。我赶紧堵住他的嘴——兄弟，这是能对外说的嘛？说多了你要被抓进去的吧，因为你做出了“伤害大A股民感情”的事情！！！
1696772166# #完赛，今天骑了一辆册瓜拉新的美团单车，车况巨好，路上把一个以女生为主的公路自行车队都给超了。。平均速度18.1公里/小时，最快速度31.64公里/小时。。这应该接近共享单车的极限了吧吃瓜吃瓜吃瓜
1700553262# #看这跌得如此丝滑的K线，我告诉你这是今天北证50的K线你信不？。。所以别光想着吃肉，也要多看看挨打的曲线，这样才能让自己贪婪的心稍微多一些敬畏……
1703595196# #这话怎么的，我们平时也吃不到熊肉啊泪
1699430193# #市场未到决胜时刻，抄底的小伙伴们别着急！理想生活季双十一种草大会
1703592858# #所以机构做不好投顾，投顾最重要的就是“降低客户预期”+“把丑话说在前头”，虽然损失了规模，但收获粉丝信任更重要
1703576338# #刚才听一位大佬说，当前位置做资产配置很难，中长期美债和美股位置都不是很合适，其他市场又不是很熟。。俺很同意大佬的观点，顺便安利了一下大佬——要不短久期美元利率债客官您瞧瞧？。。我觉得摩根这个月都应该给我发个“优秀员工奖”，推销员都没那么积极的..........
1691128876# #基金超话。【发车通知】——今儿个又有新变化……。今日执行300车发车计划中的第222车，也是本周第2次发车，发车标的《慢慢变富》组合。。新上车的小伙伴不建议一次性跟投，可以以我每发1车补仓5车的节奏来跟投。。【风险提示】。请根据自己的风险承受能力选择投资组合，市场有风险，投资需谨慎。
1695883351# #基金超话。社保基金管理人啥时候开个“基金吧”，估计也能被基金持有人骂到自闭。。毕竟这个基金是“全民所有”偷笑偷笑偷笑
1692972593# #毁灭吧，赶紧的……
1697881363# #骑行超话。太阳下山了，天黑之前是骑不到了。。尊重来自身体的反馈，能100公里骑完我就给自己100分了……。。路上喝了两瓶怡宝，两瓶佳得乐，愣是没上厕所笑cry笑cry笑cry
1692582322# #啥5年期LPR不降？。。想啥嘞……
1693495855# #基金超话。从8点宣布调降存量房贷政策之后的人民币离岸汇率来看，算是有点反应，但反应不算很大。。当然有可能我已经习惯了去年11月发布20条那天“预期大反转”的幅度，对于今天这样的政策不够敏感……
1693130058# #基金超话。参考刘煜辉的发言，接下来应该期待“三板斧”。。包括但不限于QE、MMT这类的........印花税下调只是开胃菜........
1692593575# #琪琪的专业能力还是值得信任滴，就等你把我拉出泥潭了笑cry笑cry笑cry
1697524897# #75寸电视机到位。。我为今年总量经济扩张贡献了4000块偷笑偷笑偷笑。。要不是40的威逼利诱，想从我这种葛朗台口袋里拿4000块出来可不容易awslawslawsl
1696403553# #基金超话。【今年大火的景顺长城鲍无可，在我来看也没那么好】。具体对于鲍无可业绩的看法，节后找机会详述。。。先从负债端角度谈一下“评价标准”的问题，鲍无可的景顺长城能源基建这只产品，自2019年以来每一年都是正收益，在主动偏股基金当中是极其罕见的，从“绝对收益”角度来说肯定是顶尖优秀
1696857125# #今天身体状态感觉一般应该骑不出昨天18.1公里/小时的均速了。。晚上也给你们拍一段看看晚上的GoPro画质有多渣
1697443617# #基金超话。【只要你长期关注A股，你的体重就会和账户一样“变瘦”...........】。今天好几个小伙伴都来问我：“有什么基金含减肥药相关个股比例比较高的？”。。答曰：没有..........。。之后小伙伴想到了另外一个解决方案，可能比司美格鲁肽还有效，那就是“坚持关注大A”。。因为只要关注了大A，把真金
1701161528# #北京朝阳警方立案侦查中植系所属财富公司。中植出事儿恰逢这几年“非标信仰崩塌”时期，有人说信托类产品因为涉及“合格投资者”门槛，所以只收割富人，没收割穷人。。话糙理不糙，跟着监管不挨刀。对于投资门槛很低起点很低的金融产品，咱们的监管一直是非常严格的。比如股市到现在还是T+1，有涨跌停
1697895290# #骑行超话。搞定打call打call打call
1698031503# #基金超话。哎呀，今天还没有北向啊？那怪不到老外身上了。。缺了个背锅的，那可怎莫办？
1701770145# #基金超话。刚才粉丝群里有个粉丝问——短久期美元利率债有没有成为原油宝的风险？。。答曰——这个问题相当于问余额宝有没有可能成为原油宝..........汗汗汗。。不能因为他们都姓“宝”，就认为此宝=本宝，更何况咱们还不姓宝.........挖鼻挖鼻挖鼻
1701749463# #基金超话。忘了昨天4.7的时候看一下黄金ETF盈利多少了。。估计昨天都突破90%了。。回溯了一下，同样是16年年初买的话，黄金ETF比万得偏股混合型基金指数收益高，回撤小。。在组合里放着做相关性分散挺好的……
1702734635# #很有道理啊偷笑偷笑偷笑
1698810909# #那年的我只买不卖豪气冲天寻找闪光的你微博vlog大赛理想生活季
1698767342# #贵州茅台酒股份有限公司。。重大事项公告。。本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。。。经研究决定，自2023年11月1日起上调本公司53%vol贵州茅台酒。（飞天、五星）出厂价格，
1697172459# #上午出去路演，看了眼手机感慨“原来就只硬了一天”..........。。其实也不错了，上一次只硬了10分钟..........
1692688355# #基金超话。上周有小伙伴给我挑毛病，说我发车都是高位发得多低位发得少。。我发一下21年至今偏股基金指数的周K线来说明一下问题，由于目前偏股基金指数已经跌破了去年4月底的低点。。所以理论上可以说过去两年我每一车都发在“高位”……。。当然如果后续涨上去的话，理论上我每一车都发在低位……二哈
1695620199# #基金超话。正所谓“举贤不避亲”，虽然我很欣赏奔奔，但安康这波动，实在不太适合做固收➕基金了。。所以今年《稳中求进》一开始运作的时候我就没把安康放在里边。。至于说“之前买的怎么办”？只能说凉拌，因为我还有40多万套在里边，苦啊允悲允悲允悲。。【风险提示】。请根据自己的风险承受能力
1700648153# #awsl
1703944777# #基金超话。转。总结总是容易的，总结你会发现一只轮着微盘股高抛低吸很容易赚钱，总结你会发现抱着中海油不动也不错，总结你会发现煤炭好了整整三年，总结你会发现成长大盘的困境。那么前瞻呢？比如，现在让你选2024年十只股票，一动不动，拿到年尾，每只涨幅不低于15%，做不做得到？。。在评论区，
1693832868# #祝贺灌篮高手们，日本篮球和日本足球告诉我们，不走捷径踏踏实实按照科学规律办事，最终总会有收获
1692856298# #那是因为我们一开始就和粉丝“丑话说在前头”，从来没说过什么买基金稳赚不赔，“N年N倍”那样的鬼话
1696815120# #基金超话。看到还有个同行说我“业绩差”的，也不知道哪儿来的自信。。同样管固收+基金组合，某同行最大回撤5%+，我《稳中求进》最大回撤1.18%，收益率还比他高一倍，算CALMAR比率差了快10倍了吧，这叫“业绩差”？。。谁给你的勇气啊，是梁静茹吗？
1699239190# #美利达克罗威100，今天就想去买下来了
1703758626# #恭喜
1690964622# #笑话，井口就这么大是吧？巴菲特有说过自己是纯粹依靠自己研究，没研究员和投研团队支持吗？
1695639574# #确实，从2008年奥运会之后我就很少关心中国在奥运和亚运会的金牌数了。92年开始看巴塞罗那奥运会的时候，我们处于“睁眼看世界”的阶段，内心多多少少有些自卑，而现如今更自信的我们对这些金牌，早已淡然.......
1702119275# #基金超话。能够躬身入局者，无不乐观且坚定。。。杨晓磊半自嘲半正经地说，“利润高的地方竞争的人就多，我们这里竞争格局很稳定。基金投顾拥有宽广的护城河，这个护城河来自于业务实在不怎么挣钱。”。。一不小心又说真话了笑cry笑cry笑cry
1694407570# #基金超话。总有人说在市场下跌最猛烈的周期应该“加速发车”才对，从我做组合风险控制的角度来说，如果我是个专户或者私募FOF，在市场极速下跌之后我非但不会加速加仓，反而会做股指期货套保来平滑业绩曲线。。没有谁的子弹是无限的，去年4月末就有人建议我应该“把子弹一把打光”，去年10月底又有人
1701667023# #过奖了，其实也只是在8月份到现在帮助组合控制了一丢丢回撤，没啥X用
1692621010# #自从我默认小教主高考250之后，心情就淡定了，直到我的基金亏了250二哈二哈二哈二哈
1698761628# #啊哈，昨天还说交易到湖人，又被谣言骗了苦涩苦涩苦涩
1694399197# #基金超话。太卷了上周涨幅第一的行业今天跌幅第一二哈二哈二哈。。上上周也是这个剧本，三周前涨幅最大的环保，接下来跌幅第一
1695102994# #再充值20万盈米宝，继续战斗。。虽然好像弹药库已经没那么多弹药了，但是要省着点花二哈二哈二哈
1692331526# #基金超话。转。最近我加了个基金群，里面大部分人都是亏损的，但是都很有信心，就仿佛邪教组织。。。他们坚持的信条主要有2个。。一，大盘现在是底部，不该割肉，只会往上了。。二，买基金，要有耐心，1年是基本，2年是正常，3年能盈利。。我说，我在银行存款，3年最少也有10%利益，我买基金3年才能盈利，我
1702954530# #又来做评委了，最近不是在做评委，就是在去做评委的路上，这不都跑到广州来做评委了嘛笑cry笑cry笑cry
1696134405# #所以我买的都是均衡型基金，最大程度上剔除了运气因素
1701014666# #骑行超话。两天没怎么骑，只能靠家里的健身自行车保持一点强度了。。均速32.4公里/小时，平均心率131。。经过这一个多月的上强度，有氧能力的确得到了质的提升。。关键是——人也瘦了偷笑偷笑偷笑。。健身自行车买来5年也就骑了1200公里，争取明年国庆前骑到2000吧，大头留给室外上下班骑车去偷笑
1698768309# #茅台涨价直接引起A50期货的分钟级反弹……
1692150420# #基金超话。利率和汇率本质上都是经济运行的结果，经济才是决定利率趋势的核心，经济非上行趋势尚未被证伪，利率的下行趋势也难言结束。。华创证券屈庆
1697005170# #基金超话。最近买美元债的话，结果也是一个字——跌。。要买就必须买“超短久期”的，可怜那个超短久期的现在不让买了苦涩苦涩苦涩
1702200218# #这不是你一直讲形势大好，需要加息嘛！哈哈
1702563390# #钱是生活选择权的一种方式，无论是努力读书还是拼命挣钱，本质是我们希望对生活多一些选择权
1698803947# #基金超话。听了一位有接近30年证券从业经验的老前辈，行业高管说了一句很扎心的话。。证券公司开了这么多营业部，这么多客户经理和证券投资顾问，你们说说看到底有多少客户是通过你们证券公司开户炒股赚到钱的？产业资本和机构投资者除外
1691370000# #基金超话。《反弹之后仍处低位，耐心等待市场转折到来——“股债性价比”每周跟踪20230806》。（图1）承继上周市场乐观预期，北向资金上周净流入124亿元，为连续第2周净流入，电力设备、食品饮料成为近期北向资金流入最多的两大行业，从风格因子（图2）来看，成长股作为北向资金偏爱的方向，在资金
1693273200# #基金超话。今儿想着基金投顾从商业模式上来说的确很“逆人性”。。首先在投资端不强调“快速暴富”，而突出“长期投资”，极端逆人性，因此获客效率极差，很难获得较大规模的跟投量。。其次在主理人端，由于以AUM收费，注定赚不了“快钱”，同时还暴露了实盘业绩水平，导致大部分KOL都不愿意来做基金投
1701402632# #YDLWDZL
1697781282# #欢迎大家众筹，可以通过《慢慢变富》来众筹一万亿资金，钱到位之后我觉得我能一天把指数打涨停吃瓜
1697384737# #距离成都天府绿道骑行还剩5天，在家里提高一下踏频上上强度……
1691500830# #基金超话。转。欧洲股市持续下跌，斯托克斯50指数下跌逾1%，因哈佛教授声称发现外星人存在证据，市场担忧地球文明的可持续性
1698126846# #基金超话。【全球第二大资管公司押注长期美债！资产定价之锚涨势接近尾声了吗？】。香港万得通讯社报道，美国资产管理公司先锋领航(Vanguard)在经历了今年的债券熊市后，看好较长期美债价格表现，押注美联储正处于升息周期的尾声，且明年经济将放缓。。。这家全球第二大资产管理公司在固定收益展望报
1692337119# #乔迁新办公室鸟枪换炮了……吃瓜
1694676698# #基金超话。不懂就问，为啥我12点58分的时候黄金ETF收益率是87.99%，15点07分的时候显示的黄金ETF收益率就变成了88.28%？。。俺抢答——我P图了。。每个交易日上午9点半到3点钟之间我这P图技能都可以用，但到了交易日下午3点之后以及双休日我这P图技能就消失了。。我也不知道怎么回事……苦涩
1690550340# #做投资不要光想着“收益”，要想着各种可能性以及回撤、波动以及风险调整后收益
1699521331# #基金。看了一个偏股FOF基金的持仓，持仓了130个基金。。要换成投顾组合，这得被持有人骂死了笑cry笑cry。。有些持有人没想明白是，既然是基于信任来买组合，那就别把自己的想法强加于主理人，如果你什么事情都想掌控，最好的解决方案是自己去炒股，体验一下“上上下下的享受”。。被市场教育一番之后，
1691805481# #基金超话。昨天有个咱们高净值的粉丝向我打听个事儿，问“你有没有听说过XXX这个人，据说管理过几十亿资金？”。。俺一如既往的坦诚回答：“没听说过这号人，怎么了？”。。粉丝说：“这人现在在做电商卖货，你觉得他管几十亿这件事情靠谱吗？”。。“那妥妥不靠谱啊，真要是管几十亿资金为啥现在还出来
1701831277# #欢迎每周三晚7点来直播间听我唠嗑...
1694136784# #基金超话。黄金开盘就创历史新高了，在我能力有限的情况下，只能帮你们做到这些了……二哈二哈二哈
1692927077# #基金超话。我感觉要FT了……
1696081972# #基金超话。【基金投顾，并不负责“提供高收益”】。在国内基金投顾业务问世之初，从业者的目标是希望治理“卖方投顾”模式下只顾规模，不在意客户盈亏体验的机制，改变“基金赚钱基民不赚钱”的行业怪圈。。。因为过往20多年国内基金行业的发展，一方面证明了A股主动偏股基金具有长期大幅跑赢宽基指数
1691123511# #基金超话。如图所示，有一个笑话，叫做“买基金不挣钱”……。。这个事情的完整说法应该叫做——买基金只要入场时点不太差的话，大部分结果都还可以。。只可惜，大部分人都是在“最差入场时点”入场的，下次牛市顶峰也一样，因为这是人性。。像我们粉丝那么聪明那么逆向的，毕竟是少数……
1697015402# #没人是无限子弹，随意更改规则的做法对粉丝是不负责任的
1703231145# #今天刚加了个基金经理微信就和我一波道歉。。说“我最近传媒配多了，业绩表现不太好，还请多见谅.........”。。这太爱反思了啊，我才买了一周，短期啥业绩我真是不太在乎的........。。不过，我确实喜欢和喜欢反思自己，而不是成天吹牛逼的人打交道。。反思使人进步，爱吹牛只会让你进入信息茧房......
1701918855# #今天短久期美元利率债又涨0.06%。。安慰一下，对冲了我A股亏损的一根腿毛awslawslawsl
1691992449# #基金超话。春夏秋冬，目前的情况是春夏秋冬冬冬冬冬，在上海37度的天家里暖气快不够用了，赶紧回暖吧.........
1694179797# #基金超话。证监会核准丘栋荣成为中庚基金持股5%以上股东。。。标准的知识产权入股啊........
1697889252# #骑行超话。大腿酸了上电极按摩器嘻嘻。。刚才一个24岁的小哥和我聊了很久，看我背着个大包看着就累死，没办法，装备多，各种保障器械偷笑
1701754337# #基金超话。某同业小伙伴最近看到自己的QDII保有量持续上升，感慨“觉得明年QDII还是大有可为啊！”。。俺义正言辞的以正能量的口吻泼过去一盆冷水：“啥意思？是觉得咱们大A家明年要关门？注意你的立场.........”。。又补充了一句——在我们粉丝没有回本之前，不准关门！！！
1696256818# #自行车。【从骑行川藏线看两代人的观念差异】。刷了快一个月的骑行视频，从“耳总向前骑”带着12岁儿子从杭州骑到乌鲁木齐，到“菜腿小崔”从郑州出发至拉萨，感觉现在骑行的“主力军”是21岁到30岁左右的年轻人，和我这种85前的中老年80后还是有明显消费观念上的差异以及代沟。。9月中旬刷耳总视频的时
1692798622# #所以现在的新房销售模式是“助长投机”……
1694452194# #所以行业公开的秘密叫做——10个股民9个吹.......
1690810379# #基金超话。2020年都是这种认知水平的人来买基金，说实话，想不亏钱挺难的。。因为投资是认知水平的变现……。。所以我们一直坚持做“强负债端筛选”，坚决不让预期不合理认知不匹配的客户来买我们的投顾组合，免得日后出现很多不必要的麻烦和沟通障碍……
1695969462# #基金超话。下跌不可怕缺谁谁尴尬😅
1696252827# #自行车。我从小就是“牛腿”体质，从小到大班级里就没几个比我大腿粗的，号称“卢湾第一粗腿”。因为腿太粗的关系从小都没怎么穿过牛仔裤（因为腿穿不进去）二哈二哈二哈。。12岁就完成了15分钟从徐家汇骑车到陆家浜路的“壮举”，论骑车从小没服过谁。。直到大学里碰到了一位骑公路车回家的同学，
1699077245# #骑行超话。粉丝问本骑行博主：“晓磊老师的单车是什么牌子的？型号？是公路车还是山地车？”。。答曰：“什么单车！我就是共享单车，哪有什么牌子和型号”允悲允悲允悲允悲。。全套骑行装备加起来不到1000块，请叫我“最抠门骑行博主”。。哦对了，上次微博有骑行活动找我商务合作没下文了，看来
1696143523# #香港万得通讯社报道，9月29日，全美汽车工人联合会（UAW）拒绝了福特汽车公司的提议，并表示在核心问题上仍存在严重分歧。此前，福特方面提出加薪20%，并继续维持旨在对抗通胀的“生活成本补贴”措施。。。UAW真是“中国制造”的福星，有他们在所谓“制造业回流美国”就是一句空话哈哈
1692695207# #基金超话。粉丝群里有某粉丝云：盛总的产品一年多没创新高了，跟元启们有点差距啊。。俺随即贴出了盛总最近的业绩和在Wind里面的排名，冷冷得到：“这叫没超额？”。。如果你对买基金的要求是“持续创新高”的话。。我强烈推荐你买货币基金而不是股票基金，毕竟前者每天净值都新高，你给基金经理写表
1698301394# #万亿国债的利好咱们给打几分？增发1万亿元国债寻找闪光的你微博vlog大赛理想生活季
1693214038# #基金超话。每周三晚上7点直播间礼物“牛冲冲”&amp;“牛轰轰”今天开始发货，未来一周大家应该会陆续收到礼物。。每个月发货一次，大家稍安勿躁哦。奖品管够，一年直播看下来不中奖其实挺难的.......
1696067701# #假期多锻炼，骑车之余还听了个路演。。死党说我是“时间管理大师”，不知道这算搓我还是表扬我二哈二哈二哈
1693585804# #What？夺冠大热门加拿大竟然输给了巴西？又被打脸了汗
1703690140# #那是华安的，以前是我的，现在和我没关系，这破名字无力吐槽啊二哈二哈二哈
1695618865# #基金超话。北向周五大幅流入周一大幅流出这抽风表现，不由得又让我怀疑是郭奉孝附体了..........
1699615592# #省流解读：减少限制，开大门，鼓励你们多来买……
1695030336# #基金超话。粉丝群粉丝云：买基金初衷是为了赚了钱换车，结果亏了一辆车出去了允悲允悲。。答曰：这两年在股市里边你要是跟着我的话不早赚了一辆车了吗？。。“什么车？”粉丝一脸懵逼曰。。。答曰：过山车，大A牌过山车.........嘻嘻嘻嘻嘻嘻
1694092721# #基金超话。像胡编这样经历过大风大浪的人，碰上A股股民仍不免着急上火。。从胡编的炒股历程来看，大概经历了鄙视股民理解股民成为股民这三个阶段。。相当一部分股民其实是很可爱的，我还挺想帮他们的，除了那些普通且自信永远不知反思错了只知道第一时间甩锅的“股市义和团”群体……。。远离傻瓜，否
1703148164# #哎，心累.........
1697002760# #基金超话。【中证偏股基金指数（930950）和中证800的超额关系变迁（20160101至今）】。201601-201907：走势基本一致，最大超额差值-7%。。201908-202112：偏股基金指数大幅超越800，最大超额差值53%。。202201至今；偏股基金指数大幅跑输800，目前超额差值28%。。三个阶段最大涨幅行业：食品饮料
1702870431# #骑行超话。用美利达克罗威100，和死党从陆家嘴办公室到东岸绿道50公里刷刷骑……
1699944235# #发布了头条文章：《再谈A、C份额孰优孰劣》
1693990116# #基金超话。连续调研了两个管理规模不超过1亿的基金经理，听行业讲个股听得真爽。。现在做FOF就是离微观太远了，需要多充充电........
1702021149# #今天去做新财富投顾比赛评委了，冒泡较少有事儿评论区走起……
1697439169# #骑行超话。路边看到一辆阿米尼，凡是认识这个牌子的，都到了油腻的年纪了。。记得当年我舅舅帮我买了辆大名，让我感激涕零，结果放到我家楼下的自行车库我爸气势汹汹得拿着榔头要去砸车。。因为我爸觉得“小舅子给我儿子买山地车是抢了老子的风头”，气急败坏。。我爸这脑回路，绝对属于教科书般的“普信
1693541390# #哎呦，对比之下我们的分组轻松多了啊哈哈
1700907060# #NBA超话。不懂就问，今年NBA赛制改了什么改革吗？把我这看了接近30年NBA的人给整懵逼了。。比如以下这段文字：“作为一场季中赛，勇士赛后2胜1负，在西部C组落后3胜0负的国王，与森林狼战绩相通，这三支球队将有一支能够以小组第一晋级季中八强赛，1胜2负的雷霆和0胜4负的马刺已提前被淘汰出局。”。。
1692066625# #哈哈，你和稳中向好，经济有序复苏，建议加息
1697507168# #反正我是看到目标盈这种注水的规模很不爽二哈
1697599747# #欢迎每周三晚7点来直播间听我唠嗑...
1696497667# #不懂就问，今年欧冠比赛的集锦在哪个平台可以看？发现CCTV和咪咕都没有全部的集锦哪
1700639092# #基金超话。今天一天都在外边拜访基金同业，都不知道发生了啥情况。。这北证50竟然又冲了个10厘米？允悲允悲允悲
1700813112# #发现现在自己真是超喜欢骑行，以前嗓子疼的时候大概要歇一周才能正常运动，这次刚休息了一天就开干了。。骑行使人快乐。。忘却了套在缅A的困扰.........
1697441100# #话说，好像买了二手房跌了几百万的话就不能怪在基金经理头上了对吧？哈哈买一手房价格跌了还可以去开发商那儿闹
1697456162# #基金超话。话说去年10月有一位大佬在基金发行冰点的时候用一个三年持有的壳子逆势募集了80亿这事儿你们还记得吧？。。猜猜看这基金现在净值多少？。。当时连我和身边的人都觉得这发行时点挺好的，应该亏不了钱吧。。然而我们都低估了大A的尿性..........。。事实证明，在“基金发行冰点”抄底，也是
1701759293# #基金超话。跌成这样我感觉光降印花税力度还不够啊。。得买股票送印花税才行了........
1702809835# #基金超话骑行超话。在今天嘉年华现场听了一位大佬对明年的看法，总结两点：。1、对明年不悲观，有个半年度行情。2、明年要做波段。。对于本骑行博主来说翻译过来就是——半年骑车，半年干活偷笑偷笑偷笑
1699517756# #啊哈，规模是业绩最大的敌人。37岁的梅西虽然拿了第8座金球奖，但我是不会去买梅西的
1692379501# #哎呦，半夜爆惊雷，本以为周琦大概率就是在北控、首钢和上海久事三家俱乐部之间落定下家，没想到暗地里杀出来一个广东
1702208777# #我们可以试图用几个关键词来总结消费品牛股属性：。。高频、货值高、刚需、粘性高、有定价权、龙头效应强。
1698488498# #基金超话。基本上无论发生什么情况，11月底到12月初这段时间，我应该都会正常发车一些A股资产，因为固定的政策时点到了……
1701619846# #这个寒假，准备带全家去一趟厦门，顺便去厦门海上自行车道还有空中自行车道蹬蹬车，反正国内有专属自行车道的地方，我都想蹬个遍，hiahiahia
1702821020# #有了哈师傅做饼，连身体素质一般的祖巴茨都化身为卡佩拉了........哈登加油
1695793324# #基金超话。中午下电梯就那么1分钟的功夫，连遭两次暴击。。先是碰到了“你怎么这么辛苦还在上班？蛋总都去新西兰Happy去了！”。。再是咱们商务小姐姐和我说：“10月3日、4日找晓磊老师较对一下组合的事情，虽然那个时候我在国外，但电脑随身带，也是
1694144382# #怪不着北向我们可以怪南向啊喵喵
1698560008# #话说杨瀚森前三场的CBA数据，可比1997-1998年的姚明牛多了........
1698113480# #基金超话。最近开始有人吐槽“回撤大”。。拜托，沪深300指数从最高点回撤了40%+好不好。。相对收益型的策略，回撤大小又不是按绝对值来看，是按照相对值的好不好？。。号称绝对收益的固收➕，这两年回撤早就击穿3%了，只要你在A股这个坑里，就不可能按照一个绝对的回撤比例来进行控制……
1701770066# #不如兄弟咱们先把眼前这块肉吃了，先让它胖个24小时
1697529580# #基金超话。富国“价值天团”圆桌论坛。。丘太坐C位……
1696918853# #基金超话。年初至今绝大部分养老目标基金全都处于水面下方。。粉丝笑曰：“原本指望通过购买养老目标基金实现40岁退休的梦想，后来通过自己有效配。(tao)置(lao）养老目标基金，退休目标已经从40岁延迟至50岁，自动实现了延迟退休的目的”
1692856474# #极少，因为懂王本质上是影视学院毕业的，做投资的人一般都是理工科出身
1701393120# #我家二老“旅游欢乐二人组”又开始活动了，坑儿子的爹首先出动，周二通知我周三到周日他老人家要去绍兴玩，高铁票也买好了，也不管我每天晚上11点才到家，就把送儿子的任务交给我了。。老妈12月初要去仙本那旅游‘（给老妈的眼光点赞，卡帕莱和马达京都是我种草的度假村），由于疫情前带老妈去马代晒太阳
1703781548# #客气啦沙姐嘻嘻
1697789718# #带好装备，出发……。。今天先骑50公里热热身试试
1698994103# #基金超话。相比港股，感觉大A还是有点弱……
