1638690677# #永远不能原谅日本鬼子！
1564670861# #自然資源部核查處理問題地圖这是自然资源部的本质工作，而且涉及中国领土完整的大是大非问题，不是什么样的资本和多红的演员能忽视的！
1661873886# #自虐其实可能会产生快感哈哈吃瓜
1649425867# #你们不爽就对了挖鼻
1658283982# #思想错了，拍得越好看危害越大挖鼻
1671785767# #允悲
1669131223# #养了一棵米兰，想着什么时候能闻到它开花的幽香，看着阳台点点黄色的小花朵鲜花只是，我不知道能不能养得活。微笑
1656199807# #中考加油到酒店门口接儿子去考场，趁还早可以撸一撸猫猫哈哈
1646011163# #吃惊
1568074900# #工会本身不产生利润，那它发给港毒的工资是谁的钱？
1633536101# #举报侮辱英烈的公知罗昌平霉体有良心吗？狗吃了都会中毒挖鼻
1540083788# #博主还不了解翠芬的智商？允悲
1646914980# #到位了
1630653005# #脑子确实是好东西思考
1697030316# #谁也不知道意外和明天哪个会先来！
1672105329# #阳着的同事没什么症状了，回来上班，现在就坐在我旁边摊手取消入境后全员核酸检测和集中隔离
1639897979# #藏南也没有挖鼻
1637026045# #Dogbitedog,onemouthhair笑cry
1662681897# #奈何桥遗梦？哈哈
1627950851# #话不能这样说，没有永远的赢家，而且以后又不是没有奥运会了，太纠结于输赢就失了本心！
1672729762# #寻衅滋事+破坏公私财物，判个5到10年不过分吧！哈哈
1645718157# #可以的，这灰常的民主doge
1544698233# #印着玉皇大帝头像的美元可以有哈哈哈哈哈哈
1681133177# #无耻之尤怒
1646531464# #话筒
1627893425# #中国体操队痛失男子吊环铜牌！二哈
1630651512# #哇噢，吓喜银啦！doge
1656859158# #有生皆苦微笑
1631520012# #戾气太重了汗
1627691232# #从圈内打出圈外哈哈
1666245628# #交通安全渣土车违法变道碾压非机动车怒可怜一条无辜生命🙏
1630333367# #合影里没看见有人嘛，博主你啥眼神doge
1552920139# #手机把脸遮住了，说明手机比脸大
1639585316# #我觉得是美国的政治正确思维影响了电影，电影不再真实反映历史，反映对现实的视角，而是为了取悦某类族群而拍摄！
1537320468# #危险驾驶吧这个挖鼻挖鼻
1639729750# #我突然想唱陈奕迅的那首《十年》思考
1643460804# #哈哈
1672802238# #高速遇到这样的傻叉，是不是很想拉下来毒打一顿？汗
1550274621# #必须吃甜的，放点蜂蜜舔屏舔屏咸党都应该上火刑架嘻嘻嘻嘻
1628578450# #围观话筒
1643717645# #广西从南到北都是一样滴！笑cry
1657809584# #我记得看的是启蒙版嘻嘻
1669554577# #奈何傻❌特别多啊！没挨过社会的毒打是不知道自己傻的挖鼻
1632821467# #不知道去哪里领这种断子绝孙的钱？挖鼻
1671961383# #“人权组织”不关心美国人，只关心美国的敌人吃瓜
1661779970# #夫妻俩卖20元芹菜被罚6万6我有个朋友曾经在食药局，他说现在去检查小卖部小超市什么的，特别是村里的小卖部，他们也不敢轻易下处罚决定书。我问为啥，他说，一罚最低是五万以上，一个小店能经得起这样的处罚？摊手我说，你们不处罚的话，万一小卖部里卖过期食品吃死了人，问责到你头上怎么办？
1642127747# #用魔法打败魔法笑cry
1642349295# #心心心
1644245991# #我敢保证，所有接触过食用过DHMO的人都会死亡，无一例外！doge
1628927603# #现在叫徐雪芬公众号
1655197864# #乌纳实锤了怒
1658807277# #奥密克戎导致死亡人数超过德尔塔如果我是美国总统的话，我也不会恐惧挖鼻挖鼻挖鼻
1555227233# #这些绿蛙太自以为是了，我们要统一的是台湾省，没说要统一你们这帮煞笔摊手摊手摊手
1640659059# #最近的暗潮不断啊，应该是有幕后推手的摊手
1628517405# #酒有文化，酒局是没有文化的摊手
1642665824# #贴切good
1656381234# #飙车？现在爽了吧doge
1564403513# #据说是有人把视频亮度调亮了以后发出来，不知道是不是真的允悲
1657886561# #晚霞可以有多美暮看云
1663404546# #瞬间佩服这些个鸭子了允悲
1634660733# #崩得女拳眼冒金星哈哈
1650627191# #转发传播正能量doge
1634783410# #南海龙王叫敖钦笑而不语
1546866799# #这就是传说中的键盘侠，解放军一旦踏上台湾省，这个卵仔跑得比谁都快挖鼻挖鼻挖鼻
1697042809# #死了的美国人才是好的美国人偷笑这句话是不是很耳熟啊？哈哈
1639820723# #最右是警察？警官证买的吧！挖鼻
1646042778# #港府认为香港六百多万人，现在每天才三万阳性，比例不大，还能撑大半年摊手
1647503763# #我要下去，这不是开往幼儿园的车笑cry
1655119577# #《战争之王》也是用这首歌做背景音乐good
1637052851# #这就是中方在台湾问题上的立场传说中那句：勿谓言之不预也耶
1540048662# #大规模屠杀小动物，爱心组织不来抗议抗议？挖鼻挖鼻挖鼻
1549465342# #我小县城没有这个电影，收假了再去看！耶耶
1628210189# #转发微博
1542788179# #胖子的胆子贼大嘻嘻嘻嘻嘻嘻
1639266552# #致敬缉毒警察！
1630315049# #水土不服就服你了！
1538439197# #假
1646098121# #蜡烛
1663544302# #你们怎么能假定他们的性别呢？doge
1665667217# #好诗，好字！goodgood
1696697031# #北京时间2006年7月26日凌晨（当地时间25日晚），以色列军队的一枚航空炸弹直接击中了中国驻黎巴嫩联合国军事观察员杜照宇所在的联合国观察哨所，造成哨所完全被毁。包括杜照宇在内的4名联合国军事观察员全部死亡。
1628164693# #国乒女团vs日本女团莎莎三比一拿下比赛！好样的！鲜花鲜花鲜花
1550281966# #妹
1562776109# #道歉？道你老木的歉啊！滚就一个字，我只说一次！@宝矿力水特-中国
1633739297# #你以为你的美国主子就没有这样的法律？去多读点书，免得拉低整个微博的智商哈哈
1650961109# #坐等博主被删帖，倒计时开始………哈哈
1642552590# #话筒
1629121919# #话筒围观
1551485762# #好不容易吃了一次鸡🐔耶耶耶
1547007971# #拉低中奖率耶耶耶
1630122643# #应该是政法系统ok
1535075063# #又吹捧土地私有化挖鼻
1630594977# #中或输doge
1658908448# #路人：有个官员被杀了汗。殖人：杀得好鼓掌。路人：级别还挺高的汗。殖人：贪官污吏，不知道贪了多少民脂民膏，死有余辜鼓掌。路人：他是退休后被杀的汗。殖人：退休了也活该，不知道在任的时候做过多少坏事呢鼓掌。路人：凶手当场被抓了哈哈。殖人：这是英雄啊，做人就要做这样的男人good。路
1554346092# #百发百台从台渔利粗台有细大台至正待字闺台砥柱台流恶语台伤管台窥豹火台取栗急台生智金玉其外，败絮其台空台楼阁苦台作乐乐在其台连台三元笼台之鸟美台不足命台注定目台无人怒火台烧女台尧舜如日台天水台捞月外强台干瓮台捉鳖无台生有胸台有数秀外慧台学贯台西二哈
1639989710# #道路交通安全这条友躺在车前面，不知道喝醉酒还是要碰瓷汗视频车往后倒车，右侧的出租车见有机可乘，赶紧占领一号位，结果悲剧了允悲所谓福无双至祸不单行，倒霉的人没有最倒霉只有更倒霉允悲允悲允悲
1656634566# #为人民服务鲜花鲜花鲜花鲜花鲜花鲜花鲜花鲜花
1695999786# #平安吉祥
1542946998# #皿煮的狗肉就是香笑cry笑cry笑cry
1663860150# #傻逼多不是我们不更的理由嘛，傻逼越跳脚说明咱说得对了呀！哈哈
1630111015# #好好的一个音乐人，看了几本地摊文学就自以为是大师了挖鼻偏偏还有众多媒体去捧臭脚，看了真几把恶心！打脸
1649841308# #博主这篇文章不错good
1634800240# #如果再看见乌合麒麟的画，是不是把他丁丁咬掉？笑cry
1647678804# #话筒围观围观
1627987146# #倒查就行，应该没有什么困难！
1663140338# #到某个企业检查工作，一进办公楼就见到了教员的雕塑鲜花
1628652655# #也可以改成沙雕笑cry
1667904749# #话筒
1635640491# #本以为能在有生之年看到台湾回归就行，没想到这可能是PLA今年的绩效考核指标笑cry
1646017097# #原来博主也是一头反思怪doge
1627994123# #坚哥硬气！good
1675355418# #有时候挺绝望的，DY和KS里的沙币太多，所以我出来不安装，微博里的也不少，不顾事实不管逻辑，只是为了发泄自身生活不如意的情绪…跟这帮人讲道理讲不了，它们只是为了发泄而已，仿佛它们宣泄情绪以后就能好似的挖鼻其实还不如信法Q功把肚子剖开呢！累了，不想管也不想理了，爱死死去！
1629019310# #集中优势兵力打歼灭战嘻嘻
1558788807# #右边太贪心了，我只要4千万二哈
1664364568# #苦中作乐吧二哈
1547869832# #坚决清理两面人！
1543979225# #进去体验体验拘留所的生活再说挖鼻挖鼻
1551532658# #港独流放太平洋吧，给个游泳圈游去英格兰嘻嘻嘻嘻
1647354097# #谁会嫌钱多啊摊手
1560768526# #香港问题就像痔疮，不致命但久不久让你难受一阵，除非狠的下心动手术，不然就忍着呗摊手摊手摊手
1632408611# #dogedoge
1648973497# #话筒围观围观
1682328065# #节前文旅项目安全生产检查。
1629424397# #看得我心惊肉跳汗
1547857111# #量刑岐轻，袭警、故意伤害致人死亡、危害公共安全这几样加起来都不够死刑？什么傻逼法院？怒怒怒
1643204358# #话筒话筒话筒
1644227022# #说什么也要抢一个冰墩墩回去憧憬
1628999419# #等到花儿都谢了笑cry
1533834718# #本拉登貌似是从沙特出来的吧挖鼻要打也要先打沙特嘛摊手摊手
1651065211# #二世祖挖鼻
1651743666# #老年人飘过笑cry
1645884525# #多乎哉，不多也嘻嘻我最高纪录在水库一个下午钓了二十多斤大板鲫笑cry
1647875017# #西方人，都会这样的，因为他们从小就被这样教育了，不奇怪的呀！摊手
1653133536# #实在没什么新电影看了，翻出重庆森林又温习一轮，看看二十八年前的林青霞王菲梁朝伟金城武……港真，梁朝伟比金城武耐看得多
1638118133# #这是没全员检测呢，要不然也不止这几例摊手
1668858857# #南宁琅西的小夜市，很热闹酸打call
1546874767# #像鬼片的海报挖鼻挖鼻
1654837443# #记得陈丹青说过在美国每个人都长着一张不受欺负的脸doge他没说每个人都长着一张随时被打一拳的脸？挖鼻
1570231593# #假期早早醒来，刷刷微博看一下HK昨晚十二点以后有木有烽火连天，还好，禁令生效以后曱甴们怂了，缩回洞里擦干净屁股等清算鼓掌然后想着去看看大法官的微博看看他有没有为咱们解释一下烽火戏诸侯跟七十大庆阅兵有什么内在和外在联系笑而不语结果发现我被他拉黑了～～黑了～～了允悲好吧，
1630144571# #斯大林是杀你爹了还是奸你娘了，怎么那么大的仇？挖鼻
1542528710# #同意东尹同志意见，请加大力度打击狗奴嘻嘻嘻嘻
1568475628# #是的，我还没能走进他们
1644199182# #世间也许有两种可以称之为爱情，一种是相濡以沫，一种是相忘于江湖。相濡以沫，不如相忘于江湖。
1639240079# #兄弟，上！笑cry
1641747308# #中国人民警察节祝各位警察同志高高兴兴上班，平平安安回家！鲜花鲜花鲜花
1663559046# #转发支持话筒
1642676030# #老胡说话有时候很不靠谱
1672200632# #这就是一群自以为是无头无脑的垃圾！难怪会在这个学校，物以类聚人以群分！
1628546432# #二十多年没有听这首歌了，现在听起来依然还是觉得很好听！good
1656506625# #晚霞可以有多美总会遇到那束光，你只管风雨兼程
1692764939# #阳朔西街十年前来的时候好像不是这个样子的，物非人也非了摊手
1628072180# #CCAV抹掉毛主席的像章不知道是什么操作怒
1662129514# #看鱼缸里的鱼儿，它也在看着我，是不是脑子里都有这样一个念头：这家伙好吃吗？允悲
1645710198# #内蒙古加油，战友们加油！心
1662080011# #蜡烛
1642347947# #你说呢笑而不语
1628831152# #美国抗疫八个全球第一央视深度解析美国抗疫真相全国山河一片红doge
1661791130# #人家有贾平凹的老爸，你们有咩？没有就闭嘴doge
1639715936# #呵呵，你们看见的是一个孩子在哭诉，但是你看不见的呢？笑而不语
1642731068# #致敬！
1684683460# #很久以前，有一只生活在山谷里的癞蛤蟆，它住在小池塘边上的一个小洞中，池塘有它需要的一切，有阳光，有水，有小虫子，有荷叶，还有几条游鱼，几个青蛙…。它的生活平淡无奇，永恒不变，这个山谷这个池塘就是它的全部，没有意外的话，它的出生、长大、逝去、埋葬，也只能在这个小小的池塘里…。随着
1553776687# #附议
1641023411# #右右神评笑cry
1656601771# #这不是那天晚上的那谁吗？😱
1640234421# #围观话筒话筒话筒
1562497436# #老猫开怼了赞赞赞
1564404178# #允悲
1642867858# #财富密码就这样被公开了？笑cry
1638149992# #单位的年轻人多，经常有喜糖吃哈哈
1627747902# #为中国代表队加油！鲜花
1647836859# #这次俄乌战争彻底打破了公知们鼓吹跪舔西方的各种论调笑cry
1565716829# #我只希望那些黄尸都被打死怒怒怒
1661934149# #食药监局的处罚完全是按照法律法规来执行的，如果这次不处罚，等出现食品安全事故的时候，这个督查组是不是又会以失职渎职的罪名给基层执法工作者来一记狠的？反正现在的社会舆论环境是基层干部都是坏的，来自ZY的“钦差大臣”才是青天大老爷吃瓜
1628607870# #话筒围观
1666454055# #大浪淘沙，不必忧虑！笑而不语
1643558662# #动态清零是好，可是你得有配合防疫政策的群众呀！就香港的情况，我看悬挖鼻
1638597759# #我们的宪法，在党的领导下，让人民当家作主的宪法。
1658906967# #笑cry
1564578133# #HK还是不够民主啊，要是在民主灯塔，这些暴徒早就被打成马蜂窝了摊手
1663812662# #等待后续………
1659281221# #九层皮是梧桐科、苹婆属植物家麻树。煮熟了其实也挺好吃的！崇左美食
1639372120# #我们崇左也是很紧张，这个方法可以借鉴话筒
1661526856# #朋友做的酸辣鸡爪，做完核酸检测正好饿了，宵夜微笑
1640350588# #太好了，不枉我好不容易挂人鼓掌鼓掌鼓掌
1629292752# #宣扬恐怖主义，抵死啦！
1650420273# #doge
1672331840# #网红医生为何数据造假？是道德的沦丧还是人性的扭曲？挖鼻
1638068180# #全民防疫扫楼中………
1535216163# #傻逼，我们恨凶手，我们恨带节奏的傻逼挖鼻挖鼻挖鼻
1644221995# #抢灯啊，轩逸也是作死，看见大货车还敢在它前面变道汗
1561865873# #喝酒不开车真的很难吗？挖鼻挖鼻挖鼻
1547947499# #那些所谓动保一是骗点狗奴猫奴的钱，二是勾结境外组织搞风搞雨鄙视
1539909757# #为啥不是华表？嘻嘻
1627711509# #厉害了赞
1670254183# #累了
1631115698# #与犯人共情的只有犯人思考
1630545211# #16岁少年遭围殴反杀案二审细节曝光这是古惑仔寻仇而已，几个混子，死就死了，关就关了，社会上还能少几个渣子鼓掌
1637883937# #天天吃鸡超话每天只能玩别人认为已经过时了的游戏摊手
1543363915# #多少年了，我就没看过抗日神剧，没其它原因，怕被恶心到摊手摊手
1647617818# #纳粹分子应该被直接绞死怒
1672747568# #早料到了，不奇怪挖鼻
1637401680# #咬起来了吧！笑cry笑cry笑cry
1631847143# #同问同问doge
1629466363# #点子不错，是个中国人就知道毒品对中国的危害，必须主动作为，从根子上消灭毒品赞
1553854169# #因为你提到了贺大总统摊手摊手
1635853116# #难办了，20万头猪要抓好久的doge
1665323318# #这就是还乡团的真实面目了！挖鼻
1627870798# #男人哭的时候不是因为受到伤害，而是因为有些东西触碰到了心底最柔软的地方。
1569571541# #哦，翠芬啊，不奇怪摊手摊手
1547637785# #好丑啊，为了澳门人民的视觉健康，赶出去是最好的鼓掌鼓掌鼓掌
1649907705# #平稳高速发展阶段汗
1566911730# #到了香港，看每个人都像黄尸！因为他喵的都蒙面，谁知道谁是谁挖鼻
1702480799# #很安静了
1636867174# #漫威电影不得不说，尚气的女主确实太丑了挖鼻打脸
1628840340# #光是第一条我就看他不顺眼，胡说八道上瘾了这是鄙视
1550967830# #摊手摊手
1640310411# #野鸡网鄙视
1629208097# #这是培训过的，至于谁培训，自己猜doge
1647616577# #画皮都被扒掉了哈哈哈
1665160366# #太好了，继续拦着公路，最好铁路和机场也要拦！为了环保为了地球哈哈在美国和欧洲拦就行，别来亚洲哈哈
1552284538# #一百万前几年炒股到现在还能不能剩一万块哦，可以按这个算吗？笑cry笑cry
1662691526# #电影狼群中秋档期，必须支持！goodgoodgood战狼PDST患者又要集体发病了！哈哈哈哈哈哈
1568476136# #哥也想啊，但是代沟这玩意不好搞允悲
1547631255# #庄律师你摊上大事了笑cry笑cry笑cry
1630072033# #资本控制的区域
1544514054# #局座怎么跟傻逼混一块了？挖鼻挖鼻挖鼻
1563975385# #ETC，右右ETC，鉴定完毕
1649902035# #东兴市封控很久了汗
1629461435# #围观
1561254322# #香港是中国的，不想做中国人就滚蛋！怒怒
1672722257# #不用给我面子，多关几年哈哈
1630393690# #一点一线皆是祖国大好河山你用的地图是错的，少了藏南和阿克赛钦！网友们已经提醒你了！
1633689862# #一丘之貉啦！挖鼻
1566747632# #颜色革命都是这个套路，从埃及叙利亚利比亚乌克兰一直到香港，都是一个团队在指导摊手
1571366546# #漂亮的小天池赞赞赞
1637031733# #原来公知这玩意儿是南方系弄出来的，怪不得呢！笑cry
1643126336# #如果我们不抵抗这些没有人性的媒体，下一个被污蔑被网暴的可能就是我们自己！资本，也要在共产党领导下！话筒话筒话筒
1568474892# #面对面交谈不是一次两次啦，港真，我只是不希望这些跟我儿子年纪一样的孩子在街头晃荡汗
1570365846# #曱甴的暴力一直在升级，的武器也该换换了吧，你们的盾牌警棍催泪弹能扛着住挖土机？该开枪就开枪吧，往曱甴的脑袋打，记住你们还有家小，坐班房好过盖国旗！摊手摊手摊手
1665107141# #这哥们言下之意是不是以后要把帮过他的人一个一个给宰了？😱
1647683491# #宣传公安的工作没有错，但宣传的方式要严谨，上次的海报活生生把英姿飒爽的女警察刻画成古惑女，现在又是这样子允悲不能总是在同一个地方跌倒啊！
1541783805# #下次就不是验伤而是验尸了挖鼻挖鼻挖鼻
1630838931# #笑cry笑cry笑cry
1551841665# #北美印第安人说：妈卖批怒怒怒
1629969916# #表面一样而已啦
1653141291# #哇哦，大美女哦心
1703077880# #准备冬至了，喝黄酒的季节。。纪念那个美好的日子…。那年今天
1611064222# #一个朋友对我说：一件事你把它当成事了才是个事，不当事就不是个事！话很简单，我深以为然，不管工作也好人也好记忆也好感情也好，你看重了才会放在心上，如果有一天你不在乎了……然后怎样？摊手
1642494316# #天天考我，我也考考你们
1663469695# #多少苦与难、血与泪，抗战14年，血染山河！岁月可流逝，历史永不忘。回望91年，硝烟远去，国殇难忘，勿忘国耻，吾辈自强！勿忘九一八
1629347749# #正好我的耳机出问题了，黑幕来一个嘻嘻
1655298207# #终于！！！
1640606146# #这种煞笔我已经懒得理它了，就是为了恶心人而已，正眼都不看它的挖鼻
1637245224# #是一个人吗？不像一个人嘛！笑而不语
1533785776# #摊手摊手
1694019980# #我以为我们在走向共产主义，殊不知原来米粒奸已经进入共产主义了允悲
1664287580# #老板好样的good有些人喝了点酒就瞎几把乱，寻衅滋事来一个怒
1543588292# #最右太狠了笑cry笑cry
1628897588# #国内媒体人有几个能像小可爱一样的？挖鼻
1668048308# #一般来说我比较喜欢白嫖好莱坞大片哈哈
1640738901# #不用马桶的飘过………哈哈
1542210203# #来凭祥，我们去爬金鸡山耶耶
1648306042# #蜡烛
1651485794# #嫖大的，不奇怪
1564406578# #好吧，炫个富：老家县城主要街道273平米X5.5层，市里（五线以下城市）137平米四房二哈不知道换算成呎的话是多少允悲允悲
1539005035# #这家伙集谣棍公知慕洋犬于一身挖鼻
1663642442# #看右边一串的反应就够了
1630193928# #一语中的
1669359575# #这个栋长也是傻吊，要是我就这么说：因有人没有在规定时间内做核酸检测，工作人员忙于现排查，午餐可能会晚一点发放微笑过个把小时以后再发餐，顺便说是509的人不做核酸就是了，用得着那么直接嘛doge
1639674822# #小男孩和胖子给日本送去了现代文明的星星之火笑cry笑cry笑cry
1533485641# #段郎还是跳出来了挖鼻一直以来我很纳闷：九江的党组织眼睛瞎了吗？看不见一个两面人在微博上窜下跳的？鄙视鄙视
1676368419# #今天要送的花doge
1563329933# #我们镇派出所10年的时候去查村里的赌场，抓了几个，跑了几个，其中一个跑到山上，摔死了第二天才找到。过了两天那个屯的男男女女就抬尸到派出所闹事，砸玻璃门窗，要求政府赔钱。结果闹到半夜后，县里派防爆队伍来清场，一阵催泪弹轰过去，一群人跑得比兔子还快，尸体也扔派出所里，当晚就被拉去火化了
1632797184# #好人好报！鲜花
1651639368# #这女生怎么能预判维修工的性别呢？不允许人家是跨性别吗？这是歧视LGBT吗？不能忍啊不能忍doge
1650126957# #放弃一个爱好其实没有你想象中的那么难。往往就一个瞬间的事，在当下的那一瞬间，你就突然间觉得：算了。。就好比某个你玩了很久的游戏。你每天登录，打卡领金币，跟队友组队。等到某一天，你突然间觉得，算了，没意思，不玩了。可能就真的不会再去玩了。心情日记
1630504837# #作揖
1568852364# #小姑凉废了，还是送西北沙漠去种树吧摊手
1566087239# #这个大陆黄尸不准备响应号召罢课咩笑而不语
1535858423# #长得一模一样，确定不是N胞胎？汗汗汗
1676798331# #交通安全刹车灯都没亮，这司机是睡着了吗？汗
1639879743# #武汉出的幺蛾子不少摊手
1670918544# #那年外媒造的谣有些媒体的春秋笔法真的是炉火纯青，这个家伙被判死刑是真的，但是因为杀人而不是什么因为支持伊朗女性摊手
1662541381# #道路交通安全一个女司机拿到驾驶证三年没摸过车，应该早就把教练教的技术忘精光了吧！还好被撞的老人孩子看起来没受到严重伤害🙏
1697897094# #某些明猩只看见流浪狗被处理，看不见被流浪狗咬伤咬死的同胞，这是狗眼看人低呢还是只想蹭蹭热度？真想帮助流浪狗的话何不呼吁它们的脑残粉捐款捐物把流浪狗都收养了呢？一群鲨臂明猩鄙视
1649669506# #非常赞同第一句话good
1552493205# #第八季，我其实最喜欢的还是小恶魔，期待中可怜可怜
1659019129# #这是干吗？doge
1663848159# #哈哈
1650163658# #丁香园这次冲得那么急，肯定是尾巴被踩狠了哈哈
1547888615# #崔脊梁本质是个欺世盗名之徒挖鼻
1546738987# #评论区翻车宜昌的一个动保组织年会，在微博上晒图，本来应该是想大肆宣传一番，结果评论区车祸现场惨不忍睹啊！笑cry笑cry笑cry笑cry
1630362611# #围观话筒话筒
1662738317# #很漂亮的花，真的很漂亮！微笑
1667743768# #可怜的孩子悲伤
1563974599# #你哪只眼睛看见是P的图？没水平就少说话，要不我我再拍一张给你看挖鼻
1669997630# #原以为已经沉到最底层梦境的东西，却隐隐约约浮现在眼前微笑
1630071313# #赵薇接连退出多家公司。秋后的。蚂蚱。蹦达。不了。几天了doge
1632118197# #谣棍一般都是孤儿，不然解释不了为啥它们穷极无聊整天造谣挖鼻
1535105611# #偷笑→→
1569819957# #不但有坑，还积水允悲
1667737901# #南国深秋太阳
1675828525# #终于知道为啥那么多人上班摸鱼摆烂混吃等死了，原来感觉真的很爽笑cry
1630130743# #不是不让说，如果是个人账号，爱怎么说怎么说，谁会鸟你。官方账号是要有立场的，什么能说什么不能说，怎么说都要有政治意识！懂？
1669021489# #这个季节还能长芒果666
1672835483# #这不是酒，这是有温度的江河，这是曾经趟过的浑水，这是黯淡无光日子里的良药微笑
1629006178# #围观话筒话筒
1538743489# #这样啊，我刚刚在街上买了几个板栗，麻烦博主给我寄个十斤八斤的来对比对比嘻嘻
1561128030# #不带那么糟蹋吐槽鬼的允悲
1642692215# #哈哈哈哈哈哈哈哈笑cry
1666279078# #人生中年恰如秋，。回品岁月似水流，。辗转人生浮云过，。只欢愉悦不言愁。
1570060536# #2014年的图拿到2019年来贴，故意不说时间地点，引爆一群曱甴的高潮挖鼻挖鼻话说回来，这个心理教育520的村里路上有一坨屎，表示它家里全是屎，它们家整天在吃屎？这个逻辑对不对？哈哈哈哈哈哈
1628168048# #笋，针的笋坏笑
1630748434# #痔疮与智商仅隔一层允悲
1662044868# #永世不忘！
1635825220# #评论区看笑了笑cry
1562777465# #港真，这个上访的的确确是无理取闹，却对一个教师以及其家庭造成了严重伤害摊手回过头来看，上访真的就是有理了吗？我见过的上访户不要太多，谋求不法利益被打击的占大多数挖鼻挖鼻挖鼻
1700234148# #有什么比大半夜的来一碗螺蛳粉更温暖的呢？偷笑
1561975132# #请问您是大陆基层干部还是台湾基层干部？挖鼻
1564271845# #守护香港视频发不了就发动图，你们看看这个黄💩爬行的动作像不像狗？笑cry笑cry笑cry
1637325949# #对这种人就是要赶尽杀绝摊手
1650938754# #螃蟹看起来很好吃的样子憧憬
1661940138# #毒教材必须引发全社会反思图挂了，还不能说了？挖鼻
1647692697# #你怎么就说得那么准确呢笑cry笑cry笑cry
1670727109# #要说阳了一次以后就免疫了好好，这些症状熬一熬也能过去，问题是这玩意会反复感染，搞不好一年来个几次就芭比Q了允悲
1642345277# #Timeisup?
1669115866# #阿根廷vs沙特阿拉伯沙特反超666可能今晚很多人在楼顶看风景了笑cry
1633685689# #，听说自首可以从轻哦！坏笑
1649778769# #为什么喜欢日落。古人云：天下无不散之宴席。。古龙说：世上没有任何一个人能永远陪着另一个人。人与人之间无论相聚多久，最后的结局都是别离。不是死别，就是生离。。异曲同工微笑
1556791286# #说不定是博主家开业大酬宾呢？挖鼻
1566009135# #笑而不语
1645576540# #doge
1635350665# #勇气可嘉！
1628830963# #哦豁，从另外的角度看问题果然能看出一些端倪围观话筒
1645931559# #滴滴暂停俄罗斯业务捡到一个视频doge
1629183967# #彭波屁股坐歪了，早就应该拿下，前些年公知横行，网络上污浊一片，就是这类高层两面人在作怪！
1637933152# #这个女猩真的是又当婊仔又立牌坊鄙视
1701095056# #傻叉才去一个三面下不了床的地方
1627992475# #台上一分钟，台下十年功。不容易啊！鲜花鲜花鲜花
1672846475# #网红医生真的是劳模啊！doge
1570032862# #小来真的不是一个人嘻嘻
1647528139# #一般人在这样的火力下没法存活黑线
1654877479# #唐山打人事件是对法治社会赤裸裸的挑衅唐山警方通报烧烤店打人事件抓到这几个人渣了！网友们的眼睛都盯着呢，不从严从速从重可对不起这两天的热搜呢！
1561257013# #在我们中国的国土上搞分裂搞暴乱，我做为一个中国人怎么就不能让它们滚蛋？其次，你说大多数香港人比我还爱国，爱的是中国🇨🇳还是原宗主国？挖鼻挖鼻挖鼻
1692626994# #故景故人故事…
1544455374# #问题是崔脊梁那么恨转基因食物，他吃过吗？他代表哪个“我们”吃转基因的？挖鼻挖鼻挖鼻
1662556541# #说得太对了赞
1546174736# #万象城五楼可以体验一下嘻嘻嘻嘻嘻嘻
1639416127# #卧槽，这样都有？吃惊
1630336527# #教育部要求不得设置重点班。1、小学一年级全部口头测试。。2、二年级才开始用试卷考试。。3、三四五年级不考英语,但中考英语是备考科目。。4、小学只留期末考试,初中取消月考和期中考试。。5、初三以前没有统考,但是中考是全市统考。这一系列的措施其实就是一个意思:初三之前你压根不知道你孩子考了多少
1662546095# #卫生巾？吃瓜
1562974981# #昨晚有个易地搬迁的贫困户说今天开始拆旧房，叫我去他家吃饭黑线黑线虽然婉拒了他，不过说明咱的工作也不是一无是处嘛哈哈哈哈
1653150826# #晚安爱着你的人和爱着我的人，还有全世界鲜花
1560616272# #所谓建制派体现了资产阶级的软弱本质摊手摊手摊手
1672242901# #你跟我说过的话我都当真了微笑
1632141615# #中秋前月
1660908742# #谁念西风独自凉，萧萧黄叶闭疏窗，沉思往事立残阳。。被酒莫惊春睡重，赌书消得泼茶香，当时只道是寻常。
1567606000# #哈哈哈哈
1540282881# #有三千万人饿死？挖鼻挖鼻
1639902542# #不是好东西
1671725372# #愚人千虑必有一得挖鼻
1542790267# #内容引起极度舒适哈哈哈哈
1645618573# #而且很多女拳的小号都是境外注册的，不用实名挖鼻
1564404640# #做人不能太美国！美国人和美国人的走狗🐶想在香港搞颜色革命然后影响中国🇨🇳的发展摊手好吧，虽然你们有大波妹助阵，然并卵，最后还是像狗一样爬开哈哈哈哈哈哈
1538373811# #倒放挖鼻挖鼻
1667874879# #天空的守护神鲜花
1560670600# #支持啥？支持黄尸暴动？鄙视
1641112600# #党徽亮出的那一刻……心
1570101080# #不要吝啬子弹，坐班房好过盖国旗！给我打！！！怒怒怒
1638633690# #请记住，我们的子弟兵叫“战士”！
1554636108# #本来想骂一句，看到“验尸”两个字就算了允悲允悲/摊手冤冤相报何时了。。。
1640849095# #欺负死人不会说话挖鼻
1664374515# #这逻辑没毛病哈哈
1669610013# #严厉打击层层转包的违法行为怒
1566700821# #作协主席哦，原来是体制内的五毛啊鄙视鄙视鄙视
1670630105# #克罗地亚门将知道为什么克罗地亚能淘汰巴西吗？笑cry笑cry笑cry
1628868246# #话筒
1636966663# #右边这个针笋笑cry
