1701504511# #初一女孩欲轻生，警察撕心裂肺大吼规劝，听得人想哭…向这位警察致敬赞
1688619760# #这保安很负责，天下免费的午餐都是陷阱，不是骗就是偷…
1703577596# #寒冬里，武警战士进行抗寒训练。这是中国军人的血性和意志力！不赞网红，不赞星，就赞人民子弟兵赞，你们辛苦了！
1692937550# #日本没动一枪一炮，就开启“核战模式”，让自己乃至全人类都要受到牵连！日本口口声声说核污水是安全的，但如果是安全的，就不必大费周折排到海里！对于日本，只有打服，没有说服！你看这些年来，不管是钓鱼岛还是其他事，哪件事日本给过面子了？。。疫情刚结束，本以为一切都难好起来，可日本又公然“排
1698316865# #看哭了！广州，一位老人连着多日守在ICU门口，通宵达旦！医生好奇询问老人为什么不找个宾馆住，结果老人一开口，医生泪目了！老人说：“里面躺的是我儿子，我老伴生病全靠儿子赚钱支撑，现在家里的天塌了！”随后，医生的一条朋友圈温暖人心！。。这天，李医生下夜班准备休息，却看到一位老人坐在ICU门
1688543062# #只有越来越多的人主动对谣言说不，才能让更多的人免于谣言的伤害话筒
1699666212# #最实用的健康知识---体检报告解读！转
1696895414# #真不忍心告诉你的13个社会真相：。。1、亲戚再有钱，也不会给你一分，朋友再有权，也不会给你用一下。。。2、微信里的好友，90%以上都是不联系的。。。3、永远不要高估你和任何人的关系。。。4、靠树树会倒，靠人人会跑，凡事只能靠自己。。。5、兄弟再好不如妻，朋友再好一顿席。。。6、人穷莫走亲，越走越心寒。。
1688271606# #女子买菜将平菇藏进裤子，被店主早早识破：你怀了个平菇？网友：阿姨口才太好了，骂人一个脏字没有，还句句有力…
1694393285# #9月10日湖北，襄阳文旅回应游客看表演遭区别对待：正在核实处理…
1697694424# #同样是大国，对待同一位客人，做法天壤之别！塞尔维亚总统武契奇在中国坐前排宽大舒适的沙发椅，两手轻松自然地放在膝盖处，在美国坐低靠背小板凳两手搓握拥挤局促。从待客之道上格局高下立分，怪不得各国领导人争相来中国！
1687069299# #暴雨突袭东莞地区，一外卖小哥被水冲走，同行小哥捞人捞车。网友：他最知道他需要那辆车…
1687912846# #男子因故截肢，和朋友拍摄假装有腿的视频，网友：最后的眼神看着很揪心。
1702183752# #男人亲妈妈额头的举动，就像小时候妈妈亲儿子是一样的，这就是所谓的您养他小，他养您老👍🏻
1700266898# #斜坡真的是太可怕了，还好遇到了善良有爱的护士…这护士必须得给她记个三等功，一条生命差点流失，幸亏有护士救人赞
1688696587# #黑人男子被地上的废品拌到脚，当场揪住环卫工的衣领质问，还试图举手打人…网友：实在是太嚣张了....
1701516683# #“又有人眼红了”！四川再现外卖小哥跳10米大桥救人，获平台5万奖励，还被火速提拔为储备站长！而且社区还要为他申报见义勇为的奖项和奖金！这一系列的奖励，让有些人酸了，说：“不就是救个人吗？要是有这奖励，我也跳啊！”。。事情发生在11月29日，有人在老泉桥上不慎落水，而在场的人没有一个敢下去
1702629192# #“少年强则国强，刻在骨子里的善良”生活中那些暖心瞬间…
1699151932# #这姑娘倒立喝水这功夫不得了赞
1695129853# #女子深夜叫一口价网约车被司机追不管遇到什么事情，可以沟通解决啊，这大半夜的在小巷子里追一个女孩子这么跑，女孩子肯定吓坏了…
1692779448# #被拐42年，终于回家！最后的这段路，哥哥坚持要背着她进家门，看到泪目…愿天下无拐！
1694398182# #太离谱了！鹤岗，女子因为三年没回老家，还贷10年的房子竟然被法院调解给陌生人住！女子质问法官怎么判的糊涂案？可法官还怪女子没有去公证证明房子是她的！女子：我在房产局都备案了，我买房子的时候怎么知道以后会有人占我房子，要打官司呢？。。事情要从2011年说起，当时李女士40岁，和前夫因为感情
1697619134# #有责任人，自己有车有房，刚进医院就200万，这。。。我觉得应该直接狗主人付钱，不然以后养狗的都没有一个规矩，出了事不付钱就不管了，还有物业付钱！被恶犬咬伤女童家属发起200万筹款
1692857147# #人类历史上头一回，日本公然将海洋当垃圾桶怒海洋生态今日起不复存在…伤心强烈要求联合国等相关国际组织采取一致行动进行制裁！禁止进口一切日本食品。出于日本本次不负责任行为，一意孤行，坚持将核废水排放进海，取消日本发展和利用任何核能源资格。拳头海关总署全面暂停进口日本水产品
1699278468# #小米澎湃OS获央视点赞：中国硬核创新的崭新篇章。。。小米公司自主研发的操作系统——小米澎湃OS正式发布了，得到了央视的高度评价和点赞。作为中国硬核科技创新的代表性企业之一，小米在操作系统领域的突破性成果，也是标志着中国科技行业在自主研发道路上的又一重要里程碑。。。前有华为Mate60争气机“强
1695090935# #李在明，在反对核污水方面，值得世人尊敬赞网友：他躺着，却是韩国唯一站着的人！李在明老先生，希望你进食，这样可以和他们抗争到底拳头韩国总统批准拘捕李在明
1692499059# #女子嫌一岁多的孩子在高铁上哭闹，对孩子家长大吼：你是他爹，让他闭嘴！网友：我宁愿听一个小孩哭也不想听一个泼妇骂街…一岁多的孩子高铁哭闹遭女子要求闭嘴
1690799990# #无知的家长！他们让小孩开高速还觉得挺得意...衰
1690331455# #这场景不就是刀郎的那首《颠倒歌》吗？刀郎
1703547830# #请您停留1秒钟，向缉毒英雄致敬！🙏🙏🙏
1692155059# #陕西宝鸡：妈妈患渐冻症12年，00后儿子每天无微不至照顾，“所有的努力都不会白费”&nbsp;…网友：这样的孩子是父母的英雄，是来人间报恩的天使！赞
1693546093# #应该建一个丢失文物博物馆，弄一个赝品，下面注明现存哪里，原因，被丢失时间。我觉得对后代教育很有意义话筒没有中国人笑着走出大英博物馆
1703725543# #12月25日，河南焦作，一岁五个月宝宝吃开心果呛进肺里，64岁医生和死神“赛跑”紧急抢救，不断吹气帮助孩子稳定血氧手术结束累到晕倒…中国好医生赞
1691638773# #四千六百年历史积淀，两口神奇的井水，一块天生的豆腐。。。一方水土，造就一方豆腐。龙山水豆腐可追溯至东汉，千百年来，龙山先民进行着豆腐的制作，龙山南部属丘陵地区，出产优质的黄豆、黑豆。龙山人做豆腐，不用膏不用卤，就用当地的天然井水点浆独特的水域，加上龙山人的智慧，形成了独具特色的龙山
1696917881# #“我可是老老实实干到退休的”…这恐怕是今年最让人觉得讽刺的一句话！已经“润”到澳大利亚的“北极鲶鱼”是否还嘴硬，家里的9位数估计要没了，还使得自己爷爷余生不得安宁，竟然还有退休金，我的老天爷啊，不进去待几天吗？既然是没退休之前就违法了，那退休费都要追缴回来！
1704016699# #惊心动魄！北京什刹海冰面有小孩落水，众人接力成功救援实况，为热心人点赞赞北京什刹海有小孩落水众人接力救援
1687134707# #最合适的人，不是你拼命追赶的人，而是在你人生最低谷的时候，还愿意拉着你的手，陪你一起走的人。
1701351397# #当你坚持不下去时，不妨来看看他们！盘点那些令人泪目的瞬间…
1694501713# #女孩在兴趣班教室突然晕倒，周围同学听到动静无动于衷，最后自己艰难爬起来。一个上前帮忙扶的人都没有…伤心，网友：现在的孩子都这么冷漠吗？防猝死套餐
1701136162# #真英雄！孩子掉进冰窟窿，热心大哥果断跳下去救起孩子，之后转身离开。为大哥的勇敢和善良点赞赞
1697702462# #学生模仿领导“视察”拍视频，校方回应：会对同学进行正确引导…可爱的学生允悲校方回应学生模仿领导视察拍视频
1702088287# #43岁男子中年失业，有一套93平的房子，一辆雅阁代步车，还有210万现金。但他很彷徨，生活没有一点安全感，因为上有老下有小，不能坐吃山空。于是他给自己想了5个赚钱的方案，向网友求助该选择哪个比较好？。。方案一：投资3家连锁便利店，开在居住率高的小区楼下，收入好的话，预计一年能实现100
1702002463# #雪景虽美，但他们在风雪中的身姿更美，哪有岁月静好，只因有人为我们负累前行…是他们用血肉之躯为我们筑起一道钢铁长城，向中国军人致敬赞
1697718643# #加沙医院遭到以色列轰炸后，一名受伤的巴勒斯坦小男孩正在希法医院等待接受治疗。他用力拉扯着胸前脏兮兮、湿漉漉的上衣，让人能够透过屏幕感受到他的不适。小男孩的下巴流着鲜血，他明显受伤了，但面对着镜头，他仍然微笑着。这个巴勒斯坦小男孩的坚强和勇敢深深打动了全世界，让人相信这个民族有着无
1702602427# #时光匆匆，大家还记得他吗？。。愿我们永远记得这位挺身而出的凡人，。。记得这位普通医者的非凡之举！
1695872808# #被害者是未成年人，为何得不到一丝一毫未成年人保护法的保护？对于极端案例，人神共愤的案例，呼吁能不能加强处理？该判就得判！对于恶魔的纵容,就是对于善良的伤害！没有代价的处罚，就是变相的纵容！大同欺凌事件校方曾建议三年级以上住校
1700724137# #货车侧翻，群众伸援手心小车司机真是好人赞
1697785183# #自立自强，合作共赢，小米当得起央媒的表扬！。。以前由于技术落后，主要的高端产业基本都集中在美欧日韩等发达国家。而中国虽然有着“世界工厂”的称号，却干着最苦最累的活，赚着最少的钱。现在随着国内科技的进步，我们意识到，只有从“中国制造”向“中国智造”迈进，我们才能真正实现伟大复兴。。。虽
1697537461# #法国时尚之王OlivierSaillard，现身中国百年古村广州塱头。这是今天广州的大新闻，很多人对广州的印象都是繁华的珠江新城、绚丽的广州塔，但其实广州也有这么一座600多年的古村落。这里保存着完整的明清建筑风格的古建筑群，规模很大，整个珠三角都罕见。。。但就是这么一个古村，也同样面临着很多农村
1694836760# #令人心酸！火车上，老人用热水泡干挂面，女子看到后提醒：“爷爷，你这样泡不熟的！”可没想到老人说：“我知道泡不熟，可是我一天没吃饭了，太饿了！”女子听后愣了半天，随后她的做法让老人哽咽了！。。原来，老人从北京坐火车去南宁，而女子和老人是面对面坐。老人因为没吃饭，所以肚子发出了咕咕叫
1687911643# #一个人老了的时候，最怕的是瘫在床上需要人照顾。到那时候，过的就已经不是日子，而是生不如死。。当人瘫了的时候，所有的一切都需要别人的帮助才能活下来。那时候的日子不但一点生活质量也没有，而且拉屎拉尿都在床上，都需要别人的帮助才能完成，所有一切的无能和无助，都暴露在别人面前，是好
1689998340# #"那纵身一跃像是白衣天使"good
1687571878# #消防员衣服上的秘密让人泪目，希望他们永远用不到🙏…看到牵引绳的用途，瞬间泪奔泪
1697638604# #网友：解决狗咬人其实非常简单，就是狗出门必须强制栓绳且戴上嘴套，不戴就巨额罚款，并没收狗，一下子全老实了。靠呼吁，没有用。。。咬伤女童黑狗的主人被刑拘
1700488204# #“这个父亲火了！”山东青岛，儿子是学渣，父亲参加家长会很不好意思，但老师还请他上台发言，结果父亲的一番话火得一塌糊涂！而父亲身份曝光令人更加震惊！他曾经在北大学习！父亲：“我的儿子是学渣，但是我依然相信他完全有可能成为国之栋梁！”。。原来，孩子成绩不好，经常不及格，有时候甚至只考10
1700374393# #“帮帮忙小孩不行了！”听到驾驶员的求救，交警立刻转身为他们开道！网友：不知道为什么看到交警带路这一刻，眼泪实在忍不住泪
1698128150# #一家人和一颗蛋“星火燎原五千年，五谷丰登天下香”，说的是山西省运城市稷山县。对于一个吃货而言，提到稷山，首先想到的就是“稷山四宝”：麻花、饼子、鸡蛋、枣。而作为“四宝”之一的稷山鸡蛋，作为高质量鸡蛋代表实现了“触网破圈”受到消费者的追捧。
1699930808# #“这对夫妻火遍全网！”河南郑州一男子生意失败，负债400万。妻子每天晚上带着3个孩子摆摊，而男子则穿梭在大街小巷送外卖。夫妻俩迎难而上，妻子说：人只要活着，就要心存希望，而丈夫晒出的每日送单数量，也让人很惊讶。网友：这样的家庭，迟早东山再起。。。（案例来源：中国蓝新闻）。。初冬的气温，并
1690004947# #奶奶当着孩子面数落妈妈的不是，9岁儿子霸气维护妈妈，网友：这个儿子没白生…
1698368450# #因在空袭中失去了妈妈，一名巴勒斯坦小女孩泣不成声，“妈妈早上还给我梳了头发”…以色列巴勒斯坦冲突
1694518856# #湖南长沙，一大一新生到学校报名，除了交了今年的学费外，又交了1200元住宿费。然而，当他想用寝室的空调时，却傻眼了，学校表示：“想要使用空调，需要办理租赁手续，并且交400元空调费和30元空调遥控器押金。”。&nbsp;。（来源：长江云新闻）。&nbsp;。男生小李是某大学大一年级的新生，他拿到该大学的录取通知书
1689840171# #“时代的华彩——山东艺术学院建校65周年美术作品展”将在中国美术馆展出，涵盖了国画、油画、版画、雕塑、壁画、书法、陶艺等艺术形式，2023年7月23日——8月2日，一起去观展话筒
1697680852# #看到加沙的这个小女孩，不禁落泪了弱小、可怜、可悲，人与人之间，为何就不能好好相处呢？泪加沙一家18口在空袭中遇难
1688515545# #女子遇83岁老爷爷推销蔬菜，整个摊子的菜仅需10块钱…网友：爷爷推回钱的时候我破防了泪
1695185416# #“超级英雄”就在我们身边！小孩4楼坠落被邻居们合力用被单接住…掉下来砸到被子的一瞬间，弹力好大，幸亏大家都用力抓住了被子。愿好人一生平安🙏4岁孩子坠楼邻居们秒变超级英雄
1690948712# #从天而降的英雄，不过也是血肉之躯，以生命守护生命，致敬守护心
1688614429# #现实版的“消失的她”，这个不是家暴，是故意伤害！。。建议取消离婚冷静期，并且家暴记录计入婚姻档案，以后谁和他结婚之前都可以查到话筒2年被家暴16次女子希望判丈夫死刑
1694410254# #他一边挣我们的钱，一边骂我们是穷鬼！脱口而出的才是内心的想法，事后道歉是迫于无奈…请问，有没有那种姐妹，一单李佳琦的货没买过？费解李佳琦掉粉
1701643555# #禁毒女英烈杜萍，主动请求赴云南执行整治外流贩毒任务。在押解涉毒嫌疑人返回会理途中，不幸因公牺牲，时年仅38岁。伤心。致敬缉毒英雄！让我们一起记住她的名字:杜萍
1693457032# #8月29日，福建。女生违规停放共享电动车遭阻拦便动手打保安，路人看不下去劝解女孩又被打…最后小女孩引起众怒…被教训了！
1687252117# #黑商家，专坑不懂的人…这位女士，有智有谋，据理力争，义正辞严。点赞good。。
1688110836# #6月29日，江苏苏州吴中区一高楼上，一名青年男子在边缘徘徊，想要跳楼轻生。有画面显示，楼下有人言语刺激他，朝他大喊“不跳不是人”。那个说“不跳不是人”的人有责任吗？跳楼遭围观起哄男子已身亡
1690174637# #女童左眼失明已致残，怎么才是轻伤？肇事的两名男孩的家长一直都没有现身，安安至今不知道自己左眼已经失明…两少年未成年不予立案，那他们的监护人呢？但我始终认为，能实施犯罪就要承担责任…8岁女童被两男孩用弹弓射伤致左眼失明
1687144513# #他把象牙塔里那些大学生，美丽的泡沫梦想炸碎了，但他们还不愿意从梦里醒来，所以张雪峰就成了骗子…
1690876440# #江西一村干部酒后撞死9旬老，8名干部涉嫌作伪证…
1688182919# #妻子不舒服陪宝宝早早睡下，丈夫加班到十一点多才回家，看到满屋的狼藉立马开始收拾，网友：这是个有担当有责任心的男人good
1687741663# #孕妇请求插队，男子礼貌地让出位置，最后一幕感动了大家！goodgood这才是社会该有的样子话筒
1698977123# #一名大学生走到举报老师这一步，该需要多大的勇气？…他不是勇敢才站出来的，他是不勇敢就不能生活苦涩话筒助学金事件当事人称已搬离宿舍巡视组回应天津助学金事件
1689685986# #老人坐在树下看着硕果累累的场景，门前果树今犹在，不见当年树下童。
1701583942# #85岁“抠门”夫妇，捐款千万！毕生节俭，只为一次奢侈！为什么我眼中含有热泪，因为我对这片土地爱得深沉！
1694768829# #一女子买二等座车票，要享受商务座待遇。被乘务员拒绝后就在车上大吼大叫，声称：自己是癌症病人，身体不好，每次乘车工作人员都会满足她的要求！。拍摄者称，随后列车长过来调解，最终满足了她的要求……
1700543511# #盘点那些让人心酸的瞬间，每一个为生活而努力的普通人，都值得我们去尊敬🙏
1701920644# #如果回老家盖房，你会选择哪一个？
1697042102# #阿富汗243000人被杀，美国人没有流泪。伊拉克112万人被杀，美国人没有流泪。叙利亚613407人被杀，美国人没有流泪。乌克兰150万死伤者，美国人没有流泪。。白宫国家安全委员会发言人柯比说到以色列被哈马斯打死900人，在电视上痛哭流涕。（源自：张学昆）巴勒斯坦
1691484113# #人口出生率出现塌方式下跌，首先是结婚率下降，现在很多年轻人不愿意结婚，尤其是上了大学的知识女性，这些女性都有一份不错的工作，自己挣钱完全可以养活自己，这些女性害怕结婚后当家庭服女，因此都迟迟不结婚，出现大量剩女。。。而男人因为高房价高彩礼的出现，经济压力十分大，结不起婚，同时由于女
1691377036# #人性究竟有多“恶”？女人做挑夫17年养活3个孩子，却被全村人排挤，连丈夫的哥哥都对她厌恶至极，公婆对她更是恨之入骨，然而他们口中的“恶女人”却被央视点名表扬。。&nbsp;。在这个女人身上究竟发生了什么事情，会让人对她有这样两极分化的评价，让我们逆行时间洪流，来到20多年前。。&nbsp;。汪美红是一个苦命的
1694617503# #交通局拒绝公开前局长孙女炫富调查结果这得是多大一条鲶鱼？“北极鲶鱼”事件最新官方回应来了，“决定不予公开”！。。如不服本答复，可在60日内申请行政复议，或在6个月内提起行政诉讼！怎么有一种，“不服你告我啊”的感觉呢？。。当时网上闹得热火朝天，轰轰烈烈，5个月过去了，就这？现在都这么明目
1700054804# #老人最后的离别…鸡鸣升天，第一个老人是善终，无疾病无忧而终苦涩
1689398797# #外卖小哥街边救人，外卖小哥:一名医科大学毕业生，9月份就要去参军。网友：应届毕业生，9月份要去参军，现在是兼职外卖，给优秀的小伙点赞赞
1699344155# #四川，寺庙主持“六根不净”，和女主播发生了关系！女主播的丈夫恨不得将主持“千刀万剐”，但知道主持很有钱后，他不仅选择了大度原谅，还让妻子继续约主持开房，并拍下不雅视频敲诈320万！主持：青灯归佛门，奈何主播太迷人！。。蔡女士长相妩媚妖娆，一个眼神就能让男人蠢蠢欲动，所以她利用自己的
1701480593# #盘点那些暖心的瞬间，来自骨子里的善良，每一个小小的举动，总能带给我们大大的温暖…
1688898523# #小孩揪陌生乘客头发还弹脑壳，之前提醒过依然无效。乘客发火后家长动手了…有其父必有其子，没家教没教养，毁几代人，可悲可悲…
1694917343# #和那些主播相比较，这一幕着实令人心酸…
1702277561# #这个办法好赞应该大力推广话筒
1702457717# #女子地铁扶梯口晕倒，众人奋力抢救，满满正能量…
1703579709# #看了让人心疼的照片，1924年，杨开慧和儿子毛岸英、毛岸青的合影。缅怀英雄母子鲜花
1702824297# #所有中国人都应该记住她，是她让全世界知道了南京大屠杀，她用一生揭开侵略者的丑恶，却逃不过命运的安排。在36岁的时候，她结束了自己年轻的生命。她叫张纯如。向她致敬！
1694995041# #用身体挡住了歹徒煤气罐，为阻止嫌疑人炸楼，他用自己的身体挡住烈焰，救下了200余人，自己却被烧伤，先后经历了14次大型手术，40余次植皮。向英雄张劼致敬🙏
1697182621# #父亲带绝症儿子骑行全国，途中因违章被交警拦下，交警的举动让父亲泪目😭
1688278026# #成都。4岁宝宝在地铁上站了20分钟无人让座，宝妈拍下座位上这些人，吐槽他们是巨婴。这事你如何看？
1703571647# #司机替没带钱的小女孩投币，小女孩下车前送司机一朵小红花，世界美好从小的善举开始心
1698993721# #不管在什么单位上班，。工作而已，切记不要太上头。。同事只是工作的伙件，。能处就处，不能处就拉倒，。面子上过得去即可，。没必要取悦任何人。。领导也是打工的，。我们没欠他什么，。没必要唯唯诺诺，。尊重即可，没必要太恭维！。领导安排的事再多，。也不要忘了自己还有生活。。做到时间管理，。合理安排工作
1703470356# #女子在医院碰到大爷穿的鞋很破，于是从家里拿了一双棉鞋给大爷换上，女子：本来想买新的，但是很晚了买不到，如果再遇到大爷，多给他找些衣服鞋子…网友：一双有温度鞋。
1689567089# #免费的随便拿？江西景德镇，女子拿走路边给环卫工人的免费公益水，几小时候后提袋再来顺被吸男子制止。网友：贪得无厌，太可耻了！
1698415851# #红星路80号，总理儿时生活的地方。陆陆续续的有人来送花哀悼蜡烛
1692867202# #三十年的时间，上百万吨核污水，足以对相关海域的海洋生态和海洋生物造成累积的、不可逆转的影响！伤心都排成鸳鸯锅了还嘴硬是安全的
1702783133# #剖腹产宝宝出生全过程…
1691472159# #广州天河，凌晨3时许，一个穿着暴露，身材姣好的女生，喝醉后躺在了酒吧门口！随后，一名男子压在了女生身上“狂啃”猥亵，让旁边的保安大叔都看呆了！但事情竟出现了反转！被猥亵女生称：男的是我男友，不会追究他的责任！。。这场酒吧门口猥亵的事件闹得沸沸扬扬！原来，一名网友刚好路过这家酒吧门
1690984494# #残疾小伙用双手爬行，养羊供妹妹读书，感动无数人…
1698233670# #两个小女孩不慎落入水中，生命眼看着逐渐凋零……
1703768821# #53岁村医在救两名落水孩童时，在冰水中耗尽体力不幸溺亡。安葬时，上万名村民自发赶来送行：他是俺这边公认的好医生！可惜了...
1688639498# #金星在说女明星穿深V捂胸是，“怕穷人看到，又让富人看不到”这话的时候，她到底是以男性的身份说的，还是以女性的身份说的啊？这句话真的充满的恶意，甚至是给女明星们泼脏水！而且金星说人家女明星捂胸口是做作，有病时，有没有回头看看自己捂过胸口没有？她做是优雅，其他女明星做就是做作，怕穷人
1702379487# #外卖小哥虽然失去了双腿，但是可以很坚强乐观的生活，致敬每位努力生活的人🙏
1694402575# #48岁工厂保安在宿舍内猝死，家属称其单位超190天未安排休假，朋友圈里全都是“执勤室好热”…我诧异的是，还有人评论怪他不换工作！48岁的他如果能那么容易选择，你们认为他不选吗？怒
1695099923# #一男子带抑郁症妻子送外卖是炒作？男子：以为注册成功就可以送外卖，带妻子出去只帮朋友送了点餐，没有去卖惨，希望能给大家带来正能量！医院、村干部：男子父亲因癌症去世，母亲患有精神疾病，有两年幼孩子，妻子确诊抑郁症均属实…男子带抑郁症妻子送外卖疑似摆拍
1689728441# #风雨中电动车倒在路口，之后的这一幕很暖！那把伞不仅遮挡了风雨，也一定温暖了她们的心。谢谢好心人good
1695020423# #李佳琦显然早已忘记，2018年他还在破小的隔间里直播，隔壁是薇娅。那时候一到饭点他就纠结：30块钱一碗的焖肉加蛋浓汤面要不要吃？还是吃一碗十块钱的光面拉倒？两手空空的日子里，他满脑子想法与现在大多数年轻人真是一样一样的哦。。。所以鲁迅先生早就写道：一阔脸就变。说的就是李佳琦这种人。普天下
1699697653# #外地车主雪天凌晨到淄博，车没电被困路边，找不到空闲充电桩！淄博车主二话没说把车挪走，让出充电桩！这就是淄博赞
1701486036# #小哥接单途中，接到妈妈突然离世的消息后发生的一幕！这小车车主日后必定事业有成家庭美满，冲这人品真的是不错赞
1695025985# #来人间两次，都选择了保家卫国。🙏蜡烛
1687335922# #读海川国际，上世界名校！海川中学国际教育色课程班特新闻发布会抢先预约，6月29日见！！！济南
1703315065# #男子去父母墓地拜祭，顺便一次性交了20年的管理费。但他忽然想到一个问题浑身发冷！男子：“我已经68岁了，下次交费我可能不在了！如果到期没人再交钱，父母的墓地会怎么处理？会不会把骨灰盒扔进垃圾桶，然后再卖给别人？”网友：有二手房就有二手墓！。。原来，男子的父母葬在公墓里。而男子过去
1703040024# #草帽姐一晚上召集了两辆大车，装了12000多条棉被和1000多套女性用品从山东临沂发往甘肃赞1000套女性用品送往震区草帽姐1晚上装了2大车御寒女性物资
1689674590# #皖JTA966的师傅，想跟你声谢谢！炎热的夏天，你清开了石砖，也守护了大家的一路平安，为你点赞good
1694140373# #细数南方城市，有山有水又有发展前途的城市其实并不是很多，但是杭州是其中一个。看了这个视频，发现这里不仅风景好，地铁里的标语也温暖人心。这说明什么？说明杭州人有爱心、有信心、有童心，这样的城市谁能不爱呢？女生杭州毕业旅行一周后定居
1694998895# #到底是什么样的家教才能说出来这样的话？
1688435428# #张雪峰6年前的演讲火了：如果孩子不好好学习，带他到4个地方去看一看…
1700282398# #衣服的快速叠法赞收藏话筒
1693904760# #网友发视频称河北三河东收费站，报警后交警来了“货车过磅属正常范围”。副站长仍不让上高速…。。高速公路官方做出解释：该货车有轴重异常，且该车以前有超重前科。。轴重换了特别危险，该货车本应该是6轴，但是却只装了3轴，所以没有称出超重。。对此大家怎么看？
1703749241# #武汉理工大学何放勋老师课堂演示“催眠术”，学生直呼惊呆了！
1689299451# #残疾男子拄拐杖街头卖水果，一双拐杖撑起一个家，致敬每一位努力生活的人…
1690791507# #大家听说过AI心理咨询师吗？新时代，新选择，随着毕业季的到来，相信很多同学对这个职业感到好奇。。。AI心理咨询师就是基于大数据和人工智能算法，分析用户的心理状况和需求，为其提供个性化的心理建议、心理疗法和心理支持的职业。。。随着科技进步和社会对心理健康需求的增长，AI心理咨询师将在未来发挥
1694418801# #心酸又感动！80岁老奶奶捡起地上的死鱼，问鱼贩能不能把死鱼送给她？鱼贩一愣，说鱼已经死了不新鲜了，你还是买条活的吃吧？可是老奶奶却不舍得钱，说这鱼她烧了吃就挺好的！而老板接下来的做法，让老奶奶泪流满面！。。鱼贩在菜市场卖鱼，鱼在池里活蹦乱跳。其中一条小鱼在鱼贩没注意的时候跳了出去，
1693188449# #在饿了么平台给人送外卖，这大夏天里辛苦一整月，跑了好几百单，最后一结算工资，结果竟然是负数。小李和好几位同事，对此都觉得不可思议。网友：重庆如此高温下跑了九百多单，干了一个月还欠公司一千多，这是多黑心啊！
1700979469# #冰面惊现一团黑影，近身才发现是的孩子…男子不顾寒冷破冰将其打捞起来。这不但救了一个孩子，还救了一个家庭，致敬平民英雄赞
1698813215# #转自网友:00后整顿职场。
1702810821# #寒冬里感谢有温暖的你们❤️看嘛！只要没有人贩子！孩子就是安全的！好温暖的画面比心比心比心
1692847296# #安徽宣城宣州文昌派出所接到一男子求助称：自己被一个浪从芜湖曹家湾河滩，冲到了宣城和州村河滩，请求帮助回家…网友：家里面都搭棚了，我查了查芜湖到宣城72公里，人还没事，厉害了赞
1703495894# #“结婚16年3娃不是亲生”案即将开庭审理，当事人发声&nbsp;…3娃非亲生案3娃非亲生男子称3个孩子没一个理我
1698962460# #禁毒英烈李松陪，在抓捕毒贩的行动中中弹负伤，经抢救无效因公牺牲，时年仅28岁。伤心。致敬缉毒英雄！让我们一起记住他的名字：李松陪
1702472236# #首都机场有旅客晕倒，好心路人齐相救👍
1702043921# #老人右腿被卷入车轮，危急时刻，他们从四面八方冲过来抬车救人。谢谢好心人🙏
1696914986# #钟庚赐几十年前捞的钱，现在退还回去，算是便宜他了，因为现在的钱不值钱了。钟庚赐2007年退休，那时深圳的房价均价不过万儿八千元/平方米，现在翻了不止10倍了吧…为什么免了牢狱之灾，是年纪大了吗？挖鼻北极鲶鱼爷爷违法违纪所得被收缴
1693193571# #戏只要一开场就必须唱完，这是老祖宗留下来的规矩…一个是热爱，另一个更是热爱，虽然我不懂，还是有点心酸了…
1687151606# #鼠头鸭脖涉事母公司经营700多个高校食堂。这是什么概念，高校食堂承包起来有多难，大家想必非常清楚，能承包一家已经很难了，这家公司承包了700多家的高校食堂，这是得多大的能量啊？。。怪不得学生反水，学校隐瞒，江局长力挺，原来公司这么牛，哪里牛说不出来，因为真的难以想象…
1692231012# #珍贵影像：1964年11月14日，毛主席亲自到北京首都机场迎接从莫斯科归来的周总理。记得小时候很多家庭，墙上都有这个彩色的画报心
1697779670# #废墟中救出的巴勒斯坦男孩，浑身颤抖开口第一句问：“我还活着吗”泪巴以冲突超5600人死亡
1698979582# #“终于有男人站出来了！”山西，男子和女友订婚，女友要求给18.8万彩礼。不料，男子借钱凑齐后，女友闺蜜又劝女友要3万的五金钱！男子不想父母卑微去借钱，怒向女友退婚，然后辞职旅行！男子：与其结婚欠一屁股债，不如一个人出去看看！。。郭晓35岁，之前在太原干服务行业，公司包食宿，工资5000左右
1692013476# #“凭什么歧视我们尊贵的特斯拉车主？”男子进湖南岳阳机场，看到停车场禁止特斯拉入内，感觉被针对了！男子：同样是花钱买的车，为什么我的车不能开进去呢？工作人员回应：不仅是机场，很多单位都已禁止入内！。。男子当初买电动车的时候，也纠结了很久。后来还是决定买特斯拉，因为他觉得国外的东西比
1688191318# #执法大队变“执法犬队”？镇坪县应急管理局回应：牌子被人恶搞，已更正并报警…
1693060797# #日本欠世界一个调查：偷偷排废水多久了？危害多大？偷着卖污染品多久了？什么都没有调查，希望世卫组织干点正事，不要只顾做美国墙头草！福岛真相
1698883831# #什么叫落叶归根，。郑强说，凡是儿子不回来的地方，。你有五套房产都没用。。你看现在，儿子和你还是有感情的，。时间久了，还知道问问他爹怎么样了。。你等到了下一代，。你的那群孙子早不知道溜哪儿去了，。别说房产都给你卖了，。就是上坟他们都不一定会去。。是啊，为什么会出现这种情况，。实际上并不
1703298678# #没有从天而降的英雄，只有挺身而出的凡人…
