1697470459# #林耘丨特别提醒：这三个因素对A股现状影响比较大
1700923751# #中植系要揭锅盖了。
1701078966# #林耘丨北交所如此猛炒要不要管？北交所抢了主板“双创”风头怎么办？
1701934462# #新加坡副总理：新中两国将30天互免签证，便利两国人员往来。。。这样好，方便往来。有没有觉得香港、澳门也可以跟进？
1699592616# #冲击是全方位的。奇瑞的底子比小康厚，华为余承东貌似略有倾斜。比亚迪不好办，如果不得不让出市场份额。
1697587738# #已经开始了！新京报：10月以来，北京、上海、合肥、济南、长春等地开启了新一轮土拍。值得关注的是，部分城市将在接下来的土地出让中恢复“价高者得”的规则。截至目前，成都发文“官宣”取消了地价的限制，合肥和济南也在10月中下旬和11月将出让地块的公告中提出“不再设立最高限价”。
1698572317# #林耘丨为什么要实行住房“双轨制”？保障房与商品房如何互相成就？
1699874666# #胡锡进今天写了一篇“他们说”的小作文，讨论“重大科研项目”相关问题的，有点意思，那个意思。
1701911423# #林耘丨3000之下，没有退路，唯有抵抗
1700532708# #地产江湖再裂变！。。“白名单”决定谁得到“好学生”证，三个“不低于”约等于“钱管够”。但最终谁活下来活舒服了还得靠自己活儿好，被需要。
1698642611# #其实不止是今天，最近一段时间“中”字头里的资金一直在撤退。
1699076810# #林耘丨北向资金杀了“回马枪”，A股涨势如虹缺点啥？
1697814004# #青X啤酒那个事情，真的假的？如果大厂品控都管不住，太恶心了。
1701690017# #碳酸锂跌破10万元／吨，好消息是新能源汽车关键配件电池价格会越来越便宜。
1696900440# #巴以冲突反映在国际金额市场上就是原油强劲反弹，黄金获得避险需求，人民市汇率转强！当然美元、美股也不甘示弱的。
1698031539# #这幅画当年非常有名，见画痛哭者无数。
1699597631# #午盘调整中，指数是稳的，个股涨跌比是改善的，但跌幅榜个股跌幅在扩大。
1700206866# #能强制执行全身而退的都是实力“幸运儿”！恒大地产等被强制执行38.9亿。
1702511705# #美联储12月份议息会议维持利率按兵不动，鲍威尔表示如何降息已在讨论之中，市场预期美联储明年降息75基点！市场响应积极，美股尾盘拉高，道指冲上37000点上方，创下收盘历史新高，苹果创下历史新高，市值高达3.08万亿美元。。。中概股纳斯达克金龙指数跟涨但动力不强，微涨0.42%。
1698830199# #买股票切忌冲动，切忌短视，宜泰然处之！不然今天买贵州茅台的就买了个寂寞。高开低走，收盘收在均价1798.02元／股下方。成交金额167.5亿元，说明多空双方都是认真的。。。不以涨喜，不与跌悲，共勉之。
1697524902# #电池回收，不知道有关方面预案做足了没有？不是小事情，搞不好就是洪水猛兽。
1701749878# #a股大视野林耘的投资日记午间收盘：1、沪综指勉强守住3000点关口，上证50率先创下年内新低，资金追捧北证50大涨5.89%；2、个股普跌，涨跌比约1：10，但跌幅超过5%的个股仅23家，是近期最少的，说明阴跌为主；3、半天成交4983亿元，缩量，北向资金净卖出47亿元，主力资金净卖出261亿元，华为概念净
1698800805# #中金点评：中央金融工作会议定调部署未来金融工作发展方向。。10月30日至31日，中央金融工作会议在北京举行，会议分析我国金融高质量发展面临形势，并部署当前和今后一个时期的金融工作。从会议精神来看：。。金融是国民经济血脉，要加快建设金融强国，推进金融高质量发展，并为经济社会发展提供高质量服务
1699871863# #林耘丨小票活跃大票麻烦不断，外资投行调降部分白酒股评级。
1700806822# #林耘丨市场焦点：风格切换与主力资金在撤退！
1701097574# #没有代码，只有神经网络！特斯拉FSD重大更新，V12有没有遥遥领先？。。马斯克在此前的试驾直播中表示，FSDBetaV12是有史以来第一个端到端AI自动驾驶系统（FullAIEnd-to-End），从头到尾都是通过AI实现。我们没有编程，没有程序员写一行代码来识别道路、行人等概念，全部交给了神经网络自己思考。V12
1698370460# #a股大视野林耘的投资日记20231027星期五，集合竞价：A股低开，个股涨跌比约3：8，保险股领跌；港股高开，隔夜美股下跌，纳指跌幅达1.76％。。。消息面：楼市政策一锤定音，保障房与商品房双轨制，房地产企业商业模式之争结果也随之明朗。
1699341268# #潮！万科在杭州成立云创新芯科技公司，注册资本4000万。
1699685105# #像华虹这种看起来高大上的公司，来A股就干两件事儿，圈钱和套人！ipo参与者、二级市场参与者均被套，钱到手业绩变脸，更可恶的是到手的200个小目标拿出买理财。
1698839989# #北向资金贵州茅台交易所公布的沪深港通十大成交股显示，贵州茅台、泸州老窖、五粮液今日分别获净买入11.51亿元、3.18亿元、2.65亿元。比亚迪净卖出额居首，金额为6.77亿元。。。北向资金捧场一下白酒股很正常，不难理解，贵州茅台基本面利好，预期增厚EPS。需谨慎的是北向资金启动比亚迪卖出模式，
1697437516# #深成指、创业板指、中证100、沪深300……稍稍沾点权重股的指数今天都创下“7.24”以来新低！。。已经是血肉之躯难以抵挡的程度了。
1697730322# #特斯拉三季报不达预期股价暴跌，马斯克表态继续降价！。。具体讲：。。1、当地时间10月18日，特斯拉发布第三季度财报显示，第三季度公司营收为233.5亿美元，同比增长9%；调整后的净利润为23.18亿美元，同比下降37%，均差于市场预期。。。2、特斯拉首席执行官埃隆·马斯克在财报电话会议上强调，特斯拉仍将努力
1698664507# #林耘丨有些事情是不是更清楚了？
1698712564# #一直有人问哪个行业是高增长的？这个就是啊。
1700837698# #林耘丨探秘：利好这么多，楼市为什么迟迟起不来？
1699338970# #以美元计价，中国10月出口同比下降6.4%，比预计的弱，但结构改善，人民币贬值是个影响因素。
1699538104# #林耘丨再融资政策一收一放有讲究！
1699249133# #a股大视野中字头能源资源股逆势下跌，从中石油、中石化到中国神华，到长江电力。。。存量博弈，追求效率和安全性，顾得了头顾不了腚。
1701354300# #这大滑车，是AI干的吗？
1700447578# #围寿5个产品成为中金公司10大流通股股东，与社保基金联手控盘，活该成海尓减持套现的接盘侠。。。放着港股13多块钱港币不买，屯积43块钱的A股，明摆着居心不良居心叵测嘛。。。董事长被抓，一点都不冤。
1700032634# #今日，A股完败于港股！
1701928342# #截止到2023年12月5日，公布中的失信被执行人8548986人。有中招的吗？
1701918801# #不出所料，穆迪出手调降8家中国银行信用评级展望，从“稳定”调降为“负面”。这8家中资银行清一色“中”字头，分别为中国农业发展银行、国家开发银行、中国进出口银行、中国农业银行、中国银行、中国建设银行、中国工商银行及中国邮政储蓄银行。
1697779242# #简暖棠接替杨文杰碧桂园地产法定代表人，不像是好消息，杨文杰好歹姓杨。
1700022191# #微博电台计划
1700968859# #上证50调整成份股，新能源资源的含盛硅业、包钢股份落败退下，半导体海光信息、中芯国际打赢顶上。金融股中国银行顶替拉高入选出货退下的中信建投。。。定向喂料，吃定被动投资的。
1699430890# #以生产袜子出名的浪莎针织有限公司申请注册“酱香”商标，国际分类为服装鞋帽，当前商标状态为等待实质审查。酱香袜子闻起来臭、穿起来香，走起哈哈
1699545748# #两件事儿：1、先进大预计2024年年底前完成上市，看来知难而退，推后上市了；2、先进达业绩波动不小，三季报利润下降幅度相当大，也不适合此时上市。
1701400921# #“五娘”的销售，最能真实反应白酒市场需求，另一个观察对象是地处“包邮区”的洋河股份，当然多看一眼“贵公子”也很有必要。感觉怎么样？。。喝酒的无所谓，不醉无休。屯酒的，炒股票的，还是要看一看的。
1702642230# #林耘丨利好兑现，A股初见曙光，从今天起我们迎接春天！
1697200724# #首套存量房调降利率，推进迅速，手工点赞！央行提供的数据：9月25日到10月1日实施的首周，有98.5%符合条件的首套房贷利率完成下调，合计4973万笔，21.7万亿元，调整后的加权平均利率为4.27%，平均降幅0.73个百分点。。。银行业4季度起业绩会受些影响，但这是必须的让利。
1700789506# #林耘的投资日记A股小幅低开，个股涨跌比约3：5，指数虽然跌不多，但跌幅榜却是有杀气的，无厘头乱炒的在收网，人家是假醉，您是自以为千杯不醉。。。异动个股：易华录，受母公司央企合并影响。。。港股同样低开，气氛还好。
1699842566# #立刻领取VPlus底价8折，查看惊喜价格！于11月7日-11月20日惠聚周年庆双11期间订阅即可开现金红包，100%中奖（已有人喜中888）↓↓↓
1697899953# #广西壮族自治区人大常委会原党组副书记、副主任张秀隆涉嫌严重违纪违法，目前正接受中央纪委国家监委纪律审查和监察调查。
1699320904# #反弹不会是一马平川，正如昨天V＋直播讲的，上档压力重重，下档支撑有待检测，A股进入“好事多磨”阶段了。
1702346431# #港股最大机构投资者，“小摩”忽减忽增，进进出出，最新动作又在万科加仓了，持股5.80%。
1698417706# #制造业护城河普遍不灵光，扫地机器人行业就这么陷入泥潭了。科沃斯：第三季度净利润1961.23万元，同比下降92%。
1698820038# #林耘丨贵州茅台出厂价大涨20%，利好消息怎么看？
1698894969# #隔天，酿酒板块跌幅第一了。茅台的利好不是行业利好。
1699417441# #微博电台计划
1702012013# #个人网贷信息正全面接入征信系统，“网贷是否影响房贷”备受关注。。。年轻人，悠着点。别看信用平时没什么用，关键时刻能上你欲哭无泪。
1696902037# #华为系造车新势力赛力斯跳涨8%，市值“鲤鱼跃龙门”突破千亿大关，炒得很开森，问题是值么？。。对比一下广汽集团，广汽集团A股市值1056亿元，与赛力斯的1006亿元相差无几，广汽集团港股估值不足400亿港元，给赛力斯提鞋都不配了。。。须知，广汽集团旗下独立汽车埃安在新能源汽车赛道上也是春风得意的。
1699938607# #A50午后跐水，跌幅扩大到0.69％。
1698301641# #林耘｜A股跌跌不休，抛盘究竟来自哪里？
1701997609# #哈哈
1699450651# #大餐限制，点心随意。沪深交易所：融资金额不超过3亿元且不超过净资产的20%可以适用简易程序。
1701052555# #“双创”现在的处境，很像澳门增发赌牌开了新场子，老葡京眼见常客一下子走光了。
1697679399# #a股大视野林耘的投资日记20231019星期四，集合竞价：低开，创年内新低，沪综指进入3040区域，考验3000点支撑并争夺3000点已经成为定局。贵州茅台开盘大跌4%，白酒神话怕是要跌落神坛了。。。北交所挂牌新股N卓兆破发。。。隔夜外围市场表现欠佳，港股集合竞价跟跌超过1%，小鹏、蔚来下跌愈7%，
1702614088# #
1696828233# #铁嘴钢牙，浙江国祥二次IPO没错？。。路子真够野的。
1697608069# #A股现时4725家个股下跌，肯定是“7.24”会议以来之最了，投资者信心还好吗？
1701436378# #国家金融监督管理总局行政处罚局一级巡视员王柱接受纪律审查和监察调查。
1700223611# #看tittle，权力是有的。生态环境部环境影响评价与排放管理司司长刘志全被查。
1698565177# #林耘丨内行看门道！即使是现金分红也有动机不纯的。
1701501098# #林耘丨香港恒生指数首次被台湾加权指数“超车”，A股筑底进入关键时刻。
1697421113# #“经商”水太深，段喧把自己折腾进去了。
1697358262# #别说是买了股票的，没买股票没买基金的，一样会成为受害者！因为伤了经济，伤了消费，伤了就业！
1702447738# #权威解读！中财办常务副主任、中农办主任韩文秀：先立后破不能脱离实际，急于求成。
1698028950# #这只老虎有点大，国家烟草专卖局滴！
1699788869# #转融通，伟大发明，大小非是人见人爱。有心人查实连浓眉大眼的腾讯多次借道“转融通”通道减持A股上市公司，比如其持股的长亮科技股票从2022年三季报7..87%减少到2023年三季报2.29%，减少了约3400万股。另外，腾讯减持华谊兄弟也是如法炮制
1697170841# #a股大视野林耘的投资日记20231013午约评：一日游，早盘即低开陷入调整，两市合计成交5209亿元，个股涨跌比约1：3，北向资金净卖出53.60亿元，主力资金净卖出194亿元。。。场内主打两条主线：减肥药领头的大健康，赛力斯领头的华为主题。。。做空方向：新能源、酿酒和AI。
1697810870# #郁亮认为，当前，主要城市的住房条件“被平均”了，中国城镇人均居住面积38.6平方米，其中城市居民36.5平方米左右，镇上居民42.3平方米左右，一二线城市大概是34.3平方米左右，也就是说大城市被小城市平均了。。。如果单独统计网上“躺平”等赢一族，他们的人均住房面积是多少？
1697033275# #当年的小作文，一度流行炒作“王的女人”，谁还记得？
1701236598# #保护市场充分竞争，当年人家是把AT&amp;T分拆了的。
1698027545# #其实，X市是投资者用脚投票，是投资者启动自我保护机制，不完全是坏事儿。同意吗？
1699579598# #中国工商银行股份有限公司在美全资子公司——工银金融服务有限责任公司（ICBCFS）在官网发布声明称，美东时间11月8日，ICBCFS遭勒索软件攻击，导致部分系统中断。
1698675989# #掉队，爆雷的节奏。兴业银行：第三季度净利润222.85亿元，同比下降17.22%。
1699189654# #房地产业不会全行业沦陷，不允许。如是，中国经济倒退20年，居民财富楼去人空，银行业难以想象。这就是近期政策大调整、中央金融工作会议对其高度重视的原因。
1697029606# #粉丝问：汇金增持四大行怎么看？。。答：责无旁贷，此时此刻！静观其变不必太激动。理由是参照对比2015年那次救市，汇金、证金、外管局等联合行动，并由券商出资参与，投入资金超过2万亿元，用时3年完成救市上半场。这一次，面对的市场环境更加错综复杂，是不是？。。其实汇金公司一直都在场内，汇金本来
1699432293# #造谣！继续造谣！中国平安就媒体不实报道发布声明：从未收到任何有关政府部门/机构要求收购碧桂园并承继其债务的通知。。。害中国平安暴跌5.31%，创下一年新低。真是无耻，该抓人了。
1697678789# #隔夜外围市场表现欠佳，港股集合竞价跟跌超过1%，小鹏、蔚来下跌愈7%，京东、百度低迷继续。
1698458509# #保利发展第三季度公司营业收入约555.28亿元，同比增加21.63%；归属于上市公司股东的净利润约10.7亿元，同比减少52.84%；归属于上市公司股东的扣除非经常性损益的净利润约22.81亿元，同比减少57.61%。。。粗看，保利发展逆周期扩张坚决，开发业务直追万科并频频做出“超车”动作，账上也比万科有钱，痛点
1700713159# #a股大视野林耘的投资日记缩量，两市合计仅成交5221亿元，个股涨多跌少，热点集中在车与房，长安汽车净买入资金高达21.4亿元；捉襟见肘，虽然下跌个股仅1300＋，但跌幅超过5%的多达75家。。。港股内房股火爆，命悬一线，或入选白名单的弹性最大。
1702346245# #同在港股上市，出手回购的万物云，近期走势就比华润万象生活强得多，一个平台整理蓄势向上，一个平台破位再探底。
1700457676# #【VPlus限时底价8折】，惠聚周年庆最后一天了！还未购买我精选内容的朋友，全年最低折扣续费！还能抽现金红包，最高1111元，别犹豫快来薅羊毛↓↓
1698143986# #工作组工作.了。
1702294226# #天坛。
1697083893# #碧桂园即将迎来至暗时刻，9月份其销售额甚至不如已经爆雷的融创中国。后续保交楼任务艰巨，行业第一艰巨，超过中国恒大，未来2年都是苦日子。
1701140472# #招行港股新低，风险是一点点裸露的，市场反应也是渐次跟进，不完全同步，滞后很正常。我们说的时候，绝大多数人都不以为然。
1700027902# #老爷子身手敏捷嘛！巴菲特Q3新动向：清仓暴雪和通用汽车，减仓雪佛龙，买入一支棒球队股份。。。清仓暴雪，完美套利微软收购案。。。清仓通用汽车，兑现景气周期收益，回避罢工及涨薪风险。。。减仓雪佛龙，从俄乌战争到哈以战争，到中美关系缓和，油价软着陆了。。。买入亚特兰大勇士队，少量买入，小赌怡情嘛
1697610198# #林耘丨A股创下新低，下跌个股之多破纪录，是外围市场不配合吗？
1697631799# #值得收藏！有心人做了这份表格，统计历任“村长”任内的ipo和再融资成绩，就像伸出五指不一般长，有人拖了后腿，有人遥遥领先。。。数据显示，A股总共融资792888亿，如今A股市场市值刚好就是79万亿元，两者基本相当的，意不意外？惊不惊喜？
1699266362# #万科线上会议纪要：深圳市充分肯定，全力支持。万科加入深圳国资大家庭，并表利润贡献占比过三成，阿爷的靓仔！
1699166142# #下周A股怎么看？综合讲，简而言之：。。1、救市仍在继续，办法都是加强版，问题是否得到针对性解决有待观察，胜在利好不断；。。2、外围环境改善，月中旧金山元首会唔和本周美联储暂停加息，都是加分项；。。3、美元走软，人民币汇率反弹，外资有望阶段性回流A股港股，带来增量资金，有助于推升市场做多意愿
1700704557# #买房，最是考验一个人的决心、毅力和担当，是善男子善女子，就从这件“小事”做起！有条件的父母为子女赢一个起跑线，在咱们大中华来讲，天经地义。理想的小康之家，3套房。。。忽略政策的起起落落！政策的起起落落只是用于择时和择房。。。本贴供有志者事竟成者参考，风险自担。。。比较而言，买电动车
1699838786# #摩根大通下调五粮液、百威亚太、洋河股份等多家酒企评级：五粮液，中性；百威亚太，中性；洋河，低配。
1698223415# #a股大视野苦逼的制造业，逃不过的周期！通威股份10月25日晚间披露三季度报告，前三季度公司实现营业收入1114.21亿元，同比增长9.15%；实现归母净利润163.02亿元，同比下降24.98%。其中，第三季度净利润30.31亿元，同比下降68.11%。
1698741194# #又跌破“荣枯线”，有关部门肯定是尽力了的。国家统计局：10月制造业PMI为49.5%，制造业景气水平有所回落。。。非制造业商务活动指数也在下行。10月份，非制造业商务活动指数为50.6%，比上月下降1.1个百分点，仍高于临界点，非制造业总体保持扩张。
1699706126# #大牌外资机构不断自动认怂退出A股市场，我们自豪了吗？
1701656164# #钻石崩盘！大刘、向太、鸡缸杯哥都在卖二手货，从藏酒到包包，到书画，奢侈品大众化终结了。好男儿能伸能屈，做一手好菜，写一手好字，花最少的钱，过最舒坦的日子，才是王道。
1698035070# #微博电台计划
1702002953# #华为X江淮汽车，据说出品对标迈巴赫，这事儿能成么？。。懂车帝路透：。。1、华为与江淮合作的首款车型将是一款定位百万级的轿车，内部代号为X6，对标迈巴赫，最快将于2024年年底推出，。。2、合作车型的产品开发由江淮汽车总体负责，江淮汽车负责打造生产基地。而销售方面，江淮汽车同意华为终端或其指定的
1696903624# #a股大视野恒大事件受损概念板块，还是要小心的，比如工程建设和水泥建材，要么不幸成为合作的“乙方”，要么要忍受行业规模萎缩的阵痛。
1700656571# #致歉？是致歉就能解决的问题么？
1701083827# #炒长安汽车的，悠着点。江淮汽车：积极与华为共同探讨参与投资及合作的相关事宜。
1700119524# #央行近期会不会降准降息释放流动性？很有可能！
1702462521# #运气欠佳，4S店烧了。
1696767611# #新巴以战争，一开局就是往死里捅的节奏。
1696908347# #北极鲶鱼涉事局长钟庚赐被开除党籍钟庚赐被开除党籍终于玩完了！不容易啊。问题是降点职，出点血就完事了？
1697943274# #机理上您得明白！白酒企业具有财务造假的种种有利条件，如超高毛利率，“永续”涨价，库存“增值”，无“保质期”等等；且有造假动机，如业内激烈竞争不甘人后，资本深度介入无法无天……总之，道理要懂，不是说一定会发生，不排除A股真有一片净土。
1697025832# #机构：从2024年开始，iPhone系列机型的平均寿命将达到8年！。。如是，好消息是消费者能省则省，坏消息是消费电子类企业日子更加难过了。
1700806768# #全民投票季北交所近期价量齐升异常火爆，您会因此想方设法入场么？
1700566314# #a股大视野比亚迪今天低开低走，报收于234.20元／股，下跌0.34%，似乎无伤大雅，但是换个角度观察，周线维度则是创下13周新低。。。对应的，沪综指虽然冲高回落，转跌，但盘中是创下阶段反弹新高的。。。附图5整车板块指数处于持续性反弹过程中，波段累积涨幅相当可观。。。经过如此多角度比较之后，能找出
1701306674# #迎“风”落锤！摩根士丹利不给华为面子，将重庆长安汽车股份有限公司评级由平配下调至低配，目标价15.10元人民币，即是说可能会比11月29日收盘价下跌27%。。。长安汽车目前市值2053亿元，远高于上海汽车的1758亿元。长期以来，上海汽车一直都是中国规模最大的汽车企业。。。国内券商出研报，学着点，别光
1700029450# #“新美联储通讯社”最新研判：历史性加息周期可能已经结束。
1697556260# #核心城市热门地块常态化几十号开发商竞价到“封顶”“摇号”，其间“马甲”时隐时现，有违市场经济，不妨放一放。
1697588219# #赛力斯还没提车就开始补贴，怕客户流失被人家挖走。
1702019692# #信不信由你。
1699267632# #林耘丨本轮反弹能走多远关键看这两点？
1700100096# #A50又跳水了。
1700099635# #旧金山会唔。
1701139589# #北证50近1个月涨40%还能上车吗都是赢家，各取所需。你们主要是娱乐了，多巴胺满足哈哈
1701091830# #长驱直入！碳酸锂期货击穿12万元／吨关口至11.6650万元／吨，创下上市以来新低。
1702215937# #警方证实华夏银行天津分行行长坠楼。
1701157546# #开始抓人了！给中植系站台的，腿会不会有点抖？有人从恒大出来一转身就投奔中植系。
1702468812# #4大资产管理公司的，抓一个！中国信达资产管理公司原党委委员、副总裁庄恩岳接受纪律审查和监察调查。
1696991125# #多地将发行特殊再融资债券，规模达到3200亿元。新债换旧债，意在降低利息负担，属于化解城投债危机的办法之一，辽宁、重庆、云南、广西首批在列。
1701840779# #翘翘板！主板一拉，北证绿了。
1699864822# #林耘丨旧金山元首会唔定了，利好股市！
1698909834# #蜡烛蜡烛蜡烛
1701913061# #都在说印度股市总市值突破4万亿美元了，其实德国股市也不简单，高通胀，低增长、有点乱的德国，股市居然创历史新高了。。。怪不怪？
1702339381# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1696851418# #苏大维格被证监会立案调查，之前以光刻机龙头招摇过市，小作文割韭菜又一例子。
1702432137# #真有能耐就学人家特斯拉开放专利，或者缩小范围，开放给国内企业，才是“带头大哥”的样子。
1699422168# #注入迷幻剂，炒高市场情绪。
1697440269# #上次拉到90跌回25。现在是第二次，如法炮制。
1699585477# #招商银行创下13个月新低。
1698712094# #美国总统拜登签署行政命令，推出白宫有关生成式人工智能的首套监管规定。根据行政命令，美国多个政府机构需制定标准，以防止使用人工智能设计生物或核武器等威胁，并寻求“水印”等内容验证的最佳方法，拟定先进的网络安全计划。
1702098428# #物价走势偏弱！国家统计局：11月份CPI同比下降0.5%，环比下降0.5%。
1698046742# #北向资金持股时间很长，实际挣得不多了，尤其是与其它资产回报率相比，机会成本相当不小啊。
1700972327# #赛力斯“问界”并非华为独生子、太子。华为注册了N多带“界”的商标：慧界、揽界、致界、轩界、和界、向界、鸿蒙界……总之，远远不止早先传的四界，已经不止八界。。。老爷子一向是喜欢大家庭其乐融融的。
1698985309# #a股大视野午间收盘：情绪上来了，成交量不济。
1699844722# #以为券商股通过合并可以提升估值空间的很无知，拿高盛摩根大通比较的是坏且蠢，信以为真的是高品质韭菜。。。券商行业top10都是千亿级别，中信证券总市值3302亿元。。。窝里横，何德何能？
1698801022# #中金点评：金融宏观调控服务高质量发展出现新要求。金融宏观调控是金融工作的重要一环。会议强调要“始终保持货币政策的稳健性”，同时指出要“准确把握货币信贷供需规律和新特点”。我们认为，当前信贷和货币供需的一个突出特点是，经济运行到金融周期下行阶段，信用需求本身具有内生紧缩的压力，财政
1701219690# #巴菲特的最佳拍档——查理芒格老爷子昨晚去世了，享年99岁。。。芒格老爷子人间清醒，通透智慧，留下金句无数。投资上的唯一败笔是买了阿里巴巴，惨遭2次腰斩，令人唏嘘不已。。。恰好是咋晚，拼多多三季报出色，股价暴涨18%，市值来到1847亿美元，与阿里巴巴1952亿美元的市值伯仲之间了。。。投资真的很难，
1698719790# #怎么觉得大V是个贬义词，多数人无业，靠写小作文为生。
1702684980# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1701242807# #林耘丨为什么说稳住经济才能事半功倍稳住股市？
1697531295# #关注“一带一路”高峰论坛，好戏连台。
1698026277# #富士康被全国范围内多地查税及土地使用情况，早盘工业富联应声跌停，问：会有几个跌停？
1702350434# #1、锦浪科技，直接挂天花板上坐大滑车，2次腰斩都多，主要参与机构广发基金、社保406组合。。。2、禾迈股份，中信证券杰作，超高价发行，猛烈炒作之后一路出货，2次腰斩，破发，套牢二级市场所有参与者。
1700448558# #马云为什么要卖股票套现跑路？互联网渗透率见顶，格局出现变化，拼多多崛起，直播带货盛行，阿里巴巴优势不再；连前景最好的阿里云貌似也陷入进退两难境地，这些是不是理由？。。所谓好的生意模式，并非旱涝保收，更非永恒。我们有生之年，看到太多的迭代，甚至是轰然倒下。。。同样是老姜，巴菲特要比芒
1697167203# #说到底，宁德时代终极产品2B而非2C，没有太多话语权的，“乙方”而已！
1702080180# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1697165756# #a股大视野当下环境，白酒消费几乎是确定要走下坡路的。A股关联白酒的基金非常多，有主动投资的，有被动投资的，甚至诞生了全球最大规模的权益类基金，甚至出现了以投资白酒见长的基金公司号称“酒庄”，甚至有基金经理被捧为“酒神”，但这一切都必定是过眼云烟。
1701244209# #深圳市政府出面，牵手“一汽”，助华为助余承东一臂之力？深圳市人民政府与中国第一汽车集团有限公司签署战略合作协议。。。汽车业城市战争，烽烟四起，加入战团的有北京、上海、广州、合肥、重庆、深圳……
1700653809# #多了个受盘因素！宁德时代考虑在香港上市。极端情况下参照中国中免的走势，单A时，曾经不可一世。
1698063272# #中国股市必须守住林耘丨3000之下，A股为何加速下行？
1701394346# #a股大视野林耘的投资日记时间来到了2023年的最后一个月，A股市场仍在3000点附近徘徊，没有明显起色，蛛丝马迹是核心蓝筹股有一点惜售，炒作的题材股则显著退潮，刀，太快了。
1697692164# #老家大年夜必吃的一道菜就是XX炒青蒜，意思是不欠账，清清爽爽过大年。
1699491511# #转融通暗渡陈仓，罚酒三杯。
1699590198# #微博电台计划
1700191196# #屯酒养老逻辑上存在BUG，等到要套现时发现周边都是一样想法的卖家，而买家难觅。
1702025071# #外来人才成需求主力，香港住宅租金创4年新高。
1699066339# #南墙才是靠谱的刹车板！
1697010080# #调查一下，当下A股市场环境，您是守株待兔还是见了兔子再撒鹰？
1701768082# #碳酸锂，今天继续跌停，9.305万元/吨了！
1697197118# #传第一代“王牌”基金经理被查，居然是从他查起，算总账吗？
1698457148# #三季报看，在A股混的，浓眉大眼的天然主角，社保亏了，保险亏了，基金亏了……零和游戏，谁赚了？
1698111212# #a股大视野林耘的投资日记20231024星期二，集合竞价：小幅高开，普涨，个股涨幅榜约3：2领先，采掘、贵金属、华为欧拉、减肥药等下跌。。。看盘印象：汇金买入ETF，带动市场情绪；工业富联打开跌停板。
1702177056# #高博关注“疤痕效应”正在逐渐消褪，老林更加看重“内伤”是否得到有效调理，即是说：要见到股市楼市企稳，居民资产负债表才可能得到有效修复。
1701144476# #董事长亲自下单买股票，真金白银可信不可信？不一定！
1696741419# #网下报高价申购浙江国祥的机构，助纣为虐，拆自家戏台，掘自家坟墓！。。IPO机构询价定价，怎么看都是脏东西。
1699491802# #通往旧金山不会是一马平川，不能靠“自动驾驶”。
1698712822# #来势迅猛VS遥遥领先，对仗不工整啊，有个现成的成语叫来势汹汹，镜像对称哈哈
1701051871# #观察下来，中专生逆袭的，路子都比较野酷。。老林说是有一些，比如XXX、XⅩX和XXX。
1696577636# #苏富比亚洲五十周年秋拍现当代艺术板块推出的“龙途：刘益谦与王薇伉俪收藏精选”，热度似乎一般，尤其是扛鼎的现代艺术天才莫迪里安尼的生命终章的传奇杰作《宝丽特・茹丹肖像》（图1），这件藏品在2016年纽约苏富比成交价4281万美元，这次以2.35亿港元落槌，成交价2.73亿港元。
1697941462# #马斯克端着冲锋枪一通扫射，开始兜售自家新车的防弹功能了。真是个营销天才，又借哈以战乱引流带货，你们说咱家出的竞品会跟进么？
1702347398# #讲真，老实经营企业的，不会像大嘴那样，出场就是遥遥领先。依广告法衡量，“遥遥领先”4个字，厂家王婆卖瓜，未必用得，起码不应该成为囗头禅。
1701399643# #比亚迪的问题，抢跑了个“弯道”，没形成真正的护城河，产品线太长太杂，网上叫得太欢，股价拉得太快太高……实力嘛，长城、吉利就不服，更不用说更大牌的厂子了。
1698323959# #没有不透风的墙，下午有人抢跑了！宁德时代今日晚间公告，实际控制人之一、董事长兼总经理曾毓群提议20亿元-30亿元回购公司股份，回购股份将用于实施股权激励计划或员工持股计划。
1697531555# #减肥药主题又成了猎杀游戏，这两家公司收到监管函。
1699315131# #资本圈再塌房！沃华生物实控人、北京中证万融老板赵丙贤被留置，曾推动登海种业、罗莱生活、广电电气等公司上市。
1699943195# #林耘丨向上办法不多，向下防守韧劲不错，炒个股，过日子！
1698538603# #马斯克泄密了吧？
1700613267# #林耘丨汇率大升值，房企迎利好，股市可以看好了吗？
