1697626676# #老外眼中“神奇的东方树叶”以茶之名重走丝路一带一路的100个故事
1700216760# #1939年12月，崔崧和曲钦不幸落入鬼子之手，时值冬天，而凶残的日寇却扒光他俩的衣服，侮辱后又用绳子捆住她们的手腕，拴在马后面拖着狂奔。只到她们遍体鳞伤，再吊在树上，丧心病狂地一刀一刀狂刺致死！两位巾帼英雄牺牲时都是刚刚18岁的花季少女！
1691459428# #车臣Akhmat特种部队指挥官AptyAlaudinov说：FAU第22旅已经不复存在。基辅军队正在阿尔特莫夫斯克再次集结，但敌人没有足够的资源。。“我们知道敌人正在为另一次突破做非常认真的准备，他们将试图突破。但无论他做什么，他都没有力量夺取巴赫穆特/阿尔特莫夫斯克。”。。俄乌局势新进展
1699645316# #抗战英雄肖万世10次一等功,12次二等功,共记56枚徽章！2片弹片一直留在体内！致敬英雄！
1703088991# #乌克兰电报频道《居民》写道：总参谋部消息人士称，我们错过了从阿夫季夫卡撤军的机会，现在任何撤军都将变成绞肉机，造成大量人员伤亡。从城市出发的所有道路都受到敌方炮火的攻击，数十架无人机不断在城市上空盘旋。
1697525257# #中国科学院院士，高分子化学家，沈之荃。
1697418435# #陈毅元帅霸气发言：我们要彻底消灭美帝国主义。致敬！
1701948784# #呵呵，这就是殖民地国家的悲哀。得给美国🇺🇸爸爸做好吃的坏笑。美国驻日大使发推文：真正的以最好的形式呈现。非常感谢山崎先生和屋久岛镇地区妇女团体联络委员会在鱼鹰搜救行动中给予的大力支持。他们为美军和日本自卫队成员提供膳食的富有同情心的服务真正体现了社区与合作的精神。
1696728984# #以色列梅卡瓦坦克纵队正在驶向加沙地带。。以色列国防军宣布进入战争状态巴以冲突双方死亡人数已超400
1692934438# #在新加坡，虚拟跆拳道比赛打破了障碍，允许女性与男性竞争晕疑问。（吴静钰与AaronCook进行虛拟跆拳道比赛）
1691805107# #“我在国会的八年里最令人沮丧的事情之一就是党的领导人公然将政党置于人民之上。”。无论一方支持什么，另一方都会反对——反之亦然。美国人民对此感到非常厌倦。”。。这就是西方引以为傲的两党制笑cry笑cry笑cry大家早就一清二楚了。
1698903762# #1951年，七一建党节当天，伟人和朱老总在宴会上的一张照片！
1701099896# #艺术家RomanBoteen制作的硬币令人印象深刻，细节精致，机制复杂，隐藏着秘密开关和杠杆，使场景和人物栩栩如生。一起来投票
1699778837# #🇷🇺俄乌冲突：一切是如何开始的……。2022年2月24日。俄乌战争
1688452150# #法国骚乱社会在眼睁睁撕裂：法右翼为射杀少年警察筹款百万元，超被害少年筹款额5倍！
1695178590# #阿尔扎赫的平民则遭受了阿塞拜疆长达12个多小时的连续轰炸，导致至少27名平民死亡，数百人受伤，其中包括儿童。。。亚美尼亚政府仍在继续筹备耗资600万美元的史努比狗狗音乐会，预计4天内将在赫拉兹丹体育场举行。
1697429564# #他是迄今为止唯一能考证到的，第一位博士党许包野从海归博士到革命烈士：父母本希望他做个富商，可他为了人民解放，隐姓埋名在最危险的地方领导革命，直至被叛徒出卖受尽酷刑而牺牲！致敬，缅怀！
1702207865# #古代的竹盐牙膏
1694502492# #🇻🇳越南战争曾经无处不在的陷阱…可怕又致命！。。-&gt;这些都是很好的教学视频。
1695471487# #两位美丽优雅的夫人，一位是中华牡丹，一位是沙漠玫瑰。
1695091802# #国际原子能机构活成了笑话，最好赶紧解散。。大美丽亲自上手扇那些挺日本核污水排海的沙碧偷笑笑cry果然还得是亲爹下手狠啊笑cry
1690444270# #乌克兰后方士兵的早餐：烤鸡蛋和香肠、西红柿、面包、喝酸奶。前线就没这样的了......
1696824423# #抓紧学习，毕竟还有5000多天就高考了……泪这页是重点，折个角……允悲
1694681132# #柏林有人把泽连斯基画成食人者：正用他的血盆大口啃咬着乌军士兵胳膊。。柏林警方正在寻找这幅“艺术品”的作者。因为乌克兰元首决不能这样表现自己。。。他们将逮捕并起诉自己的公民，因为他们冒犯了乌克兰的一些小丑。德国沦落到什么地步偷笑偷笑。。政治家的漫画并不是泽连斯基所独有的。逮捕这位艺术
1697437927# #大道至简
1696393009# #印度前驻外大使巴德拉库马尔表示，欧盟委员会主席冯徳莱恩的祖父是纳粹党卫军的一名中士，并参加了巴比亚尔大屠杀。
1699759141# #他是李大钊之孙，李葆华之子，继承优良家风，为官几十年，始终两袖清风。
1699484548# #1929年时期香港真实影像
1689563629# #🌊壮观！钱塘江出现罕见三叉潮💦⬇️
1702303920# #一条电线管直接穿过一名埋葬在先前未被发现的六世纪墓地中的女性的头骨
1698033133# #赤裸裸的信号，美国在为以色列军队进入加沙后会造成上万巴勒斯坦平民死亡，先做了为以色列开脱的舆论准备~。对以色列对加沙地带的空袭造成平民包括儿童伤亡的问题。布林肯回答是：尽一切可能向需要的人提供援助是如此重要。食物、药品、水。。。。食品与水能阻挡以色列的子弹？。逃避问题显得布林肯知道自
1699168860# #当年的姑苏城外现在已经是姑苏城内了微笑
1700016599# #在一次战斗中，六名八路军女护士来不及撤退而被捕，年仅20岁的她们被日军残忍杀害，为可亲可敬的巾帼英雄点赞！
1698686133# #1940年的一幅插画，一位女士坐在电视机直接对着屏幕选购。
1698258351# #F-22战斗机
1697988374# #“二十四年梦一场，流连忘返日日忙。万贯千金不平躺，家中老宅醒来荒。”
1700699389# #喂，你们两个，把挤奶工的活全给干完了？。A：你的奶水真纯。B:老了，下垂了害羞你的有草原的味道……
1699508879# #新中国第一位女将军历史不该被遗忘
1694394360# #优雅的蓝衣女士，米诺斯壁画，公元前1525-1450年，出自希腊克里特岛克诺索斯宫（公元前2200-1100年）。。。克里特岛伊拉克利翁考古博物馆
1689669922# #这些是倒下的乌克兰“士兵”。只需读取出生日期即可。。为了乌克兰胜利这个不切实际的目标，几乎都是孩子们被牺牲了。。。俄乌局势新进展丑国脏事
1702348039# #新郎新娘乘地铁接亲，一路上给遇到的人发喜糖，收到很多陌生人的祝福。赞心赞心
1697783187# #英国博主灵魂一问：以色列和恐怖组织有什么区别？
1693624941# #立陶宛熊试图叛逃到白俄罗斯以逃避法西斯政权的恐怖偷笑
1690644433# #🎥乌克兰第3突击旅的士兵猛攻并清理Bakhmut以南的俄罗斯战壕。。。俄乌局势新进展乌克兰前线实时画面
1703473532# #不太懂这个逻辑，米莱难道不是票选的吗？票选咋可能是独裁？他做的事情不都是他的竞选口号/纲领吗？
1703524724# #张立烈士母子
1697444542# #新郎新娘救出11人后双双牺牲，陈大桂一场永远无法补办的婚礼
1699471625# #这是朱光亚院士年轻时的全家福修复照。朱院长曾任中国工程院院长，“两弹一星功勋奖章”获得者，中国核科学事业的主要开拓者之一。为中国核科技事业和国防科技事业的发展作出了重大贡献，是中国科技众帅之帅，2011年去世，享年87岁。
1699456119# #❗️华盛顿正在从俄罗斯购买铀和其他关键材料，同时迫使欧盟放弃俄罗斯的一切。。。俄罗斯外长拉夫罗夫在与驻莫斯科外交使团团长举行的乌克兰问题圆桌会议上表示了这一点。。。拉夫罗夫指出💬“在过去的一年半里，根据非常保守的估计，欧洲企业因西方单方面制裁而损失了250亿欧元。”。。部长表示，对俄罗
1698903059# #毛主席，周恩来，刘少奇在一起的合影。
1692254640# #叙利亚自由军与美军在塔纳夫基地附近55公里的禁区内进行了联合训练演习。。培训包括基本的地雷探测，以识别位置并清除或拆除爆炸物。呵呵，
1703500383# #周总理的多面帅气，每一幕都让人怀念！
1691766692# #据《纽约时报》报道，乌克兰武装部队的损失如此之大，以至于在西方组建的一个旅已经不得不从前线撤出。。。华尔街日报：。乌克兰反攻的主要问题是乌克兰尚未到达俄罗斯强大的防线。在冲向俄罗斯前线后，FAU损失了大量西方重型装备。。。美国有线电视新闻网：。反攻失败可能会成为一个大政治问题。。北约军队越
1698165971# #🚨‼️著名硬汉演员杰森·斯坦森。。他的车子引擎盖上盖着巨大的巴勒斯坦国旗。赞赞。。有些人质疑这是不是杰森，而另一些人则确定是他。
1701531864# #有推友给出了王吉贤被抓的新闻链接，主要内容如下：。。1.王吉贤先后三次有关防空的视频。。2.王吉贤主动认罪，交代犯罪事实。判5年缓1年。。3.罚款15万元（约3万元人民币），没收佳能相机和内存卡。。。主要内容与王吉贤自述一致。。P2：“我切身体验乌克兰的军警都是挺友好的”。一语成谶。。殖人傻事
1696682401# #🇮🇷伊朗宣布全力支持巴勒斯坦。。伊朗将军兼最高领袖顾问叶海亚·萨法维：。。“我们支持阿克萨风暴的值得赞扬的行动。我们将与巴勒斯坦自由战士站在一起，直到巴勒斯坦和圣城解放，如果上帝愿意的话。”。。以色列国防军宣布进入战争状态
1695556105# #带你体验在美国打工的一天微笑
1698115063# #🇸🇾🇺🇸多家媒体报道了美国在叙利亚的基地遭到袭击，其中之一位于奥马尔油田。坦夫可能是另一个基地，甚至有第三个基地。乔·拜登不得不中断经济会议上的演讲，召开紧急会议。。现在都在一起了：。叙利亚有权自卫。鼓掌good加油
1689410326# #你会相信前世今生吗？哈哈。。萌娃养成记宝宝成长记录
1700888829# #泽连斯基“人民公仆”党的议会领袖大卫·阿拉卡米亚(DavidArakhamia)，今天在接受采访时，证实了许多人近两年来听到的消息。2022年三月底在土耳其进行的俄乌谈判中，俄方表示如果乌克兰同意保持中立，不加入北约，普京将结束战争。阿拉卡米亚说，他在3月29日至30日与乌克兰代表团参加和平谈判
1699011339# #万物皆有灵，座头鲸用吐泡泡的方式织网捕鱼，最远古的捕鱼方式！
1698706554# #一代伟人永远在人民的心中
1694096798# #🇺🇦有趣的筹款活动：。。他们筹集资金为AFU精锐部队购买对讲机，而此前这些对讲机都是由西方援助提供的。。。这表明北约向乌克兰提供的物资正在明显减少。由于精锐部队已经没有足够的对讲机了。
1703913343# #⚡以色列第13频道：。“真主党和以色列国防军之间北部（与黎巴嫩接壤的边界）的火灾强度已经达到如此程度，以至于在一些城镇，由于安全威胁，甚至无法估计损失的程度。
1690353174# #都是被国内耗材给忽悠的笑cry，难为英国媒体了，被孙子们忽悠千万不要生气哦！
1703786990# #2023坚持最久的事每天早上闹钟⏰叫我起床偷支付宝朋友的蚂蚁森林能量污污
1700254508# #1965年7月15日对军队文工团作指示：军队文工团只知道军队的事不够，还应知道工人、农民的事。因此，也应同地方文工团一样，要到工厂、农村去，特别要到农村去锻炼，去参加“四清”。
1703511197# #勿忘国耻吾辈自强
1697037300# #分享图片
1692635725# #“我就纳闷了，美国那点破事儿就值得你们那么关注吗？”。这就是你向往的美国反贼笑话集打脸
1703782659# #单程任务，一去不复返！。。当然，在过去的十年里，北约在乌克兰的炮灰上投入了大量资金，这就是为什么邪恶的鲍里斯先生下令不要与🇷🇺签署任何协议。。显然，死去的乌克兰人的生命代价对他们来说还不够高，另外荷兰国防部长还对此表示赞扬，他称乌克兰是对抗俄罗斯的“廉价方式”。没错，让乡下人知
1695867970# #阿迪达斯一商品图将文物踩脚下？阿迪达斯回应：已经改进了，该链接的展示图已更新。。阿迪达斯？我看叫阿迪打死吧！跟着美丽国借新疆棉借口制裁我们，现在又想进入中国市场？滚远点，我是不会去买你的！。阿迪达斯回应宣传图将文物踩在脚下阿迪达斯商品图将文物踩在脚下
1701722619# #俄罗斯箭-10防空导弹……
1690215497# #一个多次去到俄罗斯的英国人说过：。“苏联解体后，我遇到的许多俄罗斯人高兴地说：‘我们现在终于可以与欧洲和美国建立友好关系了！’31年后，我不再听到俄罗斯人这么说。人们终于明白了一个可悲的事实：西方不是恨共产主义，他们恨俄罗斯。”。所以，记得这个真理——中国即使没有党的领导，把自己解
1697932859# #延安时期的毛主席
1697381497# #中国援助加沙的太阳能发电设备，被以色列全部炸毁。。加沙这个近300万人口的露天监狱，是世界上使用太阳能比例最高的地区，可能没有之一。因为缺少能源，经常停电，一些学校医院家庭，就靠这些中国援助的光伏面板在支撑。。。唉，世界破破烂烂，中国缝缝补补。这个操蛋的世界。
1698903952# #三侦四连，从左至右：班长贾西录、排长何善元、班长戴先进（右臂、右腿枪伤致残)
1697179822# #近几十年，我们听到西方欧美国家的谎言还不够多吗？。美国记者博主JacksonHinkle总是发布真实的新闻信息，被乌克兰列入死亡名单，被以色列屏蔽，这个世界真相就那么难吗？。反观那些反贼，他们是如何做到舔狗舔到如此优秀？。1️⃣伊拉克拥有大规模杀伤性武器。他们没有。2️⃣普京炸毁北溪管道。他没有。3️
1695285424# #🇺🇦乌克兰社交网络上流传着一名乌克兰残疾军人发给泽连斯基的视频信息。。。视频中，他自诉自己没有能力与金钱给孩子穿衣服、穿鞋，也从未获得过残疾补偿，还抱怨需要他的时候很快就找到了，但现在却被彻底遗忘了。。。——这就是所谓的“腐败”..对于眼睛和媒体来说是必要的，但却被视为无用和问题而
1699414476# #乌镇峰会到乌镇体验小桥流水，别样风韵！
1689932960# #赞俄乌局势新进展
1702535307# #想要600亿结果只给了2亿美元，美国这是打发要饭的呢？泽连斯基失望离开哈哈
1701674093# #中国男子拍摄乌军作战被判刑“我曾是英雄”，被几百人怼到删推了……。世事难料，一年前你还是万人称颂的英雄，一年后连卖假护照的天山憋屈哥也能怼得你删推。。图三：吉贤能有“曾是英雄”的错觉，责任全在你们哈哈哈哈
1692950633# #🇷🇺🇺🇦俄罗斯黑客入侵了哈尔科夫的一家广播电台。。。女声：亲爱的乌克兰人！我们衷心祝贺克里米亚、顿涅茨克、卢甘斯克、赫尔松和扎波罗热地区独立日。节日快乐！我们祝愿你明年变得更加独立！。。男：FCK
1697284671# #当你第一眼看到他，请不要害怕！。。他就是志愿军老战士涂伯毅！。他在抗美援朝战役中被毁容，但他从来都没有后悔过为国献身。请致敬涂伯毅老英雄！
1699626379# #南京大屠杀遗址雕像，八十岁的老母啊，赶紧逃离恶魔的血腥！南京大屠杀之痛永不敢忘
1698855259# #这是北约轰炸南联盟！。这是美国轰炸伊拉克！。这是美国轰炸阿富汗！。这是美国轰炸叙利亚！。这是西方轰炸利比亚！。这是以色列轰炸加沙！。一帮二战以来入侵和屠杀别国的战争贩子和反人类罪犯，还有那些美狗，整天指责别国是威胁，笑掉世界人民的大牙！。。谁都有资格谴责哈马斯，唯独美国和以色列没有！那些
1701303481# #周总理风采，一代人的回忆战火洗劫万室空，吾侪争见九州同。华师尽扫列强日，捷书飞传告鳌翁。
1703584388# #他在就义前说“敌人只能砍下我们的头颅，决不能动摇我们的信仰”！随后英勇牺牲！
1689039904# #居然过夹了？厉害啊！不过，我喜欢哈哈哈
1699673907# #🚨🇫🇷🇵🇸法国总统马克龙表示：“事实上，平民正在遭受轰炸。这些婴儿、这些妇女、这些老人都被炸死了。这样做没有任何理由，也没有合法性。所以我们确实敦促以色列停止。”
1688312061# #由57个穆斯林国家组成的伊斯兰会议组织呼吁制定一项新的国际法，禁止亵渎《古兰经》。。。一名伊拉克抗议者在瑞典焚烧《古兰经》后，沙特阿拉伯召开了紧急会议。。。瑞典的北约成员国地位现在正处于危险之中。由于瑞典加入北约的申请尚未得到土耳其的批准，激怒安卡拉可能导致瑞典更难加入北约。。。埃尔多
1691942989# #如果俄罗斯真失败了，就应该坦然接受事实，即使你不愿意看到，也不能讳言其失败，应分析失败的原因及后果，找到不重蹈覆辙的办法…。可连西媒都在唱衰乌军，都在给小泽施压和谈，曝光豹2和布莱德利残骸，报道俄军展开大反攻…这帮人还在掩耳盗铃，自欺欺人，连接受事实的勇气都没有，你们不失败谁失败？
1699469521# #余祖胜烈士，江西省湖口县人。余祖胜烈士出身于进步工人家庭，幼小的心里就有了进步思想的种子。10岁那年，在“贫民夜校”与反动警察的正面冲突中，标志着他已开始坚定地走上了革命斗争的道路，并勇敢地走下去！1948年4月，因叛徒出卖落入敌手，囚于渣滓洞集中营，狱中，虽经历了种种酷刑，却始终坚守
1690995053# #《在美国刷盘子三个月都能买大HOUSE，为什么还要出来摆地摊呢？》。美国城管执法为什么要带枪？。他们的枪口是对准谁的？。老百姓没偷没抢就想赚个辛苦钱怎么了！！！！不是生活所迫，谁来干这个？你们拿走这些摊贩的东西不是自己孝敬给领导了吧？。美国政府啊，什么时候能真的从上到下，真真正正为自己的
1688609789# #这个国家是怎么一次次站在文明世界对立面的？
1698381314# #44年11月9日，伟人、朱德总司令在延安机场检阅了即将离开延安南征的南下支队。
1691244323# #俄军Ka-52飞行员摧毁了苏梅地区UA陆军藏身的机库。。。俄乌局势新进展乌克兰前线实时画面
1691684697# #Rybar怀疑乌克兰在黑海对俄罗斯海港发动大规模袭击。。导火索：一架法国侦察机🇫🇷。。“❗️🇷🇺🇺🇦关于乌克兰武装部队对俄罗斯南部领土进行大规模打击的准备工作。。最近，乌克兰海军司令部宣布在俄罗斯塔曼港、图普塞港、阿纳帕港、新罗西斯克港、盖伦日克港和索契港设立禁航区。但不是立即
1698153729# #我对乌克兰士兵的苦难感到悲哀，我相信他们是被强行部署的，任其被杀害。。。俄乌局势新进展乌克兰前线实时画面
1693912548# #请正面回答吃惊
1697361479# #人民英雄，最美女将军院士陈薇。
1694959076# #意大利米兰，请为泽连斯基捐款笑cry笑cry
1698662875# #1938年一群中国女兵准备奔赴抗日战场，她们很多人都没再回来……战地红花致敬抗日女兵
1697336951# #周六，哈马斯试图从海上渗透以色列时，发生了以色列与哈马斯海战的疯狂镜头。。。以色列海军摧毁了一艘哈马斯船只，然后与跳入水中的哈马斯武装分子交战。。。巴以冲突巴以冲突升级巴以冲突已致中国公民4死6伤2失联
1695957202# #國防部：中國人不打中國人，但如果島內一些人不想做“中國人”，我們也不會坐視不管（來源：觀察者網）
1695653620# #现代化俄罗斯FAB航空炸弹袭击赫尔松地区AFU燃料和弹药库的镜头。。。顺便说一句，美国媒体写道，现在拦截此类射弹几乎是不可能的，因为西方雷达站在雷达上看到的不是它们，而是“很快消失”的点。。。俄乌局势新进展乌克兰前线实时画面
1703485671# #美国胡佛大坝的视频。
1697180081# #在以空袭中受伤的巴勒斯坦儿童安慰父亲：爸爸不要担心，我没事，保持坚强！。。巴以冲突已致双方超2800人死亡以色列会对加沙地带实施地面进攻行动吗巴以冲突
1694481093# #1、前科技日报总编辑刘亚东表示芯片的制造难度是原子弹100倍，华为在3年内取得了突破，而制造原子弹是6年，如今他沉默。。2、何祚庥认为华为并未理解芯片制造的基础理论，如今他沉默。。3、吴晓波曾预言华为需要20年才能实现高端芯片制造，如今他沉默。。4、JIM博士曾嘲笑林毅夫说华为3年不可能突破芯片制
1693811643# #显示2023年6月至9月乌克兰夏季战役结果的地图（以蓝色标记）
1698735326# #越南纠察兵，军事管制部队KSQS风采😎
1701906700# #曾获10个一等功56枚军功章，抗日英雄肖万世隐功藏名60年
1701199705# #烈士贾云科牺牲时年仅17岁，向英雄致敬！。。他头部中弹血流如注，最后凭借着自己的毅力打出最后一发火箭弹，最后壮烈牺牲，年仅17岁，母亲知道他牺牲后一夜白头……
1700879708# #毛岸英烈士逝世73周年中国人民志愿军的第一个志愿兵。向毛岸英烈士致敬！
1701757615# #完了，出大事了，没有放酵母泪泪
1690626502# #❗️俄罗斯狙击手在克雷门纳亚附近。。俄乌局势新进展乌克兰前线实时画面
1699017496# #这个媒体屁股歪的哦！基本都在给鱿鱼洗地的~！隐藏再深也会暴露的~！！
1701816039# #世界最强组合，伟人合照！
1694005853# #俄乌局势新进展天真的巴西雇佣兵并没有意识到他们被误导了，他们所踏上的旅程是一场单程旅行。
1701719313# #机枪射击慢镜头！
1690337442# #乌克兰第三独立突击旅（亚速特种部队）之前发布的视频的更扩展版本。。。乌克兰前线实时画面俄乌局势新进展
1697568748# #1936年上海，杜老板请戴老板喝咖啡，戴老板面对镜头摆着pose，可以看出两位老板的关系很不一般。
1691859823# #深夜的你，是否像我一样没有睡？~晚安
1698205064# #巴勒斯坦儿童，在医院玩“烈士游戏”，模拟为亲人举行葬礼！。。不知道这游戏有没有让支持战争的那些“民主国家”感到一点点羞愧呢？。。巴以冲突
1695472279# #第21机步旅的俄罗斯部队在Svatovo-Kremennaya方向发射火箭弹。。。乌克兰前线实时画面俄乌局势新进展
1696769563# #🇮🇱🇵🇸‼️突发新闻：以色列正式向哈马斯宣战。。。以色列军事政治内阁投票通过了“第40条阿莱夫”。这意味着正式向巴勒斯坦宣战。。。该条款最后一次使用是在1973年赎罪日战争期间。巴以冲突动态回顾巴以冲突始末以色列多城市全面停工以色列
1703530437# #南侨机工纪念碑
1696427339# #1993年10月4日。炮击“白宫”。1993年10月4日上午9点20分，驻扎在加里宁桥上的坦克开始炮击最高苏维埃大楼的上层。共有6辆T-80UD坦克参加了炮击。。1993年10月3日至4日的事件有不同的称呼。有人称其为“1993年叶利钦政变”，也有人称其为“镇压人民代表大会”……或“1993年十月起义”。
1701212451# #剃头匠查子香单斧赴会，怒砍死一名日寇高官及一名大佐手臂，被捕后被鬼子折磨了整整两年，最后被秘密杀害，向抗日英雄查子香致敬！
1690855086# #马里和布基纳法索政府昨天发布联合声明：任何对尼日尔的军事干涉等于对马里和布基纳法索宣战。昨天阿尔及利也称不会对侵犯尼日尔坐视不管。。小马哥还要打非洲吗？。厨子倒没什么动作。厨子今天出来说：“瓦格纳的兄弟们基本还都在休假。”我倒是希望小马哥说到就去做，不要有太多的顾虑，二战法国兵的
1690525891# #美国国防部将大疆创新列为“中国军事公司”。大疆再次声明，从未设计或生产过任何军事设备，大疆的产品仅限于民用和拯救生命。。。全球最大战犯和战争贩子散布谣言诽谤多次帮助其国家救灾的中国民营无人机公司。人们无法想象这个国家的道德水准有多低。
1689310320# #《歌舞到田间》（张总俊1958）——文艺要为工农兵服务🇨🇳
1699474630# #风又起叶落地思念更浓郁！
1690508789# #首次亮相！青铜神坛反映了三星堆时期重大仪式活动中不同职能人员的分工以及他们的宗教观念。神坛可以大致分成3层：青铜神坛底座、青铜神兽和青铜顶坛人像。
1698846637# #以色列已经炸死67个联合国工作人员了。人类历史真就写满了没救了？
1701849190# #来源于以色列国防军推特官方账户：在最后一天，空军袭击了加沙地带境内约250个目标，战机继续定位并摧毁武器、地下竖井、炸药和其他恐怖分子基础设施。。第7旅战斗队和该旅的火力支援部队指挥一架战斗机摧毁了恐怖分子昨天在该国中部进行攻击的两个发射器。。巴以冲突以色列的战争罪行录
1693319158# #两名美国退伍军人，22岁的爱德华·威尔顿(EdwardWilton)和50岁的格雷迪·库尔帕西(GradyKurpasi)在乌克兰被非军事化，他们自愿参加与俄罗斯军队的战斗。。。威尔顿于2023年4月7日在巴赫穆特的战斗中身亡。库尔帕西失踪了；他的死亡得到了国务院的证实。。。这样算来，美国雇佣兵的死亡人数应
1697388728# #抗战胜利后你准备做什么他的回答催人泪下。抗战时期，无数我国9岁-15岁的娃娃兵被征召入伍，抗击敌军。他们英勇无畏、他们无惧生死、他们小小年纪就已经开始了为国而战！娃娃兵以云南松山战役惨烈，7千娃娃兵基本全部战死。
1693928372# #◾️一名被俘的乌克兰军人说，他在动员中被征召服役。军官威胁他，如果他拒绝，将承担刑事责任并入狱。。。◾️到达前线后，乌克兰战士意识到他们不想战斗，也不知道如何战斗。然而，“经验丰富”的指挥官通过殴打和处决威胁迫使军人上船，穿过第聂伯河前往俄罗斯武装部队控制的地区。AFU军人非常清楚局
1691493560# #泽连斯基威胁俄罗斯：。。“如果你们继续袭击我们的港口，你们将失去船只。”
1700327117# #1949年上海解放前，公然处决地下党真实影像，面露微笑慷慨赴死！致敬英雄！
1697447034# #视频捕捉到了加沙地带巴勒斯坦救援组织遭受空袭的瞬间。衰。巴以冲突以色列的战争罪行录巴以冲突升级
1693709251# #🇲🇱🇷🇺叶夫库罗夫上将率领🇷🇺国防部代表团抵达马里进行访问。。。此前，叶夫库罗夫已访问利比亚、叙利亚、中非共和国和布基纳法索。。。应该指出的是，所有列出的国家都是瓦格纳PMC对外工作方向的关键。。。Rybar写道，国防部（叙利亚、利比亚、中非共和国、布基纳法索、马里）发起的这次外
1699667269# #🇺🇲💥☠️‼️美国特种部队在中东遭遇首败——全部失踪‼️。。前五角大楼顾问道格拉斯·麦克格雷戈谈到了美国特种部队救援行动的终止。此外，他声称所有参与其中的人都被干掉了。。。有报道称，美军在中东地区首次出现人员伤亡。美国精锐特种部队士兵本应营救巴勒斯坦叛乱分子扣押的人质，但任务失
1692886718# #囼湾人一天用餐：。早餐：立陶宛牛奶、美国莱猪香肠、自产凤梨（管够）。午餐。主菜：日式海鱼三吃（选自福岛优质渔场）。佐餐饮料：幅岛天然海泉水(囼湾专供特有)，。餐后水果：自产大洋臀芒果（管够）。晚餐。主菜：烟熏莱猪培根。配餐：日本幅岛无公害有机蔬菜
1691330181# #塞内加尔针对反对派领导人奥斯曼·桑科被拘留的抗议活动仍在继续。。。入狱将使这位反对派政客无法参加明年即将举行的总统选举。。。西非国家经济共同体保持沉默。尼日利亚总统博拉.蒂努布没有说话。也许他们正在等待，直到它需要另一个维度，然后他们才开始假装他们关心。
1698369333# #瑞士大黄蜂阿尔卑斯山精彩表演，红外干扰弹哐哐往外扔、机炮实弹射击。
1699647960# #方志敏：“中国肯定有一个可赞美的光明前途”。。致敬先烈！
1703476652# #象哥带你看动物动物见到主人时的5大反应
1693134199# #这就是我为什么支持俄罗斯要把乌克兰班德拉及纳粹清除干净的原因，无它！
1698930913# #比利时空军F16退役前最后一飞，8000小时寿命到期。
1693318247# #扎波罗热方向的AFU藏身处被强拆了。。俄乌局势新进展乌克兰前线实时画面
1690536590# #经过54天的精密计划与进攻，AFU终于看到了毛子设置的龙牙，哦，等等，栽了。坏笑。。乌克兰前线实时画面俄乌局势新进展
1698218050# #坦克上街還不够？台媒：台“海巡”艦艇把基隆港碼頭撞了（來源：台海時刻）
1694191441# #在昨晚的天津演唱会上，周杰伦出了点小小意外，由于开场时突然断电，周杰伦被困在一个巨大的旋转铁球中长达20多分钟，当时他穿着厚厚的演出服，加上30多度的天气，他还恐高、患有幽闭恐惧症和强直性脊椎炎，那滋味可不好受。。。开场时周杰伦站在这个铁球上很高的位置，距离地面好几米，结果现场突然断电
1701330592# #基辛格逝世基辛格一生访问中国百余次，都说他是最了解中国的美国人。。随着新中国的国祚超过苏联，那些冷战中的高明棋手也一个个离去了。旧时代，越来越不留痕迹了。。蓦然回首，我们已经身处于另一个风云激荡的时代。
1697384576# #抗战时期德式先进防空炮全国32共门高射炮。抗战前购入M1929德式高射炮，当时先进的防空火炮之一。该炮同时还配备探照灯、指挥仪等辅助设备，另配套牵引车，抗战前共引进32门。成为当时国内先进的防空系统。M1929高射炮部队共投入大约7300次战斗，共击落210架日机。
1695882915# #❗️🇷🇺🇺🇦乌克兰人在Verbove边缘的袭击失败中又损失了一辆德国Marder车辆！。。俄乌局势新进展乌克兰前线实时画面
1694072630# #🇺🇸🇺🇦美国欲近期向基辅转运新一批集束弹药。。《纽约时报》援引三名美国官员的话对此进行了报道。。。该出版物写道，随着一些部队越来越依赖重型火炮，基辅对弹药的“永不满足的需求”将会增长。。。❗️美国还向乌克兰提供了10亿美元的新援助，其中6.65亿美元用于军事目的，并宣布转让贫铀弹，以
1691133934# #不咬人的“宝宝”咬宝宝了！。所以哈，狗主别他M的不牵狗绳还说我家“宝宝”从不咬人的！你养狗你的自由，但不要妨碍他人的自由就行了。
1701762703# #缅甸军政府的部队到处在投降。他们已经失去了为军政府而战的意愿~。。缅北
1700480144# #阿帕奇双机编队机动性展示
1701120618# #11月28日，星期二简报+早安日签，每天60秒读懂世界。来源:新京报、澎湃新闻、人民网、腾讯新闻、新华网、环球时报等
1698022850# #卡-52武装直升机——“鳄鱼”
1700462114# #晚年的李讷，在所住老年公寓的珍贵留影！
1700666183# #一只兴奋回窝的鸽子给巢中的伙伴带来了礼物..微笑
1698438935# #少女时代的梅婷，身着军装与朋友的一张合照。镜头中的她，清纯美丽，处处透露着阳光的气息。
1698639966# #和平之翼
1688348218# #俄罗斯军事博主Rybar声称，乌克兰军队已经在Robobyne郊区取得进展，“俄罗斯武装部队某团（1430？）的战士撤退到左翼的预备阵地”。。“乌克兰军队已渗透约300米”
