1703634355# #何猷君以为奚梦瑶说求婚土嫁给了爱情的样子，和金钱无关……
1692366290# #为什么这一次楼市救不动了没钱了，商家关门了，很多找工作的，可不得勒紧裤腰带过日子么
1702565827# #2024春节档预计上映电影：。1.《第二十条》雷佳音、马丽、高叶、刘耀文。2.《热辣滚烫》贾玲、杨紫、雷佳音、李雪琴。3.《射雕英雄传：侠之大者》肖战、庄达菲。4.《飞驰人生2》沈腾、范丞丞。5.《志愿军：雄兵出击2》朱一龙、张子枫。6.《传说》成龙、张艺兴、娜扎、李治廷。7.《援军明日到达》于和伟、杨洋。
1695009691# #中文慢慢失去了加密功能那是他没来大山东，难舍他……
1696851439# #杨幂女大学生穿搭学起来……
1691843433# #张艺兴超话北京这个舞台特别惊艳和有创意，让我想起了北京奥运会的开幕式，没开玩笑，特别有创意兔子张艺兴演唱会巨型裸眼3D
1703209937# #今天冬至踩踩小人大家都踩，我不踩好像不合适，我也给我担踩踩……
1692181209# #猜是谁的鱼，哈哈哈
1702548581# #这一刻，我庆幸我穿了雪地靴，救了我一命，路上都是冰水混合物，但是刹车打滑，果然是暴雪裂开
1703373597# #这张内🐟关系图
1701264886# #Lisa最近生图又普又胖，越来越像菲佣了
1692491256# #境外诈骗目标多为教师医生等编制人员因为这些都是高收入人群么？
1696745852# #简醇李一桐愿你志行千里家无负担。女主演得真的很好，很自然，和品牌适配度很高……心心。父亲的一段话～“花和人很像，有的花儿只能养在大棚里照顾它，有的花儿不能养在大棚里，它们生来就得在野外，在高山上，在石头缝里，只有这样它们才能开出更好看的花儿。有些花儿难养，但是花期很长，我们
1699014323# #魏大勋好矜贵西装是男人的医美666
1700322714# #王鹤棣看了不得高兴死啊，这剪的好好
1702742503# #12.17问心你为啥喜欢你担？不知道扣1(掉铁私我)
1701401141# #韩国申博失败
1695168082# #彭昱畅这位是跟我交往很久的女朋友一人之下很火么？吃瓜
1693150081# #日本男篮爆冷击败芬兰可能是核辐射导致的间隙性变异，太可怕了，一群小矮个子打败了大高个doge
1702258108# #山东下雪了
1694172444# #这届cp粉从来不委屈自己我从不委屈自己，有委屈大声喊出来，我只磕宫2和宫3暂时
1704327884# #我刚发现这条什么时候100个W了
1700013037# #谢危终于发疯了什么时候发疯……蹲
1701823986# #厉害了
1693368134# #曝一线女星与男主角一夜情uu么
1700479571# #姜雪宁受鞭刑谁来救救她泪
1689390253# #苹果回应iPhone高温季发烫别逗了，这品牌的手机发热是通病，大冬天冷了还自动关机
1692065552# #男子接完诈骗电话卡里多出14万被金钱拿捏了吧允悲贪心不可有
1698992852# #职场小白入职须知2
1703299845# #于正她那么高贵哪里像丫鬟他居然有2个词条，好厉害哈哈
1702615505# #这个是传说中的胶囊么？我也有了，虽然不知道有什么用……
1694432554# #田嘉瑞超话注意到我期盼的小眼神了吗你个老6，你还活着么？出来说句话苦涩
1703339696# #雷鸣的病情越来越严重了希望11班相互治愈……
1691757598# #张艺兴超话小孤给你收割一片电影粉，音乐粉，电影粉，综艺粉我们都要，都是你的，小孤冲冲冲！艺兴加油兔子
1695168355# #华为夺得中国智能手机市场第二第一是谁？这个词条成功引起了我的好奇
1692789652# #哈哈哈哈哈，不拍全身的原因是不好好穿鞋子么，张艺兴，笑死我了允悲允悲允悲
1701145576# #热狗我是骂所有人不只是杰伦那就是包含的意思？允悲
1701874456# #枕梦渡，有点意思
1693478346# #偷税和漏税有何区别偷，你是故意为之。漏，可能是不知情……但是结果都是一样的，都是少交税吃瓜
1695976892# #好吧，随着失踪人口回归，我掉了40个铁，豆沙了苦涩
1703321960# #这个卫视薄荷小胜是谁啊，为啥他的评论区沦陷了😱
1701576190# #檀健次周也嘴巴都亲红了这剧怎么样？
1694521506# #9.13互动：。1.投稿sxdoge。2.如果有铁粉福利，你希望是什么？。(最终解释权归菌菌子所有嘻嘻)。3.没有想说的，扣1
1703321738# #双了60人，怎么铁还涨了14个，数据延迟？
1702388114# #突然发现父母不再无所不能自己长大了，长见识了，能力条件各方面赶超父母，思想也会随之改变，双方都需要调整心态吧……
1690172283# #杨洋演的于途vs宋焰那就是演技退步了的意思么？这更糟糕，按理说应该后者比前者出色才是，🤔……
1702272586# #我的点赞是颜文字，嘿嘿，设置了……
1702877691# #张元英青岛好友圈也有喜欢的，但是并不知道为什么思考
1700144223# #郑书意爱情和事业优等生告诉我，告诉我，告诉我，什么时候更新……你这词条，让我误以为更新了……
1701673282# #五月天经纪公司称没有假唱回应了，但是大家仍保持怀疑态度……这场风波如何平息呢？
1702630347# #孟羽童回应被董明珠怒斥格力是不是最近要出新产品了？还是要年终大促了？这词条，不能理解
1689952305# #宋焰吻戏endingpose虽然🇰🇷流行水光肌，但是真的不适合中国宝宝的体质
1694071211# #角徵浅狐狸精小绿茶，茶茶的，怪可爱的，小眼神好像在叫我姐姐
1703052341# #12.20困了……用张艺兴美照提提神
1696771821# #珠海宣布中小学停课小犬威力那么大么……？
1696773832# #陈赫张子萱一家四口同框这个……不说了……
1694188202# #张艺兴超话晚安老公，乖乖等你回来，快点回来吧
1694692857# #深圳人已经开始喝上冰中式了永远走在时尚前沿，人家就是有商业头脑，不服不行
1702617120# #所以是因为我有了胶囊，才把精选变为了动态费解
1692277440# #内娱很会吐血的男明星成毅吧，病娇古装打工人，老是吐血。罗云熙也可以，吐血也很美……
1697265880# #原来韩国也在学文言文能看懂么？
1693917876# #我受不了宫2和宫3be，男主be了，他俩也不想看到be苦涩
1694530401# #日本反对他国直接取样独立检测我宣布反对无效
1703395936# #中国女子在日本滑雪被雪掩埋不幸去世东北那边滑雪场更大更方便，不是么？
1696850894# #花火我们还在杂志？
1699066767# #刘大锤说Y姓艺人和W姓艺人分手了那么快就分了，油油的，不care
1694181783# #云之羽一口气追到大结局怎么这么赶？是里面有谁要塌方了么？
1698050699# #给内娱一点小震撼什么？这个词条好震撼允悲
1700877979# #崔雪莉曾说做韩流偶像最惨那还那么多人前赴后继的当偶像吃瓜
1703163894# #2023内娱TOP前四：肖战，杨紫，迪丽热巴，成毅，被低估的流量思考
1701077314# #特斯拉要求刹车失灵事件女车主赔偿500万这词条，没看到500W
1699961552# #曝苏小玎一年换三女友不认识，谁啊疑问
1695730705# #宋仲基向记者炫耀儿子照片天天在这买干啥呀？爱现真的是……
1701395054# #张家妍男朋友他男朋友已经秒了大多数职场男性
1704158156# #浮生忆玲珑公测玲珑创作官云熙密探在这个游戏中舞者是一种身份的象征，小伙伴们若是在这一方面有自己想要的东西，学会之后就能得到舞蹈技能还有身份，只要不断的学习相关的技巧，慢慢的就能成为一名专业的舞者。游戏提供了很多时装资源，在游戏当中可以随时根据自己的审美去换时装，当然为了拥
1695541006# #外卖迟到可能是去抓间谍了我们的外卖小哥还要兼职抓间谍，也很是辛苦了
1701403997# #俞敏洪问莫言是否拿奖拿到手软可能是真心想问吧，我也想问来的吃瓜
1703131088# #鹿晗关晓彤领证吵架原因是关父母做生意赔了，鹿不想再填坑了费解
1703049519# #大勋你这样我可要嗑你和艳姐了以后xyy改名叫艳姐姐了哈哈
1704887577# #这是平台硬刚纯甄么？我勒个去，被取消资格的肖战和于适粉丝要乐坏了……哈哈哈哈而另一家在抵制……
1693187845# #结束一段关系最好的方式赶紧步入下一段doge
1698546895# #不知不觉，张艺兴的电影成就世界瞩目，电影孤注一掷在稀碎的世界里踏出了一条康庄大道……
1700647482# #田嘉瑞身上痒就去洗澡去吧
1704462664# #这就是街舞1.20澳门🤔
1696642252# #不想上班又要爬去被老板pua失望
1696235554# #人死后体内重要部分还能继续活多年部分构不成整体了……
1699409465# #HM先森家的HM啥意思？这词条不明白……
1694491194# #文艺片该不该追求票房哪家电影拍出来不是为了票房，别逗
1697260420# #山东超半数乡镇公务员想离职都是只是想……如果有更好的选择……
1704524551# #繁花好看么？最近营销势头挺猛的……
1699691900# #星穹铁道藿藿星穹铁道1.5立即一位队友的生命值并少量的治疗相
1696749729# #百米飞人谢震业与妻子甜蜜互动“太保蓝之队”小谢加油！。谢震业用9秒97证明了自己的实力，他在赛后，向自己的妻子鞠躬，感谢妻子的默默付出，这种互动真的很感人……让人热泪盈眶，久久不能平复……
1696490818# #田嘉瑞回应叫姐姐主要是你喊的太可爱了……我能怎么办
1694612164# #UFO真的假的
1694684476# #男子买彩票中5544万到手4444万天上掉下巨大的馅饼
1696302384# #我需要有人科普，谁是法老？谁是八贼？最近只在rs见过，传说退圈了……谁来科普一下？
1698071622# #四个孩子三个妈这算是中年塌方么？
1700815682# #非铁宝宝，再不来，我要双人了doge
1696857315# #把你的心我的心串一串，串成一个蝴蝶结🎀
1696768004# #今晚的ydl是开挂了么？居然有几个8W
1702809587# #黑龙江500多份幽灵档案被查又是有利可图才会发生的事情思考
1698072506# #章子怡曾说汪峰不敢出轨所以就去堵了？都不太好……
1695865202# #花西子得力得力硬刚花西子，爱看商战，请继续～
1703324298# #入青云陈星旭卢昱晓他俩倒是没问题，就是麻烦给男主配个合适的音，类似那个和彭小冉那个声音就行……女主服化道跟上……
1692095033# #狗仔要曝两个孩子的瓜谁是颜值天花板，万一爆出啦不是颜值天花板可怎么办，估计帅哥会被嘲
1690376956# #美国为何会攻击中国的地震监测中心可能在测试，然后攻击别的地方
1703076649# #天官赐福更新青鬼戚容，好像是谢怜表弟吧
1701429279# #叶珂前夫这位美女是想借黄的资源进军内🐟么？最近消息过多了，真正想低调的人应该像羽生结弦那样才对吧，扒不出来那种……
1694155995# #马斯克称iPhone换代毫无新意可是你用的🍎，不然你也做个比他好的手机？
1703858788# #张艺兴空降全球品牌代言人，这居然是真的……张艺兴Qeelin代言人
1699443862# #癫公癫婆使不完的牛劲怎么翻出这个剧了，哈哈哈哈
1699164313# #魏大勋说演艺事业才刚刚开始我知道他的粉丝叫xyy，我记住了666
1695279800# #张艺兴大航海无远弗届巡回演唱会什么时候来山东，钱已备好
1697362557# #好像对我来说也没啥影响吧，咱既不是大粉，也不是yxh，也没骂过人啥的，就一个暗恋张艺兴的散粉，有什么怕的吃瓜
1703732706# #卷生卷死的韩国人开始逃了还有比咱们更卷的么？让他来这试试……
1696732692# #蜜雪冰城称将偷餐者绑天桥示众8小时这都偷……是太好喝了，还是你太穷了……
1703984065# #2群铁粉进，💰
1698104307# #10.24早，今天要备货了看书也不知道备什么
1692668338# #北方人真的不吃挂面吗我现在天天早上吃面条，都要失去味觉了
1698763720# #看着还有那么多铁，这个月都在剪辑，要不，我再红回来？可是好累允悲
1704432280# #为什么唯独男团有那么多长得丑的成员因为他们没去东北招人，我看那边高富帅白富美好多好多……
1699850162# #王鹤棣你们好六团孤立嘉宾时家小宴可太逗了你好
1696595428# #最近的rs都是什么鬼？
1703978652# #我已经很勇敢了我也不遗憾2024年继续努力吧……
1703129192# #这酱园弄的粉丝被点名，孤注一掷的粉丝被表扬才是哈哈
1704038392# #2023年即将停止爱你，2024年会继续爱你，支持你，会陪你一起走
1693840810# #宫远徵年下小狗云之羽的宫3小绿茶居然是个糊糊么？连个超话都没有，粉丝群里也只有300多个人，姐姐我怜爱了抱一抱
1703770189# #向太宣布将出售耗时十年建成豪宅什么情况房地产风终于刮到豪门了？
1703839780# #2023十大涨粉明星这个排名不太对吧，田嘉瑞至少应该可以榜上有名……
1702002457# #脱粉这个词条底下，好多人，已经大乱炖了允悲
1697416173# #四川彝族乡村体育老师的足球梦想加油💪
1704167870# #尹锡悦回应李在明遇袭让我想起了贼喊抓贼的感觉……
1700150442# #11.17互动心扣1心扣2不回
1694959173# #差点忘记发包了
1704502068# #突然发现hyq的红真的不多了……
1695374545# #英语老师3天忘光所有单词查出痴呆症是不是年纪大了
1691198382# #8.5互动：有想做群管理或者嘉宾的么？1.想2.不想3.不知道👆来去自由兔子
1695348025# #卢昱晓让我知道聪明是演出来的多多营业，虽然剧结束了，但是花絮统统放出来嘻嘻
1696749865# #丞磊痛失艺名我一直以为这是你本名……
1694352011# #男子抢劫156元分赃30元躲进山洞14年我的天呢，这个人的羞耻心要比很多当官的好哎
1700130036# #我嗑的cp试戏也真亲我以为……原来是soso的词条允悲
1692873400# #富士山爆发若达5级东京会受影响富士山你要是有灵性，就麻烦喷个大的，求你了裂开
1700988371# #5个宝宝在哪里？还没铁的来一下，周一我要缩圈了……
1697335314# #大张伟偷拿妈妈丝巾送粉丝嗯……也还是有点意义的
1702483260# #12.14互动心扣1回心扣2不回(看清扣几，漏了私我)
1693830851# #云为衫宫远徵有感情线女主和小绿茶么？不！他只能是哥哥的……
1689607672# #互粉超话不取关，布雷艺兴的来
1701670306# #我的评分：星星星星星星星星星星。电影再见李可乐口碑跨年电影愿吴京和谭松韵在片中饰演一对父女，吴京说：“这个角色是在提醒我，无论遇到什么样的事情，守护好身边人特别重要。”影片从独特的视角看到了潘雁秋和李妍这对母女在痛失挚爱后，如何跨越这场家庭的巨
1691909283# #孤注一掷的后遗症当张艺兴演的潘升说我要走，我要自由的时候，看了一圈大家都没有动的，很像职场中为了碎银几两，忍受加班，心里不断的呐喊，我要走……黑线却走不了的窘境，有共鸣
1692518781# #灿星制作的下半年重点项目是《这就是街舞》《亚洲超星团》？那怪不得了，我担没空，到时候不要蹭我担热度，臭节目二哈
1696589636# #曝邓为陈都灵疑似恋爱这个事双方澄清了吧……
1693748214# #宫远徵叫姐姐这个人叫什么，有考古的么？有点疯批，有点带感，好帅啊
1694151664# #华为王炸想问好用不？主要是手感
1701081393# #刻俩萝卜章骗了300亿谁那么有钱？
1697262283# #大周六的，人是不是都还在学校呢……
1701836750# #阿信忘了话筒在哪只手不能分辨真假……观望
1703323975# #沙溢跑男退出就退出吧，也是很多年不看了……
1701393730# #喔赛4组掉了20个铁挖鼻
1699682371# #大学生招嫖被骗1500报警自首疯了吧……
1695090592# #李在明住院仍坚持绝食好执着的一个人啊，还是偷偷吃点东西吧，别真的故去了……那表演给谁看吃瓜
1692338472# #张伦硕为coco发声你要是明天被威胁了，就先发个666
1699239112# #误伤找我泪
1695391373# #转发微博
1696494970# #野良神复活吧我的爱人要出新番了么？好久没看了感觉……有回忆了……
1697434936# #大连，大麦，强实名……
1704085120# #越南网红教的捕猎方法这个我们学会了也没用，因为你捕一个，你就进去了哈哈
1704780946# #专家称中国经济处于青春期可能和世界相比吧，不能和之前的自己比……专家先选好参照物……
1695136596# #彭昱畅这位是跟我交往很久的女朋友挺爷们的，敢担当！
1700628106# #围炉烤橘放倒母子3人怎么那么有创意，烟火气也是需要开窗透气的
1699323791# #许凯啄米啄了一分钟soso的词条怎么都那么搞笑……允悲
1692578513# #莲花楼大结局reaction我要看莲花楼前传，要看开大的李相夷，要看奋斗的小宝
1694938265# #说过了说过了，双我就双我，我真的不会怎么样，你说说LH我干啥？哎呀，被我拉一次你号得多惨😱
1693131173# #证券交易印花税实施减半征收贷款利率要是也减半就好了
1694406224# #今晚，小绿茶被宫2伤了，好心疼……
1693064648# #祈愿：把今年所有的好运留给明天的cpa考试，60分万岁！中注协爸爸出的题都会，蒙的全对，60分，我多一分也不要，求🙏CPA
1701332765# #韩国公务员想升职得先生娃所以升职加薪困难，都躺平了，然后国力开始下降吃瓜
1702555647# #张若昀是我不要脸了其实演个大学生，研究生还是可以的，我喜欢他的演技，让我看着舒服😌
1692928388# #决战CPA我感觉我一键清空了我的大脑苦涩
1699004006# #莲花回应味精致癌谣言这个谣言我记得很多年了，我小时候就有，结果人家企业也还好好的呀，谣言止于智者
1704032462# #苏翊鸣大方示爱朱易这女的是谁费解
1700872262# #菌菌子要减肥的红包有钱就是任性！我往红包里塞了现金大奖，能不能抢到就要看你们对我是不是死心塌地啦！
1693399747# #备注改至800，新月254人，应该够了吧🤔……
1689035411# #爱宝诞下双胞胎爱宝以后会好辛苦允悲
1700615069# #合胞病毒怎么了这是，又要开始了么😱
1694145709# #哈哈哈哈啊哈哈
1699163858# #朴宰范你踩我脸上了不太认识……我有点脸盲，打扰了
1693832166# #饭圈扩关超话再月点互动，心
1698054972# #难听我以为谁又唱歌了或者发歌了呢
1692331351# #手里的淀粉肠突然就不香了卧槽，虽然知道，但是有时候那个烤肠的味道有点香委屈
1702641786# #查到80人掉铁了吃瓜
1701867056# #张艺兴新歌rise舞台怎么那么好听……
1696375557# #10.4互动心1.心2.不需要
1697068388# #男子举报一烟草厂长出轨并生女现在信息化社会，所以若想人不知除非己莫为……
1703675710# #成韩彬和章昊上榜……🤔
1700044809# #张艺兴，你头发亮了
1692406584# #孤注一掷票房破33亿小孤你长大了，收拾收拾，我们要出国留学了
1704767034# #1.9互动扣1.心没事来赞赞(回赞，原因在置顶)
1696761623# #乔振宇随地乱丢烟头作为公众人物，还是得注意，毕竟你的一言一行都有人看着……
1690037689# #听说8.25街舞总决赛在山东烟台？那艺兴会来么？可是我要去淄博考试苦涩
1696425378# #我也想参加音乐节单身狗
1691262818# #第一波震感明显，我醒了，还很蒙，第二波震感特别明显，老爸喊了一嗓子，瞬间清醒，连滚带爬，带哆嗦，赶紧穿衣服出门，啥也没带，预警说是横波，不知道还有没有第三波……人生第一次经历地震的我谁懂？
1692861022# #日本核污染水排海正式开始如果地球能够自救，麻烦地震海啸台风火山立马出现，人类已经不能自救了裂开
1697159892# #四川彝族乡村体育老师的足球梦想努力
1693909995# #千万别相信免费看手相不是免费么？他能马扁我啥？我是不是还需要重温一遍孤注一掷，又被套路了？
1703052254# #印度第一美女艾西瓦娅，因为身材走样，遭受了印度网民的谩骂和扣上“叛国”罪名！即使刚生完孩子的产妇，也必须保持苗条身材、红润脸色和神采奕奕的眼神，这是印度网友对女神的要求。面对攻击，艾西瓦娅坚持在网上分享生活照，享受当妈妈的喜悦。。生孩子前确实好漂亮允悲
1693654403# #马冬梅任北京市平谷区副区长这名字就赢了
1689489798# #张艺兴超话光听见演唱会和孤注一掷了，前面是啥？为什么是2分钟？你又去哪里了？能不能学学狗仔？人家都好长时间的doge
1701774466# #好来，我好不容易涨的☀️1分，就那么被那个便宜东西霍霍了，好烦
1692687404# #缅甸高官首度回应缅北诈骗商务部长啊，知道你急，但是先别急……
1693659845# #张艺兴超话我勒个去，36亿了
1697159901# #四川彝族乡村体育老师的足球梦想为了梦想
1699866362# #许凯内娱反姐狗统治者先锋其实喜欢看soso演现代剧，真的帅……
1689213467# #秦霄贤钓鱼把鱼喂饱了显眼包本包，哈哈哈哈哈哈
1694398090# #宫尚角的寝衣极致的诱惑
1696772184# #王楚钦战胜马龙夺冠我勒个豆，你成长了……👏👏
1701188113# #11.29互动此条需要补铁的私我3天，我不嫌烦
1702474197# #济南发布暴雪红色预警我勒个去，怎么办……我要请假😱
1693968864# #王大陆肿了你这是怎么了？
1702310460# #12.12互动：心扣1心扣2不(漏回私我)
1699682427# #沈腾江苏也不太好混大雅之堂到底是江苏还是浙江？哈哈哈哈
1701601583# #陈伟霆只要我不尴尬尴尬的就是张家辉挺有意思的，一个帅哥
1701336976# #陈牧驰站姐脱粉回踩站姐在这个圈属于稀缺资源吧，才脱粉可能是真爱
1693530448# #你能吃苦就会有吃不完的苦谁喜欢吃苦啊，还不是想通过努力换取更好的生活或者成就
1695254658# #9,21互动，心1心2.不需要
1702110329# #真正的放下不是删除拉黑最高的境界就是删除拉黑，眼不见心不烦，干净！
1703503831# #张艺兴将担任C罗中国行表演嘉宾是表演热爱么？
1693321070# #吴磊发现被狗仔偷拍的反应想问怎么区分狗仔还是粉丝代拍啊允悲
1703832356# #你觉得呢？
1703770240# #胖东来宣布员工将提前3小时下班虽然不知道是干什么的，但是能让提前走就很好……
1702446330# #接吻是谁想出来的看着很唯美，实际不卫生挖鼻
1692622015# #SVIP七夕节这玩意有啥用？没看懂多钱
1703604227# #人生若如初见空降正好剧慌……让我来审判吧哈哈
1694866473# #田嘉瑞超话你怎么那么好看，笑和哭都长在我的审美上，是怎么做到又奶又凶又茶的？doge
1690375286# #我太感动了，中通快递是除了顺丰外做的服务是最好的之一，别的快递都要不放在代收点，要不就自己签收还得本人打电话询问的，这是我收到的唯一一条说明原因代签收的，虽然我也没说同意，但重点是是人家是送到门卫的苦涩
1702373375# #跨年晚会真唱这个谁敢顶风而上，真就众矢之的了
1694163948# #今天不仅没增加，还减少了2个铁，差32个，惨惨的说的就是我了
1692352435# #我的天呢，有的宝宝不会不知道，自己删除自己的微博，次数多了，号也会pf吧？也会降权重吧？也会出现“已被多次删除评论”的弹框吧？
1700704414# #许凯都哭emo了嗯……这部剧怎么说呢，个人感受是他俩没有CP感。
1693817729# #每天评论260+.就涨了30个铁铁，数字倒是挺吉利，难受……谁还不是我的铁，速速来铁一铁苦涩
1692241655# #这条能不能冲100W？
1693486655# #张艺兴超话超了对吧？
1699785708# #霉霉跑着去亲吻新男友这年头鹰酱也开始买词条了么？吃瓜
1692876279# #日本核污水排海中国怎么办不然在海底打个格挡，或者有没有什么吸附力强的类似海绵那样的可以吸附辐射杂质的东西苦涩
1692368323# #那英曾吐槽好声音敢硬钢电视台会被封杀吧，这年头整的都不敢说真话了，如果一个大热的节目，常驻老是换人，就证明有大毛病……人家艺人不敢得罪你，直接以行程原因不接了，呵呵了您
1696685953# #韩国vs日本他们之间也不大友好，🇰🇷足球啥时候那么厉害了……？
1694066074# #刘大锤曝的宅男女神是周淑怡不认识
1697240119# #四川彝族乡村体育老师的足球梦想梦想
1689135533# #我勒个去，是张艺兴的莲
1701480735# #好来，我5组掉了40多个铁，已移出互动组了，明天就筛铁完毕了努力
1700229267# #有狐被禁言糊涂啊，怎么敢去央媒诉苦的，被突突了允悲
1700991164# #福宝公主明天见我以为福猪猪回来了呢，哈哈哈
1700373063# #我本是高山编剧回应这……什么意思？
1689294141# #互粉超话不取关，秒回
1695135054# #田嘉瑞超话那个云秀行是正在拍还是拍完了？我看妆造路透都还可以……
1692498322# #为什么睡够8小时还是很困请叫我睡神
1698158356# #不想陷入自证风波，单纯喜欢罢了，我不是黑子却享受了黑子的待遇，哎，真不知道我图啥……又被无语到，行吧……我是显眼包，我下个微博名就叫这个了……
1697805035# #张艺兴超话新鲜的，嘿嘿嘿
1692861861# #福岛排放核污水地区瞬时辐射量增加麻烦先自己死一死，那么想死，赶紧去死！别霍霍别人！该死的
1694098529# #小绿茶太可爱了污污
1701699537# #林俊杰肖战合照哇塞，大战什么时候去那了哆啦A梦吃惊
1702815675# #孟子义摔了这旁边要是老秦，肯定不能让她摔了吃瓜，不然容易跪榴莲，哈哈哈
1704428448# #一起联想AIPC希望未来的电脑能更加具有梦幻，未来的感觉，用最小的体积，比如手机手表大小，然后可以投影放大，然后操作，就是科技未来感，可能需要大家一起努力才能实现，我期待……
1695829887# #权志龙疑签约华纳唱片听说过名字，但是歌曲没太听过……
1696300602# #法老小号小浩被发现，挺那个的，也挺有意思的，这个确定不是为了复出作准备么允悲
1697338896# #巴以冲突已致中国公民4死6伤2失联落后就要被挨打，这个定律放在哪里都通用，希望战争尽快结束。
1701521325# #尹正自卑是男人最好的医美啊？难道不是自信是最好的医美么费解
1694233096# #为什么摘掉眼镜后听力变差了真的假的？为什么，没试过……别筐我
1693703335# #日本首相岸田文雄被检举他就是罪魁祸首，该撕拉撕拉滴
1701215801# #新闻女王被睡过的男人11点就得走逢场作戏，又不是真爱吃瓜
1691916274# #我勒个去，这不是肖战和王子异送给张艺兴演唱会的花篮么哆啦A梦吃惊
1699283468# #李现工作室为什么会出现争议？剧本好，接了不好么疑问
1695287476# #只有朴彩英续约YG这个团可能要散～
1694533364# #云之羽决战绿茶之巅角角，乐在其中……你赢了，看把小绿茶气的都跑去喝酒的了，哈哈哈哈
1699335216# #甄嬛出轨是我听到最荒谬的笑话这么一说……好像……难评，反正是爱情和面包的选择
1704800149# #内娱最认真的工作室这个词条底下都是讨伐工作室的，哈哈哈哈应该是最需要进步的工作室才对
1700703541# #花少团总行李超重118公斤哈哈哈，很好奇都拿的啥……
1701948598# #女生长期吃避孕药治痘致癫痫脑出血请按医嘱服用……
1700825309# #田嘉瑞红不红都要保持初心宫3是小田第一个角色么？演技厉害啊
1700186877# #各官方微信公众号怎么注销了？
1702000175# #五月天直播明明可以做的很好，遭受质疑才拿出真本事？不理解……
1695476693# #林陆骁南初在一起了好甜啊，期待住了……心
1692937137# #CPA题我都看不懂，27号怎么办苦涩
1694247018# #我就缺32个铁，再掉豆沙了
1693794014# #260+评论已发出，不的撕拉撕拉滴
1694745128# #男童撑伞从26楼跳下后奇迹生还这个事纯属偶然，不要因为好奇拿着生命开玩笑怒
1697358421# #Lisa给爸爸庆生这人成天挂这干啥，又不是孔雀，挂什么东南枝……
1702129990# #杨幂对接辟谣酱园弄客串这年头都流行溜艺人博眼球了么？果然掌握住流量密码了，还有那个难哄，成天闹哄哄的……
1699596917# #aespa回归谁啊？
1690367592# #去吧，皮卡丘
1699109301# #黄景瑜前妻再发文条件没谈拢？👂……
1697024194# #papi酱追星有这么严格嘛哈哈
1699407058# #曾黎停止这场闹剧吧快变回来……😱
1703246187# #TODS致歉怎么了，肖战不一直是全球代言人么疑问
1699231561# #陈楚生披荆斩棘总冠军啊？又得冠军了？祝贺
1691806772# #长相思开创了一种新型追剧模式请问这个剧好看么？大概讲的什么东东？
1692544403# #我担有电影作品了，是不是可以叫实力派了
1699509767# #以爱为营秀才和一笑倾城今晚要吻了么？
1691133259# #还差一个千人群管理，有报名的么？
1700304463# #香港演员曹查理就为电诈头目庆生道歉啊？前段时间报道的原来是他啊……
1696832345# #林更新疑新恋情曝光嗯……祝福吧
1699622993# #公主不需要随从，王子不需要女婢，这个kp文案还蛮有意思的，哈哈哈哈
1691268907# #余震为啥地震和暴雨常同时存在
1703933470# #2000个铁，2000Wydl？不做大粉和yxh谁能达到啊？你逼我选边站队呢？
1691797567# #感受：。看封神：都是千年的狐狸，玩什么聊斋。看巨齿鲨：原来鲨鱼也有感情。看热烈：资本永远压你一头。看孤注一掷：东南亚还是别去了
1691847336# #可是他喊莲姐姐哎抱一抱
1691236881# #移动有个加油券，我觉得很实惠，能便宜10块，现在中石化95的油费真的离谱了，快养不起了
1696295776# #张艺兴美拉德裤子这个是品牌的名字么？疑问
1692541830# #吃过最难吃的水果是什么黑布朗，没有之一，壁垒水果第一名
1695299935# #黄健翔今晚国足应该是一场胜利缅甸今年一直处于风口浪尖，再不赢，发配过去吧吃瓜
1697372598# #看到吵架了，好像很激烈，应该没人在意我吧，没人sj👀我吧？毕竟经常被打成yxh，yxh就是我的保护色🙏
1699423026# #董明珠称孟羽童兼职接广告不合规虽然不认识这个人，有利可图，所以才做吧……
1700202461# #谁还不是我的铁……？放假的，放学的宝儿来给我扣个1📢📢📢
1693639911# #水豚叠叠乐水豚，你火了，你和孤注一掷主创互相成就吧
1698070475# #妻子的浪漫旅行离婚率堵的话真的不行……
1703902803# #任子威学韩语了这还是那个当初笑话🇰🇷摔倒的么？主打一个自己人是吧笑cry
1692625789# #好声音为何不再被叫好黑幕太容易看出来，你当大家耳朵聋啊允悲
1697725027# #为什么天气越冷越不想起床被窝里暖和
1696990380# #世界儿童日关注
1698629373# #不用关注我，觉得剪的好，看看或者点个👍就是对我最大的鼓励，剪辑内容只是我刚好看了，不代表粉籍心
1702811238# #张若昀小露香肩我以为这是夏天的穿法，毕竟夏天热，可要是现在，我想说，不冷么费解
1694838026# #国内出现女性猴痘感染者专家出来说话，真的害怕……
1699880762# #iPhone15双11最后两小时降价买的永远不如卖的精吃瓜
1690594457# #互粉超话不取关，秒
1701935091# #是的
1703849687# #和张艺兴点亮微博之夜这个词条是干什么的？为什么都在发费解
1699717869# #张艺兴奶黄西装被电到了，你是皮卡丘还是雷丘
1692941727# #cpa我现在大脑空白了，什么是常规苦涩
1697940534# #田耕纪为什么能火好看不？还没看……好看的话，我给他剪一下试试嘻嘻
1700659963# #文春称羽生结弦是妈宝男好像听说过……
1692685446# #219
1702551971# #张艺兴首部一番男主，年度焦点电影而已，这是戳了谁的心窝子？又来黑他二哈
