1688479652# #有感。。文有胡锡进，。。武有马保国。。中文互联网，。奇才不可缺。
1690788636# #2008年12月6日，公安部督办洛阳文物盗窃大案，即12.10大案。局长张太学立即组成12.10文物盗窃案专案组，紧锣密鼓开展工作，很快就查清了洛阳宋氏兄弟盗窃文物的事实。当进行抓捕宋氏兄弟时，宋氏兄弟，已经闻风而逃。据说，局里来个神秘电话。。很快，张太学局长被调到省防空办。省里又来了一个“清查小
1693045042# #大妈追着大爷问：“前列县在哪？”！。大爷说：“我也不知道前列县在哪，你去哪里干什么？。大妈说：“刚才听医生说，前列县发盐，我想去领点”。大爷说：“那就去缅北，缅北还有很大的空间。”
1692597822# #负可敌国的许家印，最近斥巨资2.1亿英镑购入伦敦市中心一豪华房产。负债2.40万亿的许家印，还能在国外购豪华房产，希望大家参加讨论，发表自己的意见！
1693813142# #许家印，在恒大，就是一个土皇帝。副总，响三声未接电话，就会罚款2万，天马行空，唯我独尊。恒大的结局，一定是，许家印继续富有，把大窟窿留给中国人民。
1699510966# #中山二院乳腺外科。原以为中山二院能正确处理问题，让第三方调查，该是多么好啊！但是下面的操作却有不少问题。请二院领导回答。。黄女士被确诊胰腺癌，情绪不稳定，而是很严重。而被导师踢出群，到底怎么回事？。苏导师是苏逢锡的侄子，宋尔卫院士的儿子中学就发表三篇sci，又是怎么回事？。说的好好的，
1696832129# #2023年诺贝尔奖已全部揭晓。没有出现黄维院士黄校长说的，中国获奖，是家常便饭。真的让人很失望。。中国人不乏人才，竟无人获奖，于是就有人怀疑，诺奖被西方控制。我们的胡锡进有数学等式理论，陈平教授有不等式理论，张维为有赢两次理论。怎么就不能获奖？有人在头条发信息，张维为陈平获2023年经济
1699144394# #金灿荣：今天还想着“韬光养晦”不行了，中国“韬”不下去了。这不是公开反邓公吗？。金灿荣把批评他的人污蔑为“恨国党”，要把他们送美国去。照金灿荣的逻辑，应该把他送到塔利班和哈马斯去。
1695716246# #鲁迅先生说：他们这群人，又想吃人，又是鬼鬼祟祟，想法子遮掩，不敢直捷下手。真是令我笑死。。指鼠为鸭的江局长，猥亵中央下派女干部的李县长，信阳公安局的买官者名单，北极鲶鱼爷爷，什么时候出结果呢？，你们不是说，立即进行调查，及时向社会公布吗？马上就到中华人民共和国成立74周年国庆了。。舆
1703395858# #一位年逾70的老人，冒着大雪，驾驶三轮车去30里外的县城去卖大枣，在返回时，于保定G234国道在寒冷中离世。这一幕，真的让人很悲痛。愿天堂没有寒冷。。不知道维维豆奶会怎么说？
1698396154# #最近，某些人的脑袋被马户踢了，研究起亚里士多德的真假，牛顿的身世。。人称金秃子的金教授，神预测回回不准，说亚里士多德，是西方造的假。还有人研究牛顿是纯正的中国人，是朱元璋的后代。。以前人们总说风马牛不相及，金秃子们，真的被马户踢了脑袋，才搞出他们的玩意。
1693720406# #现在农村有一种普遍现象，凡是子女有出息的，大都不在老人身边，要么在大城市定居，要么移民国外。。这些老人，看起来很风光，他们自己说的，得到的是名誉。不是有这样的段子吗？两个儿子，一个在北京，一个在上海。老大说，让我们去北京，老二说，让我们去上海。老大在上海，老二在北京。结果，我们哪
1694064552# #本是午钢有名的青梅竹马的一对，许家印和丁玉梅，共同创业，共同致富，模范夫妻。但他们的确离婚了，是感情破裂，非也。你可别小看许家印，人家才叫狡兔三窟，尔奈我何？离婚后，丁玉梅去了美国。许家印早有准备，资产个体化，债务社会化。丁玉梅在美国依然是富豪。国内，债务抛给百姓，人家在美国申请
1700032437# #沸沸扬扬的中山二院事件，这两天销声匿迹了，看来已经把事摆平了。但是，真的撤除实验室有何后果呢？。一是实验室的试剂会不会致癌成了谜，也就永远不能有纠错的机会。。二是以后的癌症防治或草木皆兵，或有癌症的乱投医，被骗子割韭菜。
1701163755# #看到朱令弹琴，越看越心疼，多么优秀的孩子，天才少女。朱令父亲已放下朱令案，无奈之举。
1702087209# #年终了，思考一个问题，百姓与政府的关系，可以说是百姓纳税养活政府。百姓和政府是主仆关系，百姓拿钱买政府服务。我们党把政府官员叫人民公仆，宗旨是全心全意为人民服务完全正确。河南内乡县衙，封建官吏就明白，是“吃百姓之饭，穿百姓之衣”，可我们有些公仆，却把二者关系弄颠倒了。曾有个退休干
1699920929# #嗨，有人把易中天黑的最惨，易中天何德何能，能和震古烁今的当代圣人相提并论？。当代圣人。从不说谎司马南，。文坛巨匠胡锡进，。网络大厨卢克文，。眉山流氓叫陈平，。学养深厚张维为，。神机妙算金灿荣。。易中天离六圣相差十万八千里，决不能相提并论，六圣代表当代良知，易中天不能！
1694758099# #九十年代，3000封举报信，致使华为頻临倒闭。李子彬市长果断下令，不再受理没有根据的举报，刹住了乱举报的歪风。现在，也存在乱举报的歪风，这不仅仅是群众斗领导，还会群众斗群众，造成人与人关系紧张，社会不稳定。对于举报，应该学一学李子彬市长，分清是非，对错，严厉打击那些恶意举报的人。
1696901710# #上世纪九十年代，我的一个同学被提拔为县地名办公室主任。见面我说：“祝贺老同学高升。”他说：“高升？这真是清水衙门，一没权二没钱。”的确，名曰地名办公室，只有两个人，一个主任，一个副主任。办公室只有一张桌子，两个椅子。想喝一瓶矿泉水也没有呀！。最近中央纪委通报，都有靠×吃×。杜兆才“
1695780175# #有一位老人很不赞成大学毕业生千军万马去考公。他说，什么铁饭碗，说不定什么时候，泥饭碗都不是。地方政府，土地财政已经到头，地方债又那么多，一旦崩盘，政府就是恒大，你考上公务员，还有饭吃吗？老人的话，也许有道理。
1692775812# #“十年之后，像诺贝尔奖这样世界级重要指标，在中国将成为常态，而不是个案。”这是院士，南工大校长黄维说的，真的是信心满满。。十年过去了，诺奖在哪里？别说常态，有一个吗？大概校长患了海燕综合征吧！心里总念叨“让暴风雨来的更迅猛些吧！”否则就会彻夜不眠。。其实网民早给院士安排了标准答案：
1690109033# #农民田里种香瓜，售卖条幅地边挂。。种田不能发广告，城管立马就拆掉。。底层民众生存难，用权发力最容易。。如此欺负最弱者，城管已经无良知。
1697936753# #有一种腐败叫美容腐败，女官员美臀花50万元。。而江苏那个外卖员，因交不起40万手术费伤了命。。这真是，女官员屁股臀子值钱，穷人的命不值钱。
1689259152# #这难道真是年轻人的生活吗？。一个年轻人房贷400万，失业了，跳楼身亡。70岁的老母亲抱着骨灰盒哭的死去活来。。白发人送黑发人，老人也很悲惨。
1700396804# #中美关系希望在人民，基础在民间。司马南，卢克文，陈平，张维为，金灿荣都是破坏中美关系的人，应该严厉进行打击。“这就是中国”节目，是阿谀奉承，自吹自擂的虚假中国，应立即停播。
1700967323# #孩子，你是清华才女，。人生五十，生命垂危，。可惜呀可惜，实在可惜！。我们记得，孩子，。你的荷塘照，。你翻译的大麦歌，。你是如歌如画的美女。。那时，能考入清华，。人数少之又少，。才女当之无愧，。孩子，我们对你，。恋恋不舍。。不舍你的才华，。不舍你陷入地狱。深渊三十年，。不舍你来人间受难一趟，。不舍
1698147766# #转发微博
1689740642# #皮带：“这是赤裸裸的羞辱”
1702892199# #2023年中国十大媒体新词语。1生成式人工智能。2全球文明倡议。3村超。4.新质生产力。5.全国生态日。6.消费提振年。7.特种兵式旅游。8.显眼包。9百模大战。10.墨子巡天
1700138484# #据可靠消息，11月11日，河北孙大午集团的孙大午的夫人刘会茹女士，从监狱走了出来，她曾因非法集资罪被判三年。应该是无罪释放。。但孙大午先生及儿子，还有下属仍在监狱里。他们的罪名有两条，一是寻衅滋事，破坏生产。一个民营企业与国企发生土地纠纷，就来个拉偏架。二是非法集资罪，大午集团吸收的
1703137065# #故事。女子B.35岁，结婚5年，生一男孩3岁。近年老公不顾家，长和男小三在外面厮混，她怕染上艾滋病，想离婚，走进律所想咨询一下怎样争取孩子的抚养权，以及财产分割问题。律师一一做了解释。。过了一个礼拜，律师想帮助B就给她打电话联系。B接电话说“不用了。”律师问怎么回事，B说：“昨天，老公与男
1696236560# #昨天的微博，写的是成都一口痰丧命的事，结果大量被转发，点赞，阅读在50万以上，有网友告诉我，是。谣言。还有公安局通报，说是不属实。于是我就把它删除了，谢谢网友的关注。
1696305355# #鲁迅先生就是民族魂，就是中华民族文化的方向。学习鲁迅先生的批判精神，为实现中华民族腾飞而奋斗。
1703831047# #禁言，是互联网产生的汉语新词。是制止或禁止各种语言。。如今，禁言的运用越来越广泛，弄成不符合自己的看法，就禁言你，大有社会只有一种声音之势。把一些真话实话都禁掉了。。一个正常的社会不能只有一种声音。只有一种声音的社会是不正常的。不正常的社会就会产生恶果。。中国公民有言论自由的权力，
1696053877# #春秋家：有这样一位有权势的公公，的确可以躺平了。但，这是不是恶作剧？当地纪委应该查一查，是谣言就辟谣。
1694591960# #一则微博，于建嵘教授自始至终关心着孙大午，不管他有多少缺点，都应该善待他，以事实为根据，以法律为准绳。引起了网友对孙大午的热议。。孙大午被以寻衅滋事罪判刑18年，大午集团资产已被拍卖，大午集团已改姓。。如今，不少人在为孙大午鸣不平。有的说，孙大午是良心企业家，他没有坑害百姓和他的员工
1702165320# #东方卫视，加个“中国研究院”，一个主持人，加上几个固定的吹家，捣鼓出一个节目“这就是中国。”。他们天天研究批判别人，别人都是一无是处，自己无与伦比。对国是民生没有一丁点真知灼见。这样是，能把中国研究好？如果这样就能把我国建成和谐稳定，茂荣昌盛，幸福文明的国家那才怪呢！。东方卫视，假
1695097283# #今天再说说河南“刁民”何光伟。前媒体人何光伟，根据行政信息法，状告信阳公安局不公开买官者名单。一审时，法院有领导说他不爱信阳，因为他是信阳人。如果爱信阳，就不会去告那些卖官鬻爵的人。后来，因为疫情和生计的原因，何光伟没有再起诉。更早的时候，河南法院某领导列一个“间细”名单，他被列
1699929933# #老百姓有很多困惑：和尚睡主播，科学家们干什么？。有个郑院士，是肝病专家，搞肝脏移植，挽救了很多的生命。但他的论文中有586例肝脏移植来源说不清，到底是谁的肝？这会不会产生器官的非法交易，一旦，有了器官非法交易的市场，又会有多少人受害？。有个孙院士，专门研究添加剂，说是中国人舌尖上的革
1698931883# #四吹新秀项立刚，中国科技超美国。六千文字怼院士，自不量力是狂人。
1702772465# #轻松一笑，马上开窍。。单位的路由器坏了，有人在小黑板上写了一行字：“陆游气坏了，。又过一会，下面又多一行字：找欧阳修，。过一会，又多一行字：欧阳修不好就找王之涣。。此时又多一行字：王之涣不了，就找蔡元培，。。这时，一个保洁阿姨说：蔡元培不了，就找许家印，要多少，印多少！
1697622265# #看到两个视频，心里极不好受。。一是广州财政原官员，在法国有500亩庄园，庄园极其豪华，这得多少钱才能拥有？。而是山东济南一33岁的年轻人绑住双脚，从40米高架桥上跳下自杀。。试问，那些富人，真的是靠勤劳和智慧创造出来的吗？。那些因贫穷而自杀，走投无路的人，都是懒惰和愚蠢吗？。老百姓真的希望来
1700098948# #近日，各地启动国道收费站。专家说，当地百姓大部分都同意。。不知道专家说的“大部分”在哪里，怎么都这么缺心眼，少一叶子，都这么250？以前古代小说里“路是我修，树是我栽，拿买路钱来！”就是劫道的，人人害怕。现在没有劫道的，心里不乐意，迫切需要劫道的。。这些专家，真是不食人间烟火，古人说
1703547681# #昨天的微博，一则阅读为1一则阅读为0。再发一则朱令三个室友的简单情况。。一，孙维，改名孙释顔，出国。。二，陕西籍刘庆，出国。。新疆周鑫，改名金亚，广东某大学任教授。。三个室友，二人改名，二人出国。。可怜朱令难以言表苦了30年，正义未来，。朱令去世，别了朱令，愿天堂没有恶人。
1697760593# #看了一个数据，前三季度，全国居民可支配收入29398元。。。微观感受与宏观数据。不可避免存在鸿沟，但宏观应该是微观的合成。。数据真的很吉利，但农民，城市低收入者都达到这水平是不可能的。平均的数据是很好看的。。你的可支配收入拉后腿了吗？
1695949449# #看到一个文案，说的是农业银行浙江分行副行长吕晓东主动投案，表现了对党和人民的高度忠诚和诚信。这也许是恶搞吧！贪污腐败，怎么能是对党和人民忠诚和诚信呢！或许一个初小水平的也不会写出这样的文案。
1702951255# #网红，有些人疯了成了网红。有些人成了网红然后就疯了。。曾经，小姐，多么好听，也不是一般女孩子都能称得上的，那都是富家的女孩子才能称得上的。可现在你叫女孩子“小姐”，会被骂得狗血喷头。以后，网红会不会成为骂人的话？
1694660531# #河南信阳，卖官者服刑，买官者继续当官。信阳公安局不愿公布买官者名单。不属政府信息。。深圳，北极鲶鱼爷爷案，不属政府信息，结果不公布。。这叫不叫权力傲慢？都是为了保护贪腐的官。
1695208857# #舆论监督算个屁！他们都在拉硬弓，我就不，尔奈我何！
1691125812# #转发微博
1690704937# #蒲松龄《罗刹海市》
1699412040# #满屏都是中山二院，而且越挖越深。网传乳腺外科多人患癌，涉事苏教授连说三个“完全是造谣。”导师宋院士被揭其儿子初中就能发表三篇sci，一路顺风，天降奇才。。这些都是真的假的。让子弹先飞一会儿，有了事情，总不能自己调查自己，都是自己说了算吧！
1689000416# #曾孙：你100岁生日已经过了，你经过的事情多。我想问问你太爷。2002年，中央决定，取消农业税，不再交公粮，不再交提取款，你认为怎么样？。曾祖：不交农业税，还给农民补贴，开天辟地第一回。还是共产党领导的好呀！历史上从来没有过。。曾孙：太爷，你认为现在农民真的幸福，吃不完喝不了吗？。曾祖：农
1691469040# #宪法大，也没有某员大。他们随心所欲，一拍脑袋，说说限就限，不须解释，手中有高科技，叫你零阅读。说删就删，理由是有人投诉。凡阿谀奉承，歌功颂德，大话空话鬼话，就是不说人话的却大行其道。说实话讲真话，想让社会变好的，就说你负能量，禁言一月，三月，半年，或永远炸号。媒体平台还有希望吗？
1700612447# #昨日，深圳医学科学院在光明云谷国际服务中心宣告成立。中科院韩启德，王志珍，陈竺三位院士，深圳市委副书记，市长覃伟中和首创院长颜宁为深圳医学科学院揭牌。。首创院长颜宁今年还当选院士，可喜可贺。祝贺颜宁双喜临门。
1690535558# #庚子年春的一天，。一年轻农民全身浮肿，到gs人民医院去看病。。医生说：“你没病，就是缺一样东西。”并张开嘴巴，用手比划一下。。农民点头，说“是”。。此事被汇报上去。领导发话：“让他闭嘴！”。于是，医生被抓起来，判刑8年。。真事，绝不是虚构。
1696214835# #笑一笑！。某山，大师11个老婆，方丈9个老婆你还去那里烧纸吗？。一个老人病危，孙媳妇一伸懒腰，孩子早产，一个胖娃娃。老人睁开眼，看见了曾孙，笑了笑，去世了。。许家印风光时，家乡立了一个功德碑。许家印被抓，很多人说，他毁就毁在这个碑上，活人谁都承受不起。
1692623970# #知乎：沪深股市，国人的缅北，胡锡进就是给你打电话的人。让人讲话，就是一种进步。张维为，陈平就是生活在谎言里的人，你永远叫不醒他们，就让他们胡说八道好了。司马南，就是个现代义和团。不禁言他，就让他说去。希望禁言不再，大家尽享言论自由
1688274207# #高等学府里的卫巫。卫巫产生于周厉王时代，以监谤者，以告，则杀之。国人莫敢言，道路以目。。在我国高等学府也产生了卫巫。在某重点大学，中国的爱因斯坦束星北先生，有一个学生Wzg，绝顶聪明，束星北先生说他的天赋甚至超过他的另一个学生，诺贝尔奖获得者李政道博士，前途不可估量。就在这时，神差鬼
1699583628# #笑话二则。一，住持与女主播发生性关系被敲诈320万，而后被撤销政协委员职务。。住持心里不淡定了，说：我没有与她发生性关系，我是插进去了，然后就自动出来了。几次都是自动出来的，怎么叫发生性关系？这叫僧道，正能量，撤我会长，政协委员，我要上诉。。二，有一人高呼：。张维为说美国五个没有，就能
1691195361# #密集表态，开发布会，是不是都在搞形式主义？这几天，有几个小虫且，粉丝最多是4，骂人相当狠。对这些小虫且立即拉黑。
1699835164# #这是一个令人震惊的新闻，一件令人深思的案件。。河南鹿邑县原公安局党委委员，政治处主任邱海山，利用手中权力，将自己1993年出生的女儿，伪造为1988年出生，并伪造2003年原开封警校入学档案，及毕业生分配表。顺利将女儿安排进公安局，堂而皇之地入编，领工资。成了8岁上警校，10岁进公安局上班的奇女
1692759383# #很多人开口就骂人“公知”，但不知什么才是“公知”。老胡说他要当公知，孙立平说他不配，你有良知吗？。如果把“公知”定义为接受过高等教育，肚子里有点墨水的人，可以说，“公知”到处都是。。如果说，“公知”必须具有自由民主精神的话，真正的“公知”是微乎其微的。金灿荣算不算“公知”，当然他不
1689843531# #烟草人的饭碗不仅被称为“铁饭碗”，而且是“镶金边的铁饭碗”。广东汕尾市烟草局局长陈文鋳被查。整个汕尾烟草系统至少有22人是陈文鋳的亲属，有袍弟，堂弟，妻弟，表弟，有袍妹，堂妹，妻妹，表妹，还有弟媳的叔叔……烟草系统的重要部门财务，营销，审计，监察都是他们家的。如果有部门，不是自己人
1695199751# #“奴性极重的人，对同类一定极其凶残，因为它们从奴隶主那里失去的自尊需要从同类中得到补偿。它们对上卑躬屈漆，对下就嚣张跋扈。”这是鲁迅先生说的。。网络时代，也有不少奴性极重的人，比如大V卖盐婆，带鱼等，他们都自我标榜自己是正能量，爱国者，他们不许别人说话，动不动就给人扣上“反贼”的大
1702513435# #1967年某地公判大会。。一个叫赵安良的农民被绳捆索绑，押上台。胸前挂着一个大牌子，上面写着“自制熟食，投机倒把的坏分子赵安良”。。什么是自制熟食，其实就是蒸个馒头烙个饼，去卖，在那时可是重罪，叫投机倒把罪。。只见赵安良耷拉着脑袋，脸上充满着艰难和迷茫，一副生无可恋的样子。公判大会之后
1701408373# #中国为什么不能出马斯克？有人问，美国为什么不能出许家印？。因为美国出不了许家印，所以中国出不了马斯克。这是土壤问题。
1700439825# #当代四傻。对从未见过的人恨之入骨，。对从未做过的事引以为傲，。对吹捧出来的神纳头便拜，。对画而未得的饼感恩戴德。。一个只有粉丝的人看到我的微博，说，你是个臭公知吧！
1693465569# #选姑炒姑，争赚姑钱，姑不争气，三千不离，姑钱难挣，姑民怨姑！
1690092716# #十几年前，网络上活跃的是马云，马化腾，雷军，李开复，潘石屹，王石……激励人们去拼搏，去创新，去投资，，那真叫意气风发，斗志昂扬，一派欣欣向荣的景象。。如今，网络上横行的是姓无定，预判金，龟头李，两赢张，变色龙，两恢张……鱼鳖虾蟹，都是危大思想家，讲国际形势，吹武统，议俄乌冲突，大
1698890477# #近日，加拿大渥太华发生一起凶杀案。华裔富豪苑刚在自己家的别墅内被害，被人刀卸108块。警方很快破案，将凶手抓捕归案。。苑刚原籍河北，靠自己的精明，很快成为富豪。苑刚的表姐女儿，也就是苑刚的外甥女赵一铭前来投靠。那时，赵一铭16岁，犹如出水芙蓉，大长腿，苑刚一见，感觉浑身酥软。苑刚将外甥
1703815197# #人比人，气死人。勤劳致富？要要富，靠一个有权的人就足够了。原央行金融货币司司长孙国峰透漏一点政策，就能发财。有个好亲戚，也能发财呀！2022年4月12日，保定芮溪科技有限公司注册，注册资金7亿。2022年4月15日，芮溪独家拍得大午集团资产。人家经营30年，随随便便就被拿走了，仅仅用了三天。发财
1697076497# #两赢张真是大家，他把世界分为中国和外国。他说，我国老百姓对干部要求很高，外国对干部要求很低。。两赢张真是睁着两眼说瞎话，不以为耻，反以为荣。。最近，北极鲶鱼爷爷退休16年，被开除党籍。科普了孙女坑爷爷的闹剧。中国老百姓对干部的要求就是要他们有个底线。只要求他们限制规范权力运作，公布个
1698650183# #暗地里禁言，有木有？你可以发表Wb，你可以看见你自己的wb，但你不知道的是，别人是看不到的。这就叫“可见性过滤”，也可以说是极端的偷偷禁言。
1688346712# #西安交大年轻的书记为校长打伞，和谐的场面，是世界之光，这里应该有掌声。不得不想起那个死的不值的成都大学书记毛洪涛。他和校长王清远，可是水火不相容。说他死的不值，因为调查来调查去，最后调查出一个清廉的王校长。
1698215718# #12年前的10月21日，“小悦悦”事件震惊全国，18个路人路过却视而不见。。小悦悦去世后，时任广东省委书记的汪洋说：“小悦悦事件，揭示了我们的发展方式的弊端，要忍住伤疤刮骨疗的痛，唤起全社会的觉醒和行动。”。时至今日，社会风气好转了吗？答案是否定的。老人倒地没人扶，小孩出事，没人管。小悦悦
1701646904# #李昌平先生说：为人民服务，怕犯错误。为人民币服务，坐牢都不怕。要打破这种困局，必须还权于民。。李昌平先生说得好，现在的确缺少敢想敢干敢闯敢试敢为人先的干部，为人民币服务胆大包天的却大有人在。这种困局，必须打破，首先就是还权于民，由人民来监督权力，由人民说了算。
1691045241# #我真的不明白，柬埔寨洪深父子的事不能说，被自己可见。血淋淋的教训，也不能说，洛阳卖菜老农被罚11万，不能说，说夹头反民营企业也不能说。你们是用高科技来限制言论自由，高，实在是高！
1697335210# #河南几件事。（1）河南某地一厕所，3个人，2个官，一个干活。有厕长，总厕长。这是有史以来从来没有过的官位。官本位，唯上的腐臭，简直熏的人不能呼吸。。（2）河南洛阳市文旅局刘女副局长照本宣科，四郎探母成了四母探郎，难道是秘书写错了，还是刘局长无知？这到底打了谁的脸？。（3）河南一女子，存款
1703377907# #1997年5月，北京大学发生了第二起铊中毒事件。两位同学被其同学投毒。与朱令案不同的是，两位铊中毒的学生是投毒者亲自送进医院的，并且承认自己投的毒是铊，医院及时抢救，对症下药，两周后，两位同学康复出院。。朱令案，除了投毒者，医院是不是有误诊，学校对实验室的铊管理不善，朱令铊中毒后没有保
1696905991# #今天看到一幅画，李显龙大街上和普通老百姓一样排队买鸡翅，没人惊讶，没人围观。这真是事成拂衣去，深藏功与名。。李显龙总理任上，没利用特权，退休后没享受特权。。这是在民主自由的新加坡，李显龙真是好样的！他没有靠权吃权。
1692680393# #有不少人在研究，贪官都是坏人。但他们没当官之前就是坏人，还是当官后变成坏人的呢？。查很多贪官的简历，他们当官的初期，手中的权力有限，表现相当不错，口碑也很好。一旦有了绝对的权力，就会产生绝对的腐败。看看他们一窝蜂的跳楼，以前权力膨胀的时候，他们哪个不任性，哪个不是用权会收敛一点。
1698842072# #郑州一00后女教师自杀，引起人们的强烈关注。据女教师家属透露，女教师留有遗书，进入所在学校，就像进了牢笼，压力很大，经常被压的喘不过气来。。女教师说的情况，在二三线城市和广大农村学校，尤其北方，存在相当严重。。归结起来，就是教育的官僚主义和形式主义。一是官僚主义。校长本来不属于公务员
1689919008# #夹头如今可是千夫所指，但他却岿然不动。因为人家以前姓于，曾认司马迁为祖宗，改姓司马，其实人家还真的姓ZHao
1698795310# #张维为谈后美国时代，美国自己把自己孤立起来。中美关系处于相对缓和阶段，要把中美关系稳定起来好起来。张维为到底是何居心？
1688196498# #小时候，我认识了袁世凯的仆人王牛，因为我和他的孙子同班同学，常到他家去玩，听他讲袁世凯的故事。特别是龙和团鱼的事，至今还记得。。王牛讲：1915年的一天，我给袁老爷送茶。说是茶，咱河南人根本不喝茶，茶就是白开水。这里的茶，其实就是参汤。我端着参汤进入，突然眼睛一花，摔倒在地，杯子摔烂
1703981529# #2023年最后一天，笑一笑吧！。副厅长老苟，竞争厅长，一个晚上做了三梦：一是下雨自己穿雨衣还打着伞。二是墙头上骑自行车。三是同小姨子背靠背裸睡。。老苟让妻子解梦。妻子说，一是多此一举，六个指头挠痒，多一道子。二是走投无路。三是痴心妄想。看来，你升正厅无望。老苟立即病了，病的很重，住进医
1703139473# #有网友刚刚发博，说当代四大才子评选，胜出者是司马南，胡锡进，王德峰，张维为。我反对，人以群分，物以类聚。王德峰的确不够格。应该换上其他人。大家说，换上谁最合适？
1701673899# #古代十大才子，李白，苏轼，屈原，王羲之，司马迁，杜甫，王勃，吴道子，辛弃疾，曹植。他们创造出许多名垂青史的伟大成就，让后人高山仰止，无法逾越。。如今也有所谓的当代才子，个个沽名钓誉，信口雌黄，混淆视听，满嘴谎言，大言不惭，最终目的，就是捞钱。鹿力陈平，搞物理的，毫无建树，靠说大话
1693204833# #胡的名字又多起来，胡锡进，胡锡退，胡锡底，今天又有一个新名字胡锡麻，是不是赢麻了，不会卖腰子了。难道他真成了股市的晴雨表？对，他还有个名字叫古易井。
1698304672# #农村居民人均收入1.5万元超过城市居民。农民好，一切都好。总而言之，言而总之，形势一片大好……
1696984158# #10月10日，华北理工大学学生反映食堂饭菜中吃出疑是老鼠头的不明物体。唉，都会说监管，监管怎么这么难。那个信誓旦旦公开指鼠为鸭的局长，处理了吗？，至今未见报道。指鼠为鸭这是经过省联合调查组认定的，路人皆知的事情，都不能处理，难怪食堂饭菜中还会出现老鼠头？
1696908310# #终于有了消息，北极鲶鱼爷爷被开除党籍，按二级科员确定退休待遇。试看信阳市公安局会不会公布买官者名单？买官者继续在买的官位上，害莫大矣！
1692268250# #拼经济靠嘴，，发展壮大经济靠文拼就业靠词。病中隐约听说：
1697157472# #河南信阳市公安局弓拉的最硬，前媒体人何光伟坚持四年诉其不公布李长根卖官案，买官者名单。有消息人士称，买官者现在还在买的官位上。信阳市公安局继续拉硬弓，我就不，能奈我何？
1690362755# #有位父亲很悬殊，女儿没了竟不哭。。来龙去脉细分析，淡定被骂上热搜。。领导你在干什么，没有无理取闹话。。爱女被压在废墟，心痛岂是常人受？。二。分析视频6分钟，字字都用嘴唇咬。。说话都是眉抬起，唯恐泪水滴下来。。假如让他一人处，泪飞顿作倾盆来。。请喷子嘴下留情，不要网喷好父亲。
1688532696# #北京政法职业学院那个见义勇为的李敬言，退学了。这个学院领导如此纵恿霸凌同学的学生，迫害见义勇为的同学，他们的脑子是不是有问题？
1695953105# #鲁迅先生说：如果动物光吃不胖，它的肚子里一定有蛔虫，如果人民勤劳无法致富，那社会一定有吸血鬼。。满屏都是许家印，眼见他起高楼，眼见他楼塌了。。恒大负债2.4万亿，政府并没有抛弃它，希望许家印的恒大，绝处逢生，东山再起，再创辉煌，遵守承诺，对得起中国人民。。许家印可好，他偷偷的与妻子离婚
1691323172# #形式主都是形而上学的，它来源于官僚主义，也就是上面的形式主义。山东省地震，老师带学生避难，保安说：你别激动，我请领导再开门。保定白沟群众要转移，必须领卡！领了卡才能逃生。这是脑血栓多少年才能想出来的。当然这也不能全怪下面，说到底，当地的领导在干什么？说到底还是上面的形式主义，即官
1688279643# #不懂就问：。同是造谣，为什么有的被刑拘。有的毫发未损？。为什么学校食堂都外包，政府机关食堂不外包？。为什么一个企业核酸造假罚7万，一个农民卖菜罚11万，对农民怎么那么狠呢？。为什么留学生补贴增加，我国大学学费也大涨呢？。为什么一些大V可以胡说八道，小民说点实话就会被屏蔽？
1703742728# #1916年6月至1917年6月，黎元洪担任中华民国总统。。黎元洪退任后，1917年7月冯国璋任总统，他想给前任每月3000银元的津贴，派人和黎元洪商量。。黎元洪告诉来人：“总统任期五年，皆有退任津贴，徒增人民负担。余尸位素餐一年，无功德与民，断不可开此先例。”来人对黎元洪敬佩不已。。看来，民国初，不少
1688621202# #学习鲁迅，就要像他那样横眉冷对千夫指，俯首甘为孺子牛。。学习鲁迅，就要像他那样，传播充满许多人性，良知，散发着正义感的文字。。学习鲁迅就要像他那样，守住自己的底线，哪怕他们手中拿着刀把子，绝不同邪恶势力同流合污。。学习鲁迅就要像他那样，始终保持自己的良知，无愧于心。
1688618377# #不知真假？真的，就是投喂给隔壁家的孩子，清华大学教授说的不错，
1702189418# #今年的院士补选屠呦呦又落选了，好在颜宁选上了。如今，我国院士已经达到1851人。。据说北大天才许晨阳也走了，还留下八个字—腐败，浮躁，拿来主义。。看看我们的酱香院士，烟草院士，看看我们的学术官僚，看看我们学术的腐败，看看我们学术的浮躁……看看屠呦呦永远当不上院士，怎么不令人心寒？。爱之
1703296739# #奇事一桩。天下事无奇不有。江苏无锡一女大学生被老鼠咬了一口反向咬了老鼠的头。。12月21日夜，一只老鼠跑进某大学女生宿舍，被一个18岁的女生捉住，老鼠扭过头狠狠咬了她一口。女生认为老鼠在挑衅，于是就狠狠在老鼠头上咬了一口，留下牙痕。。22日，女学生到医院就诊，注射了破伤风和狂犬疫苗。目前女
1695020483# #火车，锁喉婆＝大V，卖盐婆，“反贼”是哪些人呢？
1692941814# #盐多必失，无盐以对，禁盐限流，盐论自由。
1696032462# #中国有两个教授，一个北大的，一个复旦的，他们都姓张，名字只有一字之差，却有天壤之别，也可以说是简捷的试金石。作为学者效仿谁力挺谁是良知泯灭与否的准绳。。作为公众信谁不信谁是愚昧和理智的分水岭。。想必大家都已经知道他们是谁了吧！自己掂量一下，该信谁了吧！
