1697334300# #气温开始持续偏高，最高气温每天接近26度
1692546332# #羡慕我国四十岁以上所有有工作且交社保的人群，你们都是最幸福的.......
1697158591# #如果非洲苏丹或者刚果的领导人说愿意接纳巴勒斯坦难民，给一块巴勒斯坦十倍大的土地给巴勒斯坦重新建国，会不会获得诺贝尔和平奖
1697718040# #今年入秋后第一次冷空气马上要南下了，这波冷空气南下后下周二开始我国大部分地区将出现历史上绝无仅有的超大面积的持续特强暖空气影响，具体暖成什么样子，请看抖音直播晚上八点半开始....
1701650110# #你们还记得你们上一次没心没肺的笑是发生在多久之前？
1698189978# #狗狗咬人事件在人人喜欢看短视频的年代被放大了几百万倍......立法很简单，出门遛狗必须带狗绳，狗绳质量要好一建伸缩，而且必须带嘴套，但是这种法律执行起来就比较难了，有一个交通法不闯红灯不逆行，这里每天还有几千上亿的电瓶车违反，根本管不过来，也没人24小时去管理，摄像头形同虚设，所有电瓶
1693573056# #这个好比本来房子只要35万一套的地皮免费，周瓜皮把土地超高到八万一平米，一百平的房子活生生需要多支出八百万，现在土地费用少付四十万，20分之一，踏马还要感恩戴德是不是二哈二哈
1701769779# #劳务中介也就是大龄就业中心，试用期三个月，期间要是业绩不达标卷铺盖走人...
1695957118# #怎么处理许家印家族，大家各抒己见
1692490789# #去香港存款去了，利息高到吓人啊，平均5.7%的利息最8%新客户.....钱生钱又没有风险，大伙都去存款了....我们这里都跌到百分之2.7%了.......别说什么炒股抓个大涨就是百分之7%了，炒股随随便便都是亏死人，只有存款利息是稳跌....但是如果美元持续降息的话，得不偿失，也算一种赌博
1702377935# #欠款花呗3600+信用卡5800多...还有京东白条2000多....还不起了会变老赖吗
1702735756# #北京和北京北部郊区怀柔气温真的蛮低的....但山西有些地方气温低的更夸张比如朔州的右玉县，直接零下27度了，明天最低零下31度....内蒙古牙克石更冷一些
1698760076# #愿我国所有底层打工人都能享受五天八小时工作制度，薪水都不低于社会平均工资.....拿上海来说打螺丝一个月21天，每天八小时包含吃饭一小时到一个半小时，收入不低于税后11800元.....这样就真正进入小康生活了，但前提还是要有房子，没房子12000元收入还是活成🐶一样
1691281920# #铁头教育培训的打击结果肯定没有任何消息的，如果继续打下去不用一个月账号就没了，信不信
1702615196# #大龄吃不上饭的看过来，稳退休五险一金低收入工作......（黄浦）道路停车协管员➕做一休一。。一，招聘内容：。1、年龄：男性52岁以下、女性42岁以下；2、学历:招聘人员初中及以上学历；。3、户籍：招聘人员户籍不限；。3、工资：基本工资2690元+绩效奖金（多劳多得）综合5000-7500元月薪，正常缴纳五险
1703562823# #不正规缴纳五险一金，不按照劳动法给双休日或者每周两天轮休的，加班不给1.5倍，节假日三倍加班费的....全部都算失业
1701842217# #1999年12.23日的新闻，标题，上海连日爆冷....
1699869616# #很难很难，就算公务员60岁之可以考试，面试了也只要年轻的和有门路的人，给36到59岁的没有门路的人考试也只是炮灰而已
1698540876# #整个中国全境都正在经历1000年以来最暖最暖的霜降节气其中上海和江南地区会一直暖到立冬节气....偏暖的时间和幅度都是自宋朝以来前所未有的.....下周三开始市区持续20到27度，西郊更热的地方最高持续29到30度，暖出天际，暖到心醉
1692930631# #给力，信用卡还的钱已经赚出来了，国家队那点小九九，路人皆知，只会拉券商股救股市，再涨几天可以潇洒吃大餐
1698758962# #讲个笑话，美国1935年工会就规定了五天八小时工作制度，一周工作不超过40小时.....某大国都2024年快到了，五天八小时工作制度有没有完全落实呢，为什么工人尤其是打螺丝的没有一个月150小时加班还不愿意去呢，生来就是为了加班的吗，五天八小时给一万底薪很难吗
1703158802# #市区目前上海动物园零下3.3度最冷，郊区最冷都在崇明
1696665362# #我也大意了没提醒大家今天午后气温暴跌.....这图一直当笑话看，没想到变成真的了，午后气温狂跌，下雨，感觉进入深秋了
1698592321# #深圳的过山车事故10.27日的为什么29日晚上才上热搜
1696556053# #昨天海边气温最低19.8度还行，风力也不大，希望是走到了无人的滩涂上了，那里晚上是没人的...
1693192822# #给太监吃伟哥，白白浪费钱.....知道会高开低走，但没想到很多股票连波奇的意愿都不强，直接软趴趴的趴下了，和08年降印花税大盘连续两天涨停板对比，这市场弱🉐看不懂，看不懂
1692267109# #快看外面.....
1703151370# #不把骑手当人了，零下3度多天气补贴八毛一单，心忧炭贱愿天寒的卖炭翁都没那么苦啊.....
1687597680# #如果俄罗斯垮了，对我国有什么影响
1698939982# #11月中旬开始我国东部地区气温起伏会非常夸张，尤其是华北南部和华中，山东河南等地区，强冷和强暖来回交替，气温时而大幅度偏低，时而大幅度偏暖....江南地区则气温偏暖为主，气温偏低的日子很少
1698197805# #发一万亿国债
1691329721# #曾经在一家张江公司上班没有加班费，但有调休，不过就春节多休了三天而已衰......没加班费给一顿晚饭报销和打车报销.....
1696932311# #瞎说了，自动驾驶就算出来也不敢替代网约车啊
1700022229# #余额零了....电瓶车没钱充电了，怎么办是好，送过去电池还够，回来怕是没电了。
1693875414# #大部分地区气温将持续大幅度偏高15到20天
1691745978# #以前的冬天气温都是很冷的，比如随便找一个1917年的一月份，徐家汇气温....一眼望去几乎全部深度严寒，这气候才是江南120年前应该有的气候，冬天冷，夏天凉
1692147835# #每天投简历几百家公司，没有一次有面试机会....很多年龄40不到的也许体会不到，非体制内的中年后失业就明白艰难了。
1690901354# #很难理解现在网络那么发达的社会，气象预测技术如此发达，无数优秀的数值机构都是共享气象预测结果的，河北那么多地方受灾之前为什么不转移到安全的地方....离开一个危险的地方三天很难吗....尤其是山区那些容易洪水灾害，泥石流的居民全部撤离在如今交通如此发达的社会很简单吧
1698125889# #失业的第392天
1693203796# #肯定有无数小白涨停板接的中信证券....组合拳下也得看位置
1698751499# #遥想当年笔者工资栏里面基本工资就是15600元.....这种对于工厂打螺丝的人而言简直天方夜谭....工厂里面基本工资很多都是2500左右.....超过三千五的都很少很少，全部靠加班加出来的工资....要工厂做五休二一天七小时工作+一小时午餐，那些地方都没人去了，吃饭都吃不饱了
1701732560# #可以提前布局低温雨雪概念股博一把了....我国南方地区12月15日后的一波湿冷过程，家里没有取暖设备的广东广西地区的会买取暖设备....江西湖南湖北浙江西部福建气温将异常偏低，我说的是体感气温。
1690900947# #不论美国gfs还是欧洲中期EC7月26到29日持续四天预测了北京和北京南部特大暴雨，涿州气象局的人都没有能力一级级提前上报到防灾部门吗，一个电话打给涿州市政府要求提前撤离很难吗
1699192607# #降雨进入上海西北郊区和青浦境内了，后半夜市区雨露均沾
1694922023# #老破小美丽家园砍伐的一颗树木....能看出是1990年种植的，还能看出91到92年天气最冷
1696980634# #以色列的犹太人，人人智商碾压华为的p9以上员工.....犹太人智商一般135以上，学习编程那是手到擒来，毕业后去硅谷当码农，三五年后人人年薪五十万美元....全部都是人生赢家，赢在智商极高
1688733717# #有些行业如果每个违章都罚款，怕已经罚款几十万亿了，网约车无人证车证的，外卖电瓶车十来年所有人的创红灯，超速，逆行，走机动车道，和上街沿骑行违章
1690901814# #现在不是1900年，没有电话没有网络，没有气象卫星，没有超级计算机预测天气...一百多年前遇到气象灾害只能两手一摊，毫无提前撤离的可能....如今的科技预测个特大暴雨简直易如反掌，别说美国和欧洲数值都提前四五天就预测到河北多地超级特大暴雨...国内气象局也是参考欧洲中期做预报的，判断不到哪里会
1692857064# #如果我是辅警大热天晒在太阳底下执勤，拿着八千的工资，然后对比对比那些正式编制的拿很多💰的，估计干不了三个月就走人了.....所以要当辅警必须内心不能有任何攀比之心，否则就是自讨没趣了，这工作其实比起外卖还辛苦一些.....人家外卖想休息就休息，辅警不能，没那么自由，钱还不多....不知道几万
1701269453# #有没有人介绍一个可以轻松且不花费太多时间就可以每月赚五千以上的方法.....而且百分之一百可行的那种？
1698194514# #我失业肯定不会花赔偿金的，跑外卖其实蛮轻松的，月入五六千的情况下，可以说轻轻松松完成
1702986796# #也许是今年冬季最强的一波寒潮，目前冷锋已经抵达皖北和苏北一线....明天一早开始影响本市，但是真正的主力冷空气从明天晚上才开始，气温会迅速下降到零下......
1702447059# #其实股市可以长期在2700到3500点之间运行十几年....跌也跌不下去，涨也涨不起来......800点上下空间他们可以玩十几年笑cry笑cry
1698550577# #华北地区小麦估计都晒熟了，口感下降很多很多.....明年不买产地在华北山东和华中地区的大米了
1701830309# #股票要是大涨了那些失业的全部靠股票吃饭了，我们劳务中介就集体下岗了允悲
1696635832# #国庆出游八亿多人，人均每天消费仅仅114元，好奇全部在穷游吗，住哪里，国庆期间一个快捷酒店均价就六百多了，一顿像样的晚餐人均也要一百五以上啊
1695702935# #住在喀纳斯景区禾木村的村民，呼吸着最干净的空气，住在受降雪日数也降雪量最大的地区，喝雪山融水，吃山区的小羊肉，每天看无敌雪山风景，和清澈的喀纳斯湖，只要直播风景一天就很多收入了，羡慕不来啊，那里的夏天气温很凉爽，冬天积雪一米以上
1702091205# #没有人失业吃不上饭，私信一个都没
1702181825# #随申办测算养老金，超过40的可以测一测.....
1699245281# #随便一股冷空气下来，南京最高气温都会比上海低不少，南京市民早早享受深秋了，上海市民等双十一过后才进入深秋季节
1699228771# #京城已经入冬，金陵一只脚踏入深秋，上海市区刚刚开始稳定入秋....感觉北京北郊怀柔的气候蛮高的，北纬40度横穿而过，夏天也不热，冬季冷的稳定就是积雪少了些
1694607833# #要打掉课外培训的毒瘤，只有解决就业畸形才有可能，只有人口下降到一定程度，去打螺丝也可以赚到和德国工人一样的高薪，底层的工作最低收入都和办公室白领一样，哪怕是服务员收入也和大厂码农一样，那么就没多少人去卷了，或者恢复到80年代大学入学比例，只有百分之1不到的人才进的去大学，那么大部分
1693194534# #叶荣添居然看涨300点左右.....也属于多头了......
1687062099# #带娃开车遇到跳黄灯就停车了，一秒后就是红灯，后面司机喇叭按了一分钟，遇到这种情况你们忍得了吗，还是垃圾网约车司机，可惜没有后视摄像头否则举报他
1701768670# #继续招聘三个岗位。市政协机关/规划局——会务接待➕月薪7000元。。女性，30岁以下，形象气质佳，大专，162以上，工资7000➕季度奖金➕年终奖，。。负责会务接待，有基础经验优先。。。上海银行➕男文员➕周末双休➕五险一金。。男性，37岁以下，思路清楚，沟通无障碍。。大专，有文员经验优先，电脑操
1702541144# #12月20号晚上500百帕看天气图预测，差一口气，主力部队滑到海力去了，别看这一丢丢差距，对于市区气温来说，就是很冷和爆冷的差别....也就是徐家汇零下2度和零下4度的差别.....如果明后天计算出南下程度更深，那么我才会认为这波寒潮很有实力...
1694342002# #云卷云舒的古镇夜景
1699350007# #这样不好吧二哈
1703377199# #12月24号清晨，全市自动站最低松江冷到石湖荡张庄零下9度，区站金山零下6.9度，崇明零下6.8度，青浦零下5.8度，市区站点最冷上海动物园零下5度，无敌热岛徐家汇最低零下1.1度，热岛和冷岛温差7.9度....气温两个世界
1692878914# #日企摸鱼18载，赔款0.056个小目标，张江鸡血三个季节，赔款0.0032个小目标，然后就家里蹲一年多了，和社会已经快脱节了二哈二哈二哈目前跑外卖谋生
1701493489# #帮客户试车取车去了....全上海电瓶车最多的地方，代购各品牌电瓶车，上好牌后送车上门，收一个跑腿费。
1688197590# #抓拍一张小宝宝...睡醒后对着爸爸笑得眼睛一条缝。带着边框一起拍
1702614805# #地铁🚇14号线——男女站务员（包入职）适合吃不起饭的已经绝望人群可快速入职吃饱饭没问题。。1、运营时段内负责客运组织(包括首末班车服务、列车清客、大客流处置等)；。2、负责客运服务(包括问询、车站巡视、应急处置)；。3、票务服务(包括票务处理、票卡售卖、逃票稽查等)；。4、设施设备操作金额监
1701165933# #没想明白为什么有人会一直用滴滴的，钱真的很多很多啊......地铁和电瓶车不去用，最便宜的交通方式不用，都都大富大贵吗
1701864693# #再升级产品发布会之前买入上一代产品，去年999的售价，现在某西西真的地板价，不愧为这个价位最强蓝牙耳机之一。某多多价格真香，还是买到质量问题的食品换到的钱买的
1698398416# #这年头地球上冷暖平衡本身就是主打一个暖字，北美洲加拿大和美国吃大餐(享受寒潮南下)，那么亚洲地区的我们这里就是一望无际的连续大暖特暖了.....羡慕美帝吃大饼寒潮哦
1702771409# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1701993811# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1697182103# #追魂夺命流水线，暗无天日鬼车间。。生死轮回两班倒，废寝忘食终无言。。加班加点不加薪，提桶跑路在明天！。初见不知桶中意，再见已是跑路人。
1693133076# #现在小孩子不要命了，不是我眼疾手快，这孩子已经没了，突然之间穿出来的
1691413566# #医院过度检查的事情你们遇到过吗......一点点小问题检查费三四千.....而且啥都检查不出来问题....
1693065941# #浦东蓝村路coco奶茶店，前天刚刚路过买的奶茶，离开不久就这样了，听说是锂电池充电导致的....现在潍坊十村有个电瓶车停车库无数外卖电瓶车锂电池包在充电，火灾估计也会出现，举报电话已经打了看看过几天锂电池包会不会处理掉。
1691539416# #180多年来，中国由于降雨量的多寡导致的特大气象灾害记录......1840年长江上游巨洪：寸滩高达90000立方米每秒。2、1843年黄河长江同泛滥：1841-1843年黄河连年大洪水，其中1843年达到高潮，黄河陕县-三门峡段36000立方米每秒、长江宜宾段洪峰67300立方米每秒，分别为公元1099年和公元1520年以来最大值。
1698104120# #所有流浪狗全部应该抓起来统一管理，看到一只抓一只，这才是文明社会.....不牵狗绳的遛狗行为也应该是违法行为，人人喊打
1696055710# #亲戚来看小宝宝，他们家小孩八岁，小学一年级已经开始学习新概念英语少儿版本1B了.....小孩所有单子句子都可以背出来允悲允悲允悲，我想我当年初一才开始学习新概念一下衰衰
1700533038# #这波外企进入投资，估计可以解决上千万级别人口高质量就业了.....时间五年内解决三千万人高质量就业。
1702861469# #2018年南国大雪，实属难得，摄于南京明孝陵
1698796316# #简单来说在上海土生土长的00后，活通透了，没人没了几颗碎银子疯狂加班了
1700653032# #送完这单在虹口继续接单....现在只有跨江单子抢的到，卷也真的卷出天际线。
1702183269# #黄浦/宝山地区大龄难就业混社保看过来，职位（自来水抄表员）交社保，交社保，交社保，混日子不累做五休二，神仙混日子工作。。提醒:宝山1月份面试，2月份上班。。男女45岁以下，身体健康，初中以上，户籍不限。。。工资计件制，多劳多得，月薪3000-6000之间，做五休二，五险一金。。抓紧报名
1700913021# #hk人类文明之光，最底层收入最高可以月入六万
1688634751# #真的这里的人才选拔机制，高考机制，体力活工资水平和脑力活的差距，不得不让无数人参与到教育机构培训里面去.....而且几乎全员参与进去....机构赚得是盆满钵满，外面口碑高机构老师人人住大平层或者别墅
1702695452# #上海进入沪伯利亚模式....快到中午时间段了，气温森林公园0.6度....
1691993261# #豪横啊，我十八辈子买不起上海一套房，造孽啊二哈二哈二哈
1703125621# #我国经济问题主要出在低端产业被东南亚瓜分掉了，大城市房价2002到2022年的20年里面涨幅太夸张都是十几二十倍上来的.....无数人失业后工资能不能回到2002还不好说，房价已经能压垮大部分高位接盘侠了...压的死死的
1699942234# #chatgpt再发展个四五年，中低端码农可能将全部失业只需要两三个高级码农配合人工智能就可以完成十几个码农甚至五十码农才能完成的工作.....程序员再五年后将面临洗牌，拿高薪的日子不多了.....
1692954832# #联合国真是垃圾，面对日本的行为，居然没有能力去阻止，要联合国何用.....早点解散算了......要是日本真的缺的是钱，地球上发达国家每人捐款5美元，发展中国家每人捐款1美元.....用💰都可以把核废水处理干净了.....然而日本有关部门不是缺钱，他们缺的是一颗正常的脑子，缺的的心眼，全世界人类付出
1699953114# #标准的深秋气温就是今天这样子的，日最高气温15度，最低市区9度，郊区6到7度。
1691336434# #六号台风目前主流机构还是最终登录东北，吉林水灾地区下周五到六可能面临热带风暴或者热带低压北上穿越后带来的强降雨过程....美国数值给的过程降雨最大值在150mm左右，这个雨量对已经经历了水灾的吉林北部黑龙江最南部地区来说需要格外注意防范了....
1700218706# #晕啊，现在各大bbs不能发关于裁员的帖子了吗，我就发一个帖子号就被关小黑屋一个月.....再发帖子，就直接不显示了二哈二哈二哈
1701398349# #大家有那些很长时间不骑的电瓶车或者自行车，放小区车库到注意了，有些人已经穷到把人家放车库闲置的自行车或者电瓶车拿去卖了......我放小区的一辆十年前买的公路自行车就被人处理掉了，而且不是小区保安处理的，是有人看着闲置了几年用大力钳剪断了锁具直接拿去卖掉了，时间很久了摄像头也不可能查得
1703546183# #金山今天早上继续零下5.3度，热岛徐家汇1.1度最低衰
1703237375# #今天夜里郊区表演辐射降温了，风力越小降温越快....
1701775326# #穆迪是什么机构，一个评测机构就让A股大跌了，脸往哪里搁啊
1704117300# #不想开通vip就像看连续剧繁花的留言，链接直接发给你们，免费看哦
1703302832# #这个案件当年不好好查，是一个很大的污点...但凡排除干扰仔细查案，凶手分分秒秒都可以锁定的，有些人背景通天所以一直逍遥法外
1690771816# #上海看来要逃过六号台风的影响了，基本所有机构大变脸，移动速度太慢，副高断开，大概率去日韩了
1688862541# #六块一个小时，这是真的吗，难怪那么多人千里迢迢来大城市做按摩技师，其实做技师有些店里面收入也是高的吓人，有些人早就看穿了，干个十几二十几年赚够一千万就回老家了....秀浦路一些技师开玛莎拉蒂上班的...
1702598770# #冬天姗姗来迟，今日上海入冬
1691596457# #这钱敢不敢全部公开用到哪里去了呢.....被淹地区的赔偿标准还是20多年以前我国经济比较落后的事情指定的标准，好像是赔偿损失的七成.....现在已经全面小康了能不能将比例提高到九五成呢
1699440293# #11月第二次冷空气消息....这股冷空气是很弱的，不知道为什么气象局要提一提....上海天气气象报告上海中心气象台2023年11月8日17点钟发布的冷空气消息和上海市天气预报、山东半岛南部到浙江北部沿海海面大风警报、长江口区及沿海海面天气预报：北方有一股较强冷空气正在南下，今天16点钟，它的前锋已
1688649237# #关于农民工养老金问题，我有一招，就是马上启动房产税，按每个城市平均房价×80平米的为免税点，超过部分征收百分之1的房产税....那些有房子几十套的人或者住豪宅到每年缴纳的房产税里面拿出百分三十五就足够让最低退休金提高到3500元以上了。
1691065791# #上海网友说泄洪区房价低是有道理的....你们怎么看，图为涿州房价
1697887735# #今天去催收公司面试过了，老板说我口才不太行，说话不是很强势的样子，比较唯唯诺诺的，没戏衰衰
1703167403# #80后给00后推荐两首歌曲，黄凯芹的焚情，苏永康的爱一个人好难，张宇的给你们，和曲终人散....黎明的我这样爱你成龙的感受....都是经典神作
1690719417# #浦东某小区电瓶车停车的地方有一排外卖无牌锂电池在充电，如果哪天起火的话，不知道谁负责.....每个锂电池参数起码60v60a.....
1699252482# #狂拉证券股票，吸引韭菜入市场，老套路
1695001251# #和hr沟通近1800次，零面试，还上毛线班
1697790572# #催收看到这个直接面试也不去了，没催收到一定数量估计拿几个月最低工资后转正前就被踢走了
1702942241# #金陵雪景美如画
1700180488# #来自篱笆.......我以前在国外招聘过，HR反复告诉我们面试的时候不能问年龄，家里有没有小孩，是否准备生小孩，从哪国来的，信仰啥。。。反正一问，到时候没录取，是可以被人告歧视的。哪像中国，年龄婚育深挖，恨不得把人做个结扎手术再来。所以，实在不行，得考虑换个赛道，尤其下一代如果要经历同样
1698822150# #现在这个年代还在拼命加班的都是想逆天改命的人，在笔者看来老家住别墅可以有，但上海买房从2017年开始大门已经关闭了.....2013年以前郊区码农随便买房，现在的房价已经不是码农可以买得起的了，金融界的精英才买得起.....
1688616852# #有个铁友天天举报海鲜市场缺斤少两，胆子有些大哦，这样举报下去会不会有事情啊，大号已经很难搜到了一堆小号......有没有人去举报上海几千万辆超标电瓶车，几亿起的电瓶车闯红灯呢
1694307251# #电瓶车坐垫坏成这样也没钱修.....等闪送赚钱了再给小车坐垫换一身新衣
1690902715# #个人觉得为了在气象灾害发生过程中保障生命安全，有必要研究制定重大气象灾害紧急撤离的法案，所有可能遭遇大灾的地区所有人员必须全部撤离，撤离的人员所在任何单位不允许扣工资，那些小时工撤离期间没收入的由国家补贴几天....当然普通气象灾害可以不强制，但是百年一遇或者五百年一遇的那种特大暴雨
1700923258# #启东恒大威尼斯房价跌到2000元了吗，感觉还不是真的，查了还要四千高价格.....真跌破1500可以考虑买一套......18w可以买130平户型了.....过去一小时四十分钟加上过路费90块....112公里么不堵车60元油费....来回300元......当养老基地还是可以的，面积大啊
1702002176# #宝山地区的看过来，宝山某🏥医院——招聘应急分队治安保卫员。待遇6-7千➕免费住宿➕社保五险缴纳的——。。1、负责维持驻点出入口进出秩序，引导人流、规范秩序；。2、负责驻点项目的现场保卫、维稳工作；。3、积极做好应急任务准备，及时响应公司的号召完成各项应急任务；。4、按时参加各类培训、集
1692106354# #离职结算单.....虽然大环境不好，但还是想请求大佬介绍直接入职一份轻松的工作，不低于社平工资，没有加班，不内卷，假期多的工作
1702166609# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1690542934# #jtwc联合台风警报中心，美国军用气象机构，成立于50年代末.....最新一报对六号台风的预测数值如下
1689637776# #一个房地产公司，房子成本价格2600到3200元，，普遍卖5到15w一平米.....就算那地价格几百亿一块地，但是可以盖三十楼的高楼啊，不明白怎么亏损的二哈二哈二哈
1703399596# #1月26日一直暖到1月4日...这十天平均气温市区比常年同期偏高4到5度....1月3日金山最高气温可能超过20度....
1702880172# #今天大盘小蝶，个股大碟笑cry
1698651721# #这玩意速度没话说了，刚把手机里面几十g的小宝宝视频和照片还有下载的资料瞬间移动过去了，手机内存直接在几分钟就清空35g多....平时手机经常拍视频和照片容量不够用的人必备啊....手机，笔记本，台式机通用，但手机是安卓的typec接口，不支持苹果手机，有苹果手机的买苹果接口的就行.....我老婆手机
1692497827# #我根本不怕房价暴跌，哪怕上海房价跌到2000一平对我没有任何影响，但是他们根本不敢梧桐台湾....有这种大智慧的人也没有出现，不发一枪一炮就统一台湾的概率除非所有台湾人全部被洗脑了.....我敢说全中国大城市真正不怕房价崩盘的人比例不超过百分之10
1703289807# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1696226841# #今天水晶天，温度略高，空气无敌
1699057171# #我小时候初一被体育老师罚跑十圈，跑了两圈就溜走了，体育老师算个屁，不过当时一圈是200米，一般小学生操场一圈都是160到200米不是标准体育场的....低年级小学生没有反抗意识，老师让干嘛就干嘛，容易一根筋，错误在足球老师身上，小学一年级长跑没那个项目的，最多五年级跑四百米吧
1695033512# #我始终觉得人来世界一次是享受的，而不是为了一口饭而疲于奔命....怎么开心怎么活就行，工作就要找最轻松最舒服收入又不低的那种
1699542057# #11.12到13日本周日到下周一有一股强冷空气南下，西郊最低气温跌破2度....市区公园站点最低气温4度附近.....日最高气温也在14度左右，有初冬感，11.18再有一股冷空气抵消掉11月16到17日的回暖过程....整个十一月中旬气温还是有深秋味道的，西郊有三四天均温是初冬气温。
1698915282# #明天因为冷空气之前增温因素，本市局部最高气温估计31度以上.....最低气温也会打破历史同期最高，平均气温，最高气温三项记录会被打破，11月6日的降温效果还没有04年国庆节冷空气厉害，周六可以验证，徐家汇最低气温没有当年国庆节冷
1691748921# #98年水灾到受灾面积达到一个湖南省那么大.......当年的水灾是前所未有的恐怖，等于23个上海市面积全部被淹，包含崇明岛.......当年暑假电视新闻抗洪连续抗了差不多两个月，到九月中旬才逐渐收尾.....多亏了三峡大坝，长江流域才可以安全那么多年啊，虽然三峡大坝对生态的破坏对气候影响也很大，但起码
1700442255# #上海如果在2015年之前没有买房，大部分人比例百分之95的打工人，已经不可能买得起上海郊环内的房子了....外环内更是买不起
1692073599# #稳中向好，不是小好是大好
1690508099# #五号台风“杜苏芮”即将登陆福建晋江市沿海地区，厦门不在危险半径内，躲过一劫，而且厦门目前实测风力只有8-9级，属于虚惊一场了。
1703674715# #老婆今天发奖金，给我几百买火锅吃....
1690805070# #关于极端天气防灾的提前量来说，气象论坛绝对跑在气象局之前......如果论坛里有人家居住北京西南郊区的，绝对会在特大暴雨之前驱车离开去北京东北郊区或者承德避个三天，请假而已....全家去承德住三天也没多少钱
1689316487# #理解为大水漫灌，利好股市，让老爸岳父股票基金仓位打满....下周股市起飞，随后半年后楼市🛫
1702790381# #山西有两个站低于原12月极端最低气温3.1度，如果是上海的话，原12月历史最低是零下10.6度，再低3.1就变成零下13.7度了，已经不是amazing可以形容的了....上海地区未来任何一个月的最低气温都不会低于历史同期最低了......
1699488665# #昨天去仁济医院咨询护工的工作，一听要做夜班的..而且不是做一休一，连轴转的....白班的不招早就招满了.....工资待遇啥的直接问也没问就走了....今天去大众，强生出租车公司咨询，有五险一金缴纳听说
1701343232# #浦东核心地区，快两年空关了商铺，一个月五千，两年就是12w，老板死活都得租金两到三万一个月，那租给鬼去吧
1702434010# #我倒看看北京市区的积雪能有多厚，中小学都停课....话说7080后小时候小雪全部正常上课的，原因是不是现在小孩子读书距离普遍比较远了，怕路上交通不方便才停课呢....但在以前山区在农村，80到90年代小孩子步行七八公里上学也是很常见的....他们都能踏雪上雪，我们这代小孩子为什么不能踏雪上下雪了呢
1701470595# #今天最低气温居然郊区那么低，青浦零下2.4度，宝山零下1.3度......市区上海动物园零下0.5度，至于徐家汇不提也罢，一个火炉站点。
1698194215# #最近一年跑外卖累计收入6.6w，去掉开销一年差不多5.6w的话，还剩一个w....
1698149347# #我如果是香港人，就不存在失业一年多这种情况....月入三万的工作一大把
1702100362# #暖疯了，浦东花木目前最高25.9度，马上突破26度了，这可是大雪节气里面啊
1700441002# #阿里这种能叫裁员吗，准确的叫法应该叫输送财富准自由的人才进入社会，或者是让财富已经自由的人才继续拿一大笔钱回家养老，和裁员没有任何交集笑cry笑cry
1699067306# #姜还是老的辣吧，国庆期间就预言了上海稳定入秋是十一月份，时间11月6日稳定入秋
1701689096# #篱笆有人上次买了光明牛奶有问题，一大一小，投诉后两千就拿到了，很多时候自己权益自己争取。
1688548040# #北京气温再次超过40度.....
1703128519# #我说了连续跌太难看，肯定要涨吧，拿捏的很准
1696170353# #十月一日深夜，郊区气温开始有了秋意
1701867284# #明天把中国电信宽带注销掉，可以省一千多一年....直接用移动免费宽带
1695085404# #想做苦力都没机会了，这可如何是好
1690946806# #暂时宣布六号台风今天起一直到八月十号，对上海市区基本无影响....有的只是蓝天白云和水晶天，还有气温略高一些.....
1701766833# #实在找不到工作了，请允许我就职劳务中介，只招聘难就业人群.....已经开始上班了，一会发招聘信息笑cry笑cry笑cry
1703053814# #2013年六月，a股1800多点....那时候经济比现在强太多了，没有找不到工作的大学生.....
1687415826# #如果住150平的房子在市中心地段的有底下固定车位....心态会好很多
1703562351# #禁止一切做空，禁止基金亏损跑路啊，买基金的人签订合约，不赚钱绝对不跑，必须赚钱才可以跑....那么基金就没有踩踏事件了....买基金必须限定个人财产的三分之一以内，否则有些人全家财产都买入基金，那么大跌后受不了肯定跑路
1692602784# #小屁孩，05年998的时候怕是没有经历过，笔者经历过2001到2005连持续四五年到阴跌，还有2008年年初五千多点跌到深秋季节的1664点，那才是最残酷的杀跌过程....目前这种小跌实在不值一提
1696982460# #犹太人被世界公认为最聪明的民族，数据报告显示，经智力测试犹太人的智商在107-125之间，平均智商为110。一项针对全球儿童的调查表明，IQ高达170或者以上的受试者中，86%是犹太儿童。。。研究表明，犹太人的记忆力、口头表达能力、数学能力、空间能力普遍强于其他种族。犹太人智商高体现在职业上，律师、
1699196084# #浦东开始刮风，但是气温还高达22度以上，南京目前14.9度，无锡也有19.5度之高。
