1695327288# #《雍吉，藏族女孩在舞蹈中快乐无止尽》播放量：5.4万。点赞量：1.1万
1690326682# #《世界公认的六大元帅，麦克阿瑟垫底，我国有两位将军上榜！》世界公认的六大元帅，麦克阿瑟垫底，我国有两位将军上榜！
1695463251# #《元音老人对于2024年预测，可信么？》播放量：5793。点赞量：139
1697242594# #《冰层下的秘密！南极神秘巨兽？南极的秘密！南极洲未解之谜》播放量：2万。点赞量：177
1696531397# #此国在联合国大会上狂批日本，赢得热烈掌声，日本代表不敢抬头
1700352483# #光电转化率26.1%，我国科学家合作开发出新型钙钛矿太阳能电池
1690636999# #刀郎
1699634932# #《72年人民公社训练民兵真实影像，给百姓发枪遭西方教育，打破封锁》72年人民公社训练民兵真实影像，给百姓发枪遭西方教育，打破封锁
1694200223# #《女人背日本投降包等车，被路人辱骂太激进，莫非男人是间谍？》女人背日本投降包等车，被路人辱骂太激进，莫非男人是间谍？
1701492782# #刘杨老师作品。支持原创作品，传播正能量-今日头条
1690622115# #《抗美援朝令美军胆寒的一幕，失明背起断腿战友，发起最后的冲锋3》抗美援朝令美军胆寒的一幕，失明背起断腿战友，发起最后的冲锋3
1696112713# #《一首经典老歌《中国娃》分享给大家！》播放量：3.9万。点赞量：722
1701723442# #《6个航母战斗群待发1200架战机集结18万大军一个月到位一切就绪》6个航母战斗群待发1200架战机集结18万大军一个月到位一切就绪
1690794065# #《这就是咱们古代最牛军校，您在这里就读，历史上有你的一席之地！》播放量：27万。点赞量：5998
1700355052# #《中国高层潜伏间谍：军政两界涉案，可怕到令人发抖！》中国高层潜伏间谍：军政两界涉案，可怕到令人发抖！
1693434130# #《彻底瞒不住了，老美收割全球居然还有后招！》播放量：1.2万。点赞量：101
1700420955# #《英国预言家帕克，预言2024年会发生的10件大事，可信吗？》播放量：3796。点赞量：93
1702284800# #《拆除日本学校彻底赶走小》播放量：1406。点赞量：246
1702406113# #爱生活的百香果vHz:云南老中医李伯藩，八味药治好上千种疑难杂症&nbsp;。&nbsp;正能量&nbsp;&nbsp;
1690107837# #《中国能有14亿都是因为他》此视频已有3.6万次播放，快来一起看看！地瓜
1695563933# #《戏曲大武生真功夫中的绝活》播放量：7.2万。点赞量：1.3万应该向世界传播戏曲武生戏（挣着外国人的钱💰，宣传中国文化）
1703771149# #毛主席与周总理重逢，场面尴尬却彪炳千古
1699025712# #本·拉登寄录像带给美国，几句话让美国总统勃然大怒，一起来看看
1695373099# #《不宣而战！又一场战争连夜打响了！俄罗斯》不宣而战！又一场战争连夜打响了！俄罗斯
1695509364# #《2017年云南村民上山采药，在汽油桶里发现军人遗骸，平均20岁1》2017年云南村民上山采药，在汽油桶里发现军人遗骸，平均20岁1
1703315304# #《1980年他预言苏联十年后灭亡，20年后他又说：美国将在2025年崩溃》1980年他预言苏联十年后灭亡，20年后他又说：美国将在2025年崩溃
1692499213# #《孩子休学网瘾躺平，补齐4种能力，大多数都能重返校园！》点赞量：32万。作者：方乐嘉育儿
1699824557# #《河南发现隋唐粮仓，粮仓内的粮食千年不腐，不得不佩服古人的智慧》河南发现隋唐粮仓，粮仓内的粮食千年不腐，不得不佩服古人的智慧建议中国学习古人的智慧在各地建立无数个封闭的粮仓，好备战备慌
1690622165# #《抗美援朝令美军胆寒的一幕，失明背起断腿战友，发起最后的冲锋》抗美援朝令美军胆寒的一幕，失明背起断腿战友，发起最后的冲锋
1692659715# #《罗刹海市这首歌即将成为老年人的网红歌曲，这现象，激起了民间百姓共鸣！》播放量：8.8万。点赞量：1261
1701492338# #马云干的最棒一件事，就是把银行打下来老板马云刘杨-今日头条
1692020541# #《中美或迎来“大结局”？50万美军进入最高战备，普京公开声援中方》中美或迎来“大结局”？50万美军进入最高战备，普京公开声援中方
1695755359# #国家应该全面推广保障工人权利，一周歇班2天（但是可以不一定是礼拜六和礼拜天），1工人排班，厂矿工地企业也是如此操作，可以保障连续性2银行业以县城为主题，这个网点歇班星期1和星期4，那个网点歇班2和5贴上公告，这样就可以每天都有网点在上班，可以保障工人一周2天歇班权利，又可以更好为人民服务
1704058497# #《马斯克开放特斯拉专利为了造福全人类》播放量：334。作者：绫彩音风2n
1699097462# #《当初要是听我的哪还有这事。纯属娱乐，无不良引导》播放量：10万。点赞量：9972
1691107120# #《曾仕强高能预言：大唐盛世将再次重现，历代高人将全部降临人间》播放量：1091。作者：听李哥讲故事
1699630501# #《一只雄狮和四个儿子组成复仇者联盟，一股黑暗势力在草原助长》播放量：11万。点赞量：2071
1692464503# #《山西运城狼帮，公开持枪“阅兵”，规模之大惊动中央2》山西运城狼帮，公开持枪“阅兵”，规模之大惊动中央2
1700591456# #《黄土高原高海拔冰糖心红富士丑苹果采摘中，想吃纯天然绿色健康水果的家人看过来》播放量：1.7万。点赞量：761
1691012880# #《美元首次被人民币超越，美国又一银行破产，雷蒙多急得要访华？》播放量：1.6万。点赞量：336
1691416993# #《什么科学没国界钱学森回国被关了3年》播放量：4.2万。点赞量：3805
1701551871# #叶文:传统文化叶家人有见过吗？
1691534203# #《你知道派出所最怕什么吗》播放量：11万。点赞量：2104
1699654407# #《智者思维你的贪欲是否被别人利用了》智者思维你的贪欲是否被别人利用了
1691637369# #《沙漠爆发大洪水》沙漠爆发大洪水沙漠变绿洲良田不是梦，
1691967067# #《刚刚，消息传来，美国还是动手了》播放量：4.2万。点赞量：371
1695161135# #《150特大消息！一大早，美国传来重大噩耗，整个纽约彻底沦陷》150特大消息！一大早，美国传来重大噩耗，整个纽约彻底沦陷
1691355124# #《14亿人养不起国铁集团？半年亏损近千亿，收益去哪了？》播放量：26万。点赞量：969
1700283044# #《美国不行，求中国顶上？7国开打，多名美军被炸死，白宫求助中方》美国不行，求中国顶上？7国开打，多名美军被炸死，白宫求助中方
1694349336# #俄罗斯人在中国的笔记俄罗斯人俄罗斯外国小姐姐（分享自
1689325837# #《民间高人预言未来：乾坤再造人民乐，一二年来见太平》播放量：927。作者：丹丹探索世界网络空间改变中国
1690916274# #《南土皇帝黄氏家族，屹立海南30年不倒，因一事引千名武警围剿1》南土皇帝黄氏家族，屹立海南30年不倒，因一事引千名武警围剿1
1690015782# #民族英雄
1692297305# #《雪中送炭，中国从越南进口千吨荔枝，越南：感谢大哥！》雪中送炭，中国从越南进口千吨荔枝，越南：感谢大哥！
1696469963# #《李淳风的《藏头诗》：秀士登紫殿，红帽无一人，预言了什么？》播放量：1958。作者：罗小明说历史
1695509270# #《甄嬛原型：被雍正爱过吗？她到底有多享福？活到87岁的清朝太后》甄嬛原型：被雍正爱过吗？她到底有多享福？活到87岁的清朝太后
1692295201# #《抗倭名将戚继光军刀！》抗倭名将戚继光军刀！
1699989495# #这个小国不听我国的话，明朝皇帝直接将其灭国
1691208871# #《台盘“村BA”决赛之夜，万人共举巨幅国旗》播放量：502。作者：天眼新闻
1701492988# #潇洒强者心态:为何被罚的都是临时工，领奖的都是正式工社会正能量刘
1701569342# #5集，诸葛亮是在卓越的维次就决定了他会输给司马懿？历史
1703162465# #《我国防部话音刚落，解放军迅速向南海集结，犯我中华者虽远必诛》我国防部话音刚落，解放军迅速向南海集结，犯我中华者虽远必诛
1688277560# #《财大气粗的美国，竟大量回收“玉米秸秆”？它有什么用？》财大气粗的美国，竟大量回收“玉米秸秆”？它有什么用？
1690637624# #《老美后院有大麻烦了！六大州纷纷公开闹独立，专家：自食恶果！》播放量：12万。点赞量：4167
1688945432# #《紫微圣人预言千鸡之中有一凤，有何深意？》播放量：5702。点赞量：143
1696615342# #《美国最大地主居然是盖茨：超级富豪想干嘛？》美国最大的地主是谁？你可能会觉得奇怪，居然是前全球首富、目前第四大富豪比尔·盖茨。
1693035319# #《1962年古巴导弹危机结束，苏联却将矛头对准中国，主席霸气回击2》1962年古巴导弹危机结束，苏联却将矛头对准中国，主席霸气回击2
1703609177# #《西方记者：你见过世界上最漂亮的女人吗？周总理睿智回答：见过》西方记者：你见过世界上最漂亮的女人吗？周总理睿智回答：见过
1690588722# #《车队进罗布泊3死1失联，业内人士：地表最高70度，车坏了变“铁棺材”》车队进罗布泊3死1失联，业内人士：地表最高70度，车坏了变“铁棺材”
1692140183# #《比李嘉诚更狠，给美捐24亿，对我国却一毛不拔，这句话更让人愤恨》播放量：4万。点赞量：180
1699095692# #《美国被以乌吃定了，这场垂死挣扎的豪赌，让其主导的世界体系崩盘》美国被以乌吃定了，这场垂死挣扎的豪赌，让其主导的世界体系崩盘
1695062138# #《中国专家在海参崴提醒俄高层》中国专家在海参崴提醒俄高层
1700421587# #《蒙古帝国第三次西征埃及》蒙古帝国第三次西征埃及
1688067066# #老子英雄儿好汉
1704138953# #《钱学森有多牛？老师为他的专业吵翻天，冯卡门因学术向他鞠躬致歉》播放量：1501。作者：新懂人物
1701660788# #《美国的封锁线已被终结，荷兰一反常态，批准中企收购芯片企业》播放量：2.8万。点赞量：650
1701990656# #《果敢军突袭缅甸军营现场曝光》果敢军突袭缅甸军营现场曝光
1704091646# #《为什么这两轮核污水排海，同一时间日本都会非常巧合地发生地震》为什么这两轮核污水排海，同一时间日本都会非常巧合地发生地震警惕日本，因此建议中国多重视农业，如开发河套平原建设大农机和畜牧业基地林果基地
1695442055# #《曾公十大预言准到吓人曾仕强国学智慧传统文化》播放量：745。作者：富裕阅历2
1690202782# #《痛失760亿外贸订单！中国下达“逐客令”，4000家日企惨遭破产》播放量：14万。点赞量：4098
1699844608# #《东方圣人现身！揭秘五公经预言的真相》播放量：635。作者：音乐会澈蟹
1703963972# #《草根逆袭，他靠的是什么？》播放量：59万。点赞量：8.3万刘强东
1696766081# #《美国预言家朱蒂海利文，预言的2023年，究竟会发生什么（中）》播放量：58。作者：炬阳文化g
1694401864# #《日本预言漫画《我所看见的未来》预言2025年会迎来大灾难？》播放量：7616。点赞量：150
1691536513# #《这三种人一定不能坏，否则社会将会崩塌！》播放量：4万。点赞量：2835
1703968491# #《胡塞武装有绝招，美国被打蒙，用俄式战术、伊朗无人机，绝配！》胡塞武装有绝招，美国被打蒙，用俄式战术、伊朗无人机，绝配！
1690254150# #《日本青贮水稻收割，整套流程如行云流水，一气呵成！》播放量：15万。点赞量：918
1699783264# #珍惜和平
1688418235# #《1998年朱镕基视察粮仓，看到满仓粮食怒骂道：胆大包天连我都敢骗》1998年朱镕基视察粮仓，看到满仓粮食怒骂道：胆大包天连我都敢骗
1703533259# #121国集体抛美债，美主动向中方示好，美想要的，中方会给吗？
1697621532# #《圣人东方来，引领人类新世界》播放量：9626。点赞量：874
1691018229# #《越南女孩夹道欢迎，来提亲的中国小伙》播放量：3737。作者：小欣儿爱生活
1690244692# #《荷兰养牛用到智能养牛机器人，不愧为乳业王国！》播放量：3006。作者：谈谈侃三农
1701492073# #潇洒强者心态:刘杨
1696496947# #《印度总理莫迪强烈表达对美国的不满情绪：我们不想成为美国的跟班！》印度总理莫迪强烈表达对美国的不满情绪：我们不想成为美国的跟班！
1690619504# #《金正恩请中国代表看阅兵，朝鲜新武器亮相，美韩向联合国“告状”》金正恩请中国代表看阅兵，朝鲜新武器亮相，美韩向联合国“告状”
1695443387# #《影视解说女孩吃个烧烤被欺负，不料女孩是高手》播放量：70万。点赞量：5.1万
1693431313# #《黑道歌手臧天朔有多狂？扇梅婷耳光，砸成龙场子，结局令人唏嘘》播放量：28万。点赞量：486
1693033266# #《河北“预言家”疯婆婆，对2023年做出预言，真的可信吗？》播放量：6.9万。点赞量：1341
1694349018# #俄罗斯人在中国的笔记俄罗斯男人太能喝了！难怪俄罗斯女孩喜欢找中国男孩结婚俄罗斯美女外国人在中国...（分享自
1702350651# #《曾老预言2024年，人类迟早要吃木薯》播放量：131。作者：弯道超车H
1688575671# #《它不但是玻璃还是光伏它的透光度为0%，20%，40%等多种选择可以代替建筑用在幕墙、阳光房、屋顶等方面弱光发电、低碳环保、透明美观、绿色建材！》播放量：1007。作者：玻璃--女神好，发电玻璃
1691194566# #【马自达拿没有活塞的发动机做汽车增程器？未来发动机来了！！！】。西瓜视频)。
1690685891# #《刀郎归来《罗刹海市》引争议，映照现实也映照人心？》播放量：17万。点赞量：2944
1692138625# #《藏有唯一一张张三丰画像？张三丰到底长什么样？竟还供奉一块木头》播放量：1269。作者：丽丽讲历史a
1704069932# #新年祝福到！赢牛奶我获得了微博开新年跨年惊喜祝福小卡【新】，每日完成发博+转评赞互动，轻松集齐开红包~快来加入，领走新年好运气&gt;&gt;
1700435401# #《吉林发现神秘死神湖，湖内藏有数10亿宝藏，村民因此大发横财》吉林发现神秘死神湖，湖内藏有数10亿宝藏，村民因此大发横财
1700589766# #《重达3000斤的野牛向老虎发出挑战，吃了几天的饱饭忘记自己是谁了》播放量：6.5万。点赞量：1174
1695416681# #《1978年邓小平访日，记者刁难提问钓鱼岛归属，他回答让全场钦佩1》1978年邓小平访日，记者刁难提问钓鱼岛归属，他回答让全场钦佩1
1704044373# #《升腾山东【蒙阴：赏冰瀑奇观享冬韵之美】受寒潮低温天气影响，近期，临沂市蒙阴县桃墟镇百泉峪村现冰瀑景观，青竹翠柏变成了玉树琼枝，银光闪烁，宛若梦幻冰晶世界。。via》播放量：25万。点赞量：443
1695481733# #《搞笑配音：委内瑞拉总统给华为手机打广告，老拜很担心苹果销路》播放量：1074。作者：酷酷搞笑配音
1696779055# #《震惊，俄媒爆料日本秘密测试三相弹，威力比原子弹大1000倍》震惊，俄媒爆料日本秘密测试三相弹，威力比原子弹大1000倍
1692623860# #《千年的佛教预言有多准？如今已经应验了12首，2025有大事发生？》千年的佛教预言有多准？如今已经应验了12首，2025有大事发生？
1692042171# #《彻底闹大了！公务员迎“大地震”，河南又一大面积“官位购买”？》彻底闹大了！公务员迎“大地震”，河南又一大面积“官位购买”？
1691221126# #《对号入座了，刀郎破坏了基于规则的秩序被封杀》播放量：6977。点赞量：62
1695142607# #《美韩如临大敌，对朝俄军事合作提出警告！世界大战一触即发！》美韩如临大敌，对朝俄军事合作提出警告！世界大战一触即发！
1700449307# #《历代帝王靠什么开拓疆土？》历代帝王靠什么开拓疆土？
1695243305# #《农村人为了燕子到家里，给它造了商品房，不花一分钱就能住》播放量：9.4万。点赞量：382能不能学习燕子造窝技术来改造沙漠，即稻草打碎搅拌到黄泥中
1692296282# #《媲美爱迪生的清朝发明家，康熙若重用，中国至少领先西方百年！》播放量：4949。作者：象棋小王子Y
1692217468# #《焦裕禄去世后，子女现状如何？子女：别人借光，我们“低人一等”》焦裕禄去世后，子女现状如何？子女：别人借光，我们“低人一等”治理沙漠英雄
1692109165# #《圣人2024年出山？刘伯温还指出了姓氏和出身，究竟是真是假？》圣人2024年出山？刘伯温还指出了姓氏和出身，究竟是真是假？
1695065885# #《新疆惊现千年神树，九头树冠形似上古阵法，村民称树下镇压妖龙》播放量：1.3万。点赞量：586
1700106578# #《伟人也曾被人要债？主席感慨道：一辈子也还不完啊》伟人也曾被人要债？主席感慨道：一辈子也还不完啊
1695515166# #《大批援乌军火紧急改道运往台湾：这批军火为何被截下》大批援乌军火紧急改道运往台湾：这批军火为何被截下
1695442243# #《成也萧何败萧何，其实还有后半句》成也萧何败萧何，其实还有后半句
1690503394# #《我国科学家研究培育“多年生水稻”，种一次可收割4-5年，三农》播放量：2.7万。点赞量：203安徽省霍邱县适合种植
1698083960# #《2024年真的会有圣人横空出世吗》2024年真的会有圣人横空出世吗
1691967282# #《云南威信县三桃乡龙头事件来龙去脉》播放量：2865。作者：水月故事收藏o
1690619120# #《荷兰农场用绿肥还田，难怪土质那么好！》播放量：3481。点赞量：66
1700162550# #《雅万高铁突破350公里时速，印度网友集体破防！》播放量：6.9万。点赞量：1147
1696103180# #我们或将失去三分之二的人口
1695416709# #《1977年邓公为恢复高考，在会议上大发雷霆：谁不赞成，就改行》1977年邓公为恢复高考，在会议上大发雷霆：谁不赞成，就改行
1701095308# #缅甸北（诈骗团伙）
1695095218# #《日本的海鲜，找到下家了！居然是汉奸偷偷干的》日本的海鲜，找到下家了！居然是汉奸偷偷干的抓住枪毙
1692660078# #《印8万士兵陷困境，3月后将有4万人冻死，印下达修通补给线死命令》印8万士兵陷困境，3月后将有4万人冻死，印下达修通补给线死命令
1695509569# #《就算谈的差不多也都停不下来了！听国哥分析》就算谈的差不多也都停不下来了！听国哥分析
1701962446# #《女子骑车回小区时与保安起争执，被保安一拳打倒在地！物业回应》女子骑车回小区时与保安起争执，被保安一拳打倒在地！物业回应
1696805994# #《有断子绝孙树之称的桉树，既然多国禁种，广西为啥还大量种植？》播放量：12万。点赞量：1424
1690756449# #《现代化牧草收割技术，用到各种先进的机器！》播放量：3101。作者：谈谈侃三农
1693573043# #《一夜之间老美倒退50年》一夜之间老美倒退50年
1691215918# #《跟中国对抗那一定是脑子有病》跟中国对抗那一定是脑子有病
1695508893# #《上世纪八十年代，少林武僧展示闭目练功影像，姿势千奇百态》播放量：24万。点赞量：1.4万
1688819679# #《“真龙”曾现身中国，却被日本人盗走，现保存在瑞龙寺！》“真龙”曾现身中国，却被日本人盗走，现保存在瑞龙寺！
1696521727# #《七星连珠后，新一代圣人即将出世》播放量：459。作者：小陈奇闻探索
1700189963# #《老美的军事基地离上海有多远，您知道吗？仅仅700公里？》播放量：3.6万。点赞量：449
1688911426# #《一见·三组词，看总书记对新时代青年的殷切期望》7月5日至7日，习近平总书记在江苏考察调研。通过三组词，看习近平总书记对新时代青年奋进强国建设、民族复兴新征程的殷切期望。
1703594920# #83年邓公遭唐山“菜刀队”围攻，对方叫嚣：北京的面子也不好使
1692913403# #《马科斯一声令下，中企22个项目停滞，我国还未反击菲后院就起火3》马科斯一声令下，中企22个项目停滞，我国还未反击菲后院就起火3
1699557422# #《农户辛辛苦苦种植的萝卜，为什么都被打到地里去了！》播放量：34万。点赞量：1.4万换个思路吗（1萝卜可以挖个坑在用泥土盖上，等市场价格高的时候在卖出2腌萝卜干卖给卖面条馆等当咸菜3吃了不疼败坏疼，可以考虑网上抖音快手直播一元钱💰到地里随便吃随便拿）
1690244925# #《家庭农场移动养鸡模式，草吃完了，拖拉机拉着转场！》播放量：5万。点赞量：245
1694853994# #《刀郎就是西北歌王。他的歌声有着浓厚的西北情缘，一首《大敦煌》》播放量：5.4万。点赞量：1.1万
1692297898# #《美上将亲口承认：因为这3个华人，美国才会对中国望而却步》播放量：1.2万。点赞量：62
1701314382# #国外小伙骑行偶遇野猪沉着应对，这应该是最好的选择吧
1697848778# #《中日大战将要爆发！日本预测：血腥战场恐成下一个乌克兰》中日大战将要爆发！日本预测：血腥战场恐成下一个乌克兰
1695437485# #《曾国藩随手给算命先生写了个字要他算，谁知他的身份被一秒识破》曾国藩随手给算命先生写了个字要他算，谁知他的身份被一秒识破
1697849885# #《多个西方国家明面上拒参加一带一路，私下里却派对华友好政客前来》多个西方国家明面上拒参加一带一路，私下里却派对华友好政客前来
1695164735# #《南疆沙漠离奇现象！狼群跪拜林场一坟前，隐秘真相揭开！》播放量：3.9万。点赞量：4340
1690881047# #《曾仕强教授对2023年作出预言，一场战争正在发生？真的可信吗？》曾仕强教授对2023年作出预言，一场战争正在发生？真的可信吗？
1701649553# #《日本多地接连观测到海啸东京都八丈岛海啸最高》日本多地接连观测到海啸东京都八丈岛海啸最高
1692497667# #《这大桥这么好，说拆就拆太可惜了》播放量：30万。点赞量：929
1691566818# #《中国的80亿吨大型油田，凭什么把开采权交给了韩国？》播放量：2.3万。点赞量：78
1693033742# #《原来地热能是这样发电的》播放量：16万。点赞量：403
1695442604# #《3吨辣椒走高速，工作人员：线椒不算辣椒，不能走绿色通道3》3吨辣椒走高速，工作人员：线椒不算辣椒，不能走绿色通道3
1688879111# #《圣人为什么来自山东？揭秘神秘传说的真相！》播放量：797。作者：斌哥奇闻异事
1700816772# #《降临世间的天选之人》降临世间的天选之人
1689997663# #《违法拆迁要判刑？》违法拆迁要判刑？
1698474090# #《福耀高管带女人回宿舍被投诉，曹德旺的做法让员工大呼：太过瘾了！》播放量：49万。点赞量：8.3万
1698279263# #《257.俄罗斯迎来坏消息！普京态度变了》257.俄罗斯迎来坏消息！普京态度变了
1699062450# #美国强行扣押伊朗百万吨石油，购买方是中国，中伊联手发起反击
1693737560# #【华为浏览器】中国人把鸡养在沙漠中，竟然出现了神奇的一幕，网友：太逆天了！改造沙漠，好
1691221981# #《“火箭军女神”李莉：因太厉害被美国拉黑！她究竟有何传奇经历？》“火箭军女神”李莉：因太厉害被美国拉黑！她究竟有何传奇经历？
1688665974# #《马英九：一定要有“九二共识”让海峡不会发生战争》马英九：一定要有“九二共识”让海峡不会发生战争
1692189715# #《刀郎的罗刹海市为什么这么火》播放量：18万。点赞量：5998
1689930400# #得民心得天下
1694822655# #阿富汗急需与中国打开瓦罕走廊究竟有何目的？
1688586607# #《朱元璋人生轨迹图，真命天子朱重八》朱元璋人生轨迹图，真命天子朱重八
1691523446# #《愤怒的小鸟快递无人机被鸟攻击，这场面值得一看》播放量：11万。点赞量：181
1694023116# #《科学家成功实现量子纠缠可视化，结果呈现“太极图”，难道科学的尽头真是玄学吗？》播放量：2万。点赞量：178
1700421617# #《英国预言家帕克，预言2024年会发生的10件大事，可信吗？》播放量：3796。点赞量：93
1688416298# #《琉球一号人物访华前，透过中国媒体发声，反对美日介入台湾问题》在谈及地区局势与中日关系时，玉城丹尼明确表达反对美日加强军事联系，介入台湾问题的观点。日本
1701335431# #阜阳公众网:11月29日，多名网友投诉广西贺州一交警在执勤时，持棍击倒过路的电动车，车主倒地受伤，被送去医院。当地公安宣传科工作人员：正...
1693034162# #《沙特购买东风导弹，打仗不归自己管，老美：沙特疯了2》沙特购买东风导弹，打仗不归自己管，老美：沙特疯了2
1701490573# #美债
1701569255# #7集，历史老师又把你们片了，揭秘空城计的真相！阴谋、阳谋！
1689987590# #《安徽两名警务人员救人时殉职，其中一人战友：头天他刚订婚，救援现场市民自发送上鲜花》播放量：9257。点赞量：147警车要配上长绳
1704053347# #福建千年道观之谜，香客祈福引神仙托梦！
1696531038# #日本经济多次崩溃为什么没像西方一样发生暴动？
1692218134# #《看到别人家的老公表姐满眼羡慕，真希望有朝一日自己也能嫁去》播放量：8.6万。点赞量：427
1701735511# #为人民服务不能退步
1691304125# #《澳洲：中国人不要我们的葡萄酒，那就去印度，他们也有14亿人口3》澳洲：中国人不要我们的葡萄酒，那就去印度，他们也有14亿人口3
1688239637# #《长津湖战后局势愈发紧张，陈赓入朝迅速化解，彭老总赞不绝口》长津湖战后局势愈发紧张，陈赓入朝迅速化解，彭老总赞不绝口
1693433430# #《美国商务部长称持乐观态度离开中国》美国商务部长称持乐观态度离开中国
1690844806# #《佤邦主动清理门户，缅北诈骗集团引发国人公愤》佤邦主动清理门户，缅北诈骗集团引发国人公愤
1700979438# #《薄一波3句话评价彭德怀，4字评价刘少奇，为何评价主席用了3天？》薄一波3句话评价彭德怀，4字评价刘少奇，为何评价主席用了3天？
1703450790# #《如果朱标不死，会是朱棣的对手吗，朱棣还敢造反吗》如果朱标不死，会是朱棣的对手吗，朱棣还敢造反吗削藩笨蛋行为，看看汉朝8王自乱后封恩令，各地王几个儿子分几块，到刘备时已经祖产分光卖光，只好卖草鞋谋生
1701494625# #潇洒强者心态:教授的声音不能消失郑强教授郑强教授演讲
1691434625# #《羊被宰杀时开口说话，揭秘500年前因果！》播放量：1.3万。点赞量：402
1700189782# #《刘伯温预言2024“圣人出山”，留下谜面有名有姓！》播放量：5774。点赞量：94
1697242186# #《以军使用白磷弹？普京捡漏收喜讯》以军使用白磷弹？普京捡漏收喜讯
1690473713# #《塔里木盆地变湖泊的设想》播放量：17万。点赞量：805
1702326695# #《干翻渔船堵死核电站，这群水母能力有多大？为何日本这么害怕它？》播放量：10万。点赞量：8496
1688584320# #《王毅：中日韩要知道自己的根在哪里，头发染得再黄、鼻子修得再尖也变不成西方人！》王毅：中日韩要知道自己的根在哪里，头发染得再黄、鼻子修得再尖也变不成西方人！
1688072296# #《6月27日，广东清远。网曝一女生在楼顶被霸凌，多人轮流掌掴、踢踹。警方：正在跟进中》6月27日，广东清远。网曝一女生在楼顶被霸凌，多人轮流掌掴、踢踹。警方：正在跟进中
1691150347# #《唐山老汉救下受伤秃鹫，用心疗伤，一年后秃鹫怎么报答的？》播放量：2634。作者：小汇动物情报家
1689184078# #《失传2000多年的《连山易》，竟藏于老人家中》失传2000多年的《连山易》，竟藏于老人家中
1695556980# #日本
1697846762# #《刘伯温500年后的“转世”，曾仕强的恩师刘培中有多厉害》刘伯温500年后的“转世”，曾仕强的恩师刘培中有多厉害
1695538430# #刀郎
1691438214# #《考古发现陕西铜川唐僧真迹！》考古发现陕西铜川唐僧真迹！
1691277252# #《规格最高的一场中日大战，非将级不得参战军长只能当小兵2》规格最高的一场中日大战，非将级不得参战军长只能当小兵2
1694856527# #《大明王朝的火器，跟你想象中的一样吗》大明王朝的火器，跟你想象中的一样吗
1691935191# #《17岁少年当街被围殴致死，事后保安称：打错人了》17岁少年当街被围殴致死，事后保安称：打错人了严惩不贷
1697396972# #机器化代替人工是世界的必然
1690761608# #《1935年大渡河，毛主席深夜秘访老秀才，秀才一句话救了2万红军》1935年大渡河，毛主席深夜秘访老秀才，秀才一句话救了2万红军
1699827806# #《新华时评：地球容得下中美各自发展、共同繁荣——推动中美关系回归正轨系列评论之四》新华社北京11月12日电题：地球容得下中美各自发展、共同繁荣——推动中美关系回归正轨系列评论之四
1701985225# #《20余万果敢华人遭遇大难》20余万果敢华人遭遇大难
1689207629# #《高人预言圣人：飞者非鸟，潜者非鱼，是什么意思？》播放量：1535。作者：斌哥奇闻异事
1695065113# #《1万多亿美债被美国人一抢而光》播放量：2万。点赞量：2301
1687557208# #《沙哑的声音，听哭了有故事的人》播放量：31万。点赞量：1841
1696778718# #《121国抛售美债后，拜登终于认清现实，旧金山市政府升起五星红旗》播放量：5.7万。点赞量：3267
1699615654# #《天台山五公菩萨，对于2024年圣人的预测，究竟是否可信？》天台山五公菩萨，对于2024年圣人的预测，究竟是否可信？
1693048764# #《在月球表面发现巨大储水库，储水量达到惊人的2700亿吨！》播放量：3.2万。点赞量：150
1700979360# #《薄一波3句话评价彭德怀，4字评价刘少奇，为何评价主席用了3天？》薄一波3句话评价彭德怀，4字评价刘少奇，为何评价主席用了3天？
1696533637# #黄檗禅师预言几乎全中，预言2025年世界或将迎来巨变？可信吗？
1691217790# #《上级命令他死守7天，他错听成47天》上级命令他死守7天，他错听成47天
1690606102# #《罗刹海市到了》播放量：3.3万。点赞量：1857
1691302477# #《任正非的母校让他捐款100万，谁知任总一句话，就让校长羞愧难当2》播放量：2.7万。点赞量：224
1690426850# #《抛夫弃女三十三年！听说老宅拆迁获得176万拆迁款，连夜回来要钱》抛夫弃女三十三年！听说老宅拆迁获得176万拆迁款，连夜回来要钱
1701007838# #《你终于来了，天选之人》播放量：3342。点赞量：1465
1691434025# #《为什么越南女人嫁到中国后，全都跑光了，揭秘逃跑背后的真相！》播放量：5.5万。点赞量：1903
1701723960# #《2024甲辰龙年预言：“豆麦无成实，六畜亦遭迍”，是什么意思》播放量：2142。作者：T枕上书
1702716039# #《火爆歌曲《人生如同酒一杯》》播放量：1185。作者：音乐之声驿站
1694200054# #《搞笑配音：老美想G七分摊美债，有福同享有难同当，老拜很开心》播放量：4.7万。点赞量：621
1690475113# #《《罗刹海市》大火，那英反涨粉数万，网友喊话田震要求翻唱》播放量：6.6万。点赞量：560
1687371866# #《广西400亩大农田，一夜之间变成湖泊，巨响之后湖水竟又神秘消失》播放量：3.4万。点赞量：237红旗河出现如此现象该如何操作
1695554037# #《人口红利是普通人的红利吗？天真！》播放量：7.5万。点赞量：8012
1701442007# #广西柳州男孩路过午托班推了一下玻璃门，遭到男老师当街追着踢踹
1695329193# #《野牛追着狮子顶，这牛惹不起！》播放量：10万。点赞量：1222
