1700933996# #老人回忆当年大饥荒！
1690400308# #这一下估计要出大事！
1702896770# #湖北黄石大学生点外卖质疑“大米先生”卖淋巴肉，投诉后遭对方威胁：“小年轻人，不要动了餐饮的奶酪”。食品安全（来源：扎西德勒·天珠收藏）
1702868359# #女生偷偷溜进男生宿舍陪男友，主管发现后怒斥两人！
1690597050# #村民进京上访中纪委被镇干部追到北京劝返。因收取镇干部转账的路费。返回后直接送到公安局后被判寻衅滋事。出狱后，刘美志于7月18日潮新闻。向祁阳市法院递交潮闻天下。申诉材料，申请再审。法学专家:如路费是协商一致结果。不构寻衅滋事罪
1698673355# #10月30日，山东青岛，从口角升级到乱战。。
1690855339# #给洒水车司机嘉奖，恶劣气候下坚持工作
1702391132# #女神永别了！蜡烛蜡烛周海媚于2023年12月11日因病去世蜡烛周海媚去世
1696412506# #国外清理占道经营！
1702216639# #新娘在婚礼上的这段舞蹈，让人印像深刻……
1701862133# #深圳这是想打响教育改革第一枪吗？
1702440224# #巴勒斯坦孩子们收到中国物资，挥动自制的中国国旗表示感谢。
1701608168# #为什么不会选择一个好天气，开家长会吗？
1703731613# #保安劝阻游客喂海鸥引发怒怼:关你屁事…亿点曝光计划
1697841892# #长得帅的男生就是吃香！
1692704922# #交通指挥事故现场！
1696604087# #今天你最🔥！
1703267003# #四川成都，街边商铺占车位，一占就是一排挖鼻……这辆白车内心很崩溃吧晕
1703931791# #当哈尔滨司机大哥听说外地来的游客住的是平常两三百涨到1700的酒店，马上就是给12345电话反馈doge…社会百态亿点曝光计划
1696140262# #国外杀牛！
1703662006# #生活要有仪式感…别致大视野的专属圈子超话新鞋落地·大吉大利😄😄😄
1697552629# #伊朗富人的私人聚会，屋里没有黑头巾，只有烟酒和热舞。
1702685569# #各行各业都需要演员！生活不易，全靠演技！
1697762358# #高速上黑色小车开“斗气车”，多次碰撞大货车并企图截停，下一秒就被大货车司机狠狠教育…
1698027804# #这是不是违规作业？
1693748264# #吉林长春，皮卡撞上劳斯莱斯疑似全责！皮卡：我只买了交强险！
1702604081# #因环卫大妈扫地时不相信把落叶扫到了女子的狗身上，女子发怒，故意将环卫大妈辛苦扫好的地弄脏…
1702006140# #武汉鄂A车主停车3041个小时，收费1167元！
1702698389# #大爷在广场门口跟孙悟空（扮演者）合照，被要求20块一张，随后大爷愤怒而去！
1701743506# #大庭广众之下，这也太不合适了吧！
1695112106# #网络评审团，看看这波小轿车全责对不对！
1703071625# #2万元6年前借出去的，现在要了回来没有利息也没有感谢，唯一收获就是多了一个仇人！深有体会啊……
1703221189# #不打这针就不好看了吗？
1704024994# #卢氏老爷子耍大刀，这身手怎么也不像九十岁。有没有人好奇这把武器到底叫什么？
1702771316# #12月14日22时40分左右，湖北省利川市公安局汪营派出所接到辖区群众报警，称巷子村有一男子挂在树上，神情痛苦，疑似醉酒。到达现场后，民辅警发现该树大约有十米高，醉酒男子情绪激动，时不时四处张望，稍有不慎，就会跌落。经了解，该男子晚饭后一人在家，多喝了两杯，饮醉后不知怎么就上了树，醒酒后
1701137516# #这个自贡的美食博主有点搞笑，记得三年前他就是在那个日子前发🥚炒饭视频被粉红们骂到道歉，今年怎么又在相同的地方踩坑。。据他自己辩解，他没发，是别人发的，就是他的团队发的，团队应该不知道这有坑。。自媒体这个事的评论区竟然有99%的瓜众不知道🥚炒饭是个什么梗？这几年网络真是发达了。。
1701435700# #这位女同志怎么了？
1703296008# #男子骑白马进入上海闹市，警方：男子骑马从外省市进入上海，依法作出行政处罚……
1703758414# #在国内和怨妇一样的润物成功润到新西兰后，又开始哭哭啼啼地吐槽国外的日子太难过：没有地方住，没有饭吃，没有经济补助，没有免费律师，没有免费医疗，自己还沦落到流落街头的地步。。。
1698469299# #27日清晨，（缅甸〉果敢同盟军攻占了清水河，解救出大量的被困中国人，一句汉语：不要慌，你们都是安全的！大家感到特别亲切！
1703241266# #广西一未上牌宝马车突然启动转弯，撞翻路过三轮车及外卖小哥后冲上人行道事故监控下的一幕
1690541466# #无人机“挑衅”近距离追着天鹅拍摄。被天鹅一膀子拍进赛里木湖。“螺旋桨很锋利，一旦碰到鹅颈会致死”
1703460855# #坏人变老了！相关部门通过人脸识别和监控，应该可以找到这两个老人吧！
1703166555# #这样做没毛病吧！建筑垃圾要自己清运！
1691108106# #直播时侮辱下一任首相洪马内，当晚即被警方逮捕。就在一天前，也有一名男厨师发视频侮辱现任首相洪森被捕。。狼崽子还未继承大统，就已经显露出财狼本性。
1694212137# #吃就吃呗，支持个得！
1688952933# #如果你觉得阿富汗不好，你应该去建设他改造他，而不是一走了之！
1696908884# #这民族太可怕了太有凝聚力了其他民族一打仗人都往外跑他们往回跑
1701405637# #司机：这是个什么玩意裂开
1703481690# #中国斗牛：超级残忍西班牙斗牛：超级优雅……
1698310513# #哈马斯首领露面。正气凛然面对英媒采访套话，以色列非法占领巴勒斯坦75年！
1703613003# #许家印：我的第一桶金……
1702815760# #外卖小哥怒堵红旗车主，大家听听谁有理？
1697248302# #第一次看到煤矿下面愿煤矿工人都平安哇
1701837404# #乘坐出租车抓网约车，太牛了！笑cry
1692750675# #这是在天津的网友拍摄的，消防部队用云梯灭火，大楼的火基本被扑灭了天津着火！
1702817216# #转发微博
1702555709# #这种在大货车遮挡视线的情况，双方更应该都减慢速度
1703297581# #外卖小哥晒工资单……
1702992172# #一段12月17号的监控显示：一男子带着不牵绳子的四条细狗到处串，见到小狗就围住疯狂撕咬，这是在猎杀别人家的狗吗？？疑问
1697669076# #她这样拿不硌得慌吗！
1700699438# #11月19日，俄罗斯知名红歌歌唱家波琳娜·曼什。深入到乌克兰境内慰问俄军810旅，被乌克兰海马斯飞弹一发入魂。带走她和25名忠实的俄军听众。重伤高达100人左右，整个剧场被摧毁，这是波琳娜真正的告别演唱会。
1690941466# #大爷：好了，出来了，会游泳吧。大哥：咕噜咕噜。大爷：艹，我他M都游老远了，你说你不会游泳，还下河洗车。dogedogedoge
1697892692# #为了趁高铁停靠的2分钟过过瘾，直接错过，车就在眼前却上不了晕……
1693829722# #这个是翘嘴吗？
1703990997# #深圳一男子撞人后逃逸路人高喊“他跑不掉的”，目击者：开出没多远就被抓了~~~
1698668263# #工地宿舍开足疗店，民工们太暖心了！
1702779422# #12月9日香港，女子过马路闯红灯差点被撞，司机提醒她要注意交通灯。惹女子暴怒回应：开你的车就得了
1698127268# #移民国外的中国富豪！
1695032445# #这猴子跳舞把我迷倒了，网友：一只猴比我还会跳。
1692876917# #男子用手接无人机险些造成危险！。via:大众网青岛
1693628724# #老人横穿马路，路上车辆纷纷避让。但是下一秒……汗别致大视野别致大视野的专属圈子超话
1697429627# #在非洲这活得8个人分工干
1693575546# #中国男子在街头采访日本人怎么看待排放核污水，日本人知道采访者是中国人，扬言让男子“赶紧滚出日本”，结果男子的一句话有力回击了这个嚣张的日本人。
1703719803# #插车捅漏油箱，损失惨重……
1697065617# #中国将来一定是被砖家嗨死的，张维为已经以一己之力把中国送入了发达国家行列，失去了发展中国家的各种优惠。
1702367176# #狗子当街放飞自我，同伴的举动戳中笑点，。爱与不爱太过明显！笑cry
1703424897# #痛别！一份早餐坚持27年卖5毛钱的"早餐奶奶"去世，享年90岁
1703761981# #果敢果敢老街缅北缅甸金三角老白去了哪里？居然，没有人知道。
1702895230# #别致大视野的红包别致大视野在发红包哦，
1696120638# #那些U型锁们见了小日本这车子恐怕立马就懵逼了，没有了血脉偾张，离得远远的拍手去了。
1692928320# #狗子偷喝酒，趴马桶吐成真狗。网友:不能喝就别喝了
1697941023# #看来离婚登记窗口需要增加工作人员了！
1693366851# #国外缺德带冒烟的！
1690855490# #娶这种老婆该怎么办？
1692762454# #俄罗斯母亲来到乌克兰，找到了自己被俘虏的儿子！
1690969363# #居民楼下电动车违停交警直接全部拖走引发热议网友:这不让停那不让停到底停哪?
1703936712# #哈尔滨冰雪大世界，女子插队被赶出来，态度嚣张还要打人。社会百态亿点曝光计划
1697744083# #兽医给一只鹦鹉清理鼻腔
1693807787# #广西一中学倡议家长捐款，给教室装空调，最低捐100，最高600！
1690836628# #过年女儿回娘家，礼轻被嫌弃，礼盒被踢飞！
1701522249# #11月30日，泰国。伴娘参加朋友的婚礼，跳舞跳出了灵魂。“这世间没有她在乎的人了吗”
1690944843# #纯真的孩子，善良的老板
1701260874# #我说这起事故是奇骏的责任，各位没意见吧doge
1703059354# #一时分不清究竟是谁在逆行……哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1693348605# #江苏商人实名举报岷县住建局，瓜不小应该！
1690378916# #现在才知道新加坡也是社会主义国家！
1702596981# #好狗不挡道！
1702533561# #大货车转弯速度过快，直接漂移调头！
1696837191# #新能源车冲进加油站起火，救人过程中发生惊险一幕……
1691295650# #刚修的水泥路，村里的这种人真可恨～
1690375210# #印度出兵缅北打击诈骗，是个传了几个月的谣了！
1703914065# #女子天天电梯里抹粪便，楼层住户苦不堪言，真相竟是如此，抹的好！
1703166687# #12月21日广东，网友发视频称：一电动车车主把五年级的一个女学生撞了！车主没有下车查看伤情，跑了！
1702517076# #视频车怎么停不下来了，刹车出问题了吗？？
1693570996# #男子开车压碎集市上摆摊大姐鸡蛋，大姐说：“没事没事，不讹人”。男子现场买下500多元东西。
1701514211# #事情：网友花钱去水库钓鱼，钓不到鱼选择了报警，要求退费……这也是个新鲜事晕
1701227184# #这样执法是否被允许？
1700813735# #看着都疼！
1701762450# #中国小伙在尼日利亚街头吃小吃被当地人直接要钱，不给钱不许吃！
1701510782# #国道收费“回潮”是退步吗?媒体:这背后人们担忧的是一些公共产品服务会不会收费?
1702292084# #主人不想养了的毛孩子被遗弃主人开车直接就走了毛孩子追不上知道自己被抛弃了在原地不停地哭泣！
1698027629# #以色列导弹轰炸加沙的一段视频，摄像头非常清晰地记录了下来……想想你身边随机出现这样的轰炸，这就是加沙尤其是加沙北部目前的日常……
1697941170# #现在保重身体是为了老了在同伴面前得瑟！
1702980743# #甘肃积石山地震救援现场群众在临时物资发放点排队，有序领取早餐。（新华网）甘肃地震航拍甘肃地震震中画面第一批救援物资正紧急调往灾区
1701511895# #传说中的冬捕！
1693952405# #网友曝料：海南省政协常委张泰超有五个老婆这是26岁小老婆房子。另外还有一间酒类储藏室，高档名牌酒应有尽有！
1700839329# #宣汉普光中学开启庆祝模式！
1702946909# #12月18日，甘肃临夏州积石山县6.2级地震，有房屋倒塌和人员被困，甘肃580名消防员集结赶赴震中，愿平安！甘肃甘肃地震
1702035857# #还是紫色有韵味
1703071323# #松原一小区居民喊冷，供热办：市民弄虚作假！坚决打击……
1696896133# #以色列根本无法消灭哈马斯，那不是一个军队，而是一群恐怖分子，他们藏着民众之中，把无辜百姓当盾牌，你怎么消灭？。以色列这次应该不签停火协议，将战争打成持续的反恐，就像沙龙时期对哈马斯精神领袖亚辛的定点清除，悬赏鼓励巴人告密，无人机定点轰炸，一直到彻底消灭哈马斯中高层。
1691197875# #我使馆回应中国公民入境俄罗斯受阻中国公民入境俄罗斯受阻当事人出面回应…！
1703671914# #早高峰交警"神指挥"！左转单车道变5车道，30辆车仅一个绿灯通过社会百态
1690606964# #可恨的是拿国旗开路，真的是坏到根上了
1696762366# #这喷杀虫剂还能吃？
1703718464# #重庆开州多人疑似中毒倒地，现场群众哭喊：快点来救人。官方：有人员伤亡，已成立专班处置
1692665333# #“前面在检查”，这么多热心市民！允悲允悲允悲
1703742925# #12月26日湖北，工人工作不慎失误被安全绳挂在半空命悬一线，工友纷纷出招齐心协力挽救男子于险境，网友：最后那个蜘蛛侠大哥太给力了。亿点曝光计划
1697541249# #哈马斯代表联合国大会霸气发言怒怼以色列！
1691069800# #狗都看亮剑了！谁说狗行千里吃💩的，不服！笑cry
1690391957# #他们是来拉屎的吧！！！！！
1702833025# #拒绝婚闹为爱亮剑！
1701873258# #年底了，谨防诈骗！
1703914564# #玩归玩，闹归闹，KTV里别拍照照相机
1701479997# #剖腹产宝宝出生全过程！
1703568346# #12月26日，在江苏某地一男子恶意破坏一辆货车，打烂货车司机的玻璃窗，只因货车司机抢了他的车位。。网友：这个应该算毁坏他人财务吧！！！
1694432796# #河南不大，创造神话…
1702722660# #每日一警我天！不知道是哪衰傻眼
1701927824# #大哥，你什么时候停车，我快没油了！
1703730353# #公共道路上追逐竞驶，最后一位直接冲出马路……
1701435380# #乱停车的代价裂开
1703472164# #饭店老板家的熊孩子，把客人都给熏跑了。摊手
1701517600# #下次不要偷摘水果了噢思考……
1703583269# #一乘客不断辱骂外地网约车司机，“外地人什么东西都不行”自称杭州本地人网约车司机社会百态
1702471938# #最重要的还是我们有专家，外国没有
1698127381# #以军发言人突然开出条件：哈马斯释放全部人质并无条件投降，以军将取消地面行动。
1702874058# #犯罪情节特别恶劣，手段特别残忍，主观恶性极深，人身危险性和社会危害性极大。劳荣枝，被执行死刑！
1690978003# #网友拍下的养老院的生活！
1700749572# #看来大家都很难！
1702642516# #白所成最新训话！
1690608027# #潘石屹：我们家祖坟让人给扒了！
1697685123# #骑电动车不遵守交通规则很危险！
1701699759# #七十岁的林子祥唱功还是那么顶，甩假唱十八条街了！衡阳qq音乐巅峰之夜演唱会
1690342088# #眼界有多远，世界就有多大。。傅晓田
1703720569# #塞尔维亚民众抗议选举“舞弊”
1702337107# #妻子跟情夫出车祸在医院抢救，丈夫前来淡定点火，同归于尽！
1691296358# #欺人太甚！！！怒怒
1702650904# #阿根廷总统米莱第一次做总统，发型还很乱，自己搬凳子。略显拘束……
1700833099# #缅北屋顶上的12.7mm口径的重机枪进行火力压制，狙击手够不到他！
1701867516# #看见大车来了还要往前开？这下连后悔的机会都没有了。
1690425203# #男子拍下长途汽车心酸一幕前座靠背压在大叔身上丝毫没顾忌后座。网友:真的不要欺负老实人
1702965984# #印度人太接地气了网友：我的狗有两只碗！
1703857289# #同盟军给投诚的缅军及家属发放路费亿点曝光计划
1703998251# #女子打碎画展老古董！老板：花瓶价值10万，找关系才买到手……
1693437826# #美国佬的爱国教育不错啊！
1702892969# #刚出生三天的小狗喝饱奶就睡且身体僵硬，网友：坏了，我埋了三条活狗！允悲允悲
1693826306# #难以置信，前央视记者王志安竟然力挺日本排放核污染水。
1696761081# #骑士精神：我可以对你竖中指你不能催我，我可以在车流中钻来钻去不能催我，催我我就竖中指，你拿着棒子问我我就就就就就就讲讲讲讲讲讲话结结结结洁洁吧
1703670326# #衡阳抖音千万级网红。有认识的吗……
1702883942# #广州地铁5号线
1703127274# #发觉老板娘不对劲，老板查看监控，瞬间绿了……
1690960798# #衰现在黄牛业务都这么广啦
1697930900# #长此以往，死期不远！允悲
1701990897# #书协
1701522520# #违停的成本太低！学习深圳500起步，应该就会好很多～
1701415132# #验出来了，两条杠，麻烦的是不知道是谁的！
1701920068# #大爷去KTV唱歌。一言不合就接上手吓得小姐姐到处跑
1701568537# #深圳父亲“悬赏千万”寻子。‘23年了爸爸现在有6套房4家公司等你回来儿子失踪时仅2岁距离孙卓被拐地不足百米
1694831784# #意大利主场，5万5千名意大利球迷与乌克兰球员一起唱乌克兰国歌。
1690946400# #别说，你俩笑起来一样一样的！
1695557123# #口嗨！
1702173751# #张雪峰超话张雪峰:这俩专业走遍天下都不怕~
1697687806# #伊朗总统易卜拉欣·莱西在联合国发表讲话时，以色列驻联合国大使吉拉德·埃尔丹举着马赫萨·阿米尼的照片。。。你们看，这是伊朗的光辉业绩。
1692703284# #新加坡总理李显龙不简单，关于他你知多少。1,李显龙是新加坡开国总理李光耀的儿子，含着金钥匙长大。。。2,李显龙是数学天才，毕业于英国剑桥大学,曾获数学一等荣誉学位，以及电脑科学优等文凭。。。3,李显龙还会写程序代码，是全球为数不多的能写代码的领导人。。。4,李显龙还在军队服役过，还获武装部队海外
1703067048# #【人类最忠诚的朋友心狗狗受伤仍坚持搜救】搜救犬在执行甘肃地震救援任务中腿部受伤，血流不止，仍一心搜救甘肃加油青海加油
1702814047# #四川网友幽默调侃馄饨店老板：老板，我把醋全倒里面了会不会挨打啊！
1692929811# #这是陕西韩城吗？将30亿的古城墙都建废了怒怒怒央视调查甘肃天水古城
1694859561# #不爱请不要伤害
1702867038# #近日，一段网传视频显示，东海的一位村民疑因家中的树被砍掉而未获得补偿。视频中，男子手持白色瓶子并倒地不起，地面上有白色液体。据了解，目前该男子正在东海县人民医院接受紧急救治。（来源：连云港吴强）
1703382327# #几位上海老头老太太聊对变富的看法，看完感觉说的有道理，太扎心了。
1691200332# #连续三年累倒在抗洪前线，相关部门是不是该为这位小战士申报英模呢？
1702237920# #你永远都猜不到，堵车的时候第一辆在干什么！
1698020835# #胡锡进涉猎股市论韭菜
1693112584# #1961年3月3日，中共甘肃省委办公厅收到“慰问团宁夏分团”所做的一份关于“人吃人案件的统计和分析”的调查报告。
1691197216# #关于缅北，这哥们说了一些亲身经历的事，发表了自己的看法……自己同胞下手最狠！
1697578370# #欺负老实人，才一千多块钱，这下后悔都来不及！
1690682880# #母鸡：我妈说了，不准嫁到山里去。拜拜
1702663984# #女子意外坠楼，落地后不忘拉裙摆…
1697685370# #怎么敢说这蛇没毒啊？？尖吻蝮俗称“五步蛇”，也可以叫“烂肉王”，剧毒！咬伤明显特征就是咬伤处高度溃烂，头部呈三角形，看到离远点就对了挖鼻
1702947158# #甘肃积石山县突发6.2级地震，监控记录下地震瞬间，临夏州多地房屋受损！甘肃地震甘肃
1698057108# #在以遇难的泰国劳工回家了！
1691211806# #进退两男！允悲允悲允悲允悲
1691056128# #网友拍下涿州救援中感人一幕，大货车司机加入转移受灾群众，“天灾无情，人有情”！涿州市民说从未想过在这条路坐船这就是当代诺亚方舟！
1697681269# #太可怕了，真的花光了这辈子的运气…
1695512153# #核酸大王张核子进军预制菜，原来是真的。
1700975695# #近日，衡阳一宝马车撞过路障直接冲进酒店，停在关公像前！
1703239294# #重庆，老人自己摔倒，被路过的司机扶起来后不让司机走了，给了300块还不够裂开……就是给惯的
1701763048# #有这样的父母，何愁不出一个逆子，未来社会会教育他。揣手揣手揣手
1702996674# #群众有困难的时候，他们就会出现！西部战区战士在地震灾区搭建流动厨房，为受灾群众提供热食。地震已致127人遇难甘肃地震
1690860248# #这种情况下，拿砖头砸他玻璃犯法不？
1691113526# #萌娃误把老爸白酒当饮料，喝完开始刷酒疯！
1700968243# #新娘接亲途中上个洗手间，出来后整个车队不见了。
1694212828# #好实在的小伙子！
1703546577# #第一次看到下跪还顺拐的允悲
1690841203# #暴利行业还亏损，那得有多少虫子啊
1698364797# #10月25日，四川某地，保利集团保安用高压水枪驱赶菜农！
1703305020# #一个动作，瞬间泪目！抗震救灾车辆路遇灾区孩子，宝贝们主动停下敬礼感谢……
1701957438# #女子当街打孩子被路人阻止。却大喊:“我打孩子碍着你们什么事?’。妇联回应:会进一步核实处理。若网传情况属实，会对该女子进行心理调节一起来投票
1689764859# #永远的红太阳！
1693837430# #网传医生被患者家属。连捅多刀身亡。殡仪馆:已收到该医生遗体
1701142732# #结冰了有防滑链也不行笑cry做为一个南方人真心好羡慕！
1698666593# #以色列国防军就像过街老鼠一样，人人喊打。
1696876555# #埃及谈判代表通知以色列。如果在加沙地带发动地面行动，黎巴嫩真主党将参战！
1691200199# #有没有可能是，摩托车突然变道，后面的轿车为了躲摩托车，慌忙向右打轮撞上的……
1702535477# #这样的都有女朋友！
1690847240# #这女人也太坏了吧？抱抱怒
1690602620# #为啥日本公务员不敢贪污？
1692794183# #间谍真有这么严重吗？
1703217504# #师生最萌身高差，要不是穿着校服，真要认错了。
1703900722# #泸西11.18爆炸大案，男子单挑120名黑恶人员，致使对面9亡48伤亿点曝光计划
1702091003# #这是1962年中国向印度移交第三批俘虏的真实影像，这批被释放的印度伤病俘虏一共有368人，另外还有一些被俘后死亡的俘虏遗体也提前归还给了印度，每具遗体都附有详细的病历和抢救记录。
1694213082# #“或靠近中国家门口！”美韩将开展两栖登陆演习，“闪电航母”进黄海，离威海仅173公里！
1702005614# #汇入主路不观察，两辆大车猛烈相撞。
1701331385# #中国大神发明了一种个人防空系统来抵御蚊子。。。他结合了电动汽车的雷达来探测附近的昆虫，并在其上安装了强大的激光笔。他将所有“受害者”收集在一本特殊的死亡笔记本中。
1702815420# #一位名叫侯志涛的法律人发视频向社会求救，自称受到迫害。
1694175666# #河南一信贷员卷走数百村民上千万存款！
1701127275# #小哥探望之前投喂过的流浪柯基，再次见面时已经成为了母亲，没想到叼了一只给小哥表示感谢。
1702309170# #阿根廷新总统米莱上任第一天就签署行政命令，将政府从21个部委减少到9个，文化、女权等部门全部out！。。阿根廷是总统制，类似于美国，阿根廷总统既是国家元首又是政府首脑，行政权由总统行使，内阁由总统任命。。。目前阿根廷政府共有9个部门，由一位内阁总理大臣领衔:。①内政部。②外交、国际贸易和宗教部
1690610314# #打赢了坐牢，打输了住院！总之没钱做人就低调点！
1702909160# #各位恒大歌舞团诸位舞蹈艺术家的豪车。
1693790073# #公路上晒粮，大货车这样做对吗？
1701958032# #大爷在小区投喂流浪猫遭两名业主一路怒怼“是猫重要还是人重要”
1702389841# #网友在美国中餐厅拍到一幕，服务员追出来问客人要小费，“你们吃完饭不给小费的么”。
1690331719# #这是雷神军火公司的CEO海耶斯，四个月前因为出口湾湾武器和洛马公司一道被我国罚款1000亿，丫的到现在为止一分钱未缴纳，反而忽悠的与我们不脱钩。
1691255868# #渣男！
1697671447# #世界上绝大多数国家并不相信以色列会炸毁医院，只是目前没有哈马斯炸毁的证据而已。。以色列从2008年的铸铅行动开始，为了不误伤平民，就实行“敲屋顶”，即首先由直升机发射轻武器弹药击中要击毁的屋顶，提醒屋内百姓出逃，后来加上电话提醒，为了不伤及无辜，以色列可以说在战争中做到了仁至义尽，
1703052338# #美女看把人家美女给冻的也不知道怜香惜玉，美女都开启了被“冻”技能！
1702384738# #以一己之力拉动整个小区的入住率~~~~
1690959856# #现在的小孩都被游戏给害了，都不知道怎么教育了！
1702218472# #美国会要求三位女校长辞职，宾大校长已经辞职，犹太人影响力可见一斑。
1698216007# #面粉里的科技！
1697930284# #这对母女实际上拥有以色列和美国的双重国籍，但显然哈马斯是忌惮她们的美国身份才释放的，因为，哈马斯至今仍然扣压着200多名平民人质，其中绝大多数是以色列人。。
1693019851# #卢卡申科为了保住自己的江山，甘当墙头草啊！
1693914750# #这个在我们家乡叫做豆油，用来做吃的的调味品，这个豆油的价格现在我买的是16元一斤，也就是他手上这个瓶子一瓶满的，加上瓶子17元！有吃过的吗？
1694307387# #狗狗玩耍不小心掉进酱缸，母亲心疼一缸酱被气哭！
1700057857# #白所成父子露面！
1692968901# #【核污水排海后日本人在海里游泳，当地华侨：海水颜色明显变深了】8月25日，日本茨城县，日本核污水排海第二天，当地华侨张先生称，他们所在位置距离核电站就几十公里，海水颜色明显变深了，但是当地人好像并不在意，依旧有人在海里冲浪、游泳。福岛产品半价无人买日本核污水排海事件全梳理
1697671818# #俄将在12年的时间内向中国提供7000万吨谷物、豆类和油料，这1800亿是现在就给啊还是交易一次付一次？。
1701425279# #记者以普通人身份求助协调异地献血，上海卫健委:需在当地申请！
1692749564# #华人在美国纽约法拉盛非法集会，寻衅滋事，仅仅是要求摆摊。
1697410194# #看到最后，正吃饭呢喷得满桌子都是……哆啦A梦害怕哆啦A梦害怕允悲允悲
1691069578# #同桌的非洲留学生！
1697307144# #湖南一技师学院女生在宿舍死亡家属称学校拒不担责孩子遗体仍在殡仪馆校方:警方已尸检排除刑案一直在与家长交涉！
1700967081# #男子碰见查电瓶车🛵被拦下，没想到他直接车子也不要了…裂开
1701564477# #她已经把能给的都给了粉丝！
1703290244# #马路还没过完，就已经摆出一条美食街了允悲感觉各位摊主身经百战！！！！
1690996919# #公办高校学费再迎涨价潮。秋季开学多地学费上调数百至千余元。大多上涨至5000元-7000元
1701695482# #河南一家长在班级群发不雅视频！
1702612859# #喝到位了，来一段！
1702960148# #河北一中学让家长填写家庭收入？学校回应：可填可不填存档保密不会外泄！
1703993217# #据上游新闻12月30日消息，一个炕两张床三千块？雪乡酒店民宿价格再度“突破想象”…雪乡酒店民宿一炕两床3000元
1700197438# #湖北的旅游车在岳阳东站接游客。遭到多名不明人士阻拦
1693953232# #如果是真的，这个调解员还算正常人，不像往常那种盲目劝和哈哈
1693914079# #不要随便去不熟悉的水域玩水，水里危险无处不在裂开。。。人已被救起！
1701597854# #这是在中缅边境防控吗？
1693958287# #哈士奇偷吃路边摊卤菜，之后又“搭便车”跑了！
1690998700# #浙江首富国岳大婚。花1亿八千万举办婚礼。迎娶杭州第一美女新娘晓娅。陪嫁三套房🏠800万现金💰
1697307425# #小狗被车辆碾压导致双腿断裂后续...小狗已经得到了救治，现在正在恢复当中。
1703379448# #这是在洗衣服吧……
1697951223# #年轻人真经摔！
1698236851# #这是蟹黄吗？
1693271496# #这个大国小伙不知道气愤个锤子，官方已经禁止进口日本海产品，民间自发的拒买日本海鲜，都害怕福岛辐射，小日本善意的提醒，你怎么感觉被侮辱了呢？
1691282027# #四川甘牧，男子指责游客插队，员工怼游客：不服单挑，景区：已停职处理！
1703386488# #幼儿园男孩送女孩200克金条，妈妈：打开都惊呆了……
1703420755# #并线不观察，耳朵当场报废。
1690104677# #薮犬！
1703641075# #12月26日（采访时间），山东临沂。宝爸晒6岁娃自学微积分视频引质疑，宝爸接受采访时称：孩子全靠自学，没有老师教。别致大视野的专属圈子超话
1695088159# #这是干嘛呢？
1690193955# #齐齐哈尔体育馆坍塌事故已致9人死亡这个家长说的有理有据，扪心自问，如果这是自己家的孩子，作为家长你又会是何心情？齐齐哈尔坍塌体育馆已致10人死亡目前，最新的消息，10人死亡。
1695180548# #国际涨，我也涨，国际对我有影响！国际降，我不降，我跟国际不一样！
1690547300# #这是什么工程质量，需要这么多钢筋！
1690959286# #35岁布基纳法索军政府过渡总统。易卜拉欣·特拉奥雷：非洲受西方政权奴役的时代已经结束，争取完全独立的平争。已经开始......要么是祖国，要么是死亡。西方不受控制地向乌克兰输送武器对非洲地区的安全产生了负面影响，而这些武器最终会流向非洲
1702974270# #甘肃地震已致111人遇难12月19日，积石山6.2级地震发生后，多家企业捐款驰援甘肃震区物资大家想办法，你们只负责平安！甘肃地震
1698117827# #【外媒炒作“中国6艘舰艇同时现身中东”】解放军这6艘军舰是在亚丁湾、索马里护航的两个编队，包括由淄博舰、荆州舰、千岛湖舰组成的第44批护航编队，以及由乌鲁木齐舰、临沂舰、东平湖舰组成的第45批护航编队。
1702650362# #缅北诈骗犯绑架贩卖人口，被警方抓获，交代犯案过程。我看多好的一个姑娘怎么干这么伤天害理的事。
1698256864# #泽连斯基访以！
1702949072# #甘肃地震监控画面地震了还好没睡觉，跑的就是快甘肃地震
1702477958# #女子疑似把脚伸到座椅扶手上，前排男子提醒反遭女子怒斥：你一个男的欺负一个女是不是！
1701463349# #不一样的防爆演练
1695905875# #祝大家中秋节快乐！
1703300919# #碰到这种千万别酸！真成网红了可比读大学挣得多…摊手
1702784177# #小伙霸占两个车位不挪车，被暴脾气车主直接打进医院。这样打人合适吗？汗
1692912607# #网友质疑郑州辅警单人采集信息程序合法性2023年8月18日，郑州惠济区，仅有一名警务辅助人员在月湖南路采集信息和张贴违停告知单，车主询问是否合法时被告知：有权利贴违停告知单！根据相关河南省警务辅助人员管理办法：“辅警不具有人民警察身份，必须在公安机关及其人民警察的指挥和监督下开展警务
1696152011# #女子吐槽:“桥是大家免费走的，这么多年以来，我们都是在这走，你们建个玻璃栈道以后，还专门设个门不让过，然后，你们把所有路都堵死，凭什么要我们花50块钱才能过，你们可以封玻璃栈道，你们能封桥吗?”。
1698188124# #遇难的加沙婴儿！
1698636265# #农民甘蔗田里灌水抓小胖竹鼠！
1703047871# #12月19日，江苏，一女子一声不吭，若无其事地进店拿了抽纸就走，把店主和顾客都看呆了。网友：还一气抽了四张。
