1695008041# #英特尔也是允悲十多年的命名体系说改就改
1695459128# #华为的线用不了快充是真的doge
1702955628# #可爱
1700568514# #转发微博
1698936516# #可爱
1703496260# #我的微博播报2023，有的相伴真的泰酷啦！2024与我一起用超光影记录超影像！让我们继续携手在微博陪伴度过新的一年~
1688002910# #永远的bk！
1701680401# #刚打完威斯克。想着等半个月要不要再去打一针流感疫苗
1702802384# #xhs有些后期真的需要提高审美水平二哈
1703996643# #我同意的doge
1698902707# #二哈如果成分多一点就用不了穷举法了吧
1696396147# #转发微博
1701749730# #哈哈哈哈哈
1697857144# #转发微博
1695791872# #典
1690267769# #游戏环境会好很多。就是好多游戏匹配不到人了
1688225558# #牛
1690761211# #🌿
1700838214# #。。。
1697092958# #HDD会因为ai再起飞一次吗二哈今年希捷的出货量可太少了
1696126510# #哈哈哈哈哈哈哈
1694021519# #转发微博
1693897784# #OVM的pro稍微降价几百就完全错位竞争了，ultra和p+影像旗舰受众本来就少二哈吃的还是果子的的份额
1702424645# #转发微博
1704339409# #光路可逆。你看不见他他也看不见你doge
1687954437# #二哈加个屁名字。想要你自己让爸妈买
1690106964# #麦门
1701047838# #转发微博
1689575864# #草
1690529524# #苏北人干的
1697073882# #刷到个视屏一个妹子发了个自己30多平方小套的室内装修设计和布局，个人觉得内容非常棒，拍摄视野大概是手机24mm左右主摄。然后有个热评说能不能别用广角拍啊，下面一群人附和，是呀，看着头晕；30多平拍的像七八十平一样。然后我一个个点开那些主页看，清一色的女的二哈对女性恶意最大的还是女性，
1690428550# #太强了
1701042102# #转发微博
1693975373# #看看doge
1694341110# #这。。
1699684820# #好耶
1687829888# #我会压一点线
1688615653# #哈哈哈哈
1699186124# #乘龙没毛病
1691730984# #转发微博
1695649850# #真诚是最大的必杀技
1701672493# #哈哈哈哈
1694151760# #哈哈哈哈
1700322963# #草
1691580930# #那么大
1690787453# #我很好奇哪条法律说不允许开双闪的。评论里的人还振振有词
1695107205# #管管吧。傻逼行业
1697350726# #觉得上学好的大概率是家里条件好，家长保护的还不错的二哈穷人家孩子当经济自由后那才是真正的快乐
1688605109# #存款有点少
1702596670# #卧槽
1689669498# #哈哈哈哈哈哈
1701761788# #转发微博
1696915297# #86呢？
1701098469# #这人是不是也吸了疑问
1695281309# #转发微博
1702338061# #转发微博
1699919024# #草好丑
1702818234# #6
1703832777# #转发微博
1695949511# #就是啊，又不是人人都买进口的二哈国产品牌的税收才多少。
1693656679# #转发微博
1698709290# #转发微博
1692849028# #笑死
1702716059# #去试驾了一下深蓝SL03和银河L7。还是我星越L好开二哈除了没有副驾脚托和座椅按摩，其他性能配置都配得上旗舰称号。深蓝的动能回收也太难受了。差点把我自己开晕了
1694653546# #二哈15p也是
1702165193# #转发微博
1694002346# #哈哈哈哈哈哈
1696727657# #可是1000km长续航真的爽啊。就算是小电驴充满电开60和80km都是质的提升doge
1695878588# #就是，关我屁事
1689698020# #好家伙前十有五个了开学季
1695821140# #哈哈哈哈哈哈
1692431184# #中国四大发明是改良造纸术不是发明造纸
1687770596# #转发微博
1702478284# #前面的jk好看二哈
1702387131# #哈哈哈哈哈哈
1688836358# #赛博朋克
1687779340# #学会了开学季
1703934942# #某家就是个披着红旗的蒋介石，有内患时对外不抵抗，一门心思剿灭国内竞争对手，外战外行，内战内行
1699243118# #自从上了b站首页，看了好多修电路的二哈
1694827443# #音游允悲
1699423797# #大众被内涵了
1703432529# #转发微博
1694749320# #快乐教育本质就是在封杀中下层的上升通道
1694363605# #转发微博
1689132246# #哈哈哈哈
1694577489# #也就苹果了
1694749449# #航天员还和过滤过的尿液呢doge怕啥呀。
1690777196# #喔有新三价了
1688529437# #@修补兵长
1698501875# #转发微博
1702537605# #一些作为我个人交友的zzzq持续更新。1.无脑吹某花牌宗教产品的（海狗）不行。2.信赤脚中医的不行。3.日吹/美吹/德吹不行。4.太挑食不行。5.抽烟（含电子烟）、酗酒不行。6.大面积纹身不行。7.赌BO单场本金＞500CNY的不行。8.🐞不行。。加分项。一.拥有自己的PC（台式翻倍。二.不沉迷抖音快手等短视频。三.摄影/
1688837693# #转发微博
1697779663# #太牛了允悲第一次碰到客户请吃饭，一看就很高级
1691937692# #ix3是25万的车靠打骨折换的销量笑死了
1697383302# #6
1687745522# #草车机跑分可还行
1688793667# #瓶子比车贵.jpg
1697515273# #我心澎湃，一往无前？doge看看改了些啥
1701670294# #一天睡四个小时……？
1703547251# #转发微博
1699672865# #制度是一回事，实施是另一回事二哈
1698886859# #转发微博
1698308242# #你不能用厨房纸吗。。。
1699320532# #吃一个已故之人的醋，真没意思。这是他在人间留存的仅有的念想
1688087938# #转发微博
1697762789# #6天过去了二哈没跳违章。大概是没被拍到
1698510406# #我靠5999允悲新家准备小米全家桶了
1691467170# #转发微博
1703416892# #变得越来越像父母了，赚了钱又舍不得泪
1689432423# #🌿
1692968937# #转发微博
1701060610# #转发微博
1691682060# #哈哈哈哈哈
1699667518# #哈哈哈哈哈哈哈
1696735421# #？这物价烧鸟点的吧
1695725401# #转发微博
1702296539# #6
1700787849# #草
1696153113# #哈哈哈哈哈哈
1704166584# #年假刷新了开学季
1698549557# #这年纪差距是要叫阿姨了。。别玻璃心了都30了
1703743447# #转发微博
1687877474# #转发微博
1699595241# #可爱
1700051525# #我靠好牛！我上次屏幕进水了还去问售后借旧屏幕
1689489042# #哈哈哈哈哈哈哈上次见过一个人，有两个肚脐，其中一个在裆部
1701672314# #哈哈哈哈哈哈哈
1687843195# #转发微博
1701819470# #感觉这帮玩意儿很像那种拼命作死的小孩，在操场上翻跟斗，把头发染得五颜六色，大声背诵盖里奇的台词，就为了吸引异性或者大人的注意。然后还要故意做出不屑的姿态，“我完全没有在意你们的看法”。但实际上，真的没人关心她们，就算有人注意到她们了，也仅仅是在看小丑。
1702964879# #加了智选把小米超了偷笑
1698060295# #最近的海狗特别多二哈
1689119774# #任何情况医院只会保大想啥呢。没生的东西没有人权
1698825284# #马克一下，晚上看看冰箱里还能塞多少
1695865278# #红红火火恍恍惚惚
1699878586# #转发微博
1691060718# #转发微博
1699969311# #不规则的障碍物无法识别二哈但是一点没减速不至于啊
1694653951# #买标准版的人大概率不在意这事二哈不过我也就在往nas传数据时候才跑的到wifi6的2000+带宽
1696522140# #ACR真的好用喵喵
1702955066# #金拱门用的也是类似的啊。。二哈
1702031899# #哈哈哈哈哈哈哈
1689525811# #doge用公司的电脑和网挂那些速度很慢的BT，下完后远程控制上传到nas里。又省电费又不损耗硬盘。真棒！
1701750014# #虽然徕卡拍美食挺菜的。但是这张图没有光影也没有还原本来的颜色允悲也是个不及格作品。不懂要学习哪里
1701048094# #孩子这样，一家人这辈子就毁了
1695739679# #真的很多人手洗出优越感了别人说什么都不信太开心也太小看现代科技的力量了
1700527436# #转发微博
1701408076# #昨天还有一堆人在洗说隐藏式门把手也可以从一侧按起来二哈
1700536263# #转发微博
1698331397# #这帮狗奴才非要把物权抬高到高于人权！蠢坏比一群
1695794717# #微博有病吧。凭什么强迫我看🌸为的广告
1699194051# #我也不懂自己没去还盗图发朋友圈的人允悲
1690867564# #转发微博
1690434364# #但是小米的折叠屏再高端别人也不买账允悲挺难的。
1698745853# #打了码更涩了
1691207170# #代入感好强允悲本来一个人的不开心不要弄得两个人都不开心，但是女生的立场也完全理解
1699438947# #进口奶茶
1697938347# #转发微博
1701593593# #转发微博
1695193570# #二哈不过年轻女性抽烟比例是比以前高得多了，男的抽烟的反而少了。
1690864503# #这里是b站
1703634312# #？？？
1697645697# #我就说怎么那么眼熟，原来是fgo的图
1693957002# #好科幻
1691410715# #？
1703646678# #转发微博
1688215822# #扎心了允悲
1698908467# #转发微博
1700352062# #对我来说就是我的房间doge当然要有网和电脑手机
1699969875# #转发微博
1689652552# #吉利什么时候也OTA一个呗二哈
1688736008# #转发微博
1704123089# #转发微博
1688608202# #允悲
1691739830# #我也是这么想的doge当事人肯定隐瞒了部分
1695344921# #成体系作战？F22都进不去这个体系二哈肥电这玩意儿只能算3.99代战机
1703157954# #转发微博
1704249965# #转发微博
1689147840# #你生你妈呢
1696847062# #哈哈哈哈哈
1703604709# #计划赶不上变化，为什么要做计划.jpg
1702527318# #鞋子猫窝哈哈哈哈哈哈
1701821538# #转发微博
1698337892# #还能收到迟到的生日祝福笑死二哈
1688012767# #转发微博
1687857618# #哈哈哈哈哈
1703425155# #好强
1694948008# #超过200都算贵的
1692422341# #只喝过13个
1698418661# #好的明天我也来做个牛肉粿条吧开学季
1689179352# #我基友没多久前办的好像没那么严啊
1697642528# #以色列不是人
1693984770# #“我们有充分的信心，克服一切艰难困苦，将我国建设成为一个伟大的社会主义共和国。我们的目的一定要达到！我们的目的一定能够达到！”心
1699877648# #？？
1693638707# #草
1692691562# #哈哈哈哈哈哈
1701579803# #腌咸肉了开学季
1696554853# #哈哈哈哈
1695858468# #我姐夫的爸爸也这样二哈孙子都不带
1688527144# #我超想要苦涩
1691560910# #为什么你家就三碟2碗二哈我家3个人经常一顿6-9个菜，加饭碗和调料碟锅啥的。。要一水池
1695344674# #收藏ppt
1699442950# #赢牛奶
1698574198# #哈哈哈哈哈哈
1700186682# #红红火火恍恍惚惚
1703684136# #快乐第一！
1703052061# #转发微博
1688541766# #好事
1689431099# #转发微博
1697093438# #这是真实的吗
1689724543# #大众3.29升骗鬼呢
1704176788# #这四个全不同的传感器调教压力是不是有点大二哈
1688042354# #好多血苦涩
1702821457# #关我屁事
1700523450# #哈哈哈哈哈哈哈
1693398508# #官方售后服务还是可以的开学季本来跟我说修主板399折扣屏幕550加起来900块，今天去battle了一番200块全部修好，换了个瑕疵屏，备份完数据做备用机咯。就是得硬气一点，不然钱都被坑走了
1689568784# #别的赞同。但是买房不买老的，不买非核心地段的。老房子现在基本烂在手里
1700059918# #我觉得这个说法过时了doge现在年轻人抽烟喝酒的太少了，轻奢男女都消费，但是消费的点不同。买房也是男女都买，相对也是比较平等的。
1697954099# #笑死，因为是冷血动物所以多吃了不会上火二哈
1696157740# #长得还挺可爱喵喵摆拍就饶了你
1704206120# #工作日低成本逛吃逛吃开学季快落
1693956954# #离谱，这么严重吗
1690953135# #棒！以后地铁站过个马路就到了开学季。这位置真的是能买得起的房子里面最好的了允悲
1696611639# #真实。
1702652842# #唉😮‍💨这次事故害死了很多体验健儿啊，不少人都是持有运动员级别的高手泪泪泪这些不专业不负责的官员真该死！
1693713597# #第一次买那么贵的手机壳二哈希望别让我失望。这壳能用58/67mm滤镜，相机的滤镜完美转移哈哈
1703552347# #转发微博
1701101440# #家里还有一瓶布洛芬2瓶对乙1.5盒新康泰克半盒白加黑一盒布洛芬缓释二哈完全不虚
1697370496# #还有700对呢
1687834073# #白色好好看苦涩又想买了
1691399298# #二哈
1690873410# #损失惨重
1702740160# #红红火火恍恍惚惚
1696058636# #无锡的公交允悲这人说不定是我们同行
1691049702# #片假名读出来也翻译不回去啊允悲
1698497692# #很好啊，中间的拆掉，就混合在一起了，套在一个大碗上，就可以开吃了
1691072408# #聚碳酸酯，这不是lumiadoge
1697433966# #穷则精确打击，富则火力覆盖doge
1703675696# #转发微博
1688537383# #哈哈哈哈哈哈
1690771968# #吉利已经快大众集团那么大了二哈
1688887642# #是啊，现在谁敢跟印度做生意…
1690441036# #好！
1693644293# #doge国内那些还不慌。德系日系抖了三抖
1692434310# #江西30算少的了吧doge
1691551054# #谢谢二次元
1698655099# #转发微博
1688912181# #酸了酸了银河OS2.0什么时候更新啊苦涩苦涩苦涩现在才内测，不会跟1.5一样要4-6个月才OTA吧
1696555012# #哈哈哈哈哈哈
1691077688# #转发微博
1689748457# #？
1694075500# #这竟然夹了个图
1702302598# #转发微博
1703158930# #植物专家正在定义一个新物种二哈可能过几年贡菜就不是莴苣了
1694129970# #草
1694861155# #可爱
1690197288# #哈哈哈哈哈哈哈
1703501110# #看着还行
1694325267# #评论区笑死了允悲允悲允悲
1699869988# #转发微博
1695257940# #二哈
1701075795# #哈哈哈哈哈哈
1702548365# #多拉诶梦的圆手
1696075044# #我不认识字母了
1698712132# #草
1689923472# #太强了
1691213725# #大概率就是这样允悲
1695990923# #允悲开开高速经常能碰到傻逼。得控制好自己的血压
1703956958# #一条plog告别2023。要和2023说再见啦。这一年和小伙伴去探索了不少地方。也用镜头记录下了许多美好的瞬间。快乐是渲染岁月的魔法。新的一年也要继续热爱生活爱你。P5的家人们，爱你们
1693291493# #转发微博
1690522052# #哈哈哈哈哈哈
1687931400# #哈哈哈哈哈哈笑死我了
1690858792# #车机塞广告是哪个大聪明想出来的
1700267765# #转发微博
1703600517# #转发微博
1698511647# #真的是，最近的黑稿多的可以找反邪教组织了二哈
1695261489# #红红火火恍恍惚惚
1703085350# #鲨鱼盘子可爱
1700836636# #国内的疫苗推广真的傻x七月指导文件就下了，现在流行毒株都不是xbb了微笑
1695274844# #好家伙，宝马i3大电池包损坏，频繁“传动系统损坏”二哈还真是只要传统品牌一发力啊
1703547365# #社交第一课不要扫兴
1688479176# #转发微博
1690197272# #毛玉牛乳！
1692574770# #哈哈哈哈哈
1687762184# #吃灰去吧
1698813595# #全关了
1694077930# #可爱
1687949440# #锐化拉满允悲
1695119761# #转发微博
1692107397# #🌿
1687855776# #doge
1704324972# #转发微博
1697932099# #没毛病，一个核弹一个x蛋
1703577627# #觉得免疫降低的明年多发烧几次，补回来
1689655712# #？？？你们都忘了微信摇一摇了？当时就是靠这个功能起家的呀允悲
1696408060# #20年前的网友vs如今的网友。jpg
1692344887# #哈哈哈哈哈哈
1688789232# #....
1698204549# #？？？
1689498024# #转发微博
1689181906# #牛啊二哈
1691710897# #当年有个宣传片直接拍到玻璃二哈
1690209150# #？？？
1691155506# #可能整个吉利的软件团队都去做NZP了允悲
1688316436# #？
1699238256# #即便在得知真相后再看也难以置信
1703496345# #我的微博播报我们的碎碎念念，我们的岁岁年年。每一次互动都让我们更靠近对方的世界，2024与我一起用超光影记录超影像！~
1696431673# #某些方面我赞同。
1696392840# #笑死了
1701669978# #不愧是车座子
1692787807# #哈哈哈哈哈
1690546244# #转发微博
1699683813# #我
1699846598# #Citywalk(该溜子)
1687834736# #我觉得这是风光和白平衡的问题。。
1691731085# #哈哈哈哈哈哈
1698973121# #神经猫神经刀
1690377727# #哈哈哈哈哈
1690676651# #这个世界逐渐变成了拼免疫力的时代
1702913164# #豁达一点，我两块都要
1700091824# #靠
1701408438# #向小米扔的每一块砖头，被它筑成了高墙
1689728877# #允悲
1690217510# #60多？？
1703410889# #土豆和牛肉的同素异形体开学季
1694864014# #小米NNN年前就全系带红外二哈有什么好大惊小怪的
1689554284# #祝他一生平安苦涩
1688372895# #大学是独立王国，不是个可以讲道理的地方。这类处理一般都是学校给这个受害的男生软硬兼施，让他主动谅解来把事情平掉。他以后还要在大学里读书，不答应也得答应。
1692443406# #这功能好啊笑cry
1701410139# #🌿
1695285489# #威斯克三价无锡啥时候能打威斯克三价？好久了哪都问不到
1695911574# #哈哈哈哈哈
1703648477# #转发微博
1690378186# #转发微博
1687834688# #合理doge
1690211850# #16—59岁劳动年龄人口8.8亿人，减去16-24岁学生非劳动力人口约0.63亿，有就业需求的人数约8.17亿。其中16-24岁有就业需求的约0.33亿，占有就业需求总人数的4%，这些人失业率21.3%。余下7.84亿人，失业率4.1%，历史新低。
1690772084# #红红火火恍恍惚惚
1698920074# #毛玉乳牛！！
1689178937# #.....
1701386868# #转发微博
1703833058# #转发微博
1699522409# #哈哈哈哈哈哈太像了
1700471719# #转发微博
1691732087# #没毛病啊，不是付你款了吗
1694052904# #！！！
1690556580# #谁再说小米不能关广告
1703231222# #哈哈哈哈哈哈哈
1689754765# #转发微博
1700635186# #波司登在同价位里算比较垃圾的偷笑
1689072863# #可爱呢
1700665536# #转发微博
1699846630# #只要传统品牌一发力现在基本上都没见到新势力烧车，传统品牌还是顶啊作揖
1695258029# #哈哈哈哈哈哈花仙兽×祖顿兽笑死了
1693297419# #转发微博
1699444223# #我天呢
1701779391# #小米快整一个
1697467072# #好强
1700222528# #笑死了，开车去拿了一块蛋糕哈哈哈哈哈。尝了一下拔草了开学季上次差点就拼单了
1700609509# #偷笑
1689918064# #转发微博
1693719679# #草
1689605865# #为了正义冲啊！
1699087902# #都是大宝宝
1697601180# #哈哈哈哈哈哈
1690266554# #我觉得从火龙果开始都不对二哈一般火龙果直径都要十几cm了
1693893076# #国产牛逼二哈
1695568762# #可爱捏
1701825851# #转发微博
1690884911# #转发微博
1699503355# #哈哈哈哈哈哈哈哈
1701759667# #啊我经常被比我大的同事叫哥，怎么了嘛二哈要不然咋叫？
1701143736# #最近的姜丝进化成姜条了裂开好辣
1697434563# #二哈还有一堆航线没恢复吧买了飞机不飞也要算折旧的
1696954085# #70。。。
1696820343# #二哈产品力碾压苹果品牌效应不及苹果零头
1687750773# #女博士那个真刺激二哈从小蓝鸟回来了
1700051358# #转发微博
1696587484# #牛批
1691041388# #不加冰会加水。原液就那么多
1698905814# #黑黑的机子里面白白的电池偷笑感觉涩涩的
1696656953# #现在所有的千兆万兆都要双频/三频二哈不过千兆宽带对使用真没多大提升。。万兆对局域网到提升巨大
1699339511# #转发微博
1701527866# #我不信除非
1691803003# #？？？？
1690365998# #180块钱油420公里续航是我天天提前远程开空调的底气笑cry
1692870247# #这个炸的好
1700806814# #太帅了！！
1694236885# #？
1688380231# #年纪大了找几个健在的朋友互帮互助吧/这养老院本来就和绝大多数普通人没关系的。北京规划的是9064，意思是4%住养老院，6%社区帮扶，剩下90%都是居家靠自己。生的少了，人力成本高了自然多数人都是住不起养老院的。所以真没必要去讨论养老院多少钱来让人焦虑。因为养老院未来就和大众无关
1688702596# #哈哈哈哈哈哈哈
1689643758# #要来了doge看看功耗怎么样
1701301230# #？？？
1688978187# #加油
1689897293# #转发微博
1693976146# #技术很好，可是中国不需要了doge
1703511953# #哆啦B梦笑死
1700553567# #只要学会破罐子破摔人生就会豁然开朗。二哈二哈二哈
1703985905# #还好无锡没取消
1698754418# #今年便宜的真的甜到齁。。
1701150454# #继续吃瓜
1688222627# #有些传统品牌销量还不如0跑这种某些人眼中的杂牌doge
1703336135# #开始逐渐PDD化爱你爱你爱你
1691206112# #转发微博
1692766925# #草
1701843445# #doge便宜点我买。这坡对混动suv来说跟玩一样
1689775607# #毫无征兆的小蓝鸟被封了二哈关注的一千多个女菩萨没了。马斯克你知道汤不热怎么死的吗
1703248336# #？？？
1689850094# #good
1703668206# #哈哈哈哈哈哈
1700533691# #转发微博
1692672013# #转发微博
1703500103# #转发微博
1697546489# #雷克萨斯还有纯电？？二哈
1702905808# #红红火火恍恍惚惚
1695185514# #转发微博
1687917005# #666
1689656320# #22公里算什么，钱够55公里都能开二哈
1702638468# #转发微博
1697073331# #典
1688514151# #转发微博
1698203376# #禁摩和狗栓绳（包括出了事主人担责）我都举双手双脚支持开学季
1692448083# #哈哈哈哈哈哈能读盘还能抢救一下
1694423071# #哇
1689319069# #可怕
1691078779# #中国车企下半年真的可以马里亚纳猎火鸡了。。除了大众丰田宝马奔驰+特斯拉还能苟一苟，剩下品牌螺旋升天了doge赶紧把合资赶出去，然后内循环提高利润吧
1688082559# #好！
1700272912# #哈哈哈哈哈哈
1699532791# #神经病
1699704699# #好的下次就试试
1702468411# #转发微博
1697384507# #我看看谁能粉她
1695080637# #确实，，，开学季
1698108200# #转发微博
1690850290# #转发微博
1690523258# #转发微博
1689516109# #这样的关系太扭曲了允悲对赤音好点
1698380763# #不差这8G吧二哈
1697817090# #哈哈哈哈哈哈哈
1699940855# #都他妈扯淡营销允悲看得出个鬼
1695194081# #....
1688090711# #哈哈哈哈哈哈
1697440893# #6
1692787660# #往好了想他用勺子了
1696249046# #这条博文有意思，某群体用着超高溢价的手机说“理想汽车有利润罪该万死”，而这群人同时也是骂“没啥利润小米”的那波人。该怎么跟这群双标垃圾讲理呢？微笑微笑微笑
1694094417# #转发微博
1688331505# #山姆的煎饺也是哈哈哈哈哈
1689481646# #这床垫好高级
1695182041# #遥遥领先小米二哈
1687701517# #转发微博
1696844282# #红红火火恍恍惚惚
1702819495# #很多人的审美是从抖音快手小红书建立的。。。就。。也没办法二哈
1701139115# #6666
1695705863# #微信空间的变大速度能不能赶上手机rom变大速度doge
1696995994# #昨天跑山北吃馄饨，今天跑宝龙吃螺蛳粉允悲
1701313306# #我只有洗面奶和金盏花水二哈
1693730576# #转发微博
1698754526# #好用！我去找找
1699918528# #北京小米牛逼啊
1700008177# #哈哈哈哈哈哈倒我嘴里
1689690282# #现在小学还会去你家学区的房子家访。。
1702904664# #奔驰坏了，特斯拉歪了哈哈哈哈哈
1694752593# #转发微博
1696230318# #又丢了几十部电影进NAS但是一部不看喵喵
1694834238# #拆了一包过期一个多月的拉面说，发现外面包装写保质期7个月，结果里面小料每一包保质期都是9-12个月的二哈神奇
1689080973# #变红狗哈哈哈哈哈哈笑死了
1703222775# #转发微博
1698238988# #简简单单过个生日开学季
1702424420# #理想型JK了
1688105044# #牛的二哈
1703935133# #转发微博
1699444151# #二哈恶魔法则出动画了感觉又是毁原作系列
1692622672# #草
1688479767# #转发微博
1703837273# #没有适配的app在carwith上多少有点弱智
1696998663# #咖喱味
1691377073# #所以国外电车难推行允悲
1689912236# #汤姆龙28200旅游万金头开学季
1697545816# #吉利:出车祸可以但是不能死在车上
1703944241# #哈哈哈哈哈哈哈
1689644490# #单电机，低功率，励磁电机，低冲放倍率，垃圾的智能化喜欢宝马标就直说，电车真没什么好吹的开学季整天就知道个好开，底盘质感好，我只能说国产车不是十年前了。这对就跟拿iPhone和几年前2000块的红米比一样，你咋不去比比国产旗舰？
1702182924# #doge除了最后一年出省有点麻烦，前两年啥事没有
1690516674# #符合我对小红书用户的基本认识
1694673583# #转发微博
1697198986# #好鬼畜
1701753773# #乐又3000点保卫战了
1701665096# #转发微博
1692771913# #有点恐怖，但又很厉害傻眼
1692699869# #意图是什么，当然是想带你移民北欧环游世界名车豪宅归你家务活交给佣人安心当贵妇啦，还能有什么别的意图
1691333987# #哈哈哈哈哈哈
1690953325# #没海豚你现在能12w买到id3？德国人都没你这么自信，这次大众内部订的目标是降到12w，销售能达到海豚的三分之一，8000辆。
1691560803# #19.2落地还是7个月的库存车，优惠1.2允悲我去年19.5落地还是出厂2周的新车不是赚翻了。去年购置税减半是真的香啊
1691380324# #转发微博
1701335323# #十一月的最后一天，收到一笔去年的疫情补贴允悲公司还算有点良心。半年奖啥时候发哟快乐的11月开学季
1699801953# #看完了，怎么说呢，有些确实说的很中肯，不过有些感觉也是为了黑而黑(而且到现在可能前面一些条不太适用了
1698567599# #为什么那么多人对打断动画那么较真我是不理解的允悲我这种重度使用用户真的感知不明显。
1696853645# #我全家都用小米，也安利了很多朋友用小米，包括米12的火龙8g1、天玑9000的红米用户都跟我反馈不卡，可以接受二哈小bug哪家都有的，但是真没那么影响使用
1695124502# #红红火火恍恍惚惚喇叭都能1带2
1702300028# #水果猎人说过这个，能从日本进口的水果只有苹果和梨！深圳海关也答复过这个问题挖鼻
1691734950# #转发微博
1689912527# #这个交互界面不错啊二哈比上汽的高级多了
1689514465# #转发微博
1699947752# #今年要签两台氢能的货车试试水doge
1703596964# #哈哈哈哈哈哈
1695253428# #好事儿
1694326580# #转发微博
1702912428# #哈哈哈哈哈哈哈怎么那么多蜗牛
1692180989# #本次旅途完美结束开学季
1688710412# #650m720p也能玩玩网游了吧doge
1701956763# #转发微博
1697444638# #好强
1699172388# #？？？西瓜
1702380673# #转发微博
1693547429# #毛子好刚
1690720442# #转发微博
1702478629# #转发微博
1702464192# #最右才是好中医doge
1696911220# #能有参赛资格就是佼佼者了。评论的人没资格逼逼
1695707216# #转发微博
1695988775# #？谁家钟11等份
1694074110# #什么沙雕图哈哈哈哈哈哈
1690598898# #转发微博
1696748805# #吃薯条被薯条烫了一下，气死了
1693718491# #哈哈哈哈哈哈哈
1696775842# #有一说一，吉利收了沃尔沃以后主动安全带是真的灵敏允悲我每天都要触发个几次
1700536203# #好的小知识+3
1701689682# #转发微博
1689514353# #转发微博
1689697555# #分享图片
1688202915# #草
1701491849# #哈哈哈哈哈哈
1702470399# #可爱
1703720616# #哈哈哈哈哈哈哈
1697199316# #转发微博
1699593601# #12月来上海拍银杏举手
1694678091# #转发微博
1702869126# #一看就是天三月doge
1688023703# #命大啊允悲下面那个理想车顶缓冲了一下
1688625192# #转发微博
1697605770# #真高清开学季
1689488256# #转发微博
1692428467# #而且她们似乎非常喜欢爸宝女，总是推崇什么父亲严苛审视女婿的桥段可是，按她们的惯性思维，那就是性转版的雌竞啊我在b站看过一个视频，讲的大概是为什么有些女性最讨厌妈宝男，是因为这些和自己目标关系好的女性家人是最容易戳穿自己身为不好女性的真面目的，毕竟只有女人最懂女人
1693648460# #Ohhhhh
1701452530# #草
1691886735# #笑死了
1694924149# #反光板照脸的谁让你照下吧
1696920862# #还好我不用系统应用。。一个广告看不见
1688828181# #二哈只有女人喜欢竹竿
1690167044# #就是，总觉得自己审美多高尚似的开学季
1699178648# #“她们看见本来属于女人的钱，被花在男人自己身上了，简直比鲨了她们还难受”
1689924752# #转发微博
1697854149# #转发微博
1699573849# #大连有内鬼吧
1698165329# #今天去打枪，枪托抵着的地方直接青了裂开这后坐力也太可怕了
1697178649# #10个月开一万五千公里里程先到了二哈。二保做完，胎压加到2.5，下个月再换个防冻玻璃水，准备入冬喽
1699616437# #转发微博
1688204271# #草
1702045085# #全部满足二哈
1696322588# #填充墙不能横开槽，降低墙体强度
1689925930# #doge
1693757763# #二哈今晚为了用快过期的优惠券，打包了一大堆吃的，丢了多少次人了哈哈哈哈哈
1689595955# #天堂啊
1697417870# #特别牛
1696951317# #好恶心可是再看一眼！
1695005152# #哇哇哇相认了苦涩苦涩苦涩
1688222399# #应该男女平等全部一样多
1689685507# #南京实惨，反正哪哪都迫害她，全中国最惨的女人微笑
1701569041# #bilibili梗胖胖解说的视频
1701781802# #转发微博
1702548317# #转发微博
1698240213# #转发微博
1688439239# #讲道理现在好多手机拍的不是ai增加细节就是直接作假。我觉得不是纯光学下拍的照片不算真的摄影吃瓜
1689766966# #去除iPhone再平均一次看看
1695124431# #转发微博
1701235803# #草
1702469538# #图片评论
1700562705# #转发微博
1698902805# #哈哈哈哈哈
1689673250# #不可能是小米logo吧哈哈哈哈
1690280998# #全国那么多事故，非要联想肯定能找到的
1703080343# #这个天气出来干饭的都是真爱了开学季
1695782071# #哈哈哈哈哈哈哈
1687756832# #吸血蚊子在自然界占比很少，其他蚊子基本都是吸树汁花蜜啥的，灭绝吸血蚊确实没啥问题
1700455130# #转发微博
1694754027# #真的难用允悲每次用别人手机我都要问怎么返回
1694946495# #好好看
1688340951# #拍得好呀
1702956356# #转发微博
1702909353# #每年保留节目哈哈哈哈哈哈。JN1来了，口罩带上开学季
1699518008# #食品，基建，农业二哈这很中国
1696406447# #肉腿二哈
1701275274# #都在对标帕拉梅拉二哈
1703958219# #黑稿那么多说明有些人真的急了
1701787441# #找到一个破解软件的网站二哈把电脑里的生产力工具都升级一波
1695083428# #哈哈哈哈哈-3曝光笑拉了不会还没拍raw吧
1693657216# #嗯？
1694145746# #产蛋鸡里的公鸡？？？它只能产两个蛋啊，而且不可再生笑cry
1698064655# #笑死
1694389846# #哈哈哈哈哈哈
1688121324# #文化水平越高后代的压力越大
1699319564# #牛
1688912791# #？？？
1697089178# #哈哈哈哈哈哈寄居蟹找到窝了
1698337978# #价格屠夫二哈
1703763571# #其实就是小米8和iPhoneX的关系进化到小米13和iPhone13的关系，前者明摆着抄袭还把不好看的抄来了被骂说是山寨机，后者暗着“抄袭”好看的学了还有自己的理解。笑而不语学借鉴融合致敬抄袭都没问题，看怎么融的好。
1702007481# #人均五十几块吃到打包二哈
1690335969# #我的m3还能再战二哈
1701511777# #今年过年时候的芋圆，现在才想起来煮哈哈哈哈哈
