1691404172# #小夭给涂山璟梳头这真的不是婚后生活吗？好甜啊你俩起猛了看到夭璟的婚后生活了
1689676816# #杨迪是内娱标尺苏醒说见到杨迪代表活儿多了哈哈哈哈，所以杨迪千万不能塌
1692170872# #电视剧长相思超话夭璟夭柳夭玹夭丰现状夭璟夭柳夭玹夭丰现状🈶️！这届网友是懂bgm的网友总结的夭璟夭柳夭玹夭丰现状
1689867215# #有没有可能这部剧叫我的人间烟火。不是我说，怎么这么多人都说你是我的人间烟火啊允悲！是谁记错了杨洋王楚然新剧剧名doge。是谁记错了杨洋王楚然新剧剧名
1690869846# #jennie认真起来根本拒绝不了jennie有种学霸控分的感觉有网友说jennie的实力是有的，总是给人一种学霸控分的感觉
1689896718# #叶子模仿许沁孟宴臣看到叶子模仿许沁的眼神没看出来孟宴臣和叶子有暧昧，他只是在平等的创死每一个人
1693209921# #东方风云榜红毯谁赢了周深造型如何？
1700130799# #刘亦菲蓝宝石项链刘亦菲蓝色耳坠。刘亦菲与蓝宝石！！！好贵气！！
1700132339# #想知道赵昭仪每天在那儿呲个大牙乐的秘密？原来是得到了迪丽热巴把包包送给了赵昭仪的礼物，笑容甜蜜如糖！??
1692947592# #唐禹哲穿的是终极一班校服时间带走了唐禹哲什么谁注意到唐禹哲穿的是终极一班校服啊！梦回当年！一点儿都没变，时间带走了唐禹哲什么啊！
1691032809# #邓细斌的代表作制作人邓细斌去世，邓细斌的代表作你都看过哪个娱乐超话
1695178184# #好美好元气好少女好喜欢
1689666401# #不穿西装的孟宴臣也能让我这么心痛嗯嗯
1703156721# #王安宇用西装裹住赵露思赵露思王安宇主演的神隐太好看了，太上头了憧憬憧憬憧憬
1691049694# #魏大勋心房有只蝴蝶魏大勋胸口的蝴蝶大勋花今天扫楼穿了一身黑，重点是胸口有只蝴蝶，确认过眼神，他是孟宴臣
1689060400# #配角火了就是掀桌吗配角火了就是掀桌咖吗网友问配角火了就是掀桌吗
1689569562# #陈奕迅说我恨张学友陈奕迅说放过我吧我快50岁了哈哈哈哈，娱乐圈也是卷啊
1691719643# #邓为哭戏感染力花絮真的好哭，谁教导演这么剪的啊梅林殉情正片vs花絮
1703230783# #木村拓哉小女儿很喜欢易烊千玺木村拓哉女儿也喜欢易烊千玺2023搜狐时尚盛典上木村拓哉小女儿表示很喜欢易烊千玺
1691734568# #原来是黄晓明害的杨紫原来小夭的亲爹是黄晓明啊哈哈哈哈，这不是就梦幻联动了嘛，小夭的生父是黄晓明演的啊
1699176730# #罗云熙顾云峥是听劝的顾云峥的魅力谁能顶得住啊！！金丝眼镜白大卦，深情又温柔，很难不爱！
1691119634# #恭迎钮钴禄时代峰峻回宫菀嫔只要略施小计就能重获圣宠“菀嫔只要略施小计就能重获圣宠”
1693219480# #王鹤棣田曦薇肤色差王鹤棣田曦薇肤色差好大呀哈哈哈王鹤棣田曦薇肤色差好明显
1690964059# #范丞丞肩膀上长出了个大勋花魏大勋靠范丞丞肩头看得出魏大勋在努力憋笑哈哈哈哈哈哈哈哈
1699954536# #慕容云海老了张翰怎么憔悴那么多感觉张翰一下子老了许多啊
1690442234# #檀健次柳柳蛇5g冲浪檀健次相柳九个头冲浪就是快长相思见面会现场檀健次是有点子可爱在身上的，5g冲浪哈哈哈哈哈哈
1699525638# #宁安如梦四个男性角色都很疯前期嗑燕临中期嗑张遮后期嗑谢危四个疯子的故事
1691575073# #张晚意最出圈的角色张晚意是靠什么火的张晚意最出圈的角色
1692337733# #控评的意义到底是什么你觉得呢？
1689929732# #以前的许沁买衣服有模特试穿可能只有王楚然能懂许沁真的觉得许沁现在的生活配不上她。以前的许沁买衣服有模特试穿！
1689752010# #刘奕君董洁新剧跳舞戏起猛了看到刘奕君董洁在做法这一段董洁不跳会不会不那么尴尬
1689056347# #要演孟宴臣就不能只演霸总魏大勋你现在被看到了以前觉得没人知道你，都在拍一些没被观众看到的戏，但现在不是了，这次大家真的看到了单身狗
1697692220# #再就业男团把排名刻进骨子里了再就业男团把排名刻进DNA了0713的排名梗永远可以拿出来玩梗，苏醒：最讨厌第一名
1699108394# #屈楚萧紧紧握住了他的演艺生涯这牵的哪是张佳宁的手啊，牵的是他自己后半辈子的娱乐生涯哈哈哈哈哈哈二哈
1692849009# #长相思第二季正在配音。长相思第二季正在配音！！！期待早日见面啊！！！
1687919479# #能看到肖战王一博同框吗能看到同框吗就想知道awsl
1692583830# #范丞丞就像你火了你朋友比你还飘红的是魏大勋演的是范丞丞真的有种朋友火了，自己更飘的感觉！大勋花真的火出圈了哈哈哈哈哈四个显眼包斗舞
1700390039# #徐明浩男模出街徐明浩暗黑风衣造型银发黑风衣红色内搭还有耳饰，这个造型它叫满分苦涩
1699617602# #笑风声全员成团陈楚生好适合当队长。笑风声全员成团哭了！未来多合作泪
1697533134# #徐志胜在庆余年2里演谁庆余年2徐志胜演谁志胜啊，居然已经开始拍电视剧了！庆余年2有徐志胜
1699019354# #"王鹤棣原声道出了真情实感，每一句台词都饱含情感。如何评价王鹤棣原声如何评价王鹤棣原声台词"
1688624057# #时影VS谢怜时影谢怜相似度时影和谢怜好像，白衣渡世。
1697166881# #高叶新剧演检察官即将上线，这将是她的高叶首部一番女主剧，让我们一起期待她的精彩演出！
1701402642# #张艺兴上一次坐地铁还是金条事变。已经过去八年了允悲，极限挑战小绵羊时期的张艺兴超爱～。上一次坐地铁偶遇张艺兴还是15年
1689249931# #贺峻霖叫严浩翔小严哥哥贺峻霖输了跟严浩翔撒娇起猛了，居然看见贺峻霖叫严浩翔哥哥了
1689388992# #小撒跟我说话注意点魏大勋big胆魏大勋big胆对撒贝宁说：“小撒跟我说话注意点”
1692771428# #形容得这么准确你不要命啦网友对檀健次的形容好美的形容又好贴切啊
1694871448# #我也想这么茂密泪
1692166721# #EXO有自己的曾毅第一次见吴世勋唱咆哮这么忙说实话这么多年我感觉还是第一次听他唱歌
1691541840# #涂山璟只为小夭而活涂山璟的身躯叶十七的灵魂要不说涂山家的狐狸是官配呢，谁也做不到像涂山璟这样，只为了小夭杨紫谈长相思梅林殉情
1692079316# #相柳近一步没资格退一步舍不得相柳病名为爱相柳真的我哭死，站在他的视角就是近一步没资格退一步舍不得
1699587453# #时宴不爱吃火锅时宴不爱吃火锅关王鹤棣什么事居然还有人能不喜欢吃火锅的？时宴嫌味道太大了，可依然愿意陪郑书意
1688035003# #王子异头肩比王子异开了大头特效吗王子异全黑西装造型有点帅，头肩比有点明显，某些角度真像开了大头特效喵喵
1689309491# #安乐传的宣发安乐传的剪辑迪丽热巴，龚俊主演的安乐传的宣发怎么没见干活啊。剧情还挺好看的安乐传
1703246203# #刘浩存美丽冻人刘浩存没穿光腿神器刘浩存今晚太美丽了，美丽冻人
1698653132# #秦岚嗓子虽然不好但话一句不少说秦岚的嗓子影响发挥了花少5请的几位姐姐都好nice，爱看～秦岚辛芷蕾见面就掐，妥妥的欢喜冤家
1690957151# #魏大勋我真的很努力了魏大勋范丞丞跳舞，魏大勋说我真的很努力了
1692174503# #玱玹上讲座了玱玹怎么不算典型案例呢。玱玹怎么不算典型案例呢？！
1691848645# #大宋少年志2吻戏看了大宋少年志2吻戏真的太心动了，这部剧好好看大宋少年志2
1691064209# #权志龙内马尔互动内马尔权志龙同框这个同框很满意！
1689761737# #范丞丞反复问魏大勋病情低情商：忐忑。高情商：心悸
1692603677# #白敬亭上身身材白敬亭上身身材，好会穿搭啊白敬亭的头身比
1689662827# #秋瓷炫在韩综谈到浪姐秋瓷炫说自己是浪姐人气担当“我对你一辈子好”人尽皆知，怎么不算是人气担当呢
1702529348# #时尚芭莎拍的屈楚萧张佳宁时尚芭莎拍的张万森林北星。婚庆芭莎上线！！！张万森林北星给我hehehe。
1687315411# #赵露思的少女感桑稚乖乖女天花板。《偷偷藏不住》桑稚真的太可爱了，赵露思的少女感很🉑，演中学生完全ok憧憬
1689646779# #第一个get到魏大勋的人是刘宪华原来第一个get到魏大勋的是刘宪华啊
1688024555# #姜广涛瘦好多姜广涛瘦了姜广涛风波后复工，真的瘦好多啊
1688699972# #到底谁来演难哄难哄到底谁来演网传好多版本啊，今天又传出了宋威龙张予曦，到底谁来演啊
1691386750# #李现说夏天穿羽绒清凉又暖和夏天穿羽绒，清凉又暖和哈哈哈是吗doge，真的不热吗？李现夏天穿羽绒
1689734857# #宋焰哪比孟宴臣好宋焰刷地铁卡vs孟宴臣送车这个问题只有许沁知道吧
1693276484# #罗杰夫看唐禹哲的剧长大的罗杰夫看了八遍唐禹哲的花样少年少女哈哈哈哈哈哈没想到唐禹哲也受到了年龄暴击！罗杰夫跟着妈妈看了八遍《花样少年少女》
1697103119# #周也硬照的神周也硬照也子的硬照是本路人坎坷也想保存到相册欣赏的程度
1688459102# #丁程鑫社交达人丁程鑫方言会挺多丁程鑫开启社交达人模式，方言会的还挺多！
1690260176# #这一票起码气死三百万人她甚至还选了个优惠的付款方式你这叫抢票你这是购票
1700724771# #张远冷脸VS鬼脸哈哈哈哈哈张远着表情反差，酷酷的冷脸～可可爱爱的鬼脸！！
1689856527# #孟宴臣问许沁脑子里全是泡泡吗孟宴臣说许沁脑子里全是泡泡孟宴臣骂得对！你谈恋爱谈的脑子全是泡泡吗
1692255670# #电视剧莲花楼超话方多病笛飞声找到李莲花了我就知道方多病笛飞声能找到李莲花我就知道方多病笛飞声能找到李莲花，结局是he，he！！！
1697593811# #王楚然簪花图王楚然庆余年2簪花剧照你觉得好看吗？
1697433024# #为有暗香来你嗑哪一对为有暗香来你站哪对CP为有暗香来你站哪对CP？浅溪，浅漠还是浅舟？
1701853810# #欧阳娜娜森系胶片记录好文艺
1688965686# #罗一舟新专辑宣发视频疑抄袭余景天罗一舟EP宣发视频疑抄袭余景天短片这个宣发视频真的余景天短片很像哦
1689737132# #起猛了以为姜涩琪在出闲置姜涩琪是真不把粉丝当外人谁家泡泡这么大手笔更新啊，原来是可爱的涩琪呀
1692100502# #时代少年团有自己的王楚然贺峻霖神似王楚然贺峻霖翻白眼好像王楚然哈哈哈哈谁懂啊？？！
1700447233# #时宴失恋了时宴失恋后状态时宴别看，白鹿周柯宇合照…哈哈哈哈哈哈哈哈
1690802316# #张晚意希望小夭别再看见涂山璟张晚意玱玹小夭毒唯。张晚意玱玹都是小夭毒唯吧！接受采访张晚意表示如果再来一次，如果平行世界，希望会在一个幸福的家庭！反正别再看见涂山璟哈哈哈哈哈哈哈，最后一句话很重要！
1689089446# #桑延切八段vs孟宴臣快疯了哥哥文学真实的哥哥冷战：切八段doge虚假的哥哥冷战：我都快疯了doge
1701759610# #"悄然间，内向的力量绽放成开朗的花朵。胡夏一次开朗换来了彻底的内向看似宁静，却蕴含着改变的力量。"
1687925629# #吴京怎么又是这张照片吴京祖传照片大湾区电影音乐晚会官宣，哈哈哈吴京怎么又是这张照片
1691469427# #小夭就是涂山璟的事业终于理解小夭为什么选了涂山璟涂山璟不愧是小茶狐，心眼子是真的多啊！官配格局打开了夭璟互相吃醋
1693207872# #你要不要借钱我有一百万了不敢想象我有一百万了会变成多么活泼快乐的小女孩
1697266737# #田耕纪土土的很安心田耕纪这泼土的富贵看了田耕纪预告感觉土土的很安心，这泼土的富贵收下吧
1686898823# #《天赐的声音》和合作舞台《哎呀》好养眼，直接梦回2005了。汪苏泷一哎呀梦回2005帅哥靓女的组合谁不爱看呢。看泷泷跳舞好可爱，只不过汪苏泷退半步的动作认真的吗
1689314328# #魏大勋也有自己的高级弹幕了自带盾牌弹幕出场的魏大勋那个男人他来了，他带着盾牌弹幕走来了魏大勋
1688262913# #TF三代出道预测名单TF三代五人团vs七人团出道站终于要来了，又是一年夏天，三代的孩子要出道了
1698062651# #沈诺连蔓儿的吻戏曾舜晞田曦薇的吻戏曾舜晞田曦薇的吻戏来咯，他们亲的一点也不油哈哈哈哈田耕纪呗
1690424656# #向佐说对负评不是很care向佐好勇自己看负评还一个劲道歉
1692869631# #为什么不听迪迦的话呢好心痛啊，小日子真的太过分了
1689131004# #杨澄爱王莹而不自知杨澄你到底喜欢谁啊？
1688548233# #薛之谦vs王大勇中分油头呆萌少年太可爱了吧憧憬憧憬憧憬薛之谦到底背着网友演了多少角色薛之谦
1700720876# #辛芷蕾赵昭仪听完面露喜色辛芷蕾赵昭仪帮我踩一脚都说它是造孽，它明明是祥瑞笑cry都说是咒语，它明明是祝福
1697170676# #夜旅人要拍电影让倪妮再演一次夜旅人吧倪妮！找倪妮！
1703233888# #朱丹克服叫错名字的心魔朱丹回应克服叫错名字心魔～今后会更加坚定决心重新拿起话筒未来做的更好！
1701005580# #林俊杰回应演唱会嘉宾是孙燕姿林俊杰说希望没有惊动到孙燕姿孙燕姿没来没关系，林俊杰一个人唱了我怀念的doge
1687860384# #段嘉许发非难财何非你糊涂啊段嘉许发非难财了，都是男人差距怎么这么大
1690339386# #陈烁是王一博不曾提及的那十年真的好想对王一博说，不可以也是可以的！不要硬撑
1689400102# #郑恺被白鹿撕掉名牌的表情白鹿撕郑恺名牌王宝强:郑恺这辈子就死在女人手里，你不信你就等着，这兄弟没救了
1692155295# #杨紫给邓为扎麻花辫邓为扎麻花辫好甜妹杨紫给邓为扎麻花辫，是谁羡慕了！
1692250924# #杨紫听到收工的反应代露娃对杨紫说收工啦姐《长相思》片场杨紫张晚意代露娃走戏，听到“收工啦姐”一秒坐起来哈哈哈哈，别太真实！！！
1691627560# #封神VS一年一度喜剧大赛。笑亖，喜人无处不在这件事！！你不了解你的父亲doge。封神一年一度喜剧大赛梦幻联动
1693203344# #为什么封神妲己第一句话是我的簪子呢封神妲己出场找簪子的原因妲己说找簪子其实是借口，隐藏自己像狐狸般在地上爬的身份
1687928119# #尘缘定档马天宇和baby主演的尘缘真的要来了吗！！
1699955732# #郑书意怎么还不知道时宴外甥女是谁以爱为营全是误会看这部剧的体验就是每个人的嘴都好严啊
1698805517# #一直以为秦岚是富察容音那挂的还以为秦岚是富察容音那挂的秦岚痛失真名，现在大家都只记得电音朵拉了！！富察容音你看到了嘛哈哈
1699328851# #那个拥抱，你感受到了吗？??谁说白鹿王鹤棣没cp感的get到了白鹿王鹤棣的cp感
1697462500# #范丞丞的童年是不是很快乐范丞丞自封水漂王范丞丞的童年是不是很快乐啊？什么都会玩，还自封水漂王范丞丞超话
1692067196# #玱玹几乎每集都在哭玱玹也要给自己哭个名份出来
1697359973# #邢克垒束文波你俩在干什么白敬亭陈昊二搭。邢克垒束文波你俩这样米佧和小夏知道吗？！。
1699930315# #11月了莲花楼依旧能打莲花楼长尾效应能持续多久11月了莲花楼依旧能打
1690975427# #电视剧长相思超话涂山璟回亲了小夭额头涂山璟亲了小夭的桃花印记小夭主动吻了璟，但璟只回亲了额头，亲在了小夭的桃花印记上，夭柳党这波上大分！
1689229153# #孟宴臣一个人的韩剧孟宴臣的眼神别太爱《我的人间烟火》是孟宴臣一个人的韩剧吧，别太爱啊就是说！许沁快回头看看吧苦涩
1699936073# #现在可以试着爱我了吗谢危说现在可以试着爱我了吗“现在可以试着爱我了吗”危危一笑生死难料
1689556118# #长安三万里轻舟已过万重山长安三万里长安三万里这部电影寓意很深啊
1703755370# #李一桐冬日红苹果李一桐冬日红苹果~好漂亮！
1690537567# #成毅面对恶评的态度成毅的回应VS杨洋的回应成毅的回应VS杨洋的回应
1691028535# #正式确诊为赤水丰隆赤水丰隆喜欢小夭的理由。正式确诊为赤水丰隆，身边人都在卿卿我我，只有自己阳光开朗~
1694760191# #光看预告就很期待了呀！！
1691055405# #长相思是玱玹思玖瑶夭玹本该拿青梅竹马少年帝后的剧本西炎王：“在他俩之间，任何人都是外人。”可是总有人不懂，还骂表哥
1700656525# #周一围爱不爱朱丹全看营销号怎么剪在爱情里，他们的关系，到底有多甜蜜？完全由营销号“剪接”？让我们一探究竟！周一围话很少但很重
1691116056# #电视剧长相思超话假如长相思F5有群聊捡到了小夭的手机表哥：我妹，这是我妹！。丰隆：好美好美！！！。涂山璟：怎么办我配不上小夭了酷拽。相柳：哟~这不是～无~人~可~依~无~处~可~去~的~大~王~姬~嘛~
1697699188# #为有暗香来会be吗很想知道为有暗香来会be吗？这个走向应该不会吧？为有暗香来
1699410977# #刘亦菲为迪士尼电影星愿配音迪士尼请公主配音公主为了这个声音也要去电影院哇
1688542761# #倪妮斩男更斩女倪妮不一定斩男，但一定斩女
1701424375# #"今天是个特殊的日子，一年前的今天，我们见证了任如意捅宁远舟的诞生，也发现了宁远舟也是个疯批的独特魅力！?✨"
1692868384# #基围虾24号前vs24号后爱吃海鲜的人有难了。咱就是说这图挺直观的，一点都不夸张吧喵喵
1690853553# #但凡换个人来演涂山璟都没这感觉邓为演出了涂山璟的茶感涂山璟他超爱，看小夭的眼神换谁都顶不住！！还得是你啊小茶🦊
1701831429# #张若昀的助理运张若昀招到会打伞的助理了吗哈哈哈哈哈哈哈哈不得不说张若昀的助理运，绝了
1692071817# #影视剧七时吉祥超话七时吉祥的一丝元神VS长相思的心头血丁禹兮的一丝元神VS檀健次的心头血七时吉祥的一丝元神VS长相思的心头血，你觉得谁的特效更歹毒
1691984203# #相柳还活着相柳会活到第二季长相思第二季越晚来，蛇蛇就活的越久呜呜呜
1691381861# #涂山璟装瘸涂山璟只在小夭面前做真实的自己涂山璟你小子就在老婆面前装瘸是吧
1688096333# #王一博带假玲跳popping王一博和蜡像跳舞王一博居然带“假玲”跳popping，和蜡像跳舞好小男生
1698117002# #爱情与梦想，相遇在青春的路口，期待林逸方筱然官宣的精彩故事，一同见证他们的成长！金世佳毛晓彤能二搭吗
1701521160# #青声细语超话青声细语cp没想到青声细语cp这么甜呀，檀健次和周也的cp感好强～
1698120242# #"时光荏苒，友情永存。东立三人组，我们的宝藏。舍不得东立三人组舍不得问心"
1689941057# #沈梦辰程潇林允体重曝光没想到林允程潇沈梦辰体重加起来300斤呀
1702120631# #EXO超话EXO完整体参加婚礼图EXO又去参加婚礼了啊啊啊啊啊啊啊谁懂啊！是八人的完整体合照泪
1701756404# #李同光有什么错呢他只是想和师父贴贴李同光只想和师父贴贴有什么错呢。。李同光只想和师父贴贴，有什么错呢doge满足他呀
1689691044# #关晓彤当着范丞丞面再提个人战范丞丞个人战名场面关晓彤也在曾少年剧组连麦直播，关晓彤和范丞丞斗嘴可太有意思了！！关晓彤你是懂玩梗的
1700540274# #薛之谦和外国粉丝的英文talking薛之谦演唱会互动抽到外国粉丝哈哈哈哈哈哈薛之谦不需要翻译，但我好像需要允悲
1701946269# #无需自拍，因为最美的瞬间往往不在镜头下。杜华别自拍了享受每个当下，感受生活的美好吧！??
1690244666# #孟宴臣无法送出的戒指变成皇冠孟宴臣送许沁皇冠的原因。孟宴臣值得更好的，许沁还是留给那男的吧
1686834932# #梅西的男孩们以后不许骂饭圈了哦原来全世界追星都一样笑cry都一样疯狂啊
1694871049# #汪苏泷狠狠拿捏了精髓哈哈
1692353600# #内娱浴火重生的明星内娱受过重伤的明星内娱浴火重生的明星有哪些
1689212391# #任安乐vs纪云禾任安乐必诛之梦回纪云禾突然想到了纪云禾的那句?
1692762446# #金晨对镜比耶自拍好可爱的大喜哈哈哈哈，笑得好开心呀金晨的手指好修长
1692684952# #肖战的剑居中到差点没看到差点就看到肖战手里的剑了:这是剑？我真没看出来哈哈哈
1700120001# #以爱为营什么时候加更以爱为营你着急吗王鹤棣晋江文永久居住证持有者，太上头了。以爱为营什么时候加更
1693281330# #盛阳可爱好可爱的盛阳肖战演的盛阳好可爱，期待骄阳伴我！骄阳伴我
1698817194# #虞书欣白色蓬蓬裙虞书欣蓬蓬裙欣欣子真的好像小公主啊！各种穿搭造型，穿什么都好看！！
1692002215# #相柳原版造型相柳原版妆造你觉得怎么样？
1701683989# #孙怡与天空合照孙怡不冷吗孙怡晒与晴朗的天空合照！看起来心情好好~
1691203913# #易烊千玺转音易烊千玺新歌转音绝绝子
1687925619# #张陆让是会告白的张陆让告白苏在在终于在一起了！还以为会是在在告白呢，没想到让让主动一次就玩儿了个大的！张陆让你小子是真的会！一让再让好甜啊污
1689100132# #魏大勋台词好的原因。咱就是说，很难不沦陷吧！
1688715838# #蔡徐坤曾说自己来自美国蔡徐坤VS张翰什么啊？蔡徐坤曾说自己来自美国
1691679765# #长相思为什么火了长相思已经是nextlevel了小夭也太惨了吧，明明什么也没做错，却又遭受这样的虐待
1690101028# #刘耀文说不喜欢时代少年团的音乐时代少年团私下会聊专辑记得萌探有一期，有一个姐姐说喜欢听“姐姐真漂亮”，当时耀文的表情都惊讶了，可能他自己都没想到，原来会有人喜欢这首歌
1700040715# #迪丽热巴拒绝称体重迪丽热巴也害怕称体重户外探险真的好有意思，攀岩的时候迪丽热巴说花少其实是变形计吧
1692843335# #张婧仪陈牧驰要合作了吗，真的假的？！
1693300690# #张予曦白月光女主我的白月光女主，真嘟好美张予曦白月光
1691050205# #蒋依依的手机壳蒋依依的墨镜好大蒋依依好可爱啊
1694737611# #郑乃馨艾莎公主造型好美啊！！！
1701656097# #一念关山好看在哪一念关山剧升华了我升天了一念关山剧升华了我升天了允悲允悲允悲
1701521621# #王心凌知道陈楚生跳过爱你吗王心凌演我听陈楚生弹唱。王心凌说听陈楚生陈楚生弹唱《思念一个荒废的名字》回反复听！简直演我！期待合作～。
1688296408# #时影神仙下凡时影一出场就洗澡撑伞出场从天而降真的神仙下凡！！时影太仙了！！
1698906007# #"秦海璐的微笑是如此迷人，每一次都能让你感到温馨和快乐。秦海璐霸总文没白听秦海璐逐渐控制不住微笑"
1697444094# #沈腾结盟不带范丞丞范丞丞个人战贯彻到底范丞丞这是把个人战贯彻到底了哈哈哈，好惨一男的doge
1691724690# #七时吉祥猪虎大战猪虎大战我第一次见男主是野猪精的
1690091736# #任敏说自己鼻子大很可爱啊
1689224703# #徐梦洁为张艺凡选赖伟明徐梦洁《一拍即合的我们》是为了和张艺凡贴贴哈哈哈哈哈，张一山看透一切，赖伟明多余了呗？dogedoge
1698220943# #迪丽热巴的素颜迪丽热巴越素越美花少五终于开播了，热巴的素颜也好美啊！迪丽热巴生病不能耽误美？热巴素颜补了个口红而已
1691199986# #涂山璟好忙涂山璟也想过向往的生活。涂山璟真的好忙，怪不得想变成叶十七！！谁不想过向往的生活啊！
1701475744# #边伯贤直播唱了初雪边伯贤直播唱初雪是初雪啊
1690957960# #宋焰和我恩怨两清的办法和宋焰恩怨两清的办法这个办法我赞同
1701945843# #王一博法式礼帽王一博是来度假的吗王一博法式礼帽好好看
1691412401# #玱玹只听到了三个字涂山璟说杀了我玱玹记住了玱玹是只听到涂山璟说了三个字吧
1692185335# #虞书欣跳了whatever虞书欣凌妙妙跳whatever欣欣子真的跳了whatever！
1691723957# #为什么玱玹只在意涂山璟玱玹只对涂山璟在意的原因当然是因为玱玹是小夭的毒唯啊，涂山璟可是真嫂子，自然在意
1701656021# #肖战半袖里穿毛衣肖战半袖衬衫里穿毛衣。肖战第一章《回国》！半袖衬衫里穿毛衣时尚感好强！
1700894264# #王铮亮和声的神再就业男团这个家不能没有王铮亮。王伴奏王和声全能辅助！！再就业男团这个家真的不能没有王铮亮。
1691989738# #赵丽颖力量感赵丽颖云淡风轻的力量感
1689317781# #密钥延期也是朱一龙主演的吗消失的她密钥延期也是朱一龙主要的吗
1691823533# #侯雯元帮四美追星宋祖儿替彪子圆梦乔四美戚成钢另一种形式he侯雯元替四美见到了他喜欢的费翔允悲
1692775450# #电视剧长相思超话AI版的相柳这相柳怎么璟里璟气的咱就是说这相柳怎么璟里璟气的啊笑cry
1692167101# #成毅说该放下的都放下吧李莲花说该放下的都放下吧成毅：“都过去十年了，该放下的都放下吧”
1700828476# #朴宝英请和我结婚朴宝英白色抹胸纱裙。朴宝英请和我结婚泪
1690099497# #我的青春被明码标价四叶草是长大了不是暴富了TFBOYS我的青春被明码标价了！
1695281547# #刘奕君林雨申对手戏眼神戏绝了好喜欢
1689411332# #魏大勋有60部综艺51部剧你想要的皮肤魏大勋都有魏大勋有60部综艺51部剧，而且你想要的皮肤魏大勋都有
1691548578# #金晨安娜头像当把头像换成金晨安娜。金晨安娜头像哈哈哈哈哈哈！美女荷官来了！！
1693291344# #剧情反转！吴剑秋意外怼向高叶大嫂？背后究竟隐藏着怎样的故事？快来揭秘剧中复杂关系！??吴剑秋怼人高叶大嫂劲又出来了
1689397875# #顾九思柳玉茹准备生四个孩子一见茹顾打算生四个孩子一见茹顾完美大结局！生四个孩子可还行doge！！
1691476331# #虞书欣有多爱苍兰诀虞书欣把写错了的苍兰诀p对了虞书欣好细心啊把蛋糕上写错了的苍兰诀给p对了
1699852061# #金玟庭红玫瑰人鱼公主金玟庭礁石上的美人鱼谁懂啊，这个光影真的很像礁石上的美人鱼
1702778837# #刘诗诗说任如意底色很正刘诗诗很欣赏任如意任如意是刘诗诗一看就想演的角色，演的很好啊
1700135086# #“网友们集体惊呼：白鹿白敬亭是网友？到底是什么身份，怎么能一直隐藏在幕后呢？白鹿白敬亭居然没见过白鹿白敬亭是网友”
1692955939# #别人是披荆斩棘苏见信自己就是荆棘看得出来苏见信很想被淘汰还以为东京奥运会开幕式…
1701480359# #檀健次周也新剧收视率很想很想你收视率檀健次周也新剧很想很想你收视率，莫青成和顾声好甜啊电视剧很想很想你
1690858736# #杨紫呼吸到了183的空气邓为让杨紫呼吸到了183的空气杨紫：183的空气确实不一样啊！哈哈哈哈哈哈小夭全程被涂山璟公主抱
1692595375# #为什么魏大勋都不生气啊为什么魏大勋不生气因为长得高，看得远，有气量
1690899247# #夭玹党能上桌吃饭了玱玹根本不用走赛道他就是VIP长相思里玱玹根本不用走赛道他就是VIP！长相思
1691409340# #只要你放弃一切我就跟你走小夭是想跟相柳走的小夭和相柳注定是be无法在一起的，小夭也动摇了吧
1694684182# #坐等杭州亚运会开幕赢牛奶
1699852981# #张远会唱0713每一个人的歌张远改歌词张远和陆虎的感情太好哭了
1692077105# #杨紫到底是个什么样的人拥有强大的内核
1700264318# #陈楚生披荆斩棘赢麻了披荆斩棘第三季音源收官战报。你最喜欢披荆斩棘第三季哪个舞台？
1698995123# #陆毅高音陆毅青春高音陆毅的实力真的很强！唱歌高音很顶，也有感情！RAP实力也越来越强！跳舞实力也不差！真披荆斩棘了！
1688972130# #马伯骞新浪扫楼状态马伯骞扫楼直播好欢乐马伯骞今天新浪扫楼状态真的很好，现场很配合回答问题
1688100464# #蔡少芬让秋瓷炫点个痣乘风破浪之复活的诱惑秋瓷炫淘汰，乘风破浪之复活的诱惑安排上
1690967145# #魏大勋范丞丞是有什么心事吗孟宴臣杨澄是有什么心事吗哈哈哈哈这是在干嘛，怎么这么拘谨呀！魏大勋范丞丞西装手势舞
1690276278# #没想到你是这样的伯邑考有些人表面上是西伯侯的儿子。网友看完《封神第一部》有感：为什么西伯侯的儿子和东伯侯长的这么像呢二哈
1692703245# #李相夷和肖紫衿居然是同一个声音我想知道原著里面李相夷中毒之后样貌改变了很多吗？要不然只是过去十年而已大家都不认得他的脸了？
1689910156# #中国人有自己的宋慧乔网友评价刘涛是中国的宋慧乔，该说不说刘涛状态真的很好！
1691589289# #谢谢莲花楼成毅把李莲花演的很好！谢谢莲花楼好喜欢好喜欢好喜欢莲花楼
1690549922# #凤凰传奇唱跳极乐净土美依礼芽凤凰传奇合作舞台。不是凤凰传奇你俩真跳啊啊啊啊啊啊？！凤凰传奇是唱跳组合还有人不知道吗？。。
1702004431# #李现俯拍视角梦回谢之遥李现GQ打招呼幻视谢之遥救命这个俯拍！！感觉下一秒李现就去搬梯子来敲窗户了！！！
1689302862# #今晚只办一件事今晚只干一件事今晚只干一件事！
1689649461# #魏大勋去过创造101魏大勋跳女团舞。啊啊啊啊啊啊啊啊什么魏大勋也去了
1691644895# #莲花楼有三场成毅的打戏莲花楼有成毅三场打戏，你最喜欢哪一个莲花楼
