1695775261# #12306还能出票吗？明天就28号了二哈
1692091106# #以下账号行为极其恶劣，已经严重污染微博社区网络环境，更是与清朗行动背道而驰。请平台依据社区公约对违规内容予以删除，并禁言封号处理，谢谢！&nbsp;&nbsp;@蔚蓝计划&nbsp;
1698594864# #睡前饿了，还是睡了吧
1699052841# #ELLE红毯谁赢了。刘诗诗真的超级有魅力呀！。刘诗诗走路粉太开心了。。一个穿高跟鞋走路还能优雅从容的姐姐。。她只是轻轻走过……。刘诗诗
1693902448# #心动的信号6侯卓成前女友爆料。不能等我追完吗？虽然我不喜欢候，但还是无语了…
1697071046# #一念关山超话。刘诗诗说任如意技能点很多。。目前已知各种身份伪装技能，跳舞，耍扇子，骑马，舞剑俗称抹脖子666666666……。微风微风。我们如意姐真的很强大呀！。强大而有魅力的独立又清醒的女主角。。刘诗诗给力给力给力
1695104268# #很需要爱你
1699006658# #刘诗诗要出来了吗？我刚好下班，可以去帮姐姐提裙摆！
1689758835# #是热爱生活的刘诗诗，都说喜欢拍风景和花花草草的女孩子很善良呢！
1702561641# #有限的戏份，无限的高光，刘诗诗任如意很值得心
1691833608# #刘诗诗。欧米茄活动图片陆续放出来啦！。刘诗诗可真好看😊
1700468769# #刘诗诗hi6逆应援。今天很开心，我在开心等刘诗诗下班。。今天的造型，都是我的审美心心心
1702898218# #一念关山加更礼。手太快了没截图吃瓜吃瓜吃瓜。贴个记录吧！。本来都是刘诗诗代言才放图，没想到一念关山见识了一些不知所谓的粉。。。行吧！。和前同事拜拜是开心的事。。任如意以后都要事事如意呀！。。。。心心心。刘诗诗任如意
1698725178# #我的天，刘诗诗好惊艳给力给力给力给力
1702974726# #平安
1699330028# #刘诗诗抬眸一瞬，有杀气
1701530945# #刘诗诗任如意一男一女两个徒弟。任如意很会教，不如教教我吧！古装女主以后就这么演
1692327634# #流下了羡慕的泪水
1691994857# #诗意
1698365158# #刘诗诗清丽绿衣路透。一张照片已经足够动人。。刘诗诗古装统治区无人能及。
1703995620# #刘诗诗官方后援会声明。。哈哈哈哈，太开心啦！。期待刘诗诗东方淮竹百万福利，。期待刘诗诗的隐藏惊喜。
1701947497# #刘诗诗任如意啊啊啊啊啊啊
1693817420# #无忧渡我感兴趣的题材，真的没了吗？。无忧渡
1698122714# #有没有一种可能是点进主页不是视jian，而且想拉嘿呀？
1702902057# #谁来救救任如意
1693390614# #刘诗诗东方淮竹粉衣生图路透。刘诗诗好美丽呀！。好期待我们东方淮竹大小姐呀！刘诗诗
1697352696# #就是说，姐粉看到菲粉能不能顺手举一下，毕竟她们口吐芬芳。。维护刘诗诗不是和别人互ma，也可以顺手举一下。。刘诗诗
1704072514# #快乐快乐，期待2024年，一起开启新篇章吧！心心心心心心
1700144752# #刘诗诗和李思雨的相遇真的很美好啊！。鲜花鲜花鲜花。好爱李思雨呀！。打call打call打call。发脾气迁怒旁人的李思雨现在看起来也是喜欢的呀！是如此真实的美丽。。。刘诗诗打call心。刘诗诗超话
1693448070# #宋祖儿待播剧。无忧渡，都要播出了……
1691757129# #快乐的刘诗诗
1691114785# #才看到图，刘诗诗有些可爱
1696736023# #🍉🍉🍉：。刘诗诗一念关山正在排播中。大女主任如意独立清醒不恋爱脑。。微风。狐妖小红娘竹业篇即将杀青。刘诗诗参与东方淮竹施法动作设计。。微风。刘诗诗虽近两年没剧播，但商业价值一直很顶。。微风。一姐刘诗诗业务能力很顶，演技、颜值、台词、商务和人品等都备受圈内外好评。。666666
1703990990# #可爱姐宝刘诗诗
1702058369# #一念关山配不上刘诗诗的付出。刘诗诗任如意真的很好，刘诗诗演技大赏，不该是这个结果。
1694527803# #刘诗诗晒合照为杨幂庆生。姐宝刘诗诗还带着淮竹的妆，就是说别太爱了。。我羡慕了。。。
1702824711# #一念关山高开癫走的剧情。一念关山之前宣传女性群像剧，已验证。。。昨天是任如意为皇后正名，解救朱衣卫。。今天是公主把命运掌握在自己手里。。。两位女性角色不同程度的优秀和成长。。。一念关山好看的，我太爱任如意了，是她一手调教了公主。女性力量的崛起。。。感谢刘诗诗演技那么好，才能一次
1704049311# #刘诗诗超话。大家新年快乐，身体健康，万事如意。。姐宝刘诗诗多多拍戏呀！。。刘诗诗给力。诗狮一起来跨年
1693610450# #刘诗诗超话。下部剧剧本看好了吗？。快快进组爱你爱你爱你
1704023256# #87树的红包哇！好运来袭！我抽中了的现金红包，你也快来试试手气吧，比比谁抢得多！
1697692993# #doge
1699252519# #这个侧颜孤度，很美好了。
1703062948# #一念关山任如意美强惨，感觉刘诗诗东方淮竹也是美强惨笑cry笑cry笑cry
1695177485# #优酷的掌心很明显不是一姐刘诗诗的饼。刘诗诗
1702636264# #一念关山安都副本决胜局。期待你尝试更多题材
1700997402# #哈哈哈孤狼任如意来了
1691796217# #2023下半年待播剧。期待刘诗诗的一念关山任如意，。红火任如意爱你爱你爱你
1698543397# #只有一个想法，希望大家不要忘记追剧的快乐。。好期待刘诗诗一念关山任如意呀！。微风微风微风。好演员的魅力都在一个又一个角色里。。是马尔泰若曦，是挞拔玉儿，是龙葵，是燕三娘，是谭允贤……。也是米楠，白考儿，李思雨，蒋南孙……。心心心。感觉刘诗诗的每一个角色都好出圈呀！
1699353393# #姐宝刘诗诗，你的图发的很对称，活动现场真的很美丽
1690941907# #阳光信用保持的很好哈哈哈哈哈哈
1702786616# #喜欢。任辛怎么看都帅
1695138522# #刘诗诗开开心心宣传任如意和东方淮竹哦！。微风微风微风。总感觉一念关山越来越近了。。微风微风微风。东方淮竹会有新造型吧？期待竹业呀！刘诗诗
1690774592# #I'mbusy又一次出现在刘诗诗的穿搭里，。哈哈哈哈，知道啦😊。知道姐姐真的很忙啦！。一姐真的可可爱爱呀！
1693403056# #刘诗诗吴宣仪沈月章若楠同框路透。刘诗诗古装对我眼睛很友好爱你爱你爱你爱你爱你爱你
1701821567# #恭喜刘诗诗任如意
1697461183# #酷姐刘诗诗爱你
1693305707# #刘诗诗美拉德风。刘诗诗代言销量都很好，谁懂啊，她真的很会表达品牌调性。。微风。刘诗诗是最适合TODS的女演员。。微风微风微风。。微风微风微风。tods品牌代言人刘诗诗
1695353650# #刘诗诗是林间仙子吗
1691539033# #大宋少年志2还是那么好看。更新排播太拉了！
1695297384# #如意红有点经典。刘诗诗绝美
1702634972# #一念关山安都副本决胜局刘诗诗任如意美强惨
1700813294# #终于有点带感的剧照了，如意姐我来了打call刘诗诗一念关山
1696517231# #刘诗诗假期随拍。刘诗诗以后可以做摄影博主了哈哈哈哈哈哈。爱分享的姐姐很可爱。。热爱生活的刘诗诗。
1692091009# #账号行为极其恶劣，已经严重污染微博社区网络环境，更是与清朗行动背道而驰。请平台依据社区公约对违规内容予以删除，并禁言封号处理，谢谢！&nbsp;@蔚蓝计划&nbsp;
1699973504# #和杨紫看着能说话的几个粉解释，发挂嘿名单给她们，结果就是被删除评论了！还有一个拉嘿我。行吧，那就截图留存吧！
1701701754# #任如意是自由的完整的，剩下的都是她可以做的选择。刘诗诗一念关山
1699798553# #我希望刘诗诗任如意快点出来拯救我。。这微博也是好没意思了呀！热榜都懒得点开了。。微风。转去其他平台，点开一部评价还不错的，嗯，片头还没播完，就弃剧了。。。。微风微风微风。固定综艺看完就好无趣了呀！。只好去币站翻来覆去的看刘诗诗打戏，看刘诗诗演技各种出圈名场面…。鲜花鲜花
1698664583# #就喜欢刘诗诗突然而至的惊喜。期待一姐杂志大片。。刘诗诗666666666
1701260686# #刘诗诗任如意地表最强心
1702637076# #一念关山安都副本决胜局喜欢听你唱歌心
1692238603# #哇，有些期待
1703066086# #刘诗诗回应古装是自己的统治区。我最爱刘诗诗古装啦！。。虽然刘诗诗谦虚，但是在我这里，古装就是刘诗诗统治区。。。一念关山任如意美强惨大女主太好看啦！。我还在追剧任如意心心心。。刘诗诗任如意
1703512020# #一念关山科目三。刘诗诗任如意打戏来啦！。。心心心。感谢刘诗诗演绎了那么好的任如意。。。心。。刘诗诗任如意微风。
1694408282# #刘诗诗聚餐后送沈月回小区。刘诗诗我不是你最爱的妹妹了吗？。不是了吗？我不信！
1695201801# #感觉现在的刘诗诗是钮祜禄一姐。。眼神戏好评好评。。台词好评好评。。一张海报眼神戏都好神。。微风doge微风。刘诗诗
1695083745# #刘诗诗超话。截到了开屏，期待刘诗诗最美表演。
1697341280# #刘诗诗姐姐，周末快乐呀666666666明天等你哦！
1694187357# #长期不换头像的情绪更稳定吗。几年没换了，没有想换的。
1702190949# #一念关山
1696431380# #🙏
1700787830# #刘诗诗任如意的发尾撩到我了心心心心
1692058184# #刘诗诗的影视作品，两部年冠，两部年亚。。成绩真的十分亮眼优秀呀！刘诗诗爱你爱你刘诗诗超话
1691942922# #这是音频吗？哇哇哇哇，刘诗诗也太棒了吧
1702811105# #期待刘诗诗的开年封面唉！
1698725739# #刘诗诗全年最佳杂志来了！。真的会反复爱上刘诗诗，。昨天我爱粉嫩可爱的姐宝，。今天我爱时尚帅气的大佬。。Qeelin最棒了。今年很给力哦！刘诗诗
1702086598# #刘诗诗戏份。刘诗诗已经在有限的戏份里全力发挥演出了任如意的内核。。任如意她那么耀眼，那么智慧强大清醒。。。柠檬你怎么能舍得毁掉这个角色的内核呢？。。我是为了刘诗诗任如意才追剧的。。任如意是孤狼，是棵树，任如意不是花。。心。。刘诗诗任如意
1697433174# #好的，和刘诗诗一起支持婷妹
1704369420# #步步惊心里若曦是怎么死的。马尔泰若曦和任如意。。刘诗诗演技真好呀！。心。期待刘诗诗更多的人生角色。。。刘诗诗心心心心
1703344944# #刘诗诗角色解读很深刻，永远爱真诚的演员
1699174094# #哈哈哈，终于等到你鲜花刘诗诗你最可爱
1691840384# #底线之上自由自在，刘诗诗就是底线
1702646844# #喜大普奔了，一念关山要超点了。。我太开心了，终于不用零星受折磨了。。。明天有任如意精彩打戏，还有用己身送徒弟上青云。。。啊啊啊，刘诗诗任如意要持续开大啦！。。今天刘诗诗任如意一字马也是十分精彩哦爱你爱你爱你。。心刘诗诗一念关山女主复仇线ppt
1700460713# #看着满屏的来自刘诗诗的爱意。。等着录制现场的姐粉反馈。。吃瓜吃瓜吃瓜。刘诗诗和小狮子是双向奔赴的爱心心心。鲜花鲜花鲜花。刘诗诗hi6逆应援鲜花刘诗诗
1698036449# #内娱眼睛会演戏的演员。刘诗诗有一双会说话的眼睛，布林布林的，情绪饱满引人入胜。。坚毅的，果敢的，倔强的，可爱的，委屈的，开心的，各种情绪表达都非常有感染力。刘诗诗
1702968769# #我推荐为2023微博网友喜爱人物，与光影共绚烂，与赤诚赴热爱，期待TA盛装赴约！快来微博之夜推荐你心中的微博网友喜爱人物，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1695855739# #导演说刘诗诗演出了3分真7分假。一镜到底挺厉害的唉，刘诗诗真的很擅长这种流畅的情绪表达。
1703479146# #刘诗诗超话。。刘诗诗超话真的各种批p呀！。然而还有姐粉不知道敌人是谁，只会内讧。。。心。。2024年刘诗诗和我都好运吧。。doge。明明该冷处理的事，自己要闹大。。一个字，服。。刘诗诗
1703336533# #关山已过，前路尤长。刘诗诗任如意再见。期待东方淮竹。心心心心刘诗诗任如意
1694738519# #一念关山超话。最近在翻花絮，。更加爱刘诗诗任如意了呀！。不仅可爱甜蜜，还英姿飒爽。。甜酷女孩说的就是我们如意姐吧！。我以为可爱的只有公主，没想到还有如意姐。。微风。刘诗诗演技真好呀！真的各种性格轻松拿捏！。微风。刘诗诗微风微风微风
1702562899# #有限的戏份无限的高光，说的就是刘诗诗任如意呀！一念关山就是刘诗诗演技大赏爱你
1701855536# #是闪耀的玫瑰女王刘诗诗
1701873678# #想和老公姐任如意贴贴
1695629098# #姐宝刘诗诗
1695866637# #刘诗诗很优秀，合作愉快
1703050544# #我获得了微博之夜纯美卡等5张，偷偷告诉你每周集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1702267280# #每到下雪就会想起刘诗诗的马尔泰若曦
1699449080# #欧米茄名人大使刘诗诗
1701617535# #刘诗诗任如意继续开大吧
1701078892# #刺客任如意来喽心心心刘诗诗一念关山
1693039411# #收拾杂物，一堆瓶瓶罐罐。。哈哈哈，好多是因为刘诗诗买的爱你爱你爱你。微风微风微风微风微风微风。真的买了好多刘诗诗的代言，还有很多没使用的。。。。微风微风微风。刘诗诗爱你。微风微风微风刘诗诗超话微风微风微风
1691621184# #期待新品发布会
1701619274# #刘诗诗任如意美强惨，演技很好。
1702901691# #刘诗诗下部剧见吧！
1698111793# #待播古偶剧你最期待哪部。最期待刘诗诗的那部剧呀！。微风微风微风。一部主角团除了刘诗诗，其他演员我都不太认识的剧。。微风微风微风。一念关山新鲜感是很足的笑cry笑cry笑cry。刘诗诗任如意大杀四方也很酷。。很期待刘诗诗的一念关山哦！。。刘诗诗一念关山
1702051481# #刘诗诗一念关山心刘诗诗任如意心心心
1699236268# #自从知道砖👍瓶都是给YXH送money后，。看见刘诗诗广场的嘿稿比美稿，内心想争论下，理智都告诉我，忍住了。。微风微风微风。只有红稿能让我动动手了。。鲜花鲜花鲜花。哎呀，现在看开了，不能给嘿心肝的送money。。刘诗诗打call打call打call
1696680644# #梦想还是要有的这不实现了么！感谢金主
1700986108# #一念关山这部剧有女主吗？滚滚滚滚滚滚
1695855220# #导演说刘诗诗演出了3分真7分假。手捂镜头那里的巧妙设置真的很好。。导演也很厉害啊！。刘诗诗演技好，情绪感染力很强是她的优势。。这就是最美表演呀
1701299708# #一念关山破万全员跳女团舞。刘诗诗第一时间说了no，还摆手拒绝。。后面一劝再劝，提了一起跳剧里的舞也被拒绝，还要怎么说？。吃瓜。他粉要他露腹肌，诗诗也说让他露，他拒绝了，诗诗就没提了。。吃瓜。事就是这么个事，少歪曲事实，伤害刘诗诗。
1694165048# #刘诗诗竹叶篇异域风造型。我们竹业都快拍完了，东方淮竹才透了3套新造型吧！。哈哈哈哈，真的太保密了哈哈哈哈哈哈。期待刘诗诗东方淮竹呀！刘诗诗
1702392508# #刘诗诗想尝试反派角色。其实我们任辛就有点像是反派哇！。。只不过我们任辛尊上外冷内热，某些时候单纯可爱得咧！。。好爱刘诗诗任如意，更爱任辛呀！
1701134917# #等孤狼任如意，如意姐美美哒心刘诗诗一念关山
1694661084# #刘诗诗带着她的故事走来了刘诗诗
1692878052# #存
1702885536# #刘诗诗，你就说你是不是接触的悬疑剧吃瓜吃瓜吃瓜
1697359600# #哇哇哇，这个视频好高清。刘诗诗古装氛围感真的好绝呀！
1701866534# #没想到在这里看到刘诗诗
1691653785# #刘诗诗。今天只是刘诗诗作为欧米茄代言人的例行大活动而已。。刘诗诗都是名人大使好多年啦！。有些人咋还这么容易破防？
1695715399# #过好当下的每一刻，就是熠熠人生了！刘诗诗
1702635063# #一念关山安都副本决胜局。事事如意
1691844694# #哪位明星是内娱的一股清流。刘诗诗呀！人品好气质佳。
1702635988# #一念关山安都副本决胜局。姐宝，任辛尊上打戏是不是拍了很多？
1691943282# #刘诗诗追星要活在阳光下，感谢刘诗诗带来的没好
1700789610# #我对刘诗诗任如意心动了鲜花和爱上蒋南孙时不一样。人的一生不一定只爱一个人是不是？我是不是犯了全天下人都会犯的错，见一个爱一个。
1701189513# #姐姐，今天十分开心，任如意真的很强大很有魅力心刘诗诗一念关山
1700993638# #来了，接孤狼任如意。。刘诗诗用心演戏，姐粉开心期待任如意。。【刘诗诗任如意像孤狼】。刘诗诗一秒冷脸刘诗诗紫色宫装造型
1699326329# #喜欢，刘诗诗可以挑战更多惊喜
1701069997# #都是任如意好评心期待孤狼任如意开大。刘诗诗一念关山定妆花絮
1694180793# #刘诗诗沈月狐妖竹业篇异域造型。刘诗诗走路那么好看呀
1694221895# #所以刘宇宁颜值低，能力是没有一番剧。粉丝只能靠假招商做梦。
1702823558# #一念关山高开癫走的剧情。从31集开始就又好看了。。32集封神剧情，任如意真的魅力四射呀！。。任辛尊上好飒好爱。。任辛和邓恢棋逢对手好磕。。。演技真好。。刘诗诗任如意
1696817098# #老板已经开会2个小时啦……
1692882452# #刘诗诗。狐妖小红娘竹业篇路透衣服还可以唉！。刘诗诗也太好看啦！。一姐古装真的特别绝微风微风微风。刘诗诗超话刘诗诗东方淮竹
1691141884# #刘诗诗狐妖小红娘终于备案了。备案来了，8月会有个全员官宣吗？
1696760708# #是东北菜量大不是东北菜量大。也不止东北，北方大多如此吧。
1700478424# #刘诗诗我们爱你。期待一念关山。
1700470526# #刘诗诗歪头的瞬间，就想落泪了
1701587167# #继续追刘诗诗任如意
1698035876# #期待一姐刘诗诗新剧，也祝最美表演十周年快乐
1702734910# #任如意真的大义，看哭了。刘诗诗任如意
1701470286# #一念关山真就是刘诗诗演技打赏。谁看了都回闭上任如意心心心刘诗诗演技真的被低估了
1700490943# #刘诗诗酒红束腰长裙。今天很完美了，那么明天会有东方淮竹杀青特辑吗？。微风微风微风。希望竹业篇快快物料砸向我！。微风微风微风。刘诗诗的魅力不在于穿什么，只在于她是刘诗诗而已。。刘诗诗
1702731699# #任如意今天超级精彩吃瓜刘诗诗帅
1702707906# #可隆是你的靠山心想事成，事事如意心心
1695813398# #导演说刘诗诗演出了3分真7分假。感觉这次是一个很好的合作。。和导演的合作很开心也有新的火花，。刘诗诗表达的很好，实力派演员。
1698985633# #是温柔惬意的刘诗诗
1701526558# #刘诗诗任如意真的很像人生导师呀刘诗诗任如意
1692367354# #氧气美女刘诗诗
1701934658# #刘诗诗现在就是大花的气场。一念关山任如意真的大女主，又强大又美丽。
1695800882# #12306真的不给一张票吗
1690882962# #家人健康
1693131172# #刘亦菲粉丝比刘亦菲会演戏
1700294480# #快乐老友记。真的被陆虎尖叫🐔那段笑飞了。。太太太太搞笑了…
1702376213# #终于发发俺们漂亮的女演员们啦！刘诗诗任如意
1691827638# #默默做事的刘诗诗
1692667623# #胡歌如果未来五年我不拍戏了。是要回归家庭吗？。可以断档，但是遇到喜欢的角色还是应该排除万难进组呀！。生活和家人不应该是自己事业的阻碍。
1688788607# #难忘的你
1694607941# #两个品牌的物料，黑色艳丽，白色纯洁。。刘诗诗现在的状态真的一绝。刘诗诗
1702717512# #刘诗诗上次录节目是十一年前。姐宝刘诗诗真的超级可爱，已经等着观看了心心心。期待综艺新人刘诗诗。。还有今天直播的刘诗诗也是超级甜。
1689209430# #近几天断网了，。这么多小香诗都是谁发的呀！。搜了好久才存到几张无水印。。刘诗诗她真的轻松自在简单又美丽优雅。。。刘诗诗香奈儿品牌形象大使
1693836325# #你能想象吗？。你相信命运吗？。我好像被刘诗诗问到了！！！。微风。有些激动～。刘诗诗的声音也成为她的宝藏了。。微风。我爱过刘诗诗的很多特质，而现在我爱刘诗诗的声音爱你。微风。刘诗诗你可以出个声音专栏吗？想听更多。。刘诗诗微风刘诗诗为你读诗
1697453129# #包裹严实的刘诗诗
1690939103# #爸爸当家2。虽然更喜欢其他三家，但还是要说，粉色房明明是小米先说喜欢的，然后三喜宝贝才说的。最终也是三喜选了粉色。
1701090234# #任如意说小意思啦！都不是问题。刘诗诗一念关山
1692913693# #刘诗诗现代角色李思雨是我的最爱了。。爱李思雨姐姐的坚持和倔强。。刘诗诗微风微风微风刘诗诗超话
1702703436# #等你
1695004001# #勿忘
1696998707# #那来试试
1699971540# #刘诗诗时尚表现力就是优秀
1696517251# #爱生活爱分享，哈哈哈哈哈哈哈哈，这样的刘诗诗真的很好
1702045325# #刘诗诗任如意很好，其他不评价。。。给力给力给力。一念关山加戏微风刘诗诗任如意
1701266958# #任如意和公主演反串那里好绝，刘诗诗演技真的牛。
1699055999# #刘诗诗杨紫赵佳丽合照。刘诗诗永远的剪刀手✂️。好爱一姐云淡风轻的美丽呀！。鲜花鲜花鲜花。她只是轻轻的走过，就进了我心里。。刘诗诗
1693274518# #哇哇哇哇，好多刘诗诗呀
1690469098# #长相思和步步惊心是同一个作者。桐华的书真的好看，文字功底深厚。。也感谢刘诗诗演绎了我喜欢的若曦和莘月。。步步惊心还有风中奇缘至今还是我的电子榨菜。。卫月CP真的超级甜。。。
1702906073# #任如意那么好爱你爱你爱你刘诗诗任如意
1691754955# #宝，看见你就开心哦！多多出现呀
1700381291# #和刘诗诗的共同点多了一个，那就是一脚两个台阶上楼梯。刘诗诗
1698535179# #刘诗诗演技大赏。。欢快无忧，冷酷果决，英姿飒爽……。一念关山任如意都有了。。好期待刘诗诗任如意呀！。刘诗诗东方淮竹是温柔优雅，仙气飘飘，青春可爱的。。演员的魅力路透可见，刘诗诗演技太棒了吧。。刘诗诗一念关山微风刘诗诗东方淮竹微风刘诗诗
1699408499# #刘诗诗超话。杂志创意很好，妆容也超级有趣。。刘诗诗时尚表现力非常好，很期待一姐做更多的尝试。。雀斑妆，堕仙妆，还有竹枝妆都好喜欢。都是很有趣的表达。。鲜花鲜花鲜花。刘诗诗未来还有很多可能。刘诗诗
1703242385# #图四好美，大佬刘诗诗任如意
1698894531# #刘诗诗任如意眉眼带笑，眼波流转，看啥都深情呀！。我宣布刘诗诗一个人就可以塑造CP感，其他在座各位自己代入吧！。鲜花鲜花鲜花。我已被刘诗诗美飞了！。鲜花鲜花鲜花。刘诗诗微风微风微风刘诗诗一念关山
1696580641# #一念关山超话。任如意姐姐，是如意姐呀！。看书不可怕，最怕画面具象化。。刘诗诗要不要这么会演戏哦！。活泼可爱的刘诗诗任如意呀！。刘诗诗一念关山爱你刘诗诗
1695197191# #看到一姐了，了解下
1703261858# #还记得豆豆情诗，一晃好多年过去了。。刘诗诗和TODS一直合作挺好的。。。从短发到如今长发飘飘。。。唉，今天这出不知弄什么，刘诗诗真的是无辜被牵连。。。刘诗诗TODS吃瓜刘诗诗
1702359551# #为了刘诗诗的那部剧冲鸭！
1695356218# #林中仙刘诗诗
1702782173# #感觉刘诗诗这个风格是我及其喜欢的
1697454080# #刘诗诗有在挑逗我。。今天是酷拽狂野的一姐刘诗诗爱你爱你爱你。刘诗诗微风微风微风donottag
1698485654# #刘诗诗演技可真好呀！。怎么会一个路透就把角色的调性以及氛围感全都带出来了呀！。一念关山任如意是飒，东方淮竹是温柔。。古装剧路透氛围感最好的就是刘诗诗啦！
1691245035# #哇哇哇，真的是没有见过的刘诗诗呀！
1696331325# #全妹太厉害了
1689575229# #期待刘诗诗新一季的大片哦！
1702821881# #刘诗诗牛牛牛，期待
1697455816# #刘诗诗谢娜同框看秀。美女撩头发，存了两张图。同步有爱，俩人还热聊了一会。。微风微风微风。哈哈哈，今天刘诗诗小表情好多呀，真是可爱。
1692510998# #别家对接，一天发3条+。。姐粉家对接，一个月发3条。。哈哈哈哈，真的很好笑呀！。需要带领粉圈做事的对接，不需要不做事只会逃避责任拱火的对接。。从你们的行为里，我看不到对刘诗诗的爱。所以不需要对接了。。。。刘诗诗
1698560094# #就是说大雷呀刘诗诗的那些职嘿你是真的不管吗？。每次一姐有活动，她们就提前带节奏，冲击商务。。一次又一次伤害刘诗诗，还要忍吗？
1701616181# #刘诗诗任如意继续开大刘诗诗任如意
1703376358# #某些大女主文现状。看在讨论一念关山，说真的，女性视角群像剧愣是给男主加戏改剧本，看过的都说很无语。。。害的我和任如意告别时是如此的遗憾。。只能多看看原剧本弥补一下了。。。还好刘诗诗演技好，深刻理解了角色，完美演绎了任如意和任辛。。。好爱刘诗诗任如意呀！
1703585171# #🕯️
1701749284# #东方淮竹杀青快乐微风微风微风爱你
1702741458# #任如意真的太优秀了。刘诗诗演的也是极好的。刘诗诗任如意
1702711020# #妈呀，刘诗诗她怎么那么可爱
1699091663# #刘诗诗出神图，哈哈哈，真的好优雅的代言人
1692349105# #刘诗诗她好可爱
1692107556# #真的可以退了，你根本不爱刘诗诗
1689684663# #优酷爱奇艺都来了。刘诗诗的剧播成绩都很好呀！。一姐的剧啥时候播呀！没有刘诗诗的剧，我都剧荒很久了。。步步惊心看了无数遍，亲爱的自己李思雨也看了好多遍啦！
1692350062# #啊啊啊啊，温柔可爱的姐宝刘诗诗
1698741896# #又更新了呀给力给力给力
1692360046# #我宝刘诗诗太美好了
1689224236# #我是不一样的烟火
1697423222# #薇诺娜双11大闹天宫。连续买了5年了，今年不打算买了，越来越贵，没意思啊！
1702639793# #上来说一下，一念关山29集剧情算正常，大家追剧哦！。刘诗诗任如意持续开大，空中一字马哦！。。微风微风。刘诗诗任如意心刘诗诗
1693538193# #哇，这套造型的刘诗诗更好看了
1703051006# #刘诗诗任如意二创搞起来吧！。男主换顾远舟行吗？。拜托拜托，这将对我很友好。
1702038762# #刘诗诗任如意真的独具慧眼。。。心心心心心心。六公主发的刘诗诗刘诗诗任如意
1700470724# #刘诗诗挥手比心心，歪头刹那心心心心
1704537021# #又看到刘诗诗的李思雨了，我最爱的现代剧女主角。
1694229558# #自然和刘诗诗
1701522173# #刘诗诗任如意真的帅，男女通吃的任辛尊上
1701955322# #很爱任如意，她真的清醒潇洒。刘诗诗演的极好。
1702128598# #一念关山修图。来看刘诗诗无修版美貌吧！。任如意每一个镜头都美的人想珍藏。。。微风微风微风心心心。刘诗诗任如意
1693060508# #提名你心中最神的OST。不一定是最神，但确是最伤记忆最深的一首了，三寸天堂，谁懂啊？。。停在这里不敢走下去……。微风。音乐一出，脑海里全是若曦的前世今生…。刘诗诗好会演…。爱你爱你爱你
1701226070# #刘诗诗好美的一张脸。太爱刘诗诗任如意了。
1689671409# #刘诗诗照片里的窗。热爱生活的姐姐刘诗诗
1697429430# #该账号行为极其恶劣，已经严重污染微博社区网络环境，更是与清朗行动背道而驰。请平台依据社区公约对违规内容予以删除，并永久禁言处理，谢谢
1696735241# #4岁女童搜救因外部原因中止。这…没看具体事情经过，不想跟着网友阴谋论，但……。doge。是找到了，还是闹剧？
1702116215# #即使是碎片任如意，也因为刘诗诗的演绎而完美。谁会不爱刘诗诗任如意呢？一念关山剧本
1702222919# #刘诗诗任如意美强惨刘诗诗任如意
1701622358# #刘诗诗任如意刘诗诗任如意
1704265831# #Qeelin全球品牌代言人刘诗诗刘诗诗美丽动人
1702723071# #刘诗诗说一念关山不是古偶好喜欢看刘诗诗的一些采访。期待今晚的你好星期六还有任如意开大。
1699023258# #今天刘诗诗太美丽了
1691757144# #闪耀的你自己
1700205203# #优酷11月片单。今天都11月17号了哇！这个片单的意义是酷的事你别管吗？
1701436664# #今晚谁还没为任如意流泪呀？呜呜呜，刘诗诗演的太好了，令人心碎。好心疼任如意呀！
1697103352# #转发微博
1701689261# #今天都是任如意，好好看呀！。任如意的过去任辛尊上太帅啦！。任如意和昭节皇后的戏份也出来啦！。吃瓜吃瓜吃瓜。刘诗诗任如意微风刘诗诗一念关山
1702635192# #一念关山安都副本决胜局。任辛打戏拍了很久吗？
1702905601# #刘诗诗任如意是最好的，任如意红尘仗剑走天涯。
1700483879# #刘诗诗酒红束腰长裙。明艳大方，亲切可爱的姐姐刘诗诗鲜花鲜花鲜花。今天也是被刘诗诗应援的一天，。虽不在现场，但是爱意收到了。。鲜花鲜花鲜花。很期待一念关山任如意。。刘诗诗爱任如意，我爱刘诗诗。。刘诗诗
1702164729# #没有人比刘诗诗更爱任如意
1693038895# #干嘛演戏呢，可以退圈
1702643986# #哈哈哈哈哈，一念关山这是哪一集？我怎么没看到。任辛这里好帅呀！
1698714141# #请把刘诗诗很牛打在公屏上。。刘诗诗五大准满，不知道的就去搜下，截止目前，今年有几个花准满了？。给力给力给力。大刊准满，刷下小刊不就是开开心心的收美图的事，又不是没大刊。。说白了现在因为酸酸酸酸酸为嘿而嘿你姐刘诗诗的还挺多的。。。。微风微风微风。期待今天的嘉人大片哦！
1691810809# #刘诗诗大美女因为事业太好招嫉妒啦！。职嘿JZ狙一姐商务呀！。谁这么恨大美女呀！。太惨了，怜爱美女姐姐。刘诗诗
1689218730# #差点认不出刘诗诗。风格多变的一姐刘诗诗
